Name	Lung
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.787645
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
CHD5	0.435817
RP1-120G22.11	0.643991
LINC00337	0.0481013
HES3	0
HES2	0.869189
ESPN	0.671928
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.269568
TAS1R1	0.402232
LINC01672	0
RP11-312B8.1	0.188911
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.0613041
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.171935
RP11-338N10.2	0.859591
RP11-338N10.3	1.87393
RP3-467L1.4	1.24833
UTS2	0.269872
TNFRSF9	0.419178
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.14764
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0.11897
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	2.55322
Y_RNA	0
RP5-1115A15.1	1.1011
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0472651
RPL7P7	0.044537
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.778207
ENO1-AS1	0.313418
RNU6-304P	0
HMGN2P17	0.0742828
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0.0126755
RN7SL451P	0
SLC2A7	0
SLC2A5	0.948199
SCARNA16	0
LINC01759	1.40066
RP3-510D11.4	0.274489
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	4.84542
RP13-15M17.1	0.628725
TMEM201	4.97661
PIK3CD-AS1	0.16132
RP11-558F24.2	0
PIK3CD-AS2	1.90531
MZT1P1	0
RP11-84A14.7	0.0405234
RP11-84A14.4	0.390353
NMNAT1	4.15254
RN7SKP269	0.277832
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.142313
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.34964
RN7SL614P	0.397837
RP4-734G22.3	3.83383
HSPE1P24	0
C1orf127	0.382309
CFL1P6	0.0807897
MASP2	3.67716
RP4-635E18.6	0.44857
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	1.56204
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.0972249
MTCYBP45	0
DISP3	0.114754
LINC01647	0
DRAXIN	0.164888
C1orf167	0.029289
RP11-56N19.5	0
NPPA	4.65875
NPPB	0.316623
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.764416
MIR6729	0
RN7SL649P	0
TNFRSF8	1.11562
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	3.29796
RP5-888M10.2	0.363956
RNU6ATAC18P	0.63964
MIR6730	0
RP11-474O21.5	1.31102
AADACL4	0.0532834
RP11-474O21.2	0
AADACL3	0
C1orf158	0.274019
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0972945
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.0595201
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0.12599
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.999367
C1orf195	0.0557209
RP1-21O18.3	0
RP5-903E17.2	0.129682
FHAD1	1.35712
RP3-467K16.2	0.290867
RP3-467K16.7	0.0949211
RP3-467K16.4	0.278891
CTRC	0.465449
CELA2A	0.234655
CELA2B	0.356549
SCARNA21	0
RP4-680D5.8	0.223076
AGMAT	0.262932
RP4-680D5.2	0.11968
CHCHD2P6	1.38746
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.189975
RP11-288I21.1	2.61698
SLC25A34	4.94269
TMEM82	0.0341582
RP11-169K16.4	0.282561
RPL12P14	0.533998
UQCRHL	4.71553
RP11-169K16.8	1.58046
FLJ37453	4.55853
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0219255
CLCNKA	0.610926
RP11-5P18.10	0
CLCNKB	0.436415
FAM131C	0.0811015
RP11-276H7.2	0.945751
RP11-276H7.3	0.578578
ANO7L1	0.898701
RSG1	4.06816
MT1XP1	1.98437
RP11-430L17.1	0.149937
SPATA21	0.0420665
LINC01772	2.86784
CROCCP3	4.74501
RNU1-1	0
RP4-798A10.7	0.239231
RP4-798A10.4	0
LINC01783	0.166476
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.73046
RP5-1182A14.5	0
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.73821
ESPNP	0.0452026
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	2.5392
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.170995
RP11-108M9.5	3.40666
RNU1-2	0
RP11-108M9.6	0.341664
RP1-37C10.3	0.284961
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0350805
PADI3	0
MIR3972	0
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	2.75361
RP11-174G17.3	0.0406083
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.645214
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.56275
RP1-43E13.2	1.09539
AKR7L	0.67713
AKR7A3	1.48764
RP4-657E11.10	1.33508
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.049839
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2D	0.197654
PLA2G2F	0
RP3-340N1.2	0.112407
PLA2G2C	0.0404248
UBXN10-AS1	1.02577
UBXN10	2.54634
LINC01757	0
VWA5B1	0.273929
RP4-745E8.2	0
LINC01141	0.0316203
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.462512
PINK1-AS	4.25681
RP5-930J4.5	0
SH2D5	0.21907
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.119607
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.27011
RP5-1071N3.1	0.651278
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.655319
HS6ST1P1	0.69194
CROCCP5	0
NBPF3	1.89707
PFN1P10	0
RP11-63N8.3	0.124468
RP11-132G19.3	0
LDLRAD2	2.85933
RP11-26H16.1	0.13268
RP11-26H16.4	0.0565897
CELA3B	0.322937
RN7SL386P	0
RNU6-1022P	0
CELA3A	1.08538
RN7SL186P	0
RNU6-776P	0
LINC01635	0.086209
CDC42-IT1	0.190939
RP1-224A6.8	0.256635
RP1-224A6.9	1.50825
WNT4	0.867013
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	1.55797
EPHA8	0.0169727
MIR6127	0
EPHB2	1.42245
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.0842852
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.269702
RP5-1057J7.1	0
ZNF436-AS1	4.15579
RP5-1057J7.7	0.668577
RP4-654C18.1	0
E2F2	1.31921
RP1-150O5.3	0.418633
MDS2	0.285354
RP11-223J15.2	0
ELOA-AS1	3.01425
CNR2	0.146731
BTBD6P1	0.050157
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0.16308
MYOM3	0.158173
RP11-293P20.4	0
IL22RA1	1.22585
IFNLR1	3.39497
RP11-10N16.2	0.0532624
RP11-10N16.3	0
GRHL3	0.114919
STPG1	2.83132
RP4-594I10.3	0.141813
NCMAP	1.63918
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
MIR6731	0
RP11-84D1.1	0.327718
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.855101
RP3-465N24.5	1.58407
RHD	0.615952
SDHDP6	0.667323
RP11-335G20.7	0
RHCE	0.459313
RP3-469D22.1	0.207573
RP11-70P17.1	1.9445
RP1-187B23.1	0.573344
RP1-317E23.3	0.776807
AUNIP	0.55699
RP1-125I3.2	0.137889
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.471275
SLC30A2	0.0932499
RP11-96L14.9	0
TRIM63	0.685342
PDIK1L	3.86781
RP11-96L14.8	0
RP11-96L14.7	0.317756
ZNF593	0
CATSPER4	0.0278443
RP11-231P20.2	0.210326
RP11-231P20.6	0
RP11-231P20.5	0.100475
AIM1L	1.04682
RP11-569G9.7	0
ZNF683	0.788291
LIN28A	0.0110151
RP3-476K8.4	0.339146
RP3-476K8.3	0.978416
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.602095
RN7SL165P	0
NR0B2	1.25621
RPL12P13	0.0924319
RP11-344H11.5	0
OSTCP2	0
RP11-40H20.5	0
CHCHD3P3	0.118193
NPM1P39	0.377934
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.305529
RNU6-48P	0.378967
ACTG1P20	1.93853
CD164L2	3.59098
RP1-144C9.2	0
GPR3	3.09652
RP4-752I6.1	0
RP1-159A19.4	1.21925
RP1-159A19.3	1.37678
RP11-288L9.1	0.210722
RP11-288L9.4	0.322891
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.629921
RPEP3	0
RP3-426I6.5	1.71076
RP3-426I6.6	2.87549
RNU6-1245P	0
SCARNA1	0
SMPDL3B	3.97117
RP11-460I13.2	0
RP11-460I13.6	1.40549
RN7SL559P	0
SPCS2P4	1.97481
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
RP5-1092A3.4	4.52123
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	4.61707
PRDX3P2	0.155298
RP4-669K10.8	0.337186
SNORD99	0
SNORA16A	0
RAB42	2.53186
LINC01715	0.502379
RNU11	0
SCARNA24	0
OPRD1	0.103551
RP1-212P9.3	0.090007
Y_RNA	0
RP4-604A21.1	0.111348
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	3.22594
RP11-467D18.2	0.228694
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0.12873
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.184153
MATN1-AS1	1.81943
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.0575498
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.0331277
RP11-490K7.4	3.03817
RP11-266K22.2	0
RP11-439L8.2	0.0403038
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.0808849
RP11-73M7.1	0.441363
HCRTR1	0.103849
RP11-73M7.6	2.69578
RP11-73M7.9	0.0941866
ADGRB2	1.3815
MIR4254	0
RP11-84A19.3	0
RP11-84A19.2	0
RP11-84A19.4	1.72405
RP4-534N18.2	0.490953
RP11-277A4.4	0.277807
MIR5585	0
Metazoa_SRP	0
CCDC28B	4.61165
RP4-622L5.7	1.52232
IQCC	4.38597
DCDC2B	1.87635
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.0495112
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0392873
ZBTB8A	4.88952
Y_RNA	0
RP11-114B7.6	0
FNDC5	1.2552
HPCA	0.306985
RP5-1174N9.2	0.3719
RP4-803A2.1	0.387382
RP4-803A2.2	0.135111
Metazoa_SRP	0
RP1-117O3.2	0.0754929
AZIN2	2.45554
RP11-131M11.2	1.51162
RP11-131M11.3	0.516575
RP11-415J8.7	0.495598
A3GALT2	0.282671
MIR3605	1.42806
RP11-415J8.5	0.0746128
TLR12P	0
ZSCAN20	1.12603
RP4-580O19.2	0.131158
CSMD2	0.142354
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.38833
GJB4	0.0625257
GJB3	0.70271
RP1-34M23.5	0
DLGAP3	0.448269
RPL12P45	0
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	4.0312
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	1.99363
TFAP2E	3.27583
CLSPN	0.536508
RP11-435D7.3	0
RP4-789D17.4	0
RP4-665N4.8	0.413234
RP4-665N4.4	0.1704
TEKT2	4.07029
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
SNORA63	0.386915
FTLP18	0
RP4-614N24.1	0
GRIK3	0.0830774
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
MIR6732	0
MIR5581	0
FTH1P1	0.783442
RP3-423B22.5	0.460063
CDCA8	2.21385
EPHA10	0.217789
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	1.40285
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.703368
POU3F1	0.0769213
RP5-884C9.2	0.0874311
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.127181
RP5-864K19.4	1.8413
GJA9	0.25204
RHBDL2	0.832185
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	1.21729
RP11-420K8.1	0
HSPE1P8	0.136734
BMP8A	0.992704
OXCT2P1	0.436005
PPIEL	2.54698
SNORA55	2.61665
RP11-69E11.8	0.673242
RP1-144F13.3	0.0991863
NT5C1A	0.0472286
HPCAL4	0.675116
RP1-144F13.4	0
RNU7-121P	0
BMP8B	2.71808
OXCT2	0.375566
RP1-118J21.25	0.422917
RP1-118J21.24	0
Y_RNA	0
MYCL	1.6199
RP1-118J21.5	0
Y_RNA	0
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0.080371
RP1-39G22.4	0
RP1-228H13.1	0.212939
RP1-228H13.2	0.0890554
ZFP69B	0.942362
RP1-228H13.5	1.00372
RP11-656D10.7	0.282362
ZFP69	3.02247
RP11-656D10.3	1.06459
EXO5	3.88983
RP11-656D10.5	0
RP11-656D10.6	0.820036
ZNF684	2.66951
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
NFYC-AS1	3.11194
MIR30E	0
MIR30C1	0
KCNQ4	3.14791
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.872501
SLFNL1	0.911711
RPL23AP17	0
RP11-399E6.1	0.0413311
RP11-399E6.2	0
FOXO6	1.3887
RP11-399E6.4	1.1091
RNA5SP45	0
EDN2	1.13458
HIVEP3	4.97166
RP11-486B10.3	0
RP11-486B10.4	2.26365
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0.322322
RP11-223A3.1	0.299025
RIMKLA	2.57102
RP11-157D18.2	0
ZMYND12	2.43035
CCDC30	1.66098
RP11-163G10.2	0
TMSB4XP1	2.35747
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.777661
CLDN19	0.0307463
RP5-994D16.9	1.83344
TMEM269	0.25344
RP11-342M1.3	0.59651
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.111731
RP5-848E13.5	0.110055
SLC2A1-AS1	0.392968
RP5-848E13.4	0
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	4.23142
CFAP57	0.890455
RNA5SP46	0
MPL	0.648046
RP1-92O14.3	1.61094
CDC20	2.33663
RP1-92O14.6	2.51368
SZT2-AS1	0
HYI-AS1	0.439115
KDM4A-AS1	1.54845
RP11-184I16.4	0
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	1.69881
RP11-7O11.3	0.799138
RP5-1198O20.4	1.21164
RP5-1198O20.5	0.175746
KRT8P47	0
RN7SL479P	0
KLF17	0.95599
RP11-570P14.1	0.285452
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0251409
ERI3-IT1	0.295323
RNU6-369P	0
MIR5584	0
RNU5F-1	0.280703
RNU5D-1	0
KIF2C	1.57739
RP11-269F19.2	0.179993
SNORD46	3.19717
SNORD38A	0
RPS15AP11	0.687075
BEST4	1.55518
TCTEX1D4	2.9743
PTCH2	1.68486
RP5-882O7.1	0.76187
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.0948543
MRPS17P1	0.0212072
ZSWIM5	3.06269
OSTCP5	0
LINC01144	1.21415
HPDL	0.500368
RP11-291L19.1	0
CCDC163	2.85806
MMACHC	2.47492
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
RPS15AP10	2.2313
RP11-767N6.2	2.4136
IPP	4.07206
RP11-767N6.7	2.80753
RP11-630I5.1	0.0726604
TMA16P2	0
RP4-533D7.4	0.406772
RP4-533D7.3	0
RP4-533D7.5	0.141051
RP11-322N21.2	0
LURAP1	2.73704
RAD54L	1.01012
RP4-603I14.3	0
FAAHP1	0.62329
LINC01398	0.0351318
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	1.56635
KNCN	0
NENFP1	0.140074
TEX38	0.104314
EFCAB14-AS1	0.517969
RP11-8J9.5	0
CYP4Z2P	0.36057
RP11-346M5.1	0.0595387
CYP4A11	0.183235
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	2.67826
RP11-184J23.2	0.104974
CYP4A22-AS1	0.152983
CYP4A22	0.378376
MTND1P34	0
LINC00853	1.05348
RP1-18D14.7	4.43291
STIL	1.17679
LINC01389	0.528336
FOXE3	0.0459893
FOXD2-AS1	3.74389
FOXD2	0.760202
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	3.53845
RP11-330M19.1	0.116356
RP4-683M8.2	0.0183505
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.909703
RP5-1024N4.6	0.0239474
RP5-1024N4.2	0
RP5-1024N4.4	3.24237
RP5-1024N4.5	0.23724
PPP1R8P1	0.236399
RNU6-723P	0
RP11-329A14.1	0.0834329
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.0715747
BEND5	4.78658
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.0348974
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.281647
HMGB1P45	0
FCF1P6	0
DMRTA2	0.019555
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.405553
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.127611
LINC01562	0.0599917
RP11-296A18.5	0.72267
RP11-296A18.6	0.324071
TTC39A	2.50177
TTC39A-AS1	0.38718
RP11-275F13.3	0.400181
RNU6-877P	0
RP11-253A20.1	0.192584
RP11-191G24.1	0.622943
RNU6-1281P	0
CALR4P	0.0464297
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	3.92363
RP4-657D16.6	0.908144
MIR761	0
TSEN15P2	0.161497
RAB3B	0.0509918
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.0888838
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.955262
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.0965667
RP11-155O18.6	4.08769
PLA2G12AP1	0.358667
ORC1	1.13768
RP11-25O10.2	0
EEF1GP7	0
FAM159A	0.700713
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	2.22805
RNU6-969P	0
ZYG11A	0.0584844
RP4-631H13.2	0
RP4-631H13.6	3.79486
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	2.78633
RP11-334A14.8	0.545603
RP5-1024G6.9	0
RP5-1024G6.2	0.307702
RP5-1024G6.7	0.0368164
RP5-1024G6.5	0.448778
LRP8	3.89284
RP4-784A16.1	0.15034
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0
RP11-117D22.1	0
RP11-117D22.2	0.151895
SLC25A3P1	0
DMRTB1	0
GLIS1	0.333744
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.378162
HNRNPA3P12	0.207698
LDLRAD1	2.45617
RP4-758J24.6	2.43408
TCEANC2	2.43035
MIR4781	0
RP4-758J24.4	0
CDCP2	0.160843
RP11-446E24.3	0.0824465
CYB5RL	3.23241
SSBP3-AS1	2.33209
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	1.1152
FAM151A	0.147772
RP11-240D10.4	0
MROH7	3.5761
PARS2	2.13197
TTC22	3.18985
RP11-67L3.2	0
LEXM	0.201482
RP11-67L3.5	0
RP11-67L3.4	0.337273
TMEM61	1.32074
BSND	0.0471613
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.0290515
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0.0657184
RPSAP20	0.292105
RP11-504A18.1	1.15889
LINC01767	0.372952
RPL21P23	0.399063
RPL23AP85	0
RP11-377K22.2	0
PRKAA2	2.81582
C1orf168	2.14332
RP11-378I13.1	0
C8A	0.125331
C8B	1.38074
RP5-1103B4.3	0
DAB1	0.304546
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0465535
RPS26P15	0.142235
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0
RN7SL713P	0
RP4-592A1.2	0.643855
RP11-63G10.4	0.532436
LINC01135	0.319276
RP11-63G10.3	0.384664
RP11-63G10.2	0
RP4-794H19.1	1.38961
LINC01358	0.162162
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0.0534704
RP11-467C18.1	0.260213
FGGY	1.84756
MIR4711	0
RP4-782L23.2	0.281614
HOOK1	3.64664
CYP2J2	1.16013
RN7SL475P	0
C1orf87	0.620721
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.0497129
RP11-436K8.1	0.11609
NFIA-AS2	0.234192
RP4-802A10.1	0.305029
NFIA-AS1	0
RP11-430G17.1	0.0644712
RP11-430G17.3	1.08543
RNU6-414P	0
RNU6-1177P	0
LAMTOR5P1	0
RN7SL180P	0
MIR3116-1	0
PIGPP2	0
RPS15AP7	0
L1TD1	1.15781
RP5-1155K23.4	0
KANK4	1.7528
RNU6-371P	0
DOCK7	4.16547
RP11-293K19.1	0
ANGPTL3	0.105909
RP5-849H19.3	0.049082
