Name	Brain - Nucleus accumbens (basal ganglia)
MASP2	1.70289
RP4-635E18.7	2.67357
RP4-635E18.6	1.73442
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.118213
RNU6-291P	0
RPL39P6	0
UBIAD1	4.05813
UBE2V2P3	0
MTCYBP45	0
DISP3	4.3742
LINC01647	0
DRAXIN	1.30894
C1orf167	0.00710757
RP11-56N19.5	0
NPPA-AS1	0.791339
NPPA	1.35135
RP5-934G17.6	0.0352156
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0
MIR6729	0
RN7SL649P	0
TNFRSF8	2.65077
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.415768
RP5-888M10.2	0.124827
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.392882
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0.0465198
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0496535
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.153913
RP4-597A16.2	0
BRWD1P1	0
PDPN	4.75062
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.463516
TMEM51	3.64658
C1orf195	0
RP1-21O18.3	0.0530492
RP5-903E17.2	0
FHAD1	0.0818335
RP3-467K16.2	0.0237133
RP3-467K16.7	0
RP3-467K16.4	0.0544928
CTRC	0.0488188
CELA2A	0.181685
CELA2B	0.075903
DNAJC16	4.52415
SCARNA21	0
RP4-680D5.8	0.167979
AGMAT	0.566602
RP4-680D5.2	0.193347
CHCHD2P6	1.30914
RNU7-179P	0
CD24P1	0
DDI2	3.60697
RP4-680D5.9	0.10003
RP11-288I21.1	0.240297
SLC25A34	3.47034
TMEM82	0
RP11-169K16.4	0
FBLIM1	0.796798
RPL12P14	0.0569261
RP11-169K16.8	0.436121
FLJ37453	3.63105
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	1.63603
HSPB7	1.15613
CLCNKA	0.105383
RP11-5P18.10	1.1997
CLCNKB	0.063087
EPHA2	1.80255
RP11-276H7.2	0.0629428
RP11-276H7.3	0
ARHGEF19	1.35591
ANO7L1	0.526956
MT1XP1	0.746206
RP11-430L17.1	0.0675289
SPATA21	0.0373737
LINC01772	3.01565
CROCCP3	4.87736
RNU1-1	0
RP4-798A10.7	0.613491
RP4-798A10.4	0.0934573
LINC01783	0.102382
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.48099
RP5-1182A14.5	0.091116
MST1P2	1.69739
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.0885232
EIF1AXP1	0.275756
ESPNP	0.197621
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.4477
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.27139
RP11-108M9.4	3.7189
RP11-108M9.5	1.78321
RNU1-2	0
RP11-108M9.6	0.273361
MFAP2	0.141008
RP1-37C10.3	0
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0825669
PADI3	0
MIR3972	0
PADI4	0.0714379
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
RP11-174G17.3	0.0520645
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0236805
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.119955
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	0.772131
RP1-43E13.2	0.766592
AKR7L	1.73686
AKR7A3	3.12051
RP4-657E11.10	2.46787
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0.095765
RP5-1056L3.3	1.79985
HTR6	4.44505
TMCO4	3.53132
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.255909
PLA2G5	4.7154
PLA2G2D	0.0194757
PLA2G2F	0
RP3-340N1.2	0.0408247
PLA2G2C	0.0693341
UBXN10-AS1	2.81514
UBXN10	1.97554
LINC01757	0
VWA5B1	0.121154
RP4-745E8.2	0
LINC01141	0.399165
RP4-749H3.2	0
RPS4XP4	0.0576669
CDA	1.39606
PINK1-AS	1.44793
RP5-930J4.5	0
RP5-930J4.2	0.0757306
RNU7-200P	0
MIR1256	0
RPS15AP6	0.0939715
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.0631931
RP5-1071N3.1	0.0533773
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.503691
HS6ST1P1	0.603765
CROCCP5	0.0263945
NBPF3	1.18697
PFN1P10	0
RP11-63N8.3	0.0327761
RP11-132G19.3	0
LDLRAD2	0.153957
HSPG2	1.04344
RP11-26H16.1	0.0534911
RP11-26H16.4	0
CELA3B	0.00755542
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.0498135
RN7SL186P	0
RNU6-776P	0
LINC01635	0.0307437
CDC42-IT1	0
RP1-224A6.8	0
RP1-224A6.9	0.355602
WNT4	0.425995
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40	4.9845
ZBTB40-IT1	0
EPHA8	0.779585
MIR6127	0
EPHB2	1.4525
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.205717
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0934285
RNU6-514P	0
RNU6-135P	0
RP5-1057J7.1	0
LINC01355	3.36524
RP5-1057J7.7	0.146367
TCEA3	3.16337
RP4-654C18.1	0
E2F2	0.0188765
RP1-150O5.3	0.0593799
MDS2	0.0392669
RP11-223J15.2	0
ELOA-AS1	2.19871
CNR2	0.00583379
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0265003
RP11-293P20.4	0
IL22RA1	0.0863594
IFNLR1	1.04614
RP11-10N16.2	0.0542792
RP11-10N16.3	0.0252603
GRHL3	0.223416
STPG1	2.6741
RCAN3	2.02151
RP4-594I10.3	0
NCMAP	0.0944134
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.412984
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	1.11694
RP3-465N24.5	0.258713
RHD	0.219421
SDHDP6	0.622445
RP11-335G20.7	0
RHCE	1.7366
RP3-469D22.1	0.0794204
LDLRAP1	3.11587
RP11-70P17.1	0.221141
MAN1C1	4.43972
RP1-187B23.1	0.0498488
RP1-317E23.3	0.456728
AUNIP	0.580542
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
PAFAH2	3.42263
RNU6-110P	0
SCARNA17	0
SCARNA18	0
SLC30A2	0.0236396
RP11-96L14.9	0
TRIM63	0.167504
PDIK1L	3.42948
FAM110D	1.24067
RP11-96L14.8	0
RP11-96L14.7	0.313945
ZNF593	0
CNKSR1	2.70013
CATSPER4	0.0213837
RP11-231P20.2	0.697078
RP11-231P20.6	0
RP11-231P20.5	0.0609714
CD52	1.53117
AIM1L	0.0278359
RP11-569G9.7	0
ZNF683	0.0266636
LIN28A	0.00703617
RP3-476K8.4	0.0597696
RP3-476K8.3	0.194909
DPPA2P2	0
RPS6KA1	3.22606
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.28343
RN7SL165P	0
SFN	2.21173
NR0B2	0.0841922
KDF1	0.0351945
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
FAM46B	0.379238
RP11-40H20.5	0
CHCHD3P3	0.0370778
NPM1P39	0.100048
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.940046
RNU6-48P	0
ACTG1P20	0.46791
SYTL1	0.662474
MAP3K6	3.87021
FCN3	0.437918
CD164L2	0.0919271
RP1-144C9.2	0.0200806
GPR3	1.66021
RP4-752I6.1	0
RP1-159A19.4	0.657147
FGR	2.98117
RP1-159A19.3	1.33373
RP11-288L9.1	0.162355
RP11-288L9.4	0.0780185
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.0707767
RPEP3	0
RP3-426I6.5	0.118794
RP3-426I6.6	0.850583
RNU6-1245P	0
SCARNA1	0
THEMIS2	1.55966
SMPDL3B	0.471274
RP11-460I13.2	0
RP11-460I13.6	0.0717347
RN7SL559P	0
SPCS2P4	0.964468
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	0.966001
RP5-1092A3.4	1.74767
RP5-1092A3.5	0
MED18	4.68986
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
RCC1	3.21081
SNORA73A	0.530238
SNORA73B	0.717535
PRDX3P2	0
RP4-669K10.8	0.219254
TRNAU1AP	4.30459
SNORD99	0
SNORA44	1.19525
SNORA16A	0
RAB42	0.23871
LINC01715	0.782539
RNU11	0
GMEB1	1.93889
SCARNA24	0
OPRD1	1.08376
RP1-212P9.3	0.116019
Y_RNA	0
EPB41	4.96411
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	2.86426
RP11-242O24.3	0
uc_338	0.179744
RP11-467D18.2	0.0344157
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.174507
MATN1-AS1	0.414294
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.170526
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	4.80626
RP11-490K7.4	0.61929
RP11-266K22.2	0.146342
SERINC2	0.385876
RP11-439L8.2	0.0135877
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00633346
RP11-73M7.1	0
HCRTR1	0.0637736
RP11-73M7.6	2.60976
RP11-73M7.9	0.142265
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.378338
RP11-84A19.2	0.0407452
RP11-84A19.4	0.10383
RP4-534N18.2	0.034571
RP11-277A4.4	0.0754241
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	1.24615
IQCC	4.42501
DCDC2B	0.364857
MTMR9LP	4.97086
FAM167B	1.66709
LCK	0.114927
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.119887
TSSK3	2.03539
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.330419
ZBTB8A	0.879594
Y_RNA	0
SYNC	1.73977
RP11-114B7.6	0
RP5-1174N9.2	0.187656
RP4-803A2.1	0.0695219
RP4-803A2.2	0.0560504
Metazoa_SRP	0
RP1-117O3.2	0.0481558
RP11-131M11.2	0.583518
TRIM62	4.4563
RP11-131M11.3	0.322394
RP11-415J8.7	0.195514
A3GALT2	0.0581241
RP11-415J8.3	0.826991
MIR3605	0
RN7SKP16	0.369983
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.525487
RP4-580O19.2	0.100301
CSMD2	2.51102
HSPD1P14	0
HMGB4	0.00719319
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.429141
RP4-657M3.2	0
MIR552	0
GJB5	0.353927
GJB4	0.0321014
GJB3	0.255268
RP1-34M23.5	0
RP5-997D16.2	1.47941
RP11-244H3.1	2.52251
ZMYM6	4.70897
RPL12P45	0
ZMYM1	1.41171
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	1.30907
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.735245
CLSPN	0.13665
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	2.5532
RP4-665N4.8	0.0382328
RP4-665N4.4	0.191127
TEKT2	2.5573
COL8A2	0.639702
RN7SL131P	0
UBE2V2P4	0
SH3D21	2.66652
RNU4-27P	0
SNORA63	1.20805
CSF3R	2.95504
FTLP18	0
RP4-614N24.1	0
GRIK3	3.50578
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0.167331
RNA5SP43	0
RPS29P6	0
LINC01137	1.11203
ZC3H12A	0.644051
MIR6732	0
MIR5581	0
SNIP1	3.99992
FTH1P1	0.0590814
RP3-423B22.5	0.251267
GNL2	4.88909
RSPO1	0.0228975
C1orf109	4.48612
CDCA8	0.937085
Y_RNA	0
ACTN4P2	0.0711425
RP11-109P14.2	0.305229
MTF1	3.35089
RP11-109P14.8	0
INPP5B	2.82537
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.472801
FHL3	3.78745
POU3F1	4.62644
RP5-884C9.2	4.69325
RP5-884C9.3	0
MIR3659	0
LINC01343	0.0689348
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0301439
RP5-864K19.4	3.24143
MYCBP	3.20428
GJA9	0.241108
RHBDL2	2.05523
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.443046
RP11-420K8.1	0
HSPE1P8	0
BMP8A	1.21264
OXCT2P1	0.179759
PPIEL	1.37427
SNORA55	0
RP11-69E11.8	0
RP1-144F13.3	0
NT5C1A	0.381842
RP1-144F13.4	0.161494
RNU7-121P	0
BMP8B	4.0295
OXCT2	0.326308
RP1-118J21.25	0.515513
RP1-118J21.24	0
Y_RNA	0
MYCL	1.04343
RP1-118J21.5	0.0797152
Y_RNA	0
RP3-342P20.2	1.00458
RP11-115D7.3	0.0682064
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0
RP1-228H13.1	0.10033
RP1-228H13.2	0
ZFP69B	2.06566
RP1-228H13.5	4.8567
RP11-656D10.7	1.29998
ZFP69	2.99807
RP11-656D10.3	0.911777
EXO5	2.14496
RP11-656D10.5	0
RP11-656D10.6	0.764114
ZNF684	1.68145
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
NFYC-AS1	2.62189
MIR30E	0
MIR30C1	0
KCNQ4	3.45574
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.223295
SLFNL1	0.372277
RPL23AP17	0
RP11-399E6.1	0.0648485
RP11-399E6.2	0
FOXO6	4.78529
RP11-399E6.4	0.266685
RNA5SP45	0
EDN2	0.0382172
HIVEP3	1.57571
RP11-486B10.3	0
RP11-486B10.4	0.0712413
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.512347
RP11-157D18.2	0
ZMYND12	4.66361
CCDC30	2.10899
RP11-163G10.2	0
TMSB4XP1	0.685127
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	2.7586
CLDN19	0.0157335
RP5-994D16.9	2.10869
TMEM269	0.306298
RP11-342M1.3	0.242385
RP11-342M1.7	0.02192
RP11-342M1.6	0
ATP6V1E1P1	0.104158
RP5-848E13.5	0.0599794
SLC2A1-AS1	2.6946
RP5-848E13.4	0.0946693
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	1.27947
CFAP57	1.81833
RNA5SP46	0
C1orf210	0.0481555
TIE1	3.5534
MPL	0.190185
RP1-92O14.3	0.300515
CDC20	0.270604
RP1-92O14.6	1.31052
SZT2	4.41153
SZT2-AS1	0
HYI-AS1	0.426062
KDM4A-AS1	0.991416
RP11-184I16.4	0.0499931
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.697091
RP11-7O11.3	1.18991
RP5-1198O20.4	0.448962
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.101209
RP11-570P14.1	0.157502
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0637126
ERI3-IT1	0.225346
RNU6-369P	0
MIR5584	0
RNU5F-1	0.267594
RNU5D-1	0
KIF2C	0.301169
RP11-269F19.2	0.103311
SNORD46	0.264377
SNORD38A	0
RPS15AP11	0.239224
BEST4	4.04888
TCTEX1D4	0.101843
BTBD19	0.748053
RP5-882O7.1	0.704495
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.131058
MRPS17P1	0.0414584
ZSWIM5	3.67696
OSTCP5	0
LINC01144	1.06477
HPDL	1.6042
TESK2	2.81861
RP11-291L19.1	0
CCDC163	4.64174
MMACHC	2.69908
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	0.490041
RPS15AP10	0.216617
RP11-767N6.2	0.186108
IPP	3.06493
RP11-767N6.7	3.63951
RP11-630I5.1	0
TMA16P2	0
RP4-533D7.4	0.0422298
RP4-533D7.3	0
RP4-533D7.5	0.0823532
TSPAN1	0.350785
RP11-322N21.2	0
LURAP1	3.74256
RAD54L	1.91183
NSUN4	2.51521
RP4-603I14.3	0
FAAHP1	1.64243
LINC01398	0.0674954
DMBX1	0.0157817
RP11-49P4.7	0.268312
MKNK1-AS1	0.924787
KNCN	1.50365
MOB3C	4.45586
NENFP1	0
TEX38	0.116448
EFCAB14-AS1	0
RP11-8J9.5	0
CYP4B1	0.166329
CYP4Z2P	0.037449
RP11-346M5.1	0
CYP4A11	0.373879
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	0.941257
RP11-184J23.2	0
CYP4A22-AS1	0.279769
CYP4A22	0.173697
MTND1P34	0
LINC00853	1.08237
PDZK1IP1	0.431691
TAL1	1.62133
RP1-18D14.7	0.407088
STIL	0.679226
LINC01389	0.165737
FOXE3	0.111728
FOXD2-AS1	0.215214
FOXD2	0.0603328
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0.538148
TRABD2B	0.0781749
RP11-330M19.1	0
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.119064
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.122616
RP5-1024N4.4	0.479162
RP5-1024N4.5	0.158067
SPATA6	3.44195
PPP1R8P1	0.500926
RNU6-723P	0
RP11-329A14.1	0.0622694
RNU4-61P	0
RP11-329A14.2	0
AGBL4	1.02655
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.97169
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.12159
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0904345
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.0581996
MRPS6P2	0
CDKN2C	1.94992
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0811434
LINC01562	0.177423
RP11-296A18.5	0.122055
RP11-296A18.6	0.0725301
TTC39A	1.24236
TTC39A-AS1	0.215543
RP11-275F13.3	0.0401703
RNU6-877P	0
RP11-253A20.1	0.0534578
RP11-191G24.1	0.063006
RNU6-1281P	0
CALR4P	0.309446
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	0.494299
RP4-657D16.6	0.121947
MIR761	0
TSEN15P2	0
RAB3B	1.02322
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.119358
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	0.912344
PLA2G12AP1	0.529004
ORC1	0.13101
RP11-25O10.2	0
EEF1GP7	0
GPX7	3.25437
FAM159A	0.255551
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	0.645033
RNU6-969P	0
ZYG11A	0.0401025
RP4-631H13.2	0
RP4-631H13.6	0.951348
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
PODN	1.91006
SLC1A7	0.24107
RP11-334A14.8	0.0173782
RP5-1024G6.9	0
CPT2	4.67188
RP5-1024G6.2	0.25887
RP5-1024G6.7	0.0250716
RP5-1024G6.5	0.816132
RP4-784A16.1	0.0590628
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.450691
RP11-117D22.1	0
RP11-117D22.2	0.0222303
SLC25A3P1	0
DMRTB1	0
GLIS1	1.49202
RNU7-95P	0
NDC1	2.64095
SNORA58	0
RP4-654H19.2	0
DIO1	0.0435018
HNRNPA3P12	0.0644215
LDLRAD1	0
RP4-758J24.6	0.616816
TCEANC2	1.99959
MIR4781	0
RP4-758J24.4	0
CDCP2	0.13868
RP11-446E24.3	0.0717573
CYB5RL	1.61066
SSBP3-AS1	0.686519
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
