Name	Kidney - Cortex
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
NPHP4	3.75027
CHD5	0.383789
RP1-120G22.11	1.96341
LINC00337	0.133432
HES3	0
GPR153	2.63536
HES2	0.460334
MIR4252	0
RP1-202O8.2	0.218402
NOL9	3.42494
RNU6-731P	0
RP11-58A11.2	0.0989575
TAS1R1	0.0432744
LINC01672	0
RP11-312B8.1	0.365364
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.072108
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.4168
RP11-338N10.2	0.94894
RP11-338N10.3	1.87268
RP3-467L1.6	1.87438
PER3	4.97741
RP3-467L1.4	0.551974
UTS2	0.0307249
TNFRSF9	0.0379813
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.0772259
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0.0876953
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	0.586262
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0232486
RPL7P7	0.0374667
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.233286
ENO1-AS1	0.582515
RNU6-304P	0
HMGN2P17	0.0228618
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	2.74363
SCARNA16	0
GPR157	2.2505
MIR34AHG	1.74167
LINC01759	0.362111
RP3-510D11.4	0.0236141
RNA5SP40	0
RP13-392I16.1	0.384572
SLC25A33	4.40241
RP13-15M17.1	0.297727
TMEM201	3.60782
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	3.08083
MZT1P1	0
RP11-84A14.7	0.0175494
RP11-84A14.4	0.473355
NMNAT1	4.23297
RN7SKP269	0.170204
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.0242731
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	2.38091
RN7SL614P	0.109416
RP4-734G22.3	0.88107
HSPE1P24	0
C1orf127	0.0447585
CFL1P6	0.0620173
MASP2	0.99466
RP4-635E18.7	2.00502
RP4-635E18.6	0.494497
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.376842
RNU6-291P	0
RPL39P6	0
UBIAD1	3.0935
UBE2V2P3	0
MTCYBP45	0
DISP3	0.0732256
LINC01647	0
DRAXIN	0.0990033
C1orf167	0.0135732
RP11-56N19.5	0
NPPA-AS1	1.67899
NPPA	1.19891
NPPB	0.113773
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.191689
MIR6729	0
RN7SL649P	0
TNFRSF8	0.317084
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.93902
RP5-888M10.2	0.0986333
RNU6ATAC18P	0.315247
MIR6730	0
RP11-474O21.5	1.35267
AADACL4	0.600309
RP11-474O21.2	0
AADACL3	0
C1orf158	0.00879947
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0474879
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.0513511
RP4-597A16.2	0
BRWD1P1	0
PDPN	2.19165
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	3.08349
C1orf195	0.0933823
RP1-21O18.3	0.0543082
RP5-903E17.2	0.0645574
FHAD1	0.183703
RP3-467K16.2	0.12807
RP3-467K16.7	0.0558264
RP3-467K16.4	0.0304847
CTRC	0.193525
CELA2A	0.204298
CELA2B	0.109959
SCARNA21	0
RP4-680D5.8	3.21973
RP4-680D5.2	0.112666
CHCHD2P6	1.14858
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	0.550574
SLC25A34	4.24652
RP11-169K16.4	0.121452
RPL12P14	0.4379
UQCRHL	4.32342
RP11-169K16.8	0.526575
FLJ37453	2.56902
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.725811
RP11-5P18.10	2.43997
FAM131C	4.07389
RP11-276H7.2	0.586373
RP11-276H7.3	0.309326
ARHGEF19	3.21681
ANO7L1	0.820984
RSG1	3.95728
MT1XP1	0.99697
FBXO42	3.69769
RP11-430L17.1	0.0988179
SPATA21	0.0372594
LINC01772	1.21426
CROCCP3	2.56318
RNU1-1	0
RP4-798A10.7	0.343985
RP4-798A10.4	0
LINC01783	0.0903851
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.15013
RP5-1182A14.5	0
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.454
EIF1AXP1	0.847694
ESPNP	0.741862
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.145985
RP11-108M9.5	2.43669
RNU1-2	0
RP11-108M9.6	0.292487
MFAP2	1.08186
RP1-37C10.3	0
PADI2	2.18948
RP11-380J14.1	0.0366133
RP11-380J14.4	0
PADI1	0.0400618
PADI3	0
MIR3972	0
PADI4	0.339442
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	0.709877
RP11-174G17.3	0.0175261
RP11-174G17	0
RP11-422P22.1	0
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.01495
RP1-43E13.2	0.404716
AKR7L	3.78374
RP4-657E11.10	1.20936
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0
RP11-91K11.2	1.99889
OTUD3	4.36187
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.442878
PLA2G5	0.0727977
PLA2G2D	0.0123842
PLA2G2F	0
RP3-340N1.2	0.0259503
PLA2G2C	0.0252609
UBXN10-AS1	0.877262
UBXN10	2.06674
LINC01757	0
VWA5B1	1.61771
RP4-745E8.2	0
LINC01141	0.0161185
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.800887
PINK1-AS	1.68122
KIF17	1.85538
RP5-930J4.5	0
SH2D5	0.404718
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0
RP5-1071N3.1	0.171548
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.707037
HS6ST1P1	0.658684
CROCCP5	0
NBPF3	1.58184
PFN1P10	0
RP11-63N8.3	0.256654
RP11-132G19.3	0
LDLRAD2	1.03432
RP11-26H16.1	0.0725011
RP11-26H16.4	0
CELA3B	0.368061
RN7SL386P	0
RNU6-1022P	0
CELA3A	1.23203
RN7SL186P	0
RNU6-776P	0
LINC01635	0.0662862
CDC42-IT1	0.0519501
RP1-224A6.8	0.0496775
RP1-224A6.9	0.565284
WNT4	0.527844
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.337934
EPHA8	0.0147378
MIR6127	0
EPHB2	0.574583
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.0756885
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0430984
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0122753
RP5-1057J7.1	0
LINC01355	3.54878
ZNF436	3.66155
ZNF436-AS1	4.12706
RP5-1057J7.7	0.781954
RP4-654C18.1	0
E2F2	0.112885
RP1-150O5.3	0.208961
MDS2	0.0394609
RP11-223J15.2	0
ELOA-AS1	2.15784
CNR2	0.0283849
BTBD6P1	0.0164385
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0.0522333
RP11-293P20.4	0
IL22RA1	1.53237
IFNLR1	1.77332
RP11-10N16.2	0
RP11-10N16.3	0
GRHL3	0.152047
STPG1	1.88962
NIPAL3	4.58776
RCAN3	2.97479
RP4-594I10.3	0.172568
NCMAP	0.865666
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.884699
MIR6731	0
RP11-84D1.1	0.0202451
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.582641
RP3-465N24.5	0.454819
RHD	0.203325
SDHDP6	0.467066
RP11-335G20.7	0
RHCE	0.171604
RP3-469D22.1	0.238222
RP11-70P17.1	0.451902
RP1-187B23.1	0.286517
RP1-317E23.3	0.608754
AUNIP	0.312795
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.383518
RP11-96L14.9	1.65164
TRIM63	0.921996
PDIK1L	1.97588
FAM110D	2.64033
RP11-96L14.8	0
RP11-96L14.7	0.158087
ZNF593	0
CATSPER4	0.0186979
RP11-231P20.2	3.93557
RP11-231P20.6	0
CEP85	4.19872
RP11-231P20.5	0
CD52	2.9865
AIM1L	0.138778
RP11-569G9.7	0
ZNF683	0.107356
LIN28A	0
RP3-476K8.4	0.13599
RP3-476K8.3	0.369812
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.522309
RN7SL165P	0
SFN	4.79435
RPL12P13	0.0354673
RP11-344H11.5	0
OSTCP2	0
FAM46B	3.99344
RP11-40H20.5	0
CHCHD3P3	0.0585614
NPM1P39	0.147762
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.207159
RNU6-48P	0.154259
ACTG1P20	0.731095
SYTL1	2.8356
CD164L2	0.539661
RP1-144C9.2	0
GPR3	1.00348
RP4-752I6.1	0
RP1-159A19.4	0.133623
FGR	4.51777
RP1-159A19.3	0.829165
RP11-288L9.1	0
RP11-288L9.4	0.0511964
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
FAM76A	4.47166
RP3-426I6.2	0.216596
RPEP3	0
RP3-426I6.5	0.611076
RP3-426I6.6	0.920953
RNU6-1245P	0
SCARNA1	0
THEMIS2	3.81541
SMPDL3B	2.13344
RP11-460I13.2	0
RP11-460I13.6	0.861294
RN7SL559P	0
SPCS2P4	0.62283
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	2.04966
RP5-1092A3.4	4.41277
RP5-1092A3.5	0.0907267
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	0.882942
SNORA73B	1.6581
PRDX3P2	0.0288347
RP4-669K10.8	0.0956371
TRNAU1AP	4.58411
SNORD99	0
SNORA44	3.30581
SNORA16A	0
RAB42	0.501868
LINC01715	0.286944
RNU11	0
GMEB1	2.17235
SCARNA24	0
OPRD1	0.0571113
RP1-212P9.3	0.0320026
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	0.621622
RP11-467D18.2	0.161005
PTPRU	4.39573
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0.0171293
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.0505497
MATN1-AS1	0.548432
MIR4420	0
RP5-1125N11.1	0
LINC01778	0
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.1523
RP11-490K7.4	0.642176
RP11-266K22.2	0
RP11-439L8.2	0.020942
RNU6-40P	0
LINC01225	0.267969
Y_RNA	0
LINC01226	0.315815
RP11-73M7.1	0.697584
HCRTR1	0.0753905
RP11-73M7.6	0.430613
RP11-73M7.9	0
ADGRB2	0.955909
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.146082
RP11-84A19.2	0
RP11-84A19.4	0.257553
RP4-534N18.2	0.0652512
RP11-277A4.4	0.0665769
MIR5585	0
Metazoa_SRP	0
CCDC28B	3.53221
RP4-622L5.7	1.27727
IQCC	3.07717
DCDC2B	0.492984
LCK	1.4154
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.128577
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0254111
ZBTB8A	1.37955
Y_RNA	0
SYNC	0.388078
RP11-114B7.6	0
S100PBP	4.10332
FNDC5	0.83748
HPCA	0.351337
RP5-1174N9.2	0.308018
RP4-803A2.1	0.189538
RP4-803A2.2	0.136216
Metazoa_SRP	0
RP1-117O3.2	0.0411879
AZIN2	1.92035
RP11-131M11.2	0.539045
TRIM62	3.3281
RP11-131M11.3	0.273509
RP11-415J8.7	0.447992
A3GALT2	0.092375
RP11-415J8.3	2.55028
MIR3605	0.408517
RN7SKP16	1.52512
RP11-415J8.5	0.0495178
TLR12P	0
ZSCAN20	0.669294
RP4-580O19.2	0.0566801
CSMD2	0.0785171
HSPD1P14	0
HMGB4	0.010344
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.0978332
GJB4	0.0233004
GJB3	0.222054
RP1-34M23.5	0
RP5-997D16.2	2.91889
DLGAP3	0.595425
RP11-244H3.1	2.72586
ZMYM6	4.32509
RPL12P45	0
ZMYM1	2.24367
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	2.62509
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.210554
TFAP2E	0.692822
C1orf216	3.58898
CLSPN	0.0523489
RP11-435D7.3	0
AGO1	3.45768
RP4-789D17.4	0
AGO3	1.62082
RP4-665N4.8	0.153044
RP4-665N4.4	0.109808
TEKT2	1.9483
COL8A2	0.629779
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
SNORA63	0.307612
CSF3R	4.95661
FTLP18	0
RP4-614N24.1	0
GRIK3	0.066092
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	4.92852
MIR6732	0
MIR5581	0
SNIP1	3.14925
FTH1P1	0.191596
RP3-423B22.5	0.208214
RSPO1	0.364185
C1orf109	3.31516
CDCA8	0.548681
EPHA10	0.131797
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	0.936635
MTF1	2.46588
RP11-109P14.8	0
INPP5B	4.38451
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0
POU3F1	0.0261412
RP5-884C9.2	0
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0.0110895
RP11-334L9.1	0.0393458
RP5-864K19.4	1.04083
GJA9	0.127947
RHBDL2	0.532229
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.21417
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.567557
OXCT2P1	0.249147
PPIEL	1.24488
SNORA55	0.503354
RP11-69E11.8	0.141947
RP1-144F13.3	0
NT5C1A	0.18768
HPCAL4	3.55595
RP1-144F13.4	0
RNU7-121P	0
BMP8B	0.943058
OXCT2	0.134542
RP1-118J21.25	0.255813
RP1-118J21.24	0
Y_RNA	0
MYCL	0.413115
RP1-118J21.5	0
Y_RNA	0
MFSD2A	3.71562
RP3-342P20.2	0.690265
RP11-115D7.3	0
RLF	4.20208
RNU6-1237P	0
TMCO2	0.0203803
RP1-39G22.4	0
RP1-228H13.1	0.0822778
RP1-228H13.2	0
ZFP69B	0.376115
RP1-228H13.5	0.460189
RP11-656D10.7	0.0698064
ZFP69	1.34932
RP11-656D10.3	1.0293
EXO5	1.62857
RP11-656D10.5	0
RP11-656D10.6	0.630203
ZNF684	3.80482
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	1.55799
RP4-739H11.3	0
NFYC-AS1	3.45822
MIR30E	0
MIR30C1	0
KCNQ4	0.588162
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.509866
SLFNL1	0.419584
RPL23AP17	0
RP11-399E6.1	0.0812063
RP11-399E6.2	0
FOXO6	0.663154
RP11-399E6.4	0.73184
RNA5SP45	0
EDN2	2.91705
HIVEP3	0.784111
RP11-486B10.3	0
RP11-486B10.4	0.120444
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0.0541904
GUCA2A	0
RP11-223A3.1	0.415905
RIMKLA	0.715165
RP11-157D18.2	0
ZMYND12	3.92372
CCDC30	2.0271
RP11-163G10.2	0
TMSB4XP1	0.453875
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.48595
CLDN19	2.58889
RP5-994D16.9	1.04986
TMEM269	0.0804829
RP11-342M1.3	0.432487
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.051102
RP5-848E13.5	0.436886
SLC2A1-AS1	0.76488
RP5-848E13.4	0
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	1.48833
CFAP57	0.38587
RNA5SP46	0
MPL	0.104454
RP1-92O14.3	1.26517
CDC20	1.07536
RP1-92O14.6	1.26056
SZT2-AS1	0
HYI-AS1	0.174903
KDM4A-AS1	0.716116
RP11-184I16.4	0
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	1.62723
RP11-7O11.3	0.937176
SLC6A9	1.4952
RP5-1198O20.4	0.0744529
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0
RP11-570P14.1	0.177361
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0
ERI3-IT1	0.0799955
RNU6-369P	0
MIR5584	0
C1orf228	1.20267
RNU5F-1	0
RNU5D-1	0
KIF2C	0.352675
RP11-269F19.2	0.0892202
SNORD46	0.802241
SNORD38A	0
RPS15AP11	0.215201
BEST4	0.468933
TCTEX1D4	0.4872
BTBD19	3.2142
PTCH2	1.14704
RP5-882O7.1	0.32626
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.0726994
MRPS17P1	0.0121099
ZSWIM5	2.27812
OSTCP5	0
LINC01144	1.45339
HPDL	0.224847
TESK2	2.17274
RP11-291L19.1	0
CCDC163	1.41446
MMACHC	2.15382
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	2.13825
RPS15AP10	0.545226
RP11-767N6.2	0.674147
IPP	2.4372
RP11-767N6.7	2.4669
RP11-630I5.1	0.0306289
TMA16P2	0
RP4-533D7.4	0.128383
RP4-533D7.3	0
RP4-533D7.5	0.111492
RP11-322N21.2	0
LURAP1	3.80477
RAD54L	0.54428
NSUN4	4.13112
RP4-603I14.3	0
FAAHP1	1.04161
LINC01398	0.0645767
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.342399
KNCN	0
NENFP1	0
TEX38	0.116407
EFCAB14-AS1	0.06385
RP11-8J9.5	0
CYP4B1	1.36764
CYP4Z2P	0.0950039
RP11-346M5.1	0
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	2.59726
CYP4Z1	0.22723
RP11-184J23.2	0
CYP4A22-AS1	0.993543
MTND1P34	0
LINC00853	3.38829
TAL1	4.00702
RP1-18D14.7	0.981812
STIL	0.512656
LINC01389	0.348577
FOXE3	0.194643
FOXD2-AS1	2.55149
FOXD2	1.99233
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0.117933
RP11-330M19.1	0.502209
RP4-683M8.2	0.209319
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.621427
RP5-1024N4.6	0.0389214
RP5-1024N4.2	0.232912
RP5-1024N4.4	1.55971
RP5-1024N4.5	0.245974
SPATA6	3.71298
PPP1R8P1	0.153513
RNU6-723P	0
RP11-329A14.1	0.128138
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.317307
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.00995126
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.170943
HMGB1P45	0
FCF1P6	0
DMRTA2	0.009476
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.153911
MRPS6P2	0
CDKN2C	3.45276
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0554923
LINC01562	0.049382
RP11-296A18.5	0.243007
RP11-296A18.6	0.0836257
TTC39A-AS1	0.116648
RP11-275F13.3	0.0967408
RNU6-877P	0
RP11-253A20.1	0.0831124
RP11-191G24.1	0.270468
RNU6-1281P	0
CALR4P	0.0229775
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	1.09198
RP4-657D16.6	0.30044
MIR761	0
TSEN15P2	0
RAB3B	0.599517
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
KTI12	4.98209
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.366838
RP4-800M22.2	0
PDCL3P6	0.0248426
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.118746
RP11-155O18.6	2.26387
PLA2G12AP1	0.224824
ORC1	0.498637
ZCCHC11	4.60401
RP11-25O10.2	0
EEF1GP7	0
GPX7	4.60435
FAM159A	0.127036
COA7	4.19792
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	0.913747
RNU6-969P	0
ZYG11A	0.72152
RP4-631H13.2	0.0805819
RP4-631H13.6	1.6501
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
PODN	1.67504
SLC1A7	0.267516
RP11-334A14.8	0.0494401
RP5-1024G6.9	0
RP5-1024G6.2	0.170905
RP5-1024G6.7	0.0196247
RP5-1024G6.5	1.02913
LRP8	0.894717
RP4-784A16.1	0
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0
RP11-117D22.1	0
RP11-117D22.2	0
SLC25A3P1	0
DMRTB1	0
GLIS1	3.87496
RNU7-95P	0
NDC1	3.00661
SNORA58	0
RP4-654H19.2	0
HNRNPA3P12	0.0644241
LDLRAD1	0
RP4-758J24.6	1.00479
TCEANC2	1.31937
MIR4781	0
RP4-758J24.4	0
CDCP2	0.06048
RP11-446E24.3	0.0249061
CYB5RL	1.72892
SSBP3-AS1	0.750332
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	3.24698
RP11-240D10.4	0.0844925
PARS2	2.4665
RP11-67L3.2	0.0633724
LEXM	0.0818546
RP11-67L3.5	0
RP11-67L3.4	0.175487
PCSK9	0.13067
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
