Name	Minor Salivary Gland
CELA3B	0.341693
RN7SL386P	0
RNU6-1022P	0
CELA3A	1.22229
RN7SL186P	0
RNU6-776P	0
LINC01635	0.0927203
CDC42-IT1	0.140696
RP1-224A6.8	0.266778
RP1-224A6.9	0.711542
WNT4	2.4275
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	1.06343
EPHA8	0.00721774
MIR6127	0
EPHB2	0.765203
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.0720573
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0473884
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0293841
RP5-1057J7.1	0
RP5-1057J7.7	2.64663
RP4-654C18.1	0.243081
E2F2	0.551856
RP1-150O5.3	0.160878
MDS2	0.0247095
RP11-223J15.2	0
ELOA-AS1	3.04758
CNR2	0.0212154
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.59385
RP11-293P20.4	0
IL22RA1	1.2596
RP11-10N16.2	0.0354881
RP11-10N16.3	0.161715
GRHL3	0.867312
STPG1	2.15017
RP4-594I10.3	0.704223
RP11-496D1.2	0.157017
Y_RNA	0
RNU6-1208P	0
MIR6731	0
RP11-84D1.1	0.368819
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.738808
RP3-465N24.5	2.22033
RHD	2.26391
SDHDP6	0.885563
RP11-335G20.7	0
RHCE	2.60224
RP3-469D22.1	0.213179
RP11-70P17.1	1.23938
MAN1C1	4.92278
RP1-187B23.1	0.181276
RP1-317E23.3	1.09613
AUNIP	0.417354
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.348963
SLC30A2	0.348471
RP11-96L14.9	0
TRIM63	1.39134
FAM110D	3.81745
RP11-96L14.8	0
RP11-96L14.7	0.238546
ZNF593	0
CATSPER4	0.0507176
RP11-231P20.2	0.369632
RP11-231P20.6	0
RP11-231P20.5	0.0872809
AIM1L	0.928814
RP11-569G9.7	0.142209
ZNF683	0.496569
LIN28A	0.00874536
RP3-476K8.4	0.416864
RP3-476K8.3	0.557672
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.588174
RN7SL165P	0
NR0B2	0.0194681
RPL12P13	0.125741
RP11-344H11.5	0.130147
OSTCP2	0.204311
RP11-40H20.5	0
CHCHD3P3	0.0579896
NPM1P39	0.261064
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.375296
RNU6-48P	0.395569
ACTG1P20	1.98409
FCN3	2.71557
RP1-144C9.2	0
GPR3	0.686156
RP4-752I6.1	0
RP1-159A19.4	0.90448
RP1-159A19.3	1.11817
RP11-288L9.1	0
RP11-288L9.4	0.0640458
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.29227
RPEP3	0
RP3-426I6.5	0.462424
RP3-426I6.6	0.909116
RNU6-1245P	0
SCARNA1	0
RP11-460I13.2	0.173665
RP11-460I13.6	1.20635
RN7SL559P	0
SPCS2P4	1.34346
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	3.17594
RP5-1092A3.4	3.86873
RP5-1092A3.5	0.0714567
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	2.79024
SNORA73B	4.42762
PRDX3P2	0.251644
RP4-669K10.8	0.444012
SNORD99	0
SNORA16A	0
RAB42	2.05451
LINC01715	0.462079
RNU11	0
GMEB1	4.02559
SCARNA24	0
OPRD1	0.0309723
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	4.98175
RP11-242O24.3	0
uc_338	3.31656
RP11-467D18.2	0.419878
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.135099
MATN1-AS1	2.224
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.221433
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.410321
RP11-490K7.4	1.70224
RP11-266K22.2	0
RP11-439L8.2	0.0362836
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.0414181
RP11-73M7.1	2.73135
HCRTR1	0.0388519
RP11-73M7.6	0.931316
RP11-73M7.9	0
ADGRB2	0.554861
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.18696
RP11-84A19.2	0
RP11-84A19.4	0.52555
RP4-534N18.2	0.204352
RP11-277A4.4	0.145233
MIR5585	0
Metazoa_SRP	0
CCDC28B	3.05506
RP4-622L5.7	1.47327
IQCC	4.40359
DCDC2B	0.671597
LCK	2.28268
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.0740092
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0400794
ZBTB8A	3.22618
Y_RNA	0
SYNC	3.75358
RP11-114B7.6	0
HPCA	0.243921
RP5-1174N9.2	0.253304
RP4-803A2.1	0.322335
RP4-803A2.2	0.255025
Metazoa_SRP	0
RP1-117O3.2	0.0855107
AZIN2	2.59067
RP11-131M11.2	1.50352
RP11-131M11.3	0.837402
RP11-415J8.7	0.810802
A3GALT2	0.127023
RP11-415J8.3	2.74256
MIR3605	0.514708
RN7SKP16	3.10153
RP11-415J8.5	0.102431
TLR12P	0
ZSCAN20	1.28042
RP4-580O19.2	0.0596547
CSMD2	0.0800575
HSPD1P14	0
HMGB4	0.0242216
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB4	0.343695
GJB3	2.93144
RP1-34M23.5	0
DLGAP3	0.474458
RP11-244H3.1	3.28297
RPL12P45	0
ZMYM1	4.71341
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	4.77702
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.582146
TFAP2E	1.58273
CLSPN	0.257713
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	3.42594
RP4-665N4.8	0.198313
RP4-665N4.4	0.104002
TEKT2	0.774835
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
SNORA63	0.251127
CSF3R	4.99102
FTLP18	0
RP4-614N24.1	0
GRIK3	0.614504
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
MIR6732	0
MIR5581	0
FTH1P1	0.507402
RP3-423B22.5	0.38722
RSPO1	1.57008
CDCA8	2.08511
EPHA10	0.725358
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	2.27398
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.410548
POU3F1	0.202962
RP5-884C9.2	0.119925
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.318209
RP5-864K19.4	1.17058
GJA9	0.531556
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.206012
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.894029
OXCT2P1	0.135116
PPIEL	2.78659
SNORA55	1.76745
RP11-69E11.8	0.636409
HEYL	3.85936
RP1-144F13.3	0
NT5C1A	0.0636375
HPCAL4	0.081398
RP1-144F13.4	0
RNU7-121P	0
BMP8B	2.87704
OXCT2	0.246982
RP1-118J21.25	0.506027
RP1-118J21.24	0
Y_RNA	0
MYCL	3.58791
RP1-118J21.5	0
Y_RNA	0
MFSD2A	2.69493
RP3-342P20.2	0.878268
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0.152648
RP1-228H13.1	0.164223
RP1-228H13.2	0
ZFP69B	0.884393
RP1-228H13.5	0.923566
RP11-656D10.7	0.141934
ZFP69	2.30507
RP11-656D10.3	1.03821
EXO5	3.55353
RP11-656D10.5	0
RP11-656D10.6	0.713463
ZNF684	2.10799
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	1.99548
RP4-739H11.3	0
MIR30E	0
MIR30C1	0
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.902105
SLFNL1	0.714461
RPL23AP17	0
RP11-399E6.1	0.171674
RP11-399E6.2	0
FOXO6	2.68773
RP11-399E6.4	1.47432
RNA5SP45	0
EDN2	2.17248
HIVEP3	3.26373
RP11-486B10.3	0.0433576
RP11-486B10.4	3.50178
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.437185
RIMKLA	0.699293
RP11-157D18.2	0
ZMYND12	1.36142
CCDC30	1.10835
RP11-163G10.2	0
TMSB4XP1	0.518851
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.862952
CLDN19	0.26716
RP5-994D16.9	1.79438
TMEM269	0.126926
RP11-342M1.3	0.635172
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.0459219
RP5-848E13.5	0.213736
SLC2A1-AS1	0.850072
RP5-848E13.4	0.0650567
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	1.52863
CFAP57	0.130176
RNA5SP46	0
MPL	0.163195
RP1-92O14.3	1.83382
CDC20	3.92976
RP1-92O14.6	2.33245
SZT2-AS1	0
HYI-AS1	0.245681
KDM4A-AS1	2.07298
ST3GAL3	4.54134
RP11-184I16.4	0.0741064
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.973598
RP11-7O11.3	1.49429
RP5-1198O20.4	0.0954378
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0101385
RP11-570P14.1	0.190299
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0665664
ERI3-IT1	0.282702
RNU6-369P	0
MIR5584	0
TMEM53	4.43175
C1orf228	1.29057
RNU5F-1	0
RNU5D-1	0
KIF2C	1.08105
RP11-269F19.2	0.200196
SNORD46	1.47207
SNORD38A	0
RPS15AP11	0.515333
BEST4	0.521973
TCTEX1D4	1.44337
BTBD19	3.27396
RP5-882O7.1	0.956557
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.0979523
MRPS17P1	0.0314858
OSTCP5	0
LINC01144	1.65774
HPDL	1.16335
RP11-291L19.1	0
CCDC163	3.26865
MMACHC	3.30599
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	2.97274
RPS15AP10	2.35016
RP11-767N6.2	2.26157
IPP	4.88717
RP11-767N6.7	3.92463
RP11-630I5.1	0.0619278
TMA16P2	0
RP4-533D7.4	0.389185
RP4-533D7.3	0
RP4-533D7.5	0.344213
RP11-322N21.2	0
LURAP1	3.25698
RAD54L	0.715477
RP4-603I14.3	0.093838
FAAHP1	0.552516
LINC01398	0.0553995
DMBX1	0.0206058
RP11-49P4.7	0
MKNK1-AS1	0.628268
KNCN	0
NENFP1	0.234248
TEX38	0.169749
EFCAB14-AS1	0.406933
RP11-8J9.5	0
CYP4Z2P	0.0861109
RP11-346M5.1	0
CYP4A11	0.105366
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	1.19867
RP11-184J23.2	0.0569406
CYP4A22-AS1	0.222333
CYP4A22	0.0889849
MTND1P34	0
LINC00853	0.975277
TAL1	1.78763
RP1-18D14.7	0.267892
STIL	2.49391
LINC01389	0.781983
FOXE3	0.0356429
FOXD2-AS1	1.07132
FOXD2	0.464651
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	2.60798
RP11-330M19.1	0.149395
RP4-683M8.2	0.0437298
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.466191
RP5-1024N4.6	0.0271237
RP5-1024N4.2	0.057838
SLC5A9	0.841591
RP5-1024N4.4	1.76186
RP5-1024N4.5	0.188232
PPP1R8P1	0.0966279
RNU6-723P	0
RP11-329A14.1	0.0409536
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.0394647
BEND5	4.36805
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.0684323
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.220713
HMGB1P45	0
FCF1P6	0
DMRTA2	0.292773
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.444617
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0611608
LINC01562	0.0727851
RP11-296A18.5	0.454731
RP11-296A18.6	0.244617
TTC39A	4.16755
TTC39A-AS1	0.505942
RP11-275F13.3	0.282161
RNU6-877P	0
RP11-253A20.1	0.110991
RP11-191G24.1	0.327634
RNU6-1281P	0
CALR4P	0.0393369
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	2.44431
RP4-657D16.6	0.494565
MIR761	0
TSEN15P2	0.14253
RAB3B	0.231676
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.114556
TXNDC12-AS1	0.0611868
RN7SL788P	0
RP4-800M22.1	0.698497
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.0723515
RP11-155O18.6	2.52104
PLA2G12AP1	0.434185
ORC1	0.745379
RP11-25O10.2	0
EEF1GP7	0
FAM159A	0.266669
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	1.80964
RNU6-969P	0
ZYG11A	0.108852
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	1.19627
RP11-334A14.8	0.323392
RP5-1024G6.9	0
RP5-1024G6.2	0.39347
RP5-1024G6.7	0.0223549
RP5-1024G6.5	0.793914
LRP8	1.45453
RP4-784A16.1	0
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.0648129
RP11-117D22.1	0
RP11-117D22.2	0.123677
SLC25A3P1	0
DMRTB1	0
GLIS1	1.19554
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.15103
HNRNPA3P12	0.14563
LDLRAD1	3.01609
RP4-758J24.6	2.34545
TCEANC2	2.08252
MIR4781	0
RP4-758J24.4	0
CDCP2	0.0445543
RP11-446E24.3	0.0319735
CYB5RL	2.81249
SSBP3-AS1	1.27589
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	3.49267
FAM151A	0.454155
RP11-240D10.4	0.0512194
PARS2	3.34623
RP11-67L3.2	0.659106
LEXM	0.255118
RP11-67L3.5	0
RP11-67L3.4	0.34018
BSND	0.961425
PCSK9	0.103873
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.121886
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0.123767
RP11-504A18.1	0.477767
LINC01767	0.188345
RPL21P23	0.15113
RPL23AP85	0.0668593
RP11-377K22.2	0
PRKAA2	4.85572
C1orf168	0.817563
RP11-378I13.1	0
C8A	0.0279313
C8B	0.1995
RP5-1103B4.3	0
DAB1	0.122937
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0350411
RPS26P15	0.0999251
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0
RN7SL713P	0
RP4-592A1.2	0.658158
RP11-63G10.4	0.591501
LINC01135	0.325735
RP11-63G10.3	0.598938
RP11-63G10.2	0
RP4-794H19.1	0.751024
LINC01358	0.0837686
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0.0291705
RP11-467C18.1	0.397813
FGGY	2.77695
MIR4711	0
RP4-782L23.2	0.632854
RN7SL475P	0
C1orf87	0.0192415
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.0361171
RP11-436K8.1	0.0275099
