Name	Cells - EBV-transformed lymphocytes
RNU6-304P	0
HMGN2P17	0.152144
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0.010266
RN7SL451P	0
SLC2A7	0
SCARNA16	0
LINC01759	2.76607
RP3-510D11.4	0.154112
SPSB1	2.73164
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	1.03672
PIK3CD-AS1	4.26245
RP11-558F24.2	0
MZT1P1	0
RP11-84A14.7	0
RP11-84A14.4	1.09647
RN7SKP269	0.928277
RP11-84A14.6	0
MIR5697	0
RBP7	0.350858
RP11-496H15.2	0
PGAM1P11	0.100643
RNU6-828P	0
KIF1B	3.93289
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0.154743
CORT	1.1104
RN7SL614P	0.120873
CASZ1	2.07753
RP4-734G22.3	0.384699
HSPE1P24	0
C1orf127	0.760611
CFL1P6	0.0634789
MASP2	3.26945
RP4-635E18.7	3.16115
RP4-635E18.6	1.15383
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.0672701
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.188049
MTCYBP45	0
DISP3	0.0534018
LINC01647	0
FBXO2	1.20579
DRAXIN	0.130974
C1orf167	0.0258809
RP11-56N19.5	0
NPPA-AS1	1.5065
NPPA	2.29444
NPPB	0.120796
RP5-934G17.6	0
RNU5E-1	0.513337
RNU5E-4P	0.260438
RP5-1077B9.5	0
Y_RNA	0.549913
MIR6729	0
RN7SL649P	0
RNU6-777P	0
RPL23AP89	0.243703
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.604531
RP5-888M10.2	0
DHRS3	3.09208
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.265659
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0.026621
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0.0633529
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0.0351674
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0
RP4-597A16.2	0
BRWD1P1	0
PDPN	0.0846706
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
KAZN	0.541344
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.0552812
TMEM51	4.51385
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.0724889
RP3-467K16.2	0.0219874
RP3-467K16.7	0
RP3-467K16.4	0.0453113
CTRC	0.186449
CELA2A	0.390561
CELA2B	0.0906983
SCARNA21	0
RP4-680D5.8	0.164798
RP4-680D5.2	0.426712
CHCHD2P6	2.36616
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.25231
RP11-288I21.1	0.825191
SLC25A34	0.712425
TMEM82	0
RP11-169K16.4	0
FBLIM1	0.147619
RPL12P14	0.320486
RP11-169K16.8	2.26298
FLJ37453	3.34472
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.00876253
HSPB7	0.871008
CLCNKA	0.32817
RP11-5P18.10	0
CLCNKB	0.00901605
FAM131C	0.179769
EPHA2	0.386457
RP11-276H7.2	0.0808226
RP11-276H7.3	0
ARHGEF19	2.31069
ANO7L1	0.468398
RSG1	4.9206
MT1XP1	0.341866
RP11-430L17.1	0.319285
SPATA21	0.104096
LINC01772	0.686319
CROCCP3	1.20353
RNU1-1	0
RP4-798A10.7	0.398122
RP4-798A10.4	0
LINC01783	0.0270345
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	0.533058
RP5-1182A14.5	0
MST1P2	1.65446
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	1.64724
ESPNP	0
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.388986
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.0179443
RP11-108M9.4	0.783139
RP11-108M9.5	0.28087
RNU1-2	0
RP11-108M9.6	0.25711
CROCC	1.51953
MFAP2	0.0354584
RP1-37C10.3	0
PADI2	2.12461
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0498372
PADI3	0.0576746
MIR3972	0
PADI4	0.265871
PADI6	0
ARHGEF10L	0.443398
RP11-473A10.2	0
ACTL8	0.0345718
LINC01654	0
IGSF21	0.0436718
RP11-174G17.3	0
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.00262175
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	0.210592
RP1-43E13.2	0.932676
AKR7L	0.229936
AKR7A3	0.552779
RP4-657E11.10	1.55444
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
NBL1	2.60467
HTR6	0.239293
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.393698
PLA2G5	0.0714765
PLA2G2D	0.114395
PLA2G2F	0.0183633
RP3-340N1.2	0
PLA2G2C	0
UBXN10-AS1	0
UBXN10	0.0267144
LINC01757	0
VWA5B1	0.00970495
RP4-745E8.2	0
LINC01141	0
RP4-749H3.2	0
CAMK2N1	0.358224
RPS4XP4	0
FAM43B	0
CDA	0.335511
PINK1	1.10942
PINK1-AS	3.2515
KIF17	0.0454029
RP5-930J4.5	0
SH2D5	0.725356
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0
RP5-1071N3.1	0.481291
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.168581
HS6ST1P1	0.308801
CROCCP5	0
NBPF3	0.767129
PFN1P10	0
ALPL	0.197842
RP11-63N8.3	0
RAP1GAP	0.604267
RP11-132G19.3	0
LDLRAD2	0.494745
HSPG2	2.28466
RP11-26H16.1	0.169656
RP11-26H16.4	0
CELA3B	0.585282
RN7SL386P	0
RNU6-1022P	0
CELA3A	1.96138
RN7SL186P	0
RNU6-776P	0
LINC01635	0.425452
CDC42-IT1	0.245107
RP1-224A6.8	0.249717
RP1-224A6.9	0.224503
WNT4	0.335541
MIR4418	0
RP11-415K20.1	0.0485441
RP11-415K20.2	0
ZBTB40-IT1	0.852435
EPHA8	0.011906
MIR6127	0
C1QA	0.831743
C1QC	0.715823
C1QB	0.747801
EPHB2	0.0835368
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.035437
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0314624
RP5-1057J7.1	0.0929598
ZNF436-AS1	3.43869
RP5-1057J7.7	0
TCEA3	0.351423
RP4-654C18.1	0
ASAP3	0.114982
RP1-150O5.3	0.578601
MDS2	0.452416
RP11-223J15.2	0
BTBD6P1	2.71685
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0.0705567
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0344375
RP11-293P20.4	0
IL22RA1	0.0450655
RP11-10N16.2	0
RP11-10N16.3	0
GRHL3	0.399649
STPG1	0.743608
RCAN3	0.478447
RP4-594I10.3	0
NCMAP	0.0189102
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
MIR6731	0
RP11-84D1.1	1.3849
RP11-84D1.2	0.012584
MIR4425	0
RP4-799D16.1	1.58573
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.687988
RP3-465N24.5	2.24597
RHD	0.288926
SDHDP6	0.530958
RP11-335G20.7	0
RHCE	0.414233
RP3-469D22.1	0.320415
RP11-70P17.1	0.434014
MAN1C1	0.22944
RP1-187B23.1	0.0387806
RP1-317E23.3	0.814884
RP1-125I3.2	0.228308
Y_RNA	0
SNRPFP2	0.116146
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.0186381
SLC30A2	0.0119389
RP11-96L14.9	0
TRIM63	0.197567
FAM110D	0.0191077
RP11-96L14.8	0
RP11-96L14.7	0.29461
ZNF593	0
CNKSR1	2.19179
CATSPER4	0
RP11-231P20.2	0.0172323
RP11-231P20.6	0
RP11-231P20.5	0.308632
AIM1L	0.0481973
RP11-569G9.7	0
ZNF683	0
LIN28A	0.014988
RP3-476K8.4	0.500939
RP3-476K8.3	0.752779
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	1.09077
RN7SL165P	0.16191
SFN	2.82626
NR0B2	0.0568443
KDF1	0.103368
RPL12P13	0.180565
RP11-344H11.5	0
OSTCP2	0
TRNP1	0.220978
FAM46B	0.140124
RP11-40H20.5	0
CHCHD3P3	0.276991
NPM1P39	1.78864
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.093102
RNU6-48P	0.563438
ACTG1P20	3.34247
MAP3K6	1.09504
FCN3	0.124559
CD164L2	0.0221149
RP1-144C9.2	0
GPR3	0.561668
RP4-752I6.1	0
RP1-159A19.4	0.269744
RP1-159A19.3	2.93068
RP11-288L9.1	0.385896
RP11-288L9.4	1.37069
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
FAM76A	4.9637
RP3-426I6.2	0.370444
RPEP3	0
RP3-426I6.5	0.763419
RP3-426I6.6	0.965379
RNU6-1245P	0
SCARNA1	0.310467
SMPDL3B	0.427816
RP11-460I13.2	0
RP11-460I13.6	0.393806
RN7SL559P	0.212258
SPCS2P4	2.74642
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
RP5-1092A3.5	0.258825
Y_RNA	0
RP1-308E4.1	0.106689
RNU6ATAC27P	0
PRDX3P2	0.456581
RP4-669K10.8	0.622328
SNORD99	0
SNORA16A	0
LINC01715	0.397423
RNU11	0
SCARNA24	0
OPRD1	0.0384602
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0.188692
Y_RNA	0
Metazoa_SRP	0
TMEM200B	0.0444262
RP11-242O24.3	0
uc_338	4.49267
RP11-467D18.2	0.358241
PTPRU	0.432504
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.296331
MATN1-AS1	3.76224
MIR4420	0
RP5-1125N11.1	0
LINC01778	0
RN7SKP91	0
RP1-65J11.5	0
SDC3	0.534097
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.0401369
RP11-490K7.4	2.14208
RP11-266K22.2	0
RP11-439L8.2	0.140739
RNU6-40P	0
LINC01225	1.79513
Y_RNA	0
LINC01226	2.62521
RP11-73M7.1	0
TINAGL1	0.288582
HCRTR1	0.0374919
RP11-73M7.6	0.104234
RP11-73M7.9	0
COL16A1	1.1592
ADGRB2	0.206223
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.0373992
RP11-84A19.2	0
RP11-84A19.4	0.479134
RP4-534N18.2	0.376657
RP11-277A4.4	0.122884
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	0.882921
DCDC2B	0.360549
MTMR9LP	1.93788
FAM167B	1.28455
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.165085
TSSK3	3.13484
FAM229A	2.84836
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0176186
ZBTB8A	0.393878
Y_RNA	0
SYNC	0.0513294
RP11-114B7.6	0
KIAA1522	0.216695
FNDC5	0.534707
HPCA	0.146399
TMEM54	0.52426
RP5-1174N9.2	0.110814
RP4-803A2.1	0.317913
RP4-803A2.2	0.166393
Metazoa_SRP	0
RP1-117O3.2	0.154587
AZIN2	0.122182
RP11-131M11.2	0.581629
TRIM62	3.8202
RP11-131M11.3	0.321511
RP11-415J8.7	0.186227
A3GALT2	0
RP11-415J8.3	0.468451
MIR3605	0
RN7SKP16	0.437723
RP11-415J8.5	0.108121
TLR12P	0
ZSCAN20	3.03072
RP4-580O19.2	0.0633159
CSMD2	0.00718664
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.0672759
GJB4	0.01542
GJB3	0.0527085
RP1-34M23.5	0
GJA4	0.128375
RP5-997D16.2	2.30702
DLGAP3	0.586767
RP11-244H3.1	4.47264
RPL12P45	0
ZMYM1	1.88223
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	3.10689
TFAP2E	1.60417
RP11-435D7.3	0.398896
RP4-789D17.4	0
AGO3	4.00903
RP4-665N4.8	2.77932
RP4-665N4.4	0.0157995
TEKT2	0.152519
COL8A2	0.128213
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
OSCP1	1.36036
SNORA63	0
CSF3R	0.340895
FTLP18	0
RP4-614N24.1	0
GRIK3	0.0107116
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	1.63141
MIR6732	0
MIR5581	0
FTH1P1	0.357762
RP3-423B22.5	0.803549
DNALI1	0.0591318
RSPO1	0
EPHA10	0.0621564
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	4.81103
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0
POU3F1	1.52132
RP5-884C9.2	0.646422
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0.31551
RP11-334L9.1	0.123596
RP5-864K19.4	1.62186
GJA9	0.221641
RHBDL2	0.10098
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.0641316
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.95773
OXCT2P1	0.4949
PPIEL	2.14684
SNORA55	2.23857
RP11-69E11.8	0.566079
HEYL	0.162815
RP1-144F13.3	0
NT5C1A	0.336729
HPCAL4	0.132973
RP1-144F13.4	0
RNU7-121P	0
BMP8B	3.94414
OXCT2	1.61061
RP1-118J21.25	0.96017
RP1-118J21.24	0
Y_RNA	0
MYCL	1.83542
RP1-118J21.5	0
Y_RNA	0
RP3-342P20.2	2.50988
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0.174289
RP1-228H13.1	0.27981
RP1-228H13.2	0
RP1-228H13.5	3.96206
RP11-656D10.7	0.446667
ZFP69	4.87449
RP11-656D10.3	1.3466
RP11-656D10.5	0
RP11-656D10.6	0.606111
ZNF684	3.20335
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	1.16527
RP4-739H11.3	0
MIR30E	0
MIR30C1	0
KCNQ4	0.902487
RN7SL326P	0
CITED4	0.295389
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	1.22839
SLFNL1	0.814918
RPL23AP17	0
RP11-399E6.1	0.0805364
RP11-399E6.2	0
FOXO6	0.119833
RP11-399E6.4	0
RNA5SP45	0
EDN2	0.456518
RP11-486B10.3	0
RP11-486B10.4	0.304639
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.4652
RIMKLA	4.1741
RP11-157D18.2	0.187495
ZMYND12	1.22739
CCDC30	0.392626
RP11-163G10.2	0
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	1.191
CLDN19	0.0146807
RP5-994D16.9	3.18182
TMEM269	0.197739
RP11-342M1.3	1.81508
RP11-342M1.7	0.0156984
RP11-342M1.6	0
ATP6V1E1P1	0.0675876
RP5-848E13.5	0.468164
SLC2A1-AS1	1.2602
RP5-848E13.4	0.0698626
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0
CFAP57	4.75945
RNA5SP46	0
TMEM125	0.0909284
C1orf210	0.0441684
TIE1	0.789236
MPL	0.0381268
RP1-92O14.3	1.79577
RP1-92O14.6	2.70032
SZT2-AS1	0
HYI-AS1	0
PTPRF	0.822559
KDM4A-AS1	3.08327
RP11-184I16.4	0.0907145
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0.0213161
ARTN	1.04961
RP11-7O11.3	2.75072
CCDC24	2.24474
SLC6A9	2.32162
RP5-1198O20.4	0.0390699
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0
RP11-570P14.1	1.3338
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0867391
ERI3-IT1	0.39499
RNU6-369P	0
MIR5584	0
C1orf228	2.0119
RNU5F-1	0.288555
RNU5D-1	0.273536
RP11-269F19.2	0.660808
SNORD46	1.9342
SNORD38A	0
RPS15AP11	1.33947
BEST4	0.779397
TCTEX1D4	0.470939
BTBD19	1.75241
PTCH2	0.264639
RP5-882O7.1	1.71637
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.10838
MRPS17P1	0.0181458
ZSWIM5	0.102313
OSTCP5	0
LINC01144	1.55657
RP11-291L19.1	0.0991622
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	1.17103
RPS15AP10	0.900304
RP11-767N6.2	1.31173
RP11-767N6.7	3.03577
RP11-630I5.1	0.193588
TMA16P2	0
RP4-533D7.4	0
RP4-533D7.3	0
RP4-533D7.5	0.334909
TSPAN1	0.587032
RP11-322N21.2	0
LURAP1	0.0931121
RP4-603I14.3	0.0671653
FAAH	2.72513
FAAHP1	0.0529212
LINC01398	0
DMBX1	0.0300894
RP11-49P4.7	0
MKNK1-AS1	0.361931
KNCN	0
NENFP1	0.133059
TEX38	0.100518
EFCAB14-AS1	0.329169
RP11-8J9.5	0
CYP4B1	0.0808678
CYP4Z2P	0
RP11-346M5.1	0
CYP4A11	0
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	0.0378951
CYP4Z1	0.0138951
RP11-184J23.2	0
CYP4A22-AS1	0.626097
CYP4A22	0.0110392
MTND1P34	0
LINC00853	0.386713
PDZK1IP1	0.0510161
TAL1	0.0157267
RP1-18D14.7	0
LINC01389	0.289659
FOXE3	0
FOXD2-AS1	4.02681
FOXD2	0.725284
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	0.00895445
RP11-330M19.1	0
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0
RP5-1024N4.4	0
RP5-1024N4.5	0
SPATA6	0.0464468
PPP1R8P1	0
RNU6-723P	0
RP11-329A14.1	0.0478189
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.00962207
BEND5	1.13759
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.0323736
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.836477
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0171476
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.434336
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.200225
LINC01562	0.0336622
RP11-296A18.5	1.33915
RP11-296A18.6	0.156698
TTC39A	0.519993
TTC39A-AS1	0
RP11-275F13.3	0.36826
RNU6-877P	0
RP11-253A20.1	0.206137
RP11-191G24.1	3.19887
RNU6-1281P	0
CALR4P	0.340233
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	2.40591
RP4-657D16.6	0.260868
MIR761	0
TSEN15P2	0.153709
RAB3B	0.310335
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.251174
TXNDC12-AS1	0.122721
ZFYVE9	1.36634
RN7SL788P	0
RP4-800M22.1	0.399656
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	1.19586
PLA2G12AP1	0.386576
RP11-25O10.2	0
EEF1GP7	0
FAM159A	0.760312
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	4.18648
RNU6-969P	0
ZYG11A	3.51143
RP4-631H13.2	0.328788
RP4-631H13.6	2.60495
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
PODN	0.140288
SLC1A7	0.00979693
RP11-334A14.8	0
RP5-1024G6.9	0
RP5-1024G6.2	0.184688
RP5-1024G6.7	0.0848998
RP5-1024G6.5	1.12526
RP4-784A16.1	0.460325
RP4-784A16.2	0.220324
RP4-784A16.3	0.135031
RP4-784A16.4	0.10066
LINC01771	2.65316
RP11-117D22.1	0
RP11-117D22.2	3.99387
SLC25A3P1	0
DMRTB1	0
GLIS1	0.0195342
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.259874
HNRNPA3P12	0.504662
LDLRAD1	0
RP4-758J24.6	0.822759
MIR4781	0
RP4-758J24.4	0
CDCP2	0.0474796
RP11-446E24.3	0.0234465
SSBP3-AS1	0.957434
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	0.109205
FAM151A	0.0209439
RP11-240D10.4	0
MROH7	0.0540844
TTC22	1.17306
RP11-67L3.2	0
LEXM	0.0975825
RP11-67L3.5	0
RP11-67L3.4	0.873267
TMEM61	0
BSND	0.00849357
PCSK9	0.01256
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
