Name	Brain - Hypothalamus
RP3-395M20.8	0.324198
RP3-395M20.7	0.0500975
RP3-395M20.9	0.248982
MMEL1	1.38187
RP13-436F16.1	0.366471
TTC34	0.566577
ABC14-1188822O7.1	0.060808
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	2.73453
PRDM16	1.49738
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.0147033
RP11-22L13.1	0.0797705
ARHGEF16	2.0723
RP11-168F9.2	0.134789
MEGF6	1.79194
MIR551A	0
RP11-46F15.2	4.00173
TP73	0.575852
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.038001
SMIM1	1.56736
RN7SL574P	0.1876
RP1-286D6.5	1.66169
DFFB	4.86113
LINC01134	0.098316
LINC01346	0.329979
LINC01345	0.0560771
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	4.12963
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.262344
MIR4417	0
MIR4689	0
NPHP4	4.4237
RP1-120G22.11	1.97798
LINC00337	0.074922
HES3	0
HES2	0.0105761
ESPN	0.182911
MIR4252	0
RP1-202O8.2	0
NOL9	4.59449
RNU6-731P	0
RP11-58A11.2	0.104613
TAS1R1	0.113982
LINC01672	0.100804
RP11-312B8.1	0.559865
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.214995
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	1.26839
RP11-338N10.2	0.990621
RP11-338N10.3	1.98473
RP3-467L1.6	2.2421
RP3-467L1.4	0.903872
UTS2	0.642131
TNFRSF9	0.0354338
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.142201
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	0.147871
SNORA77	0.335667
RP5-1115A15.2	0.0694166
RPL7P11	0
RPL7P7	0.0280856
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.0629426
ENO1-AS1	0.50167
RNU6-304P	0
HMGN2P17	0.0325773
RP3-477M7.5	0.0414915
RP3-477M7.6	0
CA6	0.00919343
RN7SL451P	0
SLC2A7	0
SLC2A5	4.72825
SCARNA16	0
GPR157	0.416818
MIR34AHG	1.15892
LINC01759	0.251006
RP3-510D11.4	0.0704947
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.305073
PIK3CD	4.57435
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	0.43994
MZT1P1	0
RP11-84A14.7	0.0648934
RP11-84A14.4	0.203123
NMNAT1	2.84477
RN7SKP269	0.109245
RP11-84A14.6	0.101199
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0.237297
RP4-736L20.3	0
RN7SL614P	0.0852802
CASZ1	0.557842
RP4-734G22.3	0.360609
HSPE1P24	0
C1orf127	0.0992833
CFL1P6	0.0598403
MASP2	1.3367
RP4-635E18.7	1.75379
RP4-635E18.6	1.48663
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.421852
RNU6-291P	0
RPL39P6	0
UBIAD1	3.83337
UBE2V2P3	0
MTCYBP45	0
DISP3	3.13926
LINC01647	0
DRAXIN	0.252886
C1orf167	0.00660833
RP11-56N19.5	0
NPPA-AS1	1.39121
NPPA	1.89797
NPPB	0.598387
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0
MIR6729	0
RN7SL649P	0
TNFRSF8	0.0940999
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.578625
RP5-888M10.2	0
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.332793
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0.301211
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0476203
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.0853123
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.292424
TMEM51	2.73494
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.465386
RP3-467K16.2	0.0755181
RP3-467K16.7	0.0562658
RP3-467K16.4	0.193875
CTRC	0.131869
CELA2A	0.158509
CELA2B	0.0974553
DNAJC16	4.11133
SCARNA21	0
RP4-680D5.8	0.210608
AGMAT	1.01245
RP4-680D5.2	0.222427
CHCHD2P6	1.26371
RNU7-179P	0
CD24P1	0
DDI2	3.71628
RP4-680D5.9	0.116302
RP11-288I21.1	0.289335
SLC25A34	2.59178
TMEM82	0
RP11-169K16.4	0
FBLIM1	1.24416
RPL12P14	0.0696065
RP11-169K16.8	0.425315
FLJ37453	3.32065
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	1.98785
HSPB7	1.40372
CLCNKA	0.185444
RP11-5P18.10	2.54967
CLCNKB	0.332032
EPHA2	2.25225
RP11-276H7.2	0.0743743
RP11-276H7.3	0
ARHGEF19	0.894113
ANO7L1	0.258051
MT1XP1	0.711776
RP11-430L17.1	0.082794
SPATA21	0.0178307
LINC01772	1.80285
CROCCP3	4.2722
RNU1-1	0
RP4-798A10.7	0.728895
RP4-798A10.4	0.177618
LINC01783	0.378705
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	4.02457
RP5-1182A14.5	0.114664
MST1P2	1.48288
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.108905
EIF1AXP1	0.411883
ESPNP	0.098223
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.443372
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.605942
RP11-108M9.5	2.895
RNU1-2	0
RP11-108M9.6	0.384879
MFAP2	0.183122
RP1-37C10.3	0
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.268007
PADI3	0
MIR3972	0
PADI4	0.11604
PADI6	0
RP11-473A10.2	0
ACTL8	0.0132156
LINC01654	0.0138716
RP11-174G17.3	0.109101
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0297093
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.217739
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.19492
RP1-43E13.2	0.889951
AKR7L	1.27016
AKR7A3	2.51327
RP4-657E11.10	2.34877
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
RP5-1056L3.3	2.64835
HTR6	0.417542
TMCO4	1.96631
RNF186	0
RP11-91K11.2	0
OTUD3	4.7665
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.332496
PLA2G5	3.50094
PLA2G2D	0.019537
PLA2G2F	0
RP3-340N1.2	0.122576
PLA2G2C	0.104353
UBXN10	2.90948
LINC01757	0
VWA5B1	1.46773
RP4-745E8.2	0
LINC01141	0.624
RP4-749H3.2	0
RPS4XP4	0.0321002
CDA	3.5041
PINK1-AS	1.38599
RP5-930J4.5	0
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.121406
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.0713464
RP5-1071N3.1	0.0932347
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.56085
HS6ST1P1	0.441899
CROCCP5	0
NBPF3	1.47106
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	0.794623
HSPG2	1.36391
RP11-26H16.1	0
RP11-26H16.4	0
CELA3B	0.0404017
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.129371
RN7SL186P	0
RNU6-776P	0
LINC01635	0.0425677
CDC42-IT1	0.0277153
RP1-224A6.8	0
RP1-224A6.9	0.398613
WNT4	2.90792
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40	4.86548
ZBTB40-IT1	0
EPHA8	1.41733
MIR6127	0
EPHB2	2.42067
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.194829
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.59817
RP5-1057J7.1	0
LINC01355	3.12505
RP5-1057J7.7	0.126656
TCEA3	3.17783
RP4-654C18.1	0
E2F2	0.0262298
RP1-150O5.3	0.131556
MDS2	0.0474929
RP11-223J15.2	0
ELOA-AS1	1.94089
CNR2	0.00495805
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0462899
RP11-293P20.4	0
IL22RA1	0.0480724
IFNLR1	1.4918
RP11-10N16.2	0.0998521
RP11-10N16.3	0.0313126
GRHL3	0.39264
STPG1	3.79934
RP4-594I10.3	0
NCMAP	0.257817
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.721031
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	1.04265
RP3-465N24.5	0.294193
RHD	0.141343
SDHDP6	0.325779
RP11-335G20.7	0
RHCE	0.781068
RP3-469D22.1	0.0908389
RP11-70P17.1	0.331305
MAN1C1	4.11732
RP1-187B23.1	0.0617408
RP1-317E23.3	0.444416
AUNIP	0.538935
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0.222446
RP1-125I3.4	0
MIR3917	0
PAFAH2	3.90004
RNU6-110P	0
SCARNA17	0
SCARNA18	0
SLC30A2	0.0234591
RP11-96L14.9	0
TRIM63	0.17769
PDIK1L	4.22873
FAM110D	1.57277
RP11-96L14.8	0.12992
RP11-96L14.7	0.548542
ZNF593	0
CNKSR1	2.84008
CATSPER4	0.0226153
RP11-231P20.2	1.11966
RP11-231P20.6	0
CEP85	4.49972
RP11-231P20.5	0.0933938
CD52	0.982829
AIM1L	0.0266965
RP11-569G9.7	0
ZNF683	0.129276
LIN28A	0.00712057
RP3-476K8.4	0.0767988
RP3-476K8.3	0.277415
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.268741
RN7SL165P	0
SFN	0.782055
NR0B2	0.0435785
KDF1	0.046262
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
FAM46B	0.42451
RP11-40H20.5	0
CHCHD3P3	0
NPM1P39	0.117219
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	1.04319
RNU6-48P	0
ACTG1P20	0.499569
SYTL1	1.61595
FCN3	0.642946
CD164L2	0.236752
RP1-144C9.2	0.0785209
GPR3	4.04781
RP4-752I6.1	0
RP1-159A19.4	0.687768
FGR	4.62418
RP1-159A19.3	1.31671
RP11-288L9.1	0.437101
RP11-288L9.4	0.122322
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.110222
RPEP3	0
RP3-426I6.5	0.173712
RP3-426I6.6	0.930449
RNU6-1245P	0
SCARNA1	0
THEMIS2	4.53457
SMPDL3B	0.246209
RP11-460I13.2	0
XKR8	4.54432
RP11-460I13.6	0.110216
RN7SL559P	0
SPCS2P4	1.11201
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	1.50822
RP5-1092A3.4	1.57623
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
RCC1	2.98981
SNORA73A	0.561342
SNORA73B	0.829667
PRDX3P2	0
RP4-669K10.8	0.154432
SNORD99	0
SNORA44	1.67708
SNORA16A	0
RAB42	0.225205
LINC01715	0.792168
RNU11	0
GMEB1	1.95931
SCARNA24	0
OPRD1	0.450345
RP1-212P9.3	0
Y_RNA	0
EPB41	2.83635
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	0.77367
RP11-242O24.3	0
uc_338	0.205675
RP11-467D18.2	0
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.375339
MATN1-AS1	0.782741
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.476165
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
RP11-490K7.4	0.732384
RP11-266K22.2	0
SERINC2	0.744064
RP11-439L8.2	0
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00969345
RP11-73M7.1	0
HCRTR1	0.980775
RP11-73M7.6	1.95551
RP11-73M7.9	0.141735
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.475815
RP11-84A19.2	0.0920987
RP11-84A19.4	0.159555
RP4-534N18.2	0.0549484
RP11-277A4.4	0.0834923
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	1.0555
IQCC	3.67025
DCDC2B	0.323918
FAM167B	2.86122
LCK	0.307918
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.173404
TSSK3	2.04191
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0.0192711
RN7SL122P	0
ZBTB8B	1.25889
ZBTB8A	1.17087
Y_RNA	0
SYNC	1.79488
RP11-114B7.6	0
RP5-1174N9.2	0.258471
RP4-803A2.1	0.086963
RP4-803A2.2	0.0538792
Metazoa_SRP	0
RP1-117O3.2	0.0673357
RP11-131M11.2	0.976606
RP11-131M11.3	0.465804
RP11-415J8.7	0.286242
A3GALT2	0.0710885
RP11-415J8.3	0.884335
MIR3605	0
RN7SKP16	0.392519
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.542376
RP4-580O19.2	0.0810123
CSMD2	2.49935
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.67442
RP4-657M3.2	0
MIR552	0
GJB5	0.247721
GJB4	0.00919476
GJB3	0.0696111
RP1-34M23.5	0
RP5-997D16.2	2.02898
RP11-244H3.1	2.39268
ZMYM6	4.12376
RPL12P45	0
ZMYM1	1.67905
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	1.36884
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.687132
CLSPN	0.0926252
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	2.72259
RP4-665N4.8	0.0417192
RP4-665N4.4	0.297
TEKT2	3.28505
COL8A2	1.37677
RN7SL131P	0
UBE2V2P4	0
SH3D21	2.90471
RNU4-27P	0
SNORA63	1.26158
FTLP18	0
RP4-614N24.1	0
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0.263082
RNA5SP43	0
RPS29P6	0.255135
LINC01137	2.24776
ZC3H12A	1.5059
MIR6732	0
MIR5581	0
SNIP1	3.99706
FTH1P1	0.0695957
RP3-423B22.5	0.161474
RSPO1	0.0436585
C1orf109	4.66395
CDCA8	0.726644
EPHA10	4.59323
Y_RNA	0
ACTN4P2	0.0233203
RP11-109P14.2	0
MTF1	3.59576
RP11-109P14.8	0
INPP5B	3.49898
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.497574
POU3F1	0.524976
RP5-884C9.2	0.811285
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.034655
RP5-864K19.4	2.3739
MYCBP	4.52104
GJA9	0.360442
RHBDL2	2.63841
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.453529
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.843815
OXCT2P1	0.302201
PPIEL	1.40584
SNORA55	0
RP11-69E11.8	0
RP1-144F13.3	0
NT5C1A	0.806256
RP1-144F13.4	0.0889867
RNU7-121P	0
BMP8B	2.2363
OXCT2	0.276444
RP1-118J21.25	0.194342
RP1-118J21.24	0
Y_RNA	0
MYCL	0.693449
RP1-118J21.5	0.0591459
Y_RNA	0
RP3-342P20.2	1.30637
RP11-115D7.3	0.159
RNU6-1237P	0
TMCO2	0.0117163
RP1-39G22.4	0
RP1-228H13.1	0.0817685
RP1-228H13.2	0
ZFP69B	1.48089
RP1-228H13.5	3.11481
RP11-656D10.7	0.696025
ZFP69	2.30693
RP11-656D10.3	0.701613
EXO5	1.49857
RP11-656D10.5	0
RP11-656D10.6	0.497984
ZNF684	1.42966
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
NFYC-AS1	2.31651
MIR30E	0
MIR30C1	0
KCNQ4	2.11494
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
CTPS1	4.90653
SLFNL1-AS1	0.189673
SLFNL1	0.262106
RPL23AP17	0
RP11-399E6.1	0.134525
RP11-399E6.2	0
RP11-399E6.4	0.236008
RNA5SP45	0
EDN2	0.0242868
HIVEP3	2.07853
RP11-486B10.3	0
RP11-486B10.4	0.0792317
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.562169
RIMKLA	4.87099
RP11-157D18.2	0.063658
CCDC30	2.25736
RP11-163G10.2	0
TMSB4XP1	0.616257
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	3.04812
CLDN19	0.0089628
RP5-994D16.9	2.25598
TMEM269	0.140076
ERMAP	3.67103
RP11-342M1.3	0.221526
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.0874808
RP5-848E13.5	0.124591
SLC2A1-AS1	1.72644
RP5-848E13.4	0.140072
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	3.02563
CFAP57	0.867697
RNA5SP46	0
C1orf210	0.0481045
TIE1	4.68432
MPL	0.155904
RP1-92O14.3	0.350822
CDC20	0.507866
RP1-92O14.6	2.64575
SZT2-AS1	0
HYI-AS1	0.535057
KDM4A-AS1	0.77069
RP11-184I16.4	0.0563429
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.891156
RP11-7O11.3	1.2624
RP5-1198O20.4	0.670272
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0993098
RP11-570P14.1	0.18169
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0
ERI3-IT1	0.163996
RNU6-369P	0
MIR5584	0
C1orf228	3.38914
RNU5F-1	0.188555
RNU5D-1	0
KIF2C	0.49275
RP11-269F19.2	0.137428
SNORD46	0.296746
SNORD38A	0
RPS15AP11	0.267595
BEST4	4.39187
TCTEX1D4	0.289342
BTBD19	1.45757
RP5-882O7.1	1.0153
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.155766
MRPS17P1	0.0459816
ZSWIM5	3.32137
OSTCP5	0
LINC01144	1.64457
HPDL	1.62562
TESK2	3.61219
RP11-291L19.1	0
MMACHC	2.44134
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	0.992702
RPS15AP10	0.209297
RP11-767N6.2	0.246942
IPP	3.37461
RP11-767N6.7	4.45611
RP11-630I5.1	0
TMA16P2	0
RP4-533D7.4	0.118525
RP4-533D7.3	0
RP4-533D7.5	0.0616914
TSPAN1	0.44778
RP11-322N21.2	0
LURAP1	3.98641
RAD54L	0.823528
NSUN4	3.21257
RP4-603I14.3	0
FAAHP1	0.461482
LINC01398	0.0655884
DMBX1	0.0689469
RP11-49P4.7	0.910144
MKNK1-AS1	0.731662
KNCN	1.4457
MOB3C	4.45123
NENFP1	0
TEX38	0.15371
EFCAB14-AS1	0
RP11-8J9.5	0
CYP4B1	0.273728
CYP4Z2P	0.0294116
RP11-346M5.1	0
CYP4A11	0.442055
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	1.63398
RP11-184J23.2	0
CYP4A22-AS1	0.150507
CYP4A22	0.191707
MTND1P34	0
LINC00853	0.649945
PDZK1IP1	0.200766
TAL1	2.73099
RP1-18D14.7	0.628042
STIL	0.5125
LINC01389	0.212989
FOXE3	0.0968109
FOXD2-AS1	0.426223
FOXD2	0.141817
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0.0538186
TRABD2B	0.110065
RP11-330M19.1	0
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.145319
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.143105
RP5-1024N4.4	0.749331
RP5-1024N4.5	0.288229
SPATA6	4.88384
PPP1R8P1	0.589922
RNU6-723P	0
RP11-329A14.1	0.070673
RNU4-61P	0
RP11-329A14.2	0
AGBL4	1.07859
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
RP11-492I2.1	0
RP11-567C20.2	0.206323
RP11-567C20.3	0
RP11-183G22.1	0.0949512
HMGB1P45	0
FCF1P6	0
DMRTA2	0.139915
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.0425388
MRPS6P2	0
CDKN2C	2.32463
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.102613
LINC01562	0.215148
RP11-296A18.5	0.108082
RP11-296A18.6	0.0673405
TTC39A	2.6905
TTC39A-AS1	0.164933
RP11-275F13.3	0.0410731
RNU6-877P	0
RP11-253A20.1	0.105921
RP11-191G24.1	0.0753522
RNU6-1281P	0
CALR4P	0.137364
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	0.712013
RP4-657D16.6	0.201723
MIR761	0
TSEN15P2	0
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.0672863
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.205122
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	1.3034
PLA2G12AP1	0.476637
ORC1	0.234768
RP11-25O10.2	0
EEF1GP7	0
GPX7	3.47687
FAM159A	1.37295
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	0.868015
RNU6-969P	0
ZYG11A	0.0665661
RP4-631H13.2	0
RP4-631H13.6	0.524929
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
PODN	3.68837
SLC1A7	0.884892
RP11-334A14.8	0.0318318
RP5-1024G6.9	0
CPT2	4.602
RP5-1024G6.2	0.241762
RP5-1024G6.7	0.0284957
RP5-1024G6.5	0.936315
RP4-784A16.1	0.13126
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	1.75123
RP11-117D22.1	0
RP11-117D22.2	0.039509
SLC25A3P1	0
DMRTB1	0
GLIS1	1.19607
RNU7-95P	0
NDC1	2.75874
SNORA58	0
RP4-654H19.2	0
DIO1	0.0761794
HNRNPA3P12	0.0588377
LDLRAD1	0
RP4-758J24.6	0.769298
TCEANC2	2.23266
MIR4781	0
RP4-758J24.4	0
CDCP2	0.0276543
RP11-446E24.3	0.0187949
CYB5RL	1.48732
SSBP3-AS1	0.611156
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	1.04025
FAM151A	0.177349
RP11-240D10.4	0.122506
PARS2	1.83493
TTC22	0.557397
RP11-67L3.2	0
LEXM	0.0458641
RP11-67L3.5	0
RP11-67L3.4	0.0705049
TMEM61	0.609671
BSND	0.0224345
PCSK9	0.129429
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
