Name	Cells - Cultured fibroblasts
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.0153762
TMEM51	2.03154
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.251205
RP3-467K16.2	0.173065
RP3-467K16.7	0.12156
RP3-467K16.4	0.0372729
CTRC	0.143046
CELA2A	0.107782
CELA2B	0.0595384
SCARNA21	0
RP4-680D5.8	0
AGMAT	1.5013
RP4-680D5.2	0.105192
CHCHD2P6	1.46708
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	1.44731
SLC25A34	0.938062
TMEM82	0
RP11-169K16.4	0
RPL12P14	0.724949
RP11-169K16.8	1.32949
FLJ37453	1.77649
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0
CLCNKA	0.0365795
RP11-5P18.10	0
CLCNKB	0.0342184
FAM131C	0.265211
RP11-276H7.2	0.22822
RP11-276H7.3	0.150373
ANO7L1	0.339028
MT1XP1	1.1327
RP11-430L17.1	0.370165
SPATA21	0.0104029
LINC01772	1.31282
CROCCP3	3.01971
RNU1-1	0
RP4-798A10.7	0.131804
RP4-798A10.4	0
LINC01783	0.0246305
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
RP5-1182A14.5	0
MST1P2	1.49137
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	1.41261
ESPNP	0
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.347502
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.0333687
RP11-108M9.5	2.61676
RNU1-2	0
RP11-108M9.6	0.175935
RP1-37C10.3	0.337473
PADI2	0.0674779
RP11-380J14.1	0.351079
RP11-380J14.4	0
PADI1	0.152558
PADI3	0.0377323
MIR3972	0
PADI4	0
PADI6	0
RP11-473A10.2	0
ACTL8	0.140855
LINC01654	0
IGSF21	0
RP11-174G17.3	0
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	0.385065
RP1-43E13.2	0.931584
AKR7L	0.472129
AKR7A3	1.00824
RP4-657E11.10	3.05747
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
RP5-1056L3.3	3.38306
HTR6	0.0210399
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.591784
PLA2G5	0.268974
PLA2G2D	0
PLA2G2F	0
RP3-340N1.2	0
PLA2G2C	0
UBXN10-AS1	0
UBXN10	0.020132
LINC01757	0
VWA5B1	0
RP4-745E8.2	0
LINC01141	0.0121064
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.175729
KIF17	0.529206
RP5-930J4.5	0
SH2D5	2.07997
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.0554118
RP5-1071N3.1	0.225993
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	3.79831
HS6ST1P1	2.85203
CROCCP5	0
PFN1P10	0
ALPL	3.60129
RP11-63N8.3	0
RAP1GAP	0.313064
RP11-132G19.3	0
LDLRAD2	1.24888
RP11-26H16.1	0.119348
RP11-26H16.4	0
CELA3B	0.203011
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.60409
RN7SL186P	0
RNU6-776P	0
LINC01635	0.226076
CDC42-IT1	0.127232
RP1-224A6.8	0.144814
RP1-224A6.9	0.0920651
WNT4	0.0643463
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.497681
EPHA8	0
MIR6127	0
C1QA	0.203393
C1QC	0.166553
C1QB	0.230842
EPHB2	2.64713
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.108427
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0293926
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0197303
RP5-1057J7.1	0.0704836
RP5-1057J7.7	0.257609
RP4-654C18.1	0
E2F2	1.25329
RP1-150O5.3	0.18455
MDS2	0
RP11-223J15.2	0
ELOA-AS1	4.14369
FUCA1	4.86574
CNR2	0
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0597869
RP11-293P20.4	0
IL22RA1	0.279305
IFNLR1	0.0228027
RP11-10N16.2	0
RP11-10N16.3	0
GRHL3	0.101129
STPG1	2.59997
RP4-594I10.3	0
NCMAP	0
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	2.61804
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.715984
RP3-465N24.5	0.844105
RHD	0.446254
SDHDP6	1.7521
RP11-335G20.7	0
RHCE	1.09835
RP3-469D22.1	0.300014
RP11-70P17.1	0.281561
MAN1C1	1.02684
RP1-187B23.1	0
RP1-317E23.3	0.75265
AUNIP	2.60006
RP1-125I3.2	0.137032
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.383068
SLC30A2	0.0077599
RP11-96L14.9	0
TRIM63	0.127528
PDIK1L	2.92852
FAM110D	0.0362775
RP11-96L14.8	0
RP11-96L14.7	0.217213
ZNF593	0
CNKSR1	0.248205
CATSPER4	0
RP11-231P20.2	0.046839
RP11-231P20.6	0
RP11-231P20.5	0.0341343
CD52	0.13216
AIM1L	0.0300919
RP11-569G9.7	0
ZNF683	0
LIN28A	0.00844863
RP3-476K8.4	0.382361
RP3-476K8.3	0.212608
DPPA2P2	0
RPS6KA1	2.75445
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.850434
RN7SL165P	0
SFN	2.128
NR0B2	0
KDF1	0.45104
RPL12P13	0.124917
RP11-344H11.5	0
OSTCP2	0
RP11-40H20.5	0
CHCHD3P3	0.156264
NPM1P39	1.14562
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0
RNU6-48P	0.620365
ACTG1P20	3.43557
SYTL1	0.197873
FCN3	0.115599
CD164L2	0
RP1-144C9.2	0
GPR3	2.53057
RP4-752I6.1	0
RP1-159A19.4	0.240785
FGR	0.0803861
RP1-159A19.3	2.20649
RP11-288L9.1	0
RP11-288L9.4	0.0801965
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
FAM76A	4.97877
RP3-426I6.2	0.343009
RPEP3	0
RP3-426I6.5	0.221783
RP3-426I6.6	0.77289
RNU6-1245P	0
SCARNA1	0
THEMIS2	3.96469
SMPDL3B	0.0238563
RP11-460I13.2	0
RP11-460I13.6	0.225073
RN7SL559P	0.231202
SPCS2P4	1.42618
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	0.0889761
RP5-1092A3.4	1.56666
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
PRDX3P2	0.367028
RP4-669K10.8	0.846211
SNORD99	0
SNORA44	3.12597
SNORA16A	0
RAB42	4.77027
LINC01715	0.563286
RNU11	0
SCARNA24	0
OPRD1	0.00660004
RP1-212P9.3	0
Y_RNA	0
EPB41	1.45197
RP4-604A21.1	0.131333
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	3.32278
RP11-467D18.2	0.239646
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.0941606
MATN1-AS1	0.896893
LAPTM5	0.968364
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.06838
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.122057
RP11-490K7.4	0.87897
RP11-266K22.2	0
RP11-439L8.2	0.111807
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00568658
RP11-73M7.1	0
TINAGL1	2.06481
HCRTR1	0
RP11-73M7.6	2.28247
RP11-73M7.9	0
ADGRB2	1.49459
MIR4254	0
RP11-84A19.3	0
RP11-84A19.2	0
RP11-84A19.4	0.373742
RP4-534N18.2	0.365831
RP11-277A4.4	0.0776677
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	1.34253
DCDC2B	0.642354
MTMR9LP	4.33806
FAM167B	3.65267
LCK	0.0157876
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.0397828
TSSK3	2.99236
FAM229A	2.94984
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.00531885
ZBTB8A	4.54493
Y_RNA	0
RP11-114B7.6	0.0923711
KIAA1522	3.54975
FNDC5	0.259735
HPCA	0.122942
RP5-1174N9.2	0.102565
RP4-803A2.1	0.107552
RP4-803A2.2	0.129892
Metazoa_SRP	0
RP1-117O3.2	0.0416482
AZIN2	2.03141
RP11-131M11.2	0.670017
RP11-131M11.3	0.377017
RP11-415J8.7	0.350991
A3GALT2	0.0920123
RP11-415J8.3	4.96106
MIR3605	0.597716
RP11-415J8.5	0.112161
TLR12P	0
ZSCAN20	3.43943
RP4-580O19.2	0.0921711
CSMD2	1.2638
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.241854
GJB4	0.0353149
GJB3	0.153192
RP1-34M23.5	0
GJA4	0.121431
RP5-997D16.2	2.75282
DLGAP3	0.0888837
RP11-244H3.1	4.67599
RPL12P45	0
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.701936
TFAP2E	1.10021
CLSPN	4.37232
RP11-435D7.3	0.132827
RP4-789D17.4	0
AGO3	4.09582
RP4-665N4.8	0
RP4-665N4.4	0
TEKT2	0.104518
COL8A2	2.44362
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
SNORA63	0
CSF3R	0.125335
FTLP18	0
RP4-614N24.1	0
GRIK3	0.00626927
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	4.8452
MIR6732	0
MIR5581	0
FTH1P1	0.253481
RP3-423B22.5	0.40157
DNALI1	3.40148
RSPO1	0.438908
EPHA10	0.00797855
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	0.393587
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.688212
POU3F1	0.0257688
RP5-884C9.2	0.153433
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.176148
RP5-864K19.4	3.34176
GJA9	0.236372
RHBDL2	1.84634
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.372489
OXCT2P1	1.46434
RP11-69E11.4	3.89831
PPIEL	2.57424
SNORA55	1.1577
RP11-69E11.8	0.37046
HEYL	0.884804
RP1-144F13.3	0
NT5C1A	0
HPCAL4	0.0188058
RP1-144F13.4	0
RNU7-121P	0
BMP8B	0.193969
OXCT2	0.317258
RP1-118J21.25	0
RP1-118J21.24	0
Y_RNA	0
MYCL	0.0850048
RP1-118J21.5	0.128701
Y_RNA	0
RP3-342P20.2	1.21755
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0.270154
COL9A2	0.924463
RP1-228H13.1	0.229842
RP1-228H13.2	0
ZFP69B	3.66515
RP1-228H13.5	3.10062
RP11-656D10.7	0.24953
ZFP69	4.29286
RP11-656D10.3	2.07057
RP11-656D10.5	0
RP11-656D10.6	1.1713
ZNF684	2.60908
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	0.204632
RP4-739H11.3	0
NFYC-AS1	3.26898
MIR30E	0
MIR30C1	0
KCNQ4	0.0850439
RN7SL326P	0
CITED4	3.49101
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.56183
SLFNL1	0.514367
RPL23AP17	0
RP11-399E6.1	0.034392
RP11-399E6.2	0
FOXO6	0.210363
RP11-399E6.4	0.074922
RNA5SP45	0
EDN2	0
RP11-486B10.3	0
RP11-486B10.4	0.156735
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.295369
RIMKLA	0.00978772
RP11-157D18.2	0
ZMYND12	0.855063
CCDC30	0.398388
RP11-163G10.2	0
TMSB4XP1	1.68681
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.59874
CLDN19	0
RP5-994D16.9	2.03803
TMEM269	0.0838675
RP11-342M1.3	1.181
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.0744689
RP5-848E13.5	0
SLC2A1-AS1	1.01728
RP5-848E13.4	0
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.100995
CFAP57	0.219897
RNA5SP46	0
TMEM125	0.0407406
C1orf210	0.039873
TIE1	0.116607
MPL	0.0229178
RP1-92O14.3	0.760224
RP1-92O14.6	4.71525
SZT2-AS1	0
HYI-AS1	0.189353
KDM4A-AS1	1.36897
RP11-184I16.4	0.0709852
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.277504
RP11-7O11.3	0.517501
CCDC24	2.67906
RP5-1198O20.4	0.44252
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.184686
RP11-570P14.1	0.625393
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0
ERI3-IT1	0.569253
RNU6-369P	0
MIR5584	0
TMEM53	4.31049
C1orf228	0.496536
RNU5F-1	0
RNU5D-1	0
RP11-269F19.2	0.471813
SNORD46	1.81319
SNORD38A	0
RPS15AP11	0.748579
BEST4	0.277424
TCTEX1D4	0.974623
PTCH2	0.619182
RP5-882O7.1	1.3438
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.116715
MRPS17P1	0.0343227
ZSWIM5	0.307861
OSTCP5	0
LINC01144	0.990886
HPDL	4.35408
TESK2	1.87254
RP11-291L19.1	0
CCDC163	2.74655
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	0.368238
RPS15AP10	1.56277
RP11-767N6.2	1.69459
RP11-767N6.7	4.82697
RP11-630I5.1	0.121062
TMA16P2	0
PIK3R3	0.618183
RP4-533D7.4	0
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	0.46198
RP11-322N21.2	0
LURAP1	2.68652
RP4-603I14.3	0
FAAH	1.71692
FAAHP1	0.117716
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.309685
KNCN	0
NENFP1	0.0700296
TEX38	0.0736746
EFCAB14-AS1	0.120565
RP11-8J9.5	0
CYP4B1	0.106106
CYP4Z2P	0
RP11-346M5.1	0
CYP4A11	0
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	0.0585558
CYP4Z1	0
RP11-184J23.2	0
CYP4A22-AS1	0.626154
CYP4A22	0
MTND1P34	0
LINC00853	0.47363
PDZK1IP1	0.263281
TAL1	0.0160975
RP1-18D14.7	0
LINC01389	0.460611
FOXE3	0.0515969
FOXD2-AS1	4.21328
FOXD2	1.08388
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	0.113984
RP11-330M19.1	0
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.0659886
RP5-1024N4.4	0.123794
RP5-1024N4.5	0
SPATA6	3.67266
PPP1R8P1	0.0773873
RNU6-723P	0
RP11-329A14.1	0.201688
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0
BEND5	0.65292
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.533184
HMGB1P45	0
FCF1P6	0
DMRTA2	0
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.177772
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.202733
LINC01562	0.0373087
RP11-296A18.5	0.866569
RP11-296A18.6	0
TTC39A	0.112731
TTC39A-AS1	0
RP11-275F13.3	0.124585
RNU6-877P	0
RP11-253A20.1	0
RP11-191G24.1	0.0740086
RNU6-1281P	0
CALR4P	0
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	1.96986
RP4-657D16.6	0.229516
MIR761	0
TSEN15P2	0
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.253347
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.973181
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	0.745386
PLA2G12AP1	0.63821
RP11-25O10.2	0
EEF1GP7	0
FAM159A	0.0272459
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	2.63514
RNU6-969P	0
ZYG11A	0.573849
RP4-631H13.2	0
RP4-631H13.6	2.10681
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
PODN	4.41412
SLC1A7	0.259615
RP11-334A14.8	0.072303
RP5-1024G6.9	0
RP5-1024G6.2	0.228251
RP5-1024G6.7	0.0237671
RP5-1024G6.5	1.14501
RP4-784A16.1	0.0760119
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.111465
RP11-117D22.1	0
RP11-117D22.2	0
SLC25A3P1	0
DMRTB1	0
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.196689
HNRNPA3P12	0.306352
LDLRAD1	0
RP4-758J24.6	0.407458
TCEANC2	4.07517
MIR4781	0
RP4-758J24.4	0
CDCP2	0
RP11-446E24.3	0
CYB5RL	4.64791
SSBP3-AS1	1.16326
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	0.621092
FAM151A	0.0851324
RP11-240D10.4	0
MROH7	0.146483
TTC22	0.0209292
RP11-67L3.2	0
LEXM	0
RP11-67L3.5	0
RP11-67L3.4	0.300545
TMEM61	0
BSND	0
PCSK9	0.539459
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.861892
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0
RP11-504A18.1	0.237243
LINC01767	0.0593968
RPL21P23	0.216196
RPL23AP85	0
RP11-377K22.2	0
PRKAA2	1.64798
C1orf168	0.0277318
RP11-378I13.1	0
C8A	0.0235617
C8B	0
RP5-1103B4.3	0
DAB1	0.599673
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0469155
RPS26P15	0.148372
RP11-393I23.4	0
