Name	Esophagus - Mucosa
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.700665
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.0750108
MTCYBP45	0
DISP3	0.0320834
LINC01647	0
DRAXIN	0.0288462
C1orf167	0.00707237
RP11-56N19.5	0
NPPA-AS1	1.39965
NPPA	1.53579
NPPB	0.0895663
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.265663
MIR6729	0
RN7SL649P	0
TNFRSF8	0.283597
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	3.20249
RP5-888M10.2	0
RNU6ATAC18P	0.911903
MIR6730	0
RP11-474O21.5	1.99336
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0853018
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.20363
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	2.46021
C1orf195	0.0537028
RP1-21O18.3	0
RP5-903E17.2	0.081611
FHAD1	0.0506973
RP3-467K16.2	0.0301298
RP3-467K16.7	0
RP3-467K16.4	0.0250691
CTRC	0.386356
CELA2A	0.524547
CELA2B	0.250714
SCARNA21	0
RP4-680D5.8	0.277034
AGMAT	0.799037
RP4-680D5.2	0.0739868
CHCHD2P6	1.04022
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	1.37661
SLC25A34	1.91031
TMEM82	0
RP11-169K16.4	0
RPL12P14	0.277845
RP11-169K16.8	1.02072
FLJ37453	3.1216
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0130069
CLCNKA	0.0801099
RP11-5P18.10	0.317035
CLCNKB	0.0695216
FAM131C	1.37754
RP11-276H7.2	4.6448
RP11-276H7.3	3.18386
RSG1	4.79537
MT1XP1	1.802
RP11-430L17.1	0.155434
SPATA21	0.0149256
LINC01772	1.22539
CROCCP3	2.24542
RNU1-1	0
RP4-798A10.7	0.131906
RP4-798A10.4	0
LINC01783	0.0411251
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.31541
RP5-1182A14.5	0
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.692946
ESPNP	0.0317896
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	1.28488
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.110283
RP11-108M9.4	4.72339
RP11-108M9.5	2.00012
RNU1-2	0
RP11-108M9.6	0.287715
MFAP2	2.24057
RP1-37C10.3	0
PADI2	1.15867
RP11-380J14.1	0.448153
RP11-380J14.4	0
MIR3972	0
PADI4	0.147818
PADI6	0
RP11-473A10.2	0
ACTL8	0.0405085
LINC01654	0
IGSF21	0.436512
RP11-174G17.3	0.00899651
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	1.57634
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0.0151852
MIR4695	0
MIR1290	0
RP5-1126H10.2	0.843277
RP1-43E13.2	0.44891
AKR7L	0.683808
AKR7A3	2.03135
RP4-657E11.10	1.21229
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0473091
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G5	2.70356
PLA2G2D	0.0388891
PLA2G2F	0.0249091
RP3-340N1.2	0.0247821
PLA2G2C	0.201908
UBXN10	1.17821
LINC01757	0
VWA5B1	0.00984597
RP4-745E8.2	0
LINC01141	0
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.392861
PINK1-AS	2.464
KIF17	0.482502
RP5-930J4.5	0
SH2D5	0.193562
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0
RP5-1071N3.1	0.185109
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.729666
HS6ST1P1	1.00539
CROCCP5	0
NBPF3	2.00033
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	1.48369
RP11-26H16.1	0.0925726
RP11-26H16.4	0
CELA3B	0.911961
RN7SL386P	0
RNU6-1022P	0
CELA3A	3.03298
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0.113925
RP1-224A6.8	0.147034
RP1-224A6.9	0.877171
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.579877
EPHA8	0.0225313
MIR6127	0
EPHB2	0.214612
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.100054
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.01118
RP5-1057J7.1	0
ZNF436-AS1	4.98291
RP5-1057J7.7	0.890172
RP4-654C18.1	0
RP1-150O5.3	0.195036
MDS2	0.0328367
RP11-223J15.2	0
ELOA-AS1	1.79325
CNR2	0.0665618
BTBD6P1	0.030537
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.299635
RP11-293P20.4	0
IFNLR1	4.66607
RP11-10N16.2	0.0988594
RP11-10N16.3	0.447643
STPG1	2.70508
RP4-594I10.3	0
NCMAP	0.136537
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	2.90167
MIR6731	0
RP11-84D1.1	0.0969665
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.608752
RP3-465N24.5	0.74771
RHD	0.210493
SDHDP6	0.339937
RP11-335G20.7	0
RHCE	0.586626
RP3-469D22.1	0.219942
RP11-70P17.1	0.646873
MAN1C1	2.45717
RP1-187B23.1	0.0830128
RP1-317E23.3	1.10255
AUNIP	1.72459
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.10578
SLC30A2	0.0360822
RP11-96L14.9	0
TRIM63	0.289042
FAM110D	2.60655
RP11-96L14.8	0
RP11-96L14.7	0.216338
ZNF593	0
CATSPER4	0.0470011
RP11-231P20.2	0.0676641
RP11-231P20.6	0
RP11-231P20.5	0.147561
RP11-569G9.7	4.6939
ZNF683	0.239433
LIN28A	0.0106525
RP3-476K8.4	0.341009
RP3-476K8.3	0.428872
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.634203
RN7SL165P	0
NR0B2	0.0371452
RPL12P13	0.115384
RP11-344H11.5	0
OSTCP2	0.0867166
RP11-40H20.5	0
CHCHD3P3	0.0625975
NPM1P39	0.415707
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.156414
RNU6-48P	0.394461
ACTG1P20	2.20641
FCN3	3.09229
RP1-144C9.2	0
GPR3	0.582441
RP4-752I6.1	0
RP1-159A19.4	0.968078
RP1-159A19.3	1.38882
RP11-288L9.1	0
RP11-288L9.4	0.0398761
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.488596
RPEP3	0
RP3-426I6.5	0.756575
RP3-426I6.6	1.187
RNU6-1245P	0
SCARNA1	0
THEMIS2	4.5279
SMPDL3B	0.88688
RP11-460I13.2	0
RP11-460I13.6	0.975491
RN7SL559P	0.126431
SPCS2P4	1.0494
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
RP5-1092A3.4	2.26508
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0.272519
PRDX3P2	0.213089
RP4-669K10.8	0.435619
SNORD99	0
SNORA16A	0
RAB42	0.580737
LINC01715	0.307409
RNU11	0
GMEB1	4.98032
SCARNA24	0
OPRD1	0.0198368
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0.0962239
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	2.07927
RP11-467D18.2	0.1567
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.0577585
MATN1-AS1	0.987292
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.0561604
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.607946
RP11-490K7.4	1.16112
RP11-266K22.2	0
FABP3	2.51008
RP11-439L8.2	0.0419683
RNU6-40P	0
LINC01225	0.120832
Y_RNA	0
LINC01226	0.0630524
RP11-73M7.1	0.20147
HCRTR1	0.0332269
RP11-73M7.6	0.847283
RP11-73M7.9	0
ADGRB2	0.48361
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.119705
RP11-84A19.2	0
RP11-84A19.4	0.349129
RP4-534N18.2	0.11257
RP11-277A4.4	0.109603
MIR5585	0
Metazoa_SRP	0
CCDC28B	2.02281
RP4-622L5.7	0.784009
IQCC	2.98349
DCDC2B	0.326735
FAM167B	4.077
LCK	2.60015
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0
TSSK3	4.8298
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.00727008
ZBTB8A	2.07022
Y_RNA	0
SYNC	3.54991
RP11-114B7.6	0.402595
FNDC5	0.611101
HPCA	0.152981
RP5-1174N9.2	0.100952
RP4-803A2.1	0
RP4-803A2.2	0.0316801
Metazoa_SRP	0
RP1-117O3.2	0.0550599
AZIN2	0.793877
RP11-131M11.2	1.04064
RP11-131M11.3	0.439761
RP11-415J8.7	0.545842
A3GALT2	0.066098
RP11-415J8.3	1.733
MIR3605	0
RN7SKP16	1.36109
RP11-415J8.5	0.090538
TLR12P	0
ZSCAN20	1.00127
RP4-580O19.2	0.0697935
CSMD2	0.0553112
HSPD1P14	0
HMGB4	0.0192629
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB4	2.42961
RP1-34M23.5	0
RP5-997D16.2	4.04235
DLGAP3	0.214765
RP11-244H3.1	2.22729
RPL12P45	0
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.424448
TFAP2E	1.87188
C1orf216	4.86752
CLSPN	1.07813
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	2.50071
RP4-665N4.8	0.173532
RP4-665N4.4	0.0196193
TEKT2	0.236872
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
OSCP1	3.03551
SNORA63	0
CSF3R	2.83561
FTLP18	0
RP4-614N24.1	0
GRIK3	0.525979
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
MIR6732	0
MIR5581	0
FTH1P1	0.264421
RP3-423B22.5	0.381621
DNALI1	1.31492
RSPO1	3.38161
EPHA10	0.429213
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	3.14431
RP11-109P14.8	0
INPP5B	4.64543
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0
POU3F1	3.51211
RP5-884C9.2	1.37166
RP5-884C9.3	0
MIR3659	0
LINC01343	0.0585458
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.286155
RP5-864K19.4	0.655546
GJA9	0.803644
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.178387
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.54519
OXCT2P1	0.21714
PPIEL	1.72971
SNORA55	0.999611
RP11-69E11.8	0.395289
HEYL	2.3563
RP1-144F13.3	0
NT5C1A	0.0796247
HPCAL4	0.263696
RP1-144F13.4	0
RNU7-121P	0
BMP8B	1.52718
OXCT2	0.210561
RP1-118J21.25	0.318681
RP1-118J21.24	0
Y_RNA	0
RP1-118J21.5	0.152927
Y_RNA	0
RP3-342P20.2	3.72521
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0.0882319
COL9A2	1.52379
RP1-228H13.1	0.167281
RP1-228H13.2	0
ZFP69B	0.809479
RP1-228H13.5	0.94903
RP11-656D10.7	0.118158
ZFP69	2.37143
RP11-656D10.3	0.622493
EXO5	3.09081
RP11-656D10.5	0
RP11-656D10.6	0.490384
ZNF684	1.24845
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	1.31786
RP4-739H11.3	0
NFYC-AS1	2.85984
MIR30E	0
MIR30C1	0
KCNQ4	3.36574
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.612555
SLFNL1	0.532146
RPL23AP17	0
RP11-399E6.1	0.0241523
RP11-399E6.2	0
FOXO6	0.681951
RP11-399E6.4	0.334145
RNA5SP45	0
HIVEP3	3.52997
RP11-486B10.3	0
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.264248
RIMKLA	0.145857
RP11-157D18.2	0
ZMYND12	0.537427
CCDC30	0.398207
RP11-163G10.2	0
TMSB4XP1	0.397637
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.694148
CLDN19	0.0486794
RP5-994D16.9	1.4226
TMEM269	0.0880503
RP11-342M1.3	0.422216
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.0503734
RP5-848E13.5	0.875366
SLC2A1-AS1	1.46957
RP5-848E13.4	0.0886826
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	2.69732
CFAP57	0.049635
RNA5SP46	0
MPL	0.162065
RP1-92O14.3	1.54483
RP1-92O14.6	2.72499
SZT2-AS1	0
HYI-AS1	0.135202
KDM4A-AS1	1.32113
ST3GAL3	3.17384
RP11-184I16.4	0
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	1.97282
RP11-7O11.3	0.830625
CCDC24	4.43028
RP5-1198O20.4	0.19426
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.119117
RP11-570P14.1	0.345328
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0
ERI3-IT1	0.140967
RNU6-369P	0
MIR5584	0
TMEM53	3.17772
C1orf228	0.528732
RNU5F-1	0
RNU5D-1	0
RP11-269F19.2	0.206356
SNORD46	2.2224
SNORD38A	0
RPS15AP11	0.603355
BEST4	0.386245
TCTEX1D4	0.822211
BTBD19	3.28727
PTCH2	1.02414
RP5-882O7.1	0.81327
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.0922316
MRPS17P1	0.0100829
ZSWIM5	2.12923
OSTCP5	0
LINC01144	1.15085
HPDL	3.03753
RP11-291L19.1	0.102974
CCDC163	1.63438
MMACHC	3.17586
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	1.95515
RPS15AP10	1.75914
RP11-767N6.2	1.66696
IPP	4.65312
RP11-767N6.7	3.32111
RP11-630I5.1	0.0748325
TMA16P2	0
PIK3R3	4.76504
RP4-533D7.4	0.0457449
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	2.92096
RP11-322N21.2	0
LURAP1	2.30446
RAD54L	4.69156
RP4-603I14.3	0
FAAHP1	0.172824
LINC01398	0
DMBX1	0.0294096
RP11-49P4.7	0
MKNK1-AS1	0.518856
KNCN	0
NENFP1	0.101366
TEX38	0.116221
EFCAB14-AS1	0.304418
RP11-8J9.5	0
CYP4Z2P	0.21147
RP11-346M5.1	0.0295623
CYP4A11	0.068826
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	0.925668
RP11-184J23.2	0.0479054
CYP4A22-AS1	0.269633
CYP4A22	0.0695194
MTND1P34	0
LINC00853	0.444006
TAL1	2.27847
RP1-18D14.7	0.374979
STIL	3.44838
LINC01389	0.382785
FOXE3	0.0139741
FOXD2-AS1	0.724825
FOXD2	0.149983
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	1.7205
RP11-330M19.1	0.145398
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.217288
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.476777
RP5-1024N4.4	0.856444
RP5-1024N4.5	0.0973052
SPATA6	2.87611
PPP1R8P1	0.0704744
RNU6-723P	0
RP11-329A14.1	0.065376
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.00665537
BEND5	1.48422
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.0239947
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.351128
HMGB1P45	0
FCF1P6	0
DMRTA2	2.0827
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.30705
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0709093
LINC01562	0.0460164
RP11-296A18.5	0.638145
RP11-296A18.6	0.138022
TTC39A-AS1	0.189823
RP11-275F13.3	0.225401
RNU6-877P	0
RP11-253A20.1	0.0957284
RP11-191G24.1	0.24673
RNU6-1281P	0
CALR4P	0
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	1.71687
RP4-657D16.6	0.274287
MIR761	0
TSEN15P2	0
RAB3B	0.0176901
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.772323
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.0968974
RP11-155O18.6	2.36185
PLA2G12AP1	0.578984
ORC1	3.82185
RP11-25O10.2	0
EEF1GP7	0
GPX7	3.1537
FAM159A	0.153252
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	1.96503
RNU6-969P	0
ZYG11A	0.893576
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	0.941337
RP11-334A14.8	0.237406
RP5-1024G6.9	0
RP5-1024G6.2	0.195978
RP5-1024G6.7	0.0123438
RP5-1024G6.5	0.604409
RP4-784A16.1	0.200092
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0
RP11-117D22.1	0
RP11-117D22.2	0.0610202
SLC25A3P1	0
DMRTB1	0
GLIS1	0.97809
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.172546
HNRNPA3P12	0.208801
LDLRAD1	0.443178
RP4-758J24.6	1.40533
TCEANC2	2.50321
MIR4781	0
RP4-758J24.4	0
CDCP2	0.100155
RP11-446E24.3	0.0465321
CYB5RL	2.22171
SSBP3-AS1	1.34664
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0.296795
RP5-866L20.2	0
HNRNPA1P63	0
FAM151A	0.631898
RP11-240D10.4	0
MROH7	2.1902
PARS2	4.17455
RP11-67L3.2	2.1928
RP11-67L3.5	0
RP11-67L3.4	0.678401
TMEM61	2.89935
BSND	0.0143073
PCSK9	4.9358
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.0189491
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0
RP11-504A18.1	0.227547
LINC01767	0.0938133
RPL21P23	0
RPL23AP85	0
RP11-377K22.2	0
PRKAA2	2.71122
C1orf168	0.371557
RP11-378I13.1	0
C8A	0
C8B	0
RP5-1103B4.3	0
DAB1	0.0786567
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0302942
RPS26P15	0.146439
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0
RN7SL713P	0
RP4-592A1.2	0.596989
RP11-63G10.4	0.2524
LINC01135	0.134396
RP11-63G10.3	0.381953
RP11-63G10.2	0
RP4-794H19.1	0.484771
LINC01358	0.167716
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0
RP11-467C18.1	0.0849365
FGGY	1.32068
MIR4711	0
RP4-782L23.2	0.162338
RN7SL475P	0
C1orf87	0.00946596
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.382761
RP11-436K8.1	0.0251177
NFIA-AS2	0.0676242
RP4-802A10.1	0.21663
