Name	Colon - Sigmoid
UTS2	0.0331776
TNFRSF9	0.0256456
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.240118
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	2.67353
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0547609
RPL7P7	0.0594357
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.176297
ENO1-AS1	0.275081
RNU6-304P	0
HMGN2P17	0.0574946
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0.0446239
SLC2A5	2.62053
SCARNA16	0
GPR157	3.22978
MIR34AHG	4.01649
LINC01759	0.456998
RP3-510D11.4	0.0554445
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	4.77028
RP13-15M17.1	0.438322
PIK3CD-AS1	0.0192544
RP11-558F24.2	0
PIK3CD-AS2	1.24594
MZT1P1	0
RP11-84A14.7	0.0277541
RP11-84A14.4	0.522481
RN7SKP269	0.184706
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.72014
RN7SL614P	0.143129
RP4-734G22.3	4.15501
HSPE1P24	0
C1orf127	0.124576
CFL1P6	0.0727051
RP4-635E18.7	3.88616
RP4-635E18.6	0.322412
MTOR-AS1	0
RNU6-537P	0
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.0740479
MTCYBP45	0
DISP3	0.128161
LINC01647	0
DRAXIN	0.103401
C1orf167	0.0110994
RP11-56N19.5	0
NPPA-AS1	1.44007
NPPA	3.68698
NPPB	0.325281
RP5-934G17.6	0.0193891
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	1.20555
MIR6729	0
RN7SL649P	0
TNFRSF8	0.630663
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	1.42174
RP5-888M10.2	0.0914981
RNU6ATAC18P	0.453513
MIR6730	0
RP11-474O21.5	2.84926
AADACL4	0.358138
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0747395
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.12206
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
KAZN	3.85386
RNU6-1265P	0
RP11-344F13.1	0.15065
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	2.12518
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.226663
RP3-467K16.2	0.59647
RP3-467K16.7	0.158579
RP3-467K16.4	0.0429446
CTRC	0.231537
CELA2A	0.173356
CELA2B	0.113757
SCARNA21	0
RP4-680D5.8	0.219267
AGMAT	0.210552
RP4-680D5.2	0.0993147
CHCHD2P6	1.23555
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	1.19095
SLC25A34	4.61723
TMEM82	0.0238804
RP11-169K16.4	0
RPL12P14	0.293841
RP11-169K16.8	1.47877
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0419092
CLCNKA	0.571961
RP11-5P18.10	0.0750182
CLCNKB	0.449152
FAM131C	0.432717
RP11-276H7.2	0.292481
RP11-276H7.3	0.127284
ARHGEF19	3.8959
ANO7L1	0.334687
RSG1	4.8415
MT1XP1	0.758156
RP11-430L17.1	0.147643
SPATA21	0.0492311
LINC01772	3.50011
RNU1-1	0
RP4-798A10.7	0.225856
RP4-798A10.4	0
LINC01783	0.596092
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
RP5-1182A14.5	0
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.535425
ESPNP	0.0149927
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	1.22337
RNU1-2	0
RP11-108M9.6	0.351074
RP1-37C10.3	0.222884
PADI2	1.01818
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0236465
PADI3	0
MIR3972	0
PADI4	0.116581
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	1.61843
RP11-174G17.3	0.0284756
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0094722
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.00743428
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.41604
RP1-43E13.2	1.40077
AKR7L	0.825797
AKR7A3	1.77109
RP4-657E11.10	1.62443
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.101509
RNF186	0.0596045
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2D	0.392635
PLA2G2F	0.0477285
RP3-340N1.2	0.136004
PLA2G2C	3.10707
LINC01757	0
VWA5B1	0.0271553
RP4-745E8.2	0
LINC01141	0
RP4-749H3.2	0
RPS4XP4	0
FAM43B	1.25195
PINK1-AS	2.8833
KIF17	1.21685
RP5-930J4.5	0
SH2D5	0.424987
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.0671066
RP5-1071N3.1	0.331338
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.95482
HS6ST1P1	0.582213
CROCCP5	0
NBPF3	2.42054
PFN1P10	0
ALPL	2.75395
RP11-63N8.3	0
RAP1GAP	1.70977
RP11-132G19.3	0
RP11-26H16.1	0.176888
RP11-26H16.4	0
CELA3B	0.216687
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.761706
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0.132635
RP1-224A6.8	0.133496
RP1-224A6.9	0.88839
WNT4	0.364536
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.855126
EPHA8	0.0154077
MIR6127	0
EPHB2	1.35686
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.0859669
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.102365
RP5-1057J7.1	0
RP5-1057J7.7	1.22162
RP4-654C18.1	0
E2F2	0.10309
RP1-150O5.3	0.312958
MDS2	0.0205849
RP11-223J15.2	0
ELOA-AS1	2.79773
GALE	4.80188
CNR2	0.00946526
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0983243
RP11-293P20.4	0
IL22RA1	0.271375
IFNLR1	0.18316
RP11-10N16.2	0
RP11-10N16.3	0.0387321
GRHL3	0.0714981
STPG1	2.54535
RP4-594I10.3	0
NCMAP	0.0427879
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.873522
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.743741
RP3-465N24.5	0.955103
RHD	0.333531
SDHDP6	0.787634
RP11-335G20.7	0
RHCE	0.186425
RP3-469D22.1	0.263643
RP11-70P17.1	1.66497
RP1-187B23.1	0.0989863
RP1-317E23.3	0.664114
AUNIP	0.785338
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	1.73885
SLC30A2	0.0464157
RP11-96L14.9	0
TRIM63	0.675075
PDIK1L	4.24488
FAM110D	4.27507
RP11-96L14.8	0
RP11-96L14.7	0.312718
ZNF593	0
CNKSR1	2.24696
CATSPER4	0
RP11-231P20.2	0.0675853
RP11-231P20.6	0
CEP85	3.97075
RP11-231P20.5	0
CD52	3.15301
AIM1L	0.0475445
RP11-569G9.7	0
ZNF683	0.0450586
LIN28A	0.00680134
RP3-476K8.4	0.257832
RP3-476K8.3	0.782959
DPPA2P2	0
RPS6KA1	3.73454
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.489136
RN7SL165P	0
SFN	1.75434
NR0B2	0.029616
KDF1	0.0879042
RPL12P13	0.0927176
RP11-344H11.5	0
OSTCP2	0
RP11-40H20.5	0
CHCHD3P3	0.135298
NPM1P39	0.400301
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.643586
RNU6-48P	0.285425
ACTG1P20	1.31054
SYTL1	0.865503
FCN3	2.38847
CD164L2	0
RP1-144C9.2	0
GPR3	0.723922
RP4-752I6.1	0
RP1-159A19.4	2.08366
RP1-159A19.3	0.91098
RP11-288L9.1	0
RP11-288L9.4	0.124899
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.314035
RPEP3	0
RP3-426I6.5	0.470407
RP3-426I6.6	1.32577
RNU6-1245P	0
SCARNA1	0
SMPDL3B	0.105637
RP11-460I13.2	0
RP11-460I13.6	0.384863
RN7SL559P	0
SPCS2P4	1.22381
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	2.49283
RP5-1092A3.4	1.32131
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0.0801554
RNU6ATAC27P	0
SNORA73A	1.18939
SNORA73B	2.52849
PRDX3P2	0.0787876
RP4-669K10.8	0.116522
SNORD99	0
SNORA16A	0
RAB42	0.963608
LINC01715	1.11099
RNU11	0
GMEB1	4.59601
SCARNA24	0
OPRD1	0.375349
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	2.72666
RP11-467D18.2	0.183377
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.14621
MATN1-AS1	1.41222
MIR4420	0
RP5-1125N11.1	0
LINC01778	2.03837
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.501465
RP11-490K7.4	1.82978
RP11-266K22.2	0
SERINC2	1.28459
RP11-439L8.2	0.0431696
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.0256345
RP11-73M7.1	2.01073
HCRTR1	0.147517
RP11-73M7.9	0.118086
ADGRB2	3.16204
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.115826
RP11-84A19.2	0
RP11-84A19.4	0.46659
RP4-534N18.2	0.189459
RP11-277A4.4	0.142783
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	1.51554
IQCC	4.28294
DCDC2B	0.677644
LCK	0.788036
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.141876
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0249471
ZBTB8A	4.20743
Y_RNA	0
RP11-114B7.6	0
FNDC5	1.87598
HPCA	0.60502
RP5-1174N9.2	0.0918295
RP4-803A2.1	0
RP4-803A2.2	0
Metazoa_SRP	0
RP1-117O3.2	0.061811
AZIN2	2.60796
RP11-131M11.2	1.26776
RP11-131M11.3	0.404543
RP11-415J8.7	0.495846
A3GALT2	0.146907
RP11-415J8.3	3.12674
MIR3605	0.485437
RN7SKP16	2.9613
RP11-415J8.5	0.376168
TLR12P	0
ZSCAN20	1.56479
RP4-580O19.2	0.177361
CSMD2	0.203916
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.0290683
RP4-657M3.2	0
MIR552	0
GJB5	0.177584
GJB4	0.0228558
GJB3	0.151633
RP1-34M23.5	0
RP5-997D16.2	4.8317
DLGAP3	0.575046
RP11-244H3.1	4.07335
RPL12P45	0
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.578659
TFAP2E	2.15571
CLSPN	0.0772692
RP11-435D7.3	0
RP4-789D17.4	0
RP4-665N4.8	0.156205
RP4-665N4.4	0.063292
TEKT2	1.01238
RN7SL131P	0
UBE2V2P4	0
SH3D21	1.98635
RNU4-27P	0
SNORA63	0.357214
CSF3R	4.61493
FTLP18	0
RP4-614N24.1	0
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	3.74234
MIR6732	0
MIR5581	0
FTH1P1	0.281598
RP3-423B22.5	0.458256
RSPO1	1.67896
CDCA8	0.778885
EPHA10	0.542615
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	1.91809
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.374184
POU3F1	0.0897488
RP5-884C9.2	0.0986916
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0501424
RP5-864K19.4	1.49541
GJA9	0.220688
RHBDL2	0.512839
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.915908
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.849453
OXCT2P1	0.806029
PPIEL	3.993
SNORA55	1.01596
RP11-69E11.8	0.247558
RP1-144F13.3	0
NT5C1A	0
HPCAL4	0.547752
RP1-144F13.4	0
RNU7-121P	0
BMP8B	4.14956
OXCT2	0.346735
RP1-118J21.25	0.155553
RP1-118J21.24	0
Y_RNA	0
MYCL	0.715586
RP1-118J21.5	0
Y_RNA	0
MFSD2A	4.97878
RP3-342P20.2	1.25515
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0
COL9A2	3.53639
RP1-228H13.1	0.192914
RP1-228H13.2	0
ZFP69B	0.581625
RP1-228H13.5	0.723493
RP11-656D10.7	0.112311
ZFP69	4.13333
RP11-656D10.3	2.00303
EXO5	4.11585
RP11-656D10.5	0
RP11-656D10.6	0.77941
ZNF684	2.71417
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
MIR30E	0
MIR30C1	0
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	2.2617
SLFNL1	1.94546
RPL23AP17	0
RP11-399E6.1	0.295531
RP11-399E6.2	0
FOXO6	3.98118
RP11-399E6.4	2.49988
RNA5SP45	0
EDN2	0.350419
HIVEP3	1.22047
RP11-486B10.3	0
RP11-486B10.4	0.0312641
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0.264007
GUCA2A	0.73775
RP11-223A3.1	0.580868
RIMKLA	2.66793
RP11-157D18.2	0
ZMYND12	1.35375
CCDC30	1.32024
RP11-163G10.2	0
TMSB4XP1	0.603374
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.857774
CLDN19	0.0249368
RP5-994D16.9	2.2392
TMEM269	0.143027
RP11-342M1.3	0.429984
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.0824017
RP5-848E13.5	0
SLC2A1-AS1	1.46198
RP5-848E13.4	0.0542462
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.106186
CFAP57	0.0665482
RNA5SP46	0
TMEM125	0.154404
C1orf210	0.165727
MPL	0.290715
RP1-92O14.3	0.905786
CDC20	0.625774
RP1-92O14.6	1.32243
SZT2-AS1	0
HYI-AS1	0.404521
KDM4A-AS1	1.03309
RP11-184I16.4	0.073921
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	1.31546
RP11-7O11.3	1.82002
RP5-1198O20.4	0.719489
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.536559
RP11-570P14.1	0.233908
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.103623
ERI3-IT1	0.396913
RNU6-369P	0
MIR5584	0
TMEM53	4.28508
C1orf228	1.61006
RNU5F-1	0
RNU5D-1	0
KIF2C	1.0403
RP11-269F19.2	0.100165
SNORD46	1.22803
SNORD38A	0
RPS15AP11	0.632273
BEST4	0.760008
TCTEX1D4	0.472803
BTBD19	4.29014
RP5-882O7.1	0.738918
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.0744099
MRPS17P1	0.0170819
ZSWIM5	4.3593
OSTCP5	0
LINC01144	1.14424
HPDL	0.406686
RP11-291L19.1	0
CCDC163	2.52557
MMACHC	2.65866
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	2.34282
RPS15AP10	1.13142
RP11-767N6.2	1.09808
RP11-767N6.7	4.15066
RP11-630I5.1	0.0819405
TMA16P2	0
RP4-533D7.4	0.166343
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	1.42821
RP11-322N21.2	0
LURAP1	4.76857
RAD54L	0.308613
RP4-603I14.3	0
FAAHP1	0.282741
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.694811
KNCN	0
NENFP1	0.0812349
TEX38	0.127424
EFCAB14-AS1	0.214077
RP11-8J9.5	0
CYP4Z2P	0.0335735
RP11-346M5.1	0
CYP4A11	0.0473837
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	2.19765
CYP4Z1	0.214212
RP11-184J23.2	0
CYP4A22-AS1	0
CYP4A22	0.0278053
MTND1P34	0
LINC00853	0.140071
PDZK1IP1	0.380659
TAL1	3.16953
RP1-18D14.7	0.48689
STIL	0.428161
LINC01389	0.394852
FOXE3	0.0487522
FOXD2-AS1	1.03174
FOXD2	0.275611
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0.0367372
TRABD2B	4.92107
RP11-330M19.1	0.163333
RP4-683M8.2	0.0715136
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.589172
RP5-1024N4.6	0.0201447
RP5-1024N4.2	0.10516
SLC5A9	1.34734
RP5-1024N4.4	2.17779
RP5-1024N4.5	0.229012
PPP1R8P1	0.12284
RNU6-723P	0
RP11-329A14.1	0.0543392
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.087644
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	1.65619
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.241156
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0207119
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.241604
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0714943
LINC01562	0.107954
RP11-296A18.5	0.421321
RP11-296A18.6	0.11517
TTC39A	0.248042
TTC39A-AS1	0
RP11-275F13.3	0.210585
RNU6-877P	0
RP11-253A20.1	0.116283
RP11-191G24.1	0.262972
RNU6-1281P	0
CALR4P	0
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	2.50721
RP4-657D16.6	0.699527
MIR761	0
TSEN15P2	0
RAB3B	1.66979
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.753777
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	2.02219
PLA2G12AP1	0.26352
ORC1	0.452737
RP11-25O10.2	0
EEF1GP7	0
FAM159A	0.0937756
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	2.34691
RNU6-969P	0
ZYG11A	0.0431777
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	3.76289
RP11-334A14.8	1.28298
RP5-1024G6.9	0
RP5-1024G6.2	0.511728
RP5-1024G6.7	0.0342864
RP5-1024G6.5	0.315488
LRP8	0.87998
RP4-784A16.1	0
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.105611
RP11-117D22.1	0
RP11-117D22.2	0.10135
SLC25A3P1	0
DMRTB1	0
GLIS1	0.415103
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.14698
HNRNPA3P12	0.143675
LDLRAD1	0
RP4-758J24.6	1.45815
TCEANC2	2.71483
MIR4781	0
RP4-758J24.4	0
CDCP2	0.158243
RP11-446E24.3	0.0723103
CYB5RL	3.60627
SSBP3-AS1	2.34752
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	3.37854
FAM151A	0.382955
RP11-240D10.4	0.166715
PARS2	3.98424
TTC22	1.42752
RP11-67L3.2	0
LEXM	0
RP11-67L3.5	0
RP11-67L3.4	0
TMEM61	0.347032
BSND	0
PCSK9	0.0695319
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.0383999
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0.0817501
RP11-504A18.1	0.477567
LINC01767	0.058128
RPL21P23	0.106821
RPL23AP85	0
RP11-377K22.2	0
C1orf168	0.0522558
RP11-378I13.1	0
C8A	0
C8B	0
RP5-1103B4.3	0
DAB1	0.832847
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0509163
RPS26P15	0.120196
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0.0966806
RN7SL713P	0
TACSTD2	1.30056
RP4-592A1.2	0.384402
RP11-63G10.4	0.0943719
LINC01135	0.414074
RP11-63G10.3	0.449302
RP11-63G10.2	0
RP4-794H19.1	1.30124
LINC01358	0.0945068
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0.0254983
RP11-467C18.1	0.406368
FGGY	1.31324
MIR4711	0
RP4-782L23.2	0.168205
HOOK1	0.288774
CYP2J2	0.730579
RN7SL475P	0
C1orf87	0.0149953
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.0879116
