Name	Artery - Aorta
RP11-338N10.2	0.230573
RP11-338N10.3	0.700036
RP3-467L1.6	3.71654
RP3-467L1.4	1.28752
UTS2	0.0565343
TNFRSF9	0.11052
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.712152
CTA-215D11.4	0.0485035
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0.414598
RP5-1115A15.1	1.15918
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.419703
ENO1-AS1	0.453434
RNU6-304P	0
HMGN2P17	0.0671242
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	1.17258
SCARNA16	0
GPR157	4.67118
LINC01759	2.33823
RP3-510D11.4	0.270545
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	3.50054
RP13-15M17.1	0.28706
TMEM201	4.10845
PIK3CD-AS1	0.0315243
RP11-558F24.2	0
PIK3CD-AS2	1.37747
MZT1P1	0
RP11-84A14.7	0
RP11-84A14.4	0.360524
NMNAT1	4.42206
RN7SKP269	0.233185
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.100527
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	0.737967
RN7SL614P	0.168726
RP4-734G22.3	2.09396
HSPE1P24	0
C1orf127	0.129766
CFL1P6	0
MASP2	3.80396
RP4-635E18.7	4.1405
RP4-635E18.6	0.554099
MTOR-AS1	0
RNU6-537P	0
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0
MTCYBP45	0
DISP3	0.0235668
LINC01647	0
DRAXIN	0.0450618
C1orf167	0.0226441
RP11-56N19.5	0
NPPA-AS1	1.45459
NPPA	3.05339
NPPB	0.644777
RP5-934G17.6	0.0406893
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	1.04738
MIR6729	0
RN7SL649P	0
TNFRSF8	0.395015
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	2.96881
RP5-888M10.2	0.127539
RNU6ATAC18P	0.772907
MIR6730	0
AADACL4	0.0518727
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0734279
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.0193409
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.379956
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.0573707
RP3-467K16.2	0.603268
RP3-467K16.7	0.101652
RP3-467K16.4	0.0249791
CTRC	0.319019
CELA2A	0.392856
CELA2B	0.234247
DNAJC16	4.84738
SCARNA21	0
RP4-680D5.8	0
AGMAT	0.168969
RP4-680D5.2	0.0941944
CHCHD2P6	1.55651
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.198293
RP11-288I21.1	2.17018
TMEM82	1.71207
RPL12P14	0.42498
UQCRHL	4.87979
RP11-169K16.8	1.35285
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0331527
CLCNKA	1.41618
RP11-5P18.10	0.144135
CLCNKB	0.608719
FAM131C	0.706262
RP11-276H7.2	0.579183
RP11-276H7.3	0.253888
ANO7L1	0.945893
MT1XP1	2.28936
RP11-430L17.1	0.264954
SPATA21	0.111271
LINC01772	4.53858
RNU1-1	0
RP4-798A10.7	0.267321
RP4-798A10.4	0
LINC01783	0.0880283
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
RP5-1182A14.5	0
MST1P2	2.56378
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.632251
ESPNP	0.0176509
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.731441
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.14043
RP11-108M9.5	3.77756
RNU1-2	0
RP11-108M9.6	0.428926
RP1-37C10.3	0.966572
PADI2	0.737374
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.028732
PADI3	0
MIR3972	0
PADI4	0.260119
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
RP11-174G17.3	0.108356
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.00764668
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.92456
RP1-43E13.2	1.21123
AKR7L	0.548561
AKR7A3	1.37879
RP4-657E11.10	1.30343
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0781479
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2D	0.0293907
PLA2G2F	0
RP3-340N1.2	0.0488429
PLA2G2C	0
UBXN10-AS1	0
UBXN10	0.106139
LINC01757	0
VWA5B1	0.0057053
RP4-745E8.2	0
LINC01141	0
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.469348
CDA	4.89084
PINK1-AS	4.64185
KIF17	0.643805
RP5-930J4.5	0
SH2D5	0.338651
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.245959
RP5-1071N3.1	0.456013
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.66993
HS6ST1P1	0.36517
CROCCP5	0
NBPF3	2.01542
PFN1P10	0
ALPL	4.42818
RP11-63N8.3	0
RAP1GAP	0.395021
RP11-132G19.3	0
RP11-26H16.1	0.155575
RP11-26H16.4	0
CELA3B	0.560103
RN7SL386P	0
RNU6-1022P	0
CELA3A	1.75321
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0.0874186
RP1-224A6.8	0.0887794
RP1-224A6.9	0.594726
WNT4	0.173657
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	2.63908
EPHA8	0.0913889
MIR6127	0
EPHB2	1.23632
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0567861
RNU6-514P	0
RNU6-135P	0
HTR1D	0
RP5-1057J7.1	0
RP5-1057J7.7	0.791496
RP4-654C18.1	0
E2F2	0.169746
RP1-150O5.3	1.0478
MDS2	0.0809463
RP11-223J15.2	0
ELOA-AS1	3.17995
CNR2	0.0262284
BTBD6P1	0.0297841
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.480616
RP11-293P20.4	0
IL22RA1	0.303317
IFNLR1	0.285391
RP11-10N16.2	0
RP11-10N16.3	0
GRHL3	0.0814547
STPG1	1.73179
NIPAL3	4.06951
RCAN3	1.48749
RP4-594I10.3	0
NCMAP	0.0710097
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	3.33273
MIR6731	0
RP11-84D1.1	0.0729075
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.791514
RP3-465N24.5	1.38908
RHD	0.307079
SDHDP6	0.635378
RP11-335G20.7	0
RHCE	0.228287
RP3-469D22.1	0.199124
RP1-187B23.1	0.16245
RP1-317E23.3	0.827087
AUNIP	0.517836
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.398378
SLC30A2	0.0380925
RP11-96L14.9	0
TRIM63	0.334744
PDIK1L	2.8411
FAM110D	3.29924
RP11-96L14.8	0
RP11-96L14.7	0.368838
ZNF593	0
CNKSR1	1.69917
CATSPER4	0
RP11-231P20.2	0.231625
RP11-231P20.6	0
CEP85	2.48669
RP11-231P20.5	0
CD52	4.43495
AIM1L	0.0405791
RP11-569G9.7	0
ZNF683	0.148327
LIN28A	0
RP3-476K8.4	0.222364
RP3-476K8.3	0.871594
DPPA2P2	0
RPS6KA1	4.83673
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.686153
RN7SL165P	0
SFN	4.63248
NR0B2	0
KDF1	0.048248
RPL12P13	0.0447627
RP11-344H11.5	0
OSTCP2	0
RP11-40H20.5	0
CHCHD3P3	0.0992993
NPM1P39	0.395976
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.211294
RNU6-48P	0
ACTG1P20	1.63012
SYTL1	1.48535
FCN3	3.20691
CD164L2	0
RP1-144C9.2	0
GPR3	0.909896
RP4-752I6.1	0
RP1-159A19.4	0.928244
RP1-159A19.3	1.14647
RP11-288L9.1	0.0975324
RP11-288L9.4	0.121516
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.42416
RPEP3	0
RP3-426I6.5	0.776148
RP3-426I6.6	2.37357
RNU6-1245P	0
SCARNA1	0
SMPDL3B	0.109703
RP11-460I13.2	0
RP11-460I13.6	1.03444
RN7SL559P	0
SPCS2P4	1.76261
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	2.80123
RP5-1092A3.4	1.16259
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	1.50103
SNORA73B	3.23462
PRDX3P2	0
RP4-669K10.8	0.0734545
SNORD99	0
SNORA16A	0
RAB42	1.20903
LINC01715	1.46186
RNU11	0
GMEB1	4.77927
SCARNA24	0
OPRD1	0.0295959
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	2.11202
RP11-467D18.2	0.179831
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.181791
MATN1-AS1	1.64885
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.1283
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.0397052
RP11-490K7.4	2.62446
RP11-266K22.2	0
SERINC2	4.61301
RP11-439L8.2	0.0391574
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.0246793
RP11-73M7.1	2.10923
HCRTR1	0.517304
RP11-73M7.6	4.68389
RP11-73M7.9	0.196075
ADGRB2	3.52628
MIR4254	0
RP11-84A19.3	0
SPOCD1	2.02949
RP11-84A19.2	0
RP11-84A19.4	0.447678
RP4-534N18.2	0.180785
RP11-277A4.4	0.282328
MIR5585	0
Metazoa_SRP	0
CCDC28B	4.66321
RP4-622L5.7	1.51459
IQCC	3.18238
DCDC2B	0.709803
LCK	1.71829
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.128326
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0155477
ZBTB8A	4.6277
Y_RNA	0
RP11-114B7.6	0
HPCA	0.387049
RP5-1174N9.2	0.108826
RP4-803A2.1	0
RP4-803A2.2	0
Metazoa_SRP	0
RP1-117O3.2	0.047593
AZIN2	2.07007
RP11-131M11.2	1.50137
RP11-131M11.3	0.528574
RP11-415J8.7	2.01584
A3GALT2	0.27905
MIR3605	1.05198
RN7SKP16	4.34753
RP11-415J8.5	0.112474
TLR12P	0
ZSCAN20	1.87878
RP4-580O19.2	0.186595
CSMD2	0.67133
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.341357
GJB4	0.0411998
GJB3	0.452019
RP1-34M23.5	0
RP5-997D16.2	4.9295
DLGAP3	0.536736
RPL12P45	0
ZMYM1	4.72135
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.980226
TFAP2E	1.93563
CLSPN	0.170507
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	4.81838
RP4-665N4.8	0.401764
RP4-665N4.4	0
TEKT2	0.113048
RN7SL131P	0
UBE2V2P4	0
SH3D21	4.66113
RNU4-27P	0
SNORA63	0.50295
FTLP18	0
RP4-614N24.1	0
GRIK3	0.138645
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
MIR6732	0
MIR5581	0
FTH1P1	0.432052
RP3-423B22.5	0.445956
RSPO1	0.571873
CDCA8	1.08514
EPHA10	0.0206309
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	1.40726
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.482724
POU3F1	0.110547
RP5-884C9.2	0.366466
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.124966
RP5-864K19.4	1.66191
GJA9	0.159244
RHBDL2	0.34124
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	1.73715
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.532228
OXCT2P1	0.886407
PPIEL	4.12706
SNORA55	1.73292
RP11-69E11.8	0.41258
RP1-144F13.3	0.321727
NT5C1A	0.168057
HPCAL4	0.0659165
RP1-144F13.4	0
RNU7-121P	0
BMP8B	1.19926
OXCT2	0.224128
RP1-118J21.25	0.0555194
RP1-118J21.24	0
Y_RNA	0
MYCL	0.199113
RP1-118J21.5	0
Y_RNA	0
MFSD2A	0.705354
RP3-342P20.2	0.309822
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0.261048
RP1-228H13.1	0.208775
RP1-228H13.2	0
ZFP69B	1.0782
RP1-228H13.5	1.31191
RP11-656D10.7	0.173833
ZFP69	4.1794
RP11-656D10.3	1.26224
EXO5	3.22933
RP11-656D10.5	0
RP11-656D10.6	0.610158
ZNF684	2.9525
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
NFYC-AS1	3.61517
MIR30E	0
MIR30C1	0
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	3.56975
SLFNL1	2.27387
RPL23AP17	0
RP11-399E6.1	0.198929
RP11-399E6.2	0
RP11-399E6.4	2.00434
RNA5SP45	0
EDN2	1.1233
HIVEP3	1.32431
RP11-486B10.3	0
RP11-486B10.4	0.0284464
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.253184
RIMKLA	0.185444
RP11-157D18.2	0
ZMYND12	1.10799
CCDC30	1.32071
RP11-163G10.2	0
TMSB4XP1	1.79438
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.862069
CLDN19	0.0628824
RP5-994D16.9	2.28057
TMEM269	0.238297
RP11-342M1.3	0.507829
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.0908326
RP5-848E13.5	0.418743
SLC2A1-AS1	4.76228
RP5-848E13.4	0.255726
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0
CFAP57	0.392083
RNA5SP46	0
TMEM125	0.134098
C1orf210	0.0541942
MPL	0.275235
RP1-92O14.3	0.954377
CDC20	0.896074
RP1-92O14.6	1.70599
SZT2-AS1	0
HYI-AS1	0.264281
KDM4A-AS1	0.886089
RP11-184I16.4	0.0815286
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.687181
RP11-7O11.3	1.83196
RP5-1198O20.4	0.492589
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.228066
RP11-570P14.1	0.259052
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0
ERI3-IT1	0.500631
RNU6-369P	0
MIR5584	0
C1orf228	0.854281
RNU5F-1	0
RNU5D-1	0
KIF2C	2.08538
RP11-269F19.2	0.145631
SNORD46	2.4323
SNORD38A	0
RPS15AP11	0.514953
BEST4	1.70372
TCTEX1D4	2.43022
PTCH2	4.72283
RP5-882O7.1	0.614027
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.0978407
MRPS17P1	0.0177017
ZSWIM5	3.32235
OSTCP5	0
LINC01144	1.32614
HPDL	0.293222
RP11-291L19.1	0
CCDC163	3.41946
MMACHC	1.99859
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	1.9713
RPS15AP10	1.30011
RP11-767N6.2	1.43643
RP11-767N6.7	3.12473
RP11-630I5.1	0.0744764
TMA16P2	0
RP4-533D7.4	0.0958277
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	2.66674
RP11-322N21.2	0
RAD54L	0.591626
RP4-603I14.3	0
FAAHP1	0.296575
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	1.05718
KNCN	0
NENFP1	0.142978
TEX38	0.0981363
EFCAB14-AS1	0.291045
RP11-8J9.5	0
CYP4Z2P	0.0409655
RP11-346M5.1	0
CYP4A11	0.0893948
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	1.1194
RP11-184J23.2	0
CYP4A22-AS1	0.0735579
CYP4A22	0.108151
MTND1P34	0
LINC00853	0.772103
PDZK1IP1	4.12055
TAL1	1.91385
RP1-18D14.7	0.308002
STIL	0.561343
LINC01389	0.790874
FOXE3	0.0903004
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0.208141
RP11-330M19.1	1.55954
RP4-683M8.2	0.0583536
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	1.02141
RP5-1024N4.6	0.032674
RP5-1024N4.2	0
SLC5A9	0.774294
RP5-1024N4.4	1.77584
RP5-1024N4.5	0.236006
PPP1R8P1	0.120928
RNU6-723P	0
RP11-329A14.1	0.0651557
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.0789752
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.0469693
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.213714
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0353938
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.34492
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.129483
LINC01562	0.143065
RP11-296A18.5	0.511425
RP11-296A18.6	0.276947
TTC39A	0.314176
TTC39A-AS1	0
RP11-275F13.3	0.348807
RNU6-877P	0
RP11-253A20.1	0.179598
RP11-191G24.1	0.265997
RNU6-1281P	0
CALR4P	0
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	2.99466
RP4-657D16.6	0.917792
MIR761	0
TSEN15P2	0
RAB3B	0.0235624
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	1.22752
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.0901837
RP11-155O18.6	2.04771
PLA2G12AP1	0.413238
ORC1	0.497601
RP11-25O10.2	0
EEF1GP7	0
FAM159A	0.216227
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	2.3567
RNU6-969P	0
ZYG11A	0.0759922
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	2.74482
RP11-334A14.8	0.378047
RP5-1024G6.9	0
RP5-1024G6.2	0.441645
RP5-1024G6.7	0.0298286
RP5-1024G6.5	0.445665
RP4-784A16.1	0.15993
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.0959456
RP11-117D22.1	0
RP11-117D22.2	0
SLC25A3P1	0
DMRTB1	0
GLIS1	1.11017
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.242523
HNRNPA3P12	0.150653
LDLRAD1	0
RP4-758J24.6	1.37083
TCEANC2	2.09643
MIR4781	0
RP4-758J24.4	0
CDCP2	0.0596557
RP11-446E24.3	0.0255855
CYB5RL	3.62418
SSBP3-AS1	2.81479
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	3.41004
FAM151A	0.297432
RP11-240D10.4	0.109507
PARS2	2.81966
TTC22	0.0865934
RP11-67L3.2	0
LEXM	0
RP11-67L3.5	0
RP11-67L3.4	0.138177
TMEM61	4.77478
BSND	0.0201785
PCSK9	0.196964
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.103735
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0.135664
RP11-504A18.1	0.847379
LINC01767	0.0964991
RPL21P23	0.223798
RPL23AP85	0
RP11-377K22.2	0
C1orf168	0.0238911
RP11-378I13.1	0
C8A	0
C8B	0
RP5-1103B4.3	0
DAB1	0.121019
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0379662
RPS26P15	0.134007
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0
RN7SL713P	0
RP4-592A1.2	0.419265
RP11-63G10.4	0.0758809
LINC01135	0.424522
RP11-63G10.3	0.425714
RP11-63G10.2	0
RP4-794H19.1	1.70289
LINC01358	0.183708
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0.334237
RP11-467C18.1	1.17145
FGGY	1.65274
MIR4711	0
RP4-782L23.2	0.204447
HOOK1	0.311026
CYP2J2	0.15515
RN7SL475P	0
C1orf87	0.494496
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.0522037
RP11-436K8.1	0.111105
NFIA-AS2	0.802462
RP4-802A10.1	0.352674
NFIA-AS1	0
RP11-430G17.1	0
RP11-430G17.3	4.6449
RNU6-414P	0
RNU6-1177P	0
