Name	Brain - Substantia nigra
RP13-15M17.1	0.237828
PIK3CD	4.58069
PIK3CD-AS1	0.0325836
RP11-558F24.2	0
PIK3CD-AS2	0.195813
MZT1P1	0
RP11-84A14.7	0.0382952
RP11-84A14.4	0.199917
NMNAT1	2.76506
RN7SKP269	0.102127
RP11-84A14.6	0.163392
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0.240685
RP4-736L20.3	0
CORT	2.15485
RN7SL614P	0
CASZ1	0.204514
RP4-734G22.3	0.14275
HSPE1P24	0
C1orf127	0.279985
CFL1P6	0.0494949
MASP2	1.02404
RP4-635E18.7	1.40732
RP4-635E18.6	0.957873
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.194436
RNU6-291P	0
RPL39P6	0
UBIAD1	3.99813
UBE2V2P3	0
MTCYBP45	0
DISP3	1.78861
LINC01647	0.0203335
DRAXIN	0.0918312
C1orf167	0.00707224
RP11-56N19.5	0
MTHFR	3.9282
NPPA-AS1	0.567129
NPPA	1.47247
NPPB	0.257143
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0
MIR6729	0
RN7SL649P	0
TNFRSF8	0.0964541
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.559254
RP5-888M10.2	0.0693511
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.427402
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0.0583818
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.03547
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.0751836
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.335826
TMEM51	3.50623
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.0946795
RP3-467K16.2	0.0236852
RP3-467K16.7	0
RP3-467K16.4	0.0404368
CTRC	0.0678149
CELA2A	0.0920353
CELA2B	0.0639824
DNAJC16	3.13483
SCARNA21	0
RP4-680D5.8	0.149428
AGMAT	0.609635
RP4-680D5.2	0.0737316
CHCHD2P6	1.29751
RNU7-179P	0
CD24P1	0
DDI2	3.70632
RP4-680D5.9	0
RP11-288I21.1	0.267479
SLC25A34	1.57325
TMEM82	0
RP11-169K16.4	0
FBLIM1	1.08496
RPL12P14	0.0756958
UQCRHL	4.57082
RP11-169K16.8	0.499541
FLJ37453	3.29466
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	2.95532
HSPB7	2.03652
CLCNKA	0.218262
RP11-5P18.10	3.35602
CLCNKB	0.128857
EPHA2	2.90883
RP11-276H7.2	0.0874318
RP11-276H7.3	0
ARHGEF19	0.769497
ANO7L1	0.183722
RSG1	4.60963
MT1XP1	0.849874
FBXO42	3.98758
RP11-430L17.1	0.0819831
SPATA21	0.0350753
LINC01772	1.25929
CROCCP3	2.51958
RNU1-1	0
RP4-798A10.7	0.424873
RP4-798A10.4	0.13787
LINC01783	0.0616093
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	4.23578
RP5-1182A14.5	0.135791
MST1P2	1.33189
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.229217
ESPNP	0.0484419
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.343216
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.116205
RP11-108M9.4	4.53664
RP11-108M9.5	1.7565
RNU1-2	0
RP11-108M9.6	0.257221
MFAP2	0.107822
RP1-37C10.3	0
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	1.17237
PADI3	0.0188473
MIR3972	0
PADI4	0.153329
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
RP11-174G17.3	0.089636
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0320122
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.187936
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	0.62401
RP1-43E13.2	1.22751
AKR7L	0.806625
AKR7A3	2.8445
RP4-657E11.10	2.48021
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0.0985577
RP5-1056L3.3	2.1905
HTR6	0.0833639
TMCO4	2.0565
RNF186	0
RP11-91K11.2	0
OTUD3	3.44469
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.331695
PLA2G2D	0.0240464
PLA2G2F	0
RP3-340N1.2	0.158316
PLA2G2C	0.111663
UBXN10	2.10112
LINC01757	0
VWA5B1	0.0697114
RP4-745E8.2	0
LINC01141	0.667059
RP4-749H3.2	0
RPS4XP4	0
CDA	3.06143
PINK1-AS	1.00259
KIF17	1.15788
RP5-930J4.5	0
SH2D5	1.52317
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.105982
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0
RP5-1071N3.1	0.0595576
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.318937
HS6ST1P1	0.462158
CROCCP5	0
NBPF3	0.93183
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	0.156437
HSPG2	1.45915
RP11-26H16.1	0.0419097
RP11-26H16.4	0
CELA3B	0.044979
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.111723
RN7SL186P	0
RNU6-776P	0
LINC01635	0.0674496
CDC42-IT1	0
RP1-224A6.8	0
RP1-224A6.9	0.532355
WNT4	0.393638
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40	4.20533
ZBTB40-IT1	0
EPHA8	0.665583
MIR6127	0
EPHB2	1.97763
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.208754
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
LUZP1	4.07445
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.16437
RP5-1057J7.1	0
LINC01355	2.6159
RP5-1057J7.7	0.120925
TCEA3	3.45758
RP4-654C18.1	0
E2F2	0.0282485
RP1-150O5.3	0.133174
MDS2	0.0506103
RP11-223J15.2	0
ELOA-AS1	1.82427
GALE	3.86108
CNR2	0.00425144
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.034044
RP11-293P20.4	0
IL22RA1	0.0685505
IFNLR1	0.621587
RP11-10N16.2	0.0233263
RP11-10N16.3	0.027597
GRHL3	0.29183
STPG1	2.43231
RCAN3	4.26313
RP4-594I10.3	0
NCMAP	0.39453
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.8405
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0.10573
RP4-706G24.1	0
RP3-465N24.6	0.729088
RP3-465N24.5	0.228906
RHD	0.154641
SDHDP6	0.233307
RP11-335G20.7	0
RHCE	0.980864
RP3-469D22.1	0.0626917
RP11-70P17.1	0.746021
MAN1C1	4.57357
RP1-187B23.1	0.0487442
RP1-317E23.3	0.319576
AUNIP	0.373332
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0.129795
RP1-125I3.4	0
MIR3917	0
PAFAH2	4.30856
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	3.98924
SLC30A2	0.0258856
RP11-96L14.9	0
TRIM63	0.145677
PDIK1L	2.61424
FAM110D	1.80865
RP11-96L14.8	0
RP11-96L14.7	0.289014
ZNF593	0
CNKSR1	1.92863
CATSPER4	0
RP11-231P20.2	1.11448
RP11-231P20.6	0
CEP85	4.64896
RP11-231P20.5	0.0598413
CD52	1.50517
AIM1L	0.0146284
RP11-569G9.7	0
ZNF683	0.131911
LIN28A	0
RP3-476K8.4	0.0727184
RP3-476K8.3	0.277353
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.194829
PIGV	4.92458
RN7SL165P	0
SFN	0.780517
NR0B2	0
KDF1	0.0383046
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
FAM46B	0.418365
RP11-40H20.5	0
CHCHD3P3	0
NPM1P39	0.0997669
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.714854
RNU6-48P	0
ACTG1P20	0.362393
SYTL1	0.522506
FCN3	0.599687
CD164L2	0.0345496
RP1-144C9.2	0.0600262
GPR3	1.95474
RP4-752I6.1	0
RP1-159A19.4	0.386596
RP1-159A19.3	0.976112
RP11-288L9.1	0.138173
RP11-288L9.4	0.0712787
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
FAM76A	4.24356
RP3-426I6.2	0.0700828
RPEP3	0
RP3-426I6.5	0.182138
RP3-426I6.6	1.0039
RNU6-1245P	0
SCARNA1	0
SMPDL3B	0.058726
RP11-460I13.2	0
EYA3	4.56308
RP11-460I13.6	0.132825
RN7SL559P	0
SPCS2P4	1.05844
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	2.40006
RP5-1092A3.4	1.0083
RP5-1092A3.5	0
MED18	4.16288
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
RCC1	2.64169
SNORA73A	0.289734
SNORA73B	0.433343
PRDX3P2	0
RP4-669K10.8	0.139391
TRNAU1AP	4.84844
SNORD99	0
SNORA44	1.65779
SNORA16A	0
RAB42	0.385822
LINC01715	0.900861
RNU11	0
GMEB1	1.74338
SCARNA24	0
OPRD1	0.102278
RP1-212P9.3	0.0344286
Y_RNA	0
EPB41	2.16002
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	0.902037
RP11-242O24.3	0
uc_338	0.128263
RP11-467D18.2	0
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.29726
MATN1-AS1	1.2268
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.489929
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
RP11-490K7.4	0.843556
RP11-266K22.2	0
SERINC2	1.77051
RP11-439L8.2	0
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00472542
RP11-73M7.1	0.0400754
HCRTR1	0.160023
RP11-73M7.6	3.06285
RP11-73M7.9	0.173919
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.819042
RP11-84A19.2	0.093001
RP11-84A19.4	0.201972
RP4-534N18.2	0.104843
RP11-277A4.4	0.0681143
TMEM39B	4.63807
MIR5585	0
Metazoa_SRP	0
CCDC28B	4.66219
RP4-622L5.7	0.359202
IQCC	2.1116
DCDC2B	0.145135
TMEM234	4.19417
FAM167B	1.97087
LCK	0.291305
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.160976
TSSK3	1.6512
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.608745
ZBTB8A	0.885384
Y_RNA	0
SYNC	2.06057
RP11-114B7.6	0
KIAA1522	3.47321
RP5-1174N9.2	0.196134
RP4-803A2.1	0.0898213
RP4-803A2.2	0.0361405
Metazoa_SRP	0
RP1-117O3.2	0.0627919
RP11-131M11.2	0.833252
RP11-131M11.3	0.472041
RP11-415J8.7	0.208533
A3GALT2	0.04683
RP11-415J8.3	0.979547
MIR3605	0
RN7SKP16	0.354515
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.519207
RP4-580O19.2	0.11264
CSMD2	1.20401
HSPD1P14	0
HMGB4	0.0176782
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.454789
RP4-657M3.2	0
MIR552	0
SMIM12	4.38816
GJB5	0.442312
GJB4	0.00934605
GJB3	0.0415555
RP1-34M23.5	0
RP5-997D16.2	1.43246
RP11-244H3.1	1.4314
ZMYM6	3.67604
RPL12P45	0
ZMYM1	1.29985
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	1.26553
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.388875
TFAP2E	4.34388
CLSPN	0.0819445
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	2.40595
RP4-665N4.8	0.0354025
RP4-665N4.4	0.0942605
TEKT2	1.00022
COL8A2	1.55802
RN7SL131P	0
UBE2V2P4	0
SH3D21	1.85121
RNU4-27P	0
OSCP1	4.06244
SNORA63	0.681888
FTLP18	0
RP4-614N24.1	0
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0.453949
RNA5SP43	0
RPS29P6	0.436292
LINC01137	2.78987
ZC3H12A	1.33265
MIR6732	0
MIR5581	0
SNIP1	2.9294
FTH1P1	0.0518151
RP3-423B22.5	0.170476
RSPO1	0.0122893
C1orf109	3.44169
CDCA8	0.667608
EPHA10	1.57935
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	4.61437
MTF1	3.6731
RP11-109P14.8	0
INPP5B	3.50404
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.285462
POU3F1	0.401119
RP5-884C9.2	1.03229
RP5-884C9.3	0
MIR3659	0
LINC01343	0.0103743
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0198492
RP5-864K19.4	3.34871
MYCBP	3.385
GJA9	0.659089
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.314243
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.833698
OXCT2P1	0.243102
RP11-69E11.4	4.60872
PPIEL	1.04857
SNORA55	0
RP11-69E11.8	0
RP1-144F13.3	0.0804569
NT5C1A	0.79006
RP1-144F13.4	0
RNU7-121P	0
BMP8B	1.51472
OXCT2	0.2752
RP1-118J21.25	0.211655
RP1-118J21.24	0
Y_RNA	0
MYCL	0.388538
RP1-118J21.5	0
Y_RNA	0
RP3-342P20.2	1.56908
RP11-115D7.3	0.069152
RLF	4.58235
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0
RP1-228H13.1	0.0810412
RP1-228H13.2	0
ZFP69B	0.781492
RP1-228H13.5	1.51598
RP11-656D10.7	0.516077
ZFP69	2.37698
RP11-656D10.3	0.68479
EXO5	1.01542
RP11-656D10.5	0
RP11-656D10.6	0.399756
ZNF684	1.86736
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
NFYC-AS1	2.46536
MIR30E	0
MIR30C1	0
KCNQ4	1.7895
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
CTPS1	3.40215
SLFNL1-AS1	0.116539
SLFNL1	0.117276
RPL23AP17	0
RP11-399E6.1	0.0911352
RP11-399E6.2	0
FOXO6	1.21723
RP11-399E6.4	0.0833526
RNA5SP45	0
EDN2	0
HIVEP3	1.88618
RP11-486B10.3	0
RP11-486B10.4	0.0543571
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.457463
RIMKLA	3.74447
RP11-157D18.2	0
ZMYND12	4.41573
CCDC30	0.990902
RP11-163G10.2	0
TMSB4XP1	0.744078
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	2.04398
CLDN19	0.0109108
RP5-994D16.9	1.94303
TMEM269	0.121974
ERMAP	3.45129
RP11-342M1.3	0.284061
RP11-342M1.7	0.0167632
RP11-342M1.6	0
ATP6V1E1P1	0.0678203
RP5-848E13.5	0.103561
SLC2A1-AS1	1.96923
RP5-848E13.4	0.134339
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.276014
CFAP57	0.106453
RNA5SP46	0
C1orf210	0.0786216
MPL	0.223188
RP1-92O14.3	0.530077
CDC20	0.684462
RP1-92O14.6	2.07342
SZT2	4.27476
SZT2-AS1	0
HYI-AS1	0.314108
KDM4A-AS1	0.588357
RP11-184I16.4	0.0627147
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.386827
RP11-7O11.3	1.29723
RP5-1198O20.4	0.969601
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0984666
RP11-570P14.1	0.156259
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0
ERI3-IT1	0.127687
RNU6-369P	0
MIR5584	0
TMEM53	4.60947
C1orf228	2.05471
RNU5F-1	0
RNU5D-1	0
KIF2C	0.322167
RP11-269F19.2	0.141169
SNORD46	0.305944
SNORD38A	0
RPS15AP11	0.169239
BEST4	0.753317
PLK3	4.63603
TCTEX1D4	0.136307
BTBD19	1.01259
PTCH2	3.35064
RP5-882O7.1	0.616387
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.135032
MRPS17P1	0.0445664
ZSWIM5	2.3643
OSTCP5	0
LINC01144	1.403
HPDL	1.4462
TOE1	4.08181
RP11-291L19.1	0
MMACHC	3.20756
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	0.826657
RPS15AP10	0.20897
RP11-767N6.2	0.235069
IPP	3.15089
RP11-767N6.7	3.66862
RP11-630I5.1	0.0342209
TMA16P2	0
RP4-533D7.4	0.114166
RP4-533D7.3	0
RP4-533D7.5	0.0631953
TSPAN1	0.739623
RP11-322N21.2	0
LURAP1	4.87832
RAD54L	0.738462
NSUN4	2.44567
RP4-603I14.3	0
FAAHP1	0.420649
LINC01398	0.023194
DMBX1	0.109869
RP11-49P4.7	0.0823812
MKNK1-AS1	0.209545
KNCN	0.259391
NENFP1	0
TEX38	0.104956
EFCAB14-AS1	0
RP11-8J9.5	0
CYP4B1	0.25327
CYP4Z2P	0
RP11-346M5.1	0
CYP4A11	0.163785
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	2.8005
CYP4Z1	0.211372
RP11-184J23.2	0
CYP4A22-AS1	0.0816928
CYP4A22	0.041964
MTND1P34	0
LINC00853	0.828541
PDZK1IP1	0.433807
TAL1	4.35435
RP1-18D14.7	0.769452
STIL	0.449594
LINC01389	0.11325
FOXE3	0.0475693
FOXD2-AS1	0.417103
FOXD2	0.10654
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0.0603897
TRABD2B	0.150828
RP11-330M19.1	0
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.156887
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.181196
RP5-1024N4.4	0.907405
RP5-1024N4.5	0.414265
PPP1R8P1	0.485908
RNU6-723P	0
RP11-329A14.1	0.0781667
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.351792
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	4.7162
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.0779058
HMGB1P45	0
FCF1P6	0
DMRTA2	0.193709
RP5-850O15.3	0.0781327
RNU6-1026P	0
PHBP12	0.0290123
MRPS6P2	0
CDKN2C	3.9727
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0538939
LINC01562	0.0952736
RP11-296A18.5	0.0977087
RP11-296A18.6	0.0466337
TTC39A	0.900532
TTC39A-AS1	0.0410941
RP11-275F13.3	0.0515451
RNU6-877P	0
RP11-253A20.1	0.102181
RP11-191G24.1	0.141423
RNU6-1281P	0
CALR4P	0.234963
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	0.576144
RP4-657D16.6	0.129292
MIR761	0
TSEN15P2	0
RAB3B	1.1687
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
KTI12	4.02938
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.114411
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	0.767301
PLA2G12AP1	0.178571
ORC1	0.173265
ZCCHC11	4.40908
RP11-25O10.2	0
EEF1GP7	0
GPX7	3.04567
FAM159A	0.368694
COA7	4.7903
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	0.969428
RNU6-969P	0
ZYG11A	0.0141923
RP4-631H13.2	0
RP4-631H13.6	0.356978
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	0.928788
RP11-334A14.8	0.0393698
RP5-1024G6.9	0
CPT2	4.71107
RP5-1024G6.2	0.159823
RP5-1024G6.7	0.0268366
RP5-1024G6.5	1.26173
LRP8	4.96739
RP4-784A16.1	0.0868147
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.405729
RP11-117D22.1	0
RP11-117D22.2	0.0929863
SLC25A3P1	0
DMRTB1	0
GLIS1	0.322026
