Name	Esophagus - Muscularis
RP3-465N24.5	0.777169
RHD	0.250175
SDHDP6	0.540197
RP11-335G20.7	0
RHCE	0.163231
RP3-469D22.1	0.193002
RP11-70P17.1	1.81856
RP1-187B23.1	0.0959495
RP1-317E23.3	0.695217
AUNIP	0.975181
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.601502
SLC30A2	0.0789655
RP11-96L14.9	0
TRIM63	0.869021
PDIK1L	3.36549
RP11-96L14.8	0
RP11-96L14.7	0.316484
ZNF593	0
CNKSR1	1.84769
CATSPER4	0
RP11-231P20.2	0.0683278
RP11-231P20.6	0
CEP85	4.80434
RP11-231P20.5	0
AIM1L	0.0574478
RP11-569G9.7	0
ZNF683	0.102551
LIN28A	0.00425654
RP3-476K8.4	0.200418
RP3-476K8.3	0.638495
DPPA2P2	0
RPS6KA1	3.92445
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.43846
RN7SL165P	0
SFN	1.32739
NR0B2	0
KDF1	0.0991255
RPL12P13	0.0606798
RP11-344H11.5	0
OSTCP2	0
RP11-40H20.5	0
CHCHD3P3	0.122828
NPM1P39	0.264035
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.481917
RNU6-48P	0
ACTG1P20	1.2831
SYTL1	1.00781
CD164L2	0.0270467
RP1-144C9.2	0
GPR3	0.697907
RP4-752I6.1	0
RP1-159A19.4	1.35952
RP1-159A19.3	0.786928
RP11-288L9.1	0
RP11-288L9.4	0.13719
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.379492
RPEP3	0
RP3-426I6.5	0.439082
RP3-426I6.6	1.26511
RNU6-1245P	0
SCARNA1	0
SMPDL3B	0.0641135
RP11-460I13.2	0
RP11-460I13.6	0.377064
RN7SL559P	0
SPCS2P4	1.10248
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	3.32602
RP5-1092A3.4	0.825961
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	1.1935
SNORA73B	2.29875
PRDX3P2	0.073417
RP4-669K10.8	0.0834271
SNORD99	0
SNORA16A	0
RAB42	0.925969
LINC01715	0.773813
RNU11	0
GMEB1	4.31373
SCARNA24	0
OPRD1	0.0662023
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	2.26107
RP11-467D18.2	0.178039
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.0910815
MATN1-AS1	1.24339
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.663487
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.177323
RP11-490K7.4	1.5258
RP11-266K22.2	0
SERINC2	2.38298
RP11-439L8.2	0.0424956
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.0168724
RP11-73M7.1	1.28984
HCRTR1	0.634882
RP11-73M7.6	2.60158
RP11-73M7.9	0.0819096
ADGRB2	2.23753
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.0980095
RP11-84A19.2	0
RP11-84A19.4	0.305923
RP4-534N18.2	0.131448
RP11-277A4.4	0.133523
MIR5585	0
Metazoa_SRP	0
CCDC28B	4.4518
RP4-622L5.7	1.27805
IQCC	3.78906
DCDC2B	0.598896
LCK	0.988188
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.126239
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0357046
ZBTB8A	4.68902
Y_RNA	0
RP11-114B7.6	0
HPCA	0.408281
RP5-1174N9.2	0.0986657
RP4-803A2.1	0
RP4-803A2.2	0
Metazoa_SRP	0
RP1-117O3.2	0.0415696
AZIN2	1.74274
RP11-131M11.2	1.42573
RP11-131M11.3	0.385106
RP11-415J8.7	0.446816
A3GALT2	0.121453
RP11-415J8.3	3.31868
MIR3605	0.509916
RN7SKP16	3.35398
RP11-415J8.5	0.359572
TLR12P	0
ZSCAN20	1.82645
RP4-580O19.2	0.141359
CSMD2	0.236956
HSPD1P14	0
HMGB4	0.0125931
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.0429451
RP4-657M3.2	0
MIR552	0
GJB5	0.188255
GJB4	0.0202308
GJB3	0.146329
RP1-34M23.5	0
DLGAP3	0.348249
RP11-244H3.1	4.3578
RPL12P45	0
ZMYM1	4.97891
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	4.93718
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.606038
TFAP2E	2.27622
CLSPN	0.0705206
RP11-435D7.3	0
RP4-789D17.4	0
RP4-665N4.8	0.144816
RP4-665N4.4	0.0232974
TEKT2	0.326936
RN7SL131P	0
UBE2V2P4	0
SH3D21	2.00938
RP11-268J15.5	4.84322
RNU4-27P	0
SNORA63	0.367336
CSF3R	3.88852
FTLP18	0
RP4-614N24.1	0
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	3.75659
MIR6732	0
MIR5581	0
FTH1P1	0.245476
RP3-423B22.5	0.371825
RSPO1	1.30356
CDCA8	0.862521
EPHA10	0.367969
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	1.35686
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.426121
POU3F1	0.163903
RP5-884C9.2	0.168056
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.043216
RP5-864K19.4	1.15632
GJA9	0.159221
RHBDL2	0.354693
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.599346
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.695663
OXCT2P1	0.60867
PPIEL	3.38934
SNORA55	0.978854
RP11-69E11.8	0.226595
RP1-144F13.3	0
NT5C1A	0.0294335
HPCAL4	0.138774
RP1-144F13.4	0
RNU7-121P	0
BMP8B	3.61382
OXCT2	0.282073
RP1-118J21.25	0.141768
RP1-118J21.24	0
Y_RNA	0
MYCL	0.332312
RP1-118J21.5	0
Y_RNA	0
MFSD2A	1.16779
RP3-342P20.2	0.40465
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0
COL9A2	2.76655
RP1-228H13.1	0.181019
RP1-228H13.2	0
ZFP69B	0.481845
RP1-228H13.5	0.601504
RP11-656D10.7	0.0796904
ZFP69	3.49373
RP11-656D10.3	1.70499
EXO5	3.57958
RP11-656D10.5	0
RP11-656D10.6	0.688832
ZNF684	2.36682
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
NFYC-AS1	4.86341
MIR30E	0
MIR30C1	0
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.775329
SLFNL1	0.732837
RPL23AP17	0
RP11-399E6.1	0.259363
RP11-399E6.2	0
FOXO6	3.54047
RP11-399E6.4	2.37254
RNA5SP45	0
EDN2	0.638519
HIVEP3	1.00677
RP11-486B10.3	0
RP11-486B10.4	0.0153894
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.644557
RIMKLA	2.01765
RP11-157D18.2	0
ZMYND12	0.794216
CCDC30	0.94512
RP11-163G10.2	0
TMSB4XP1	0.96091
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.694361
CLDN19	0.131082
RP5-994D16.9	2.2961
TMEM269	0.104398
RP11-342M1.3	0.447123
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.0978149
RP5-848E13.5	0
SLC2A1-AS1	1.82272
RP5-848E13.4	0.0609618
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.0872064
CFAP57	0.0590295
RNA5SP46	0
TMEM125	0.0831807
C1orf210	0.0871151
MPL	0.322863
RP1-92O14.3	0.92478
CDC20	0.597086
RP1-92O14.6	1.41974
SZT2-AS1	0
HYI-AS1	0.388349
KDM4A-AS1	0.904577
RP11-184I16.4	0.16529
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	1.30586
RP11-7O11.3	1.75847
RP5-1198O20.4	1.49241
RP5-1198O20.5	0.163637
KRT8P47	0
RN7SL479P	0
KLF17	1.51343
RP11-570P14.1	0.198785
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.104617
ERI3-IT1	0.389397
RNU6-369P	0
MIR5584	0
TMEM53	4.46241
C1orf228	1.35328
RNU5F-1	0
RNU5D-1	0
KIF2C	0.894527
RP11-269F19.2	0.108833
SNORD46	1.08499
SNORD38A	0
RPS15AP11	0.497411
BEST4	0.867124
TCTEX1D4	1.03997
RP5-882O7.1	0.741688
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.082492
MRPS17P1	0.0146893
OSTCP5	0
LINC01144	1.08786
HPDL	0.373094
RP11-291L19.1	0
CCDC163	1.67386
MMACHC	2.36021
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	2.24819
RPS15AP10	1.00675
RP11-767N6.2	0.998591
RP11-767N6.7	3.91157
RP11-630I5.1	0.0673697
TMA16P2	0
RP4-533D7.4	0.205415
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	1.27948
RP11-322N21.2	0
RAD54L	0.260512
RP4-603I14.3	0
FAAHP1	0.286908
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.573675
KNCN	0
NENFP1	0.0695922
TEX38	0.173929
EFCAB14-AS1	0.184726
RP11-8J9.5	0
CYP4Z2P	0.128077
RP11-346M5.1	0
CYP4A11	0.0870949
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	4.12043
CYP4Z1	0.997361
RP11-184J23.2	0.0380423
CYP4A22-AS1	0
CYP4A22	0.117677
MTND1P34	0
LINC00853	0.234132
PDZK1IP1	0.295388
RP1-18D14.7	0.843921
STIL	0.420681
LINC01389	0.381734
FOXE3	0.0679566
FOXD2-AS1	1.05737
FOXD2	0.325906
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
RP11-330M19.1	0.182857
RP4-683M8.2	0.0867164
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.922733
RP5-1024N4.6	0.0266365
RP5-1024N4.2	0.151891
SLC5A9	1.24223
RP5-1024N4.4	2.38391
RP5-1024N4.5	0.213225
PPP1R8P1	0.119326
RNU6-723P	0
RP11-329A14.1	0.0536341
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.039017
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.29643
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.230254
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0197605
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.212785
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.080651
LINC01562	0.0847605
RP11-296A18.5	0.396586
RP11-296A18.6	0.114644
TTC39A	0.13275
TTC39A-AS1	0
RP11-275F13.3	0.224899
RNU6-877P	0
RP11-253A20.1	0.0858659
RP11-191G24.1	0.205735
RNU6-1281P	0
CALR4P	0
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	2.23051
RP4-657D16.6	0.639772
MIR761	0
TSEN15P2	0
RAB3B	0.323185
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	1.50972
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	2.01349
PLA2G12AP1	0.291015
ORC1	0.3801
RP11-25O10.2	0
EEF1GP7	0
FAM159A	0.0694976
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	1.99972
RNU6-969P	0
ZYG11A	0.0357303
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	4.40953
RP11-334A14.8	0.873773
RP5-1024G6.9	0
RP5-1024G6.2	0.433633
RP5-1024G6.7	0.0313969
RP5-1024G6.5	0.280125
LRP8	0.838926
RP4-784A16.1	0
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.0732374
RP11-117D22.1	0
RP11-117D22.2	0.150292
SLC25A3P1	0
DMRTB1	0
GLIS1	0.349258
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.148394
HNRNPA3P12	0.140249
LDLRAD1	0
RP4-758J24.6	1.1943
TCEANC2	2.93883
MIR4781	0
RP4-758J24.4	0
CDCP2	0.150511
RP11-446E24.3	0.0649803
CYB5RL	2.86661
SSBP3-AS1	2.40752
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	4.3535
FAM151A	0.415172
RP11-240D10.4	0.145222
PARS2	4.24398
TTC22	0.110999
RP11-67L3.2	0
LEXM	0
RP11-67L3.5	0
RP11-67L3.4	0
TMEM61	1.16722
BSND	0
PCSK9	0.155779
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.064557
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0.118921
RP11-504A18.1	0.49389
LINC01767	0.0679855
RPL21P23	0.11763
RPL23AP85	0
RP11-377K22.2	0
C1orf168	0.039564
RP11-378I13.1	0
C8A	0
C8B	0
RP5-1103B4.3	0
DAB1	0.533864
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0400592
RPS26P15	0.111649
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0
RN7SL713P	0
TACSTD2	2.21152
RP4-592A1.2	0.369624
RP11-63G10.4	0.158947
LINC01135	0.35086
RP11-63G10.3	0.451317
RP11-63G10.2	0
RP4-794H19.1	1.62606
LINC01358	0.0895518
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0.0588426
RP11-467C18.1	0.295976
FGGY	1.2459
MIR4711	0
RP4-782L23.2	0.12546
HOOK1	0.153086
CYP2J2	0.348957
RN7SL475P	0
C1orf87	0.0257178
