Name	Adipose - Subcutaneous
RP4-549F15.1	0.462358
RP11-338N10.1	0.0426944
RP11-338N10.2	0.206997
RP11-338N10.3	0.538727
RP3-467L1.6	3.51666
RP3-467L1.4	1.35676
UTS2	0.0597041
TNFRSF9	0.0430428
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.262997
CTA-215D11.4	0.0439815
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	1.69932
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0628299
RPL7P7	0.052161
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.385008
ENO1-AS1	0.991615
RNU6-304P	0
HMGN2P17	0.0606457
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0.0121669
RN7SL451P	0
SLC2A7	0
SLC2A5	2.4064
SCARNA16	0
GPR157	3.25177
LINC01759	0.720156
RP3-510D11.4	0.0969677
RNA5SP40	0
RP13-392I16.1	0.143274
RP13-15M17.1	0.834085
PIK3CD-AS1	0.0466896
RP11-558F24.2	0
PIK3CD-AS2	0.940198
MZT1P1	0
RP11-84A14.7	0
RP11-84A14.4	0.362488
NMNAT1	4.45384
RN7SKP269	0.218042
RP11-84A14.6	0.153702
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.0594082
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.24745
RN7SL614P	0.325857
CASZ1	3.19203
RP4-734G22.3	0.814243
HSPE1P24	0
C1orf127	0.295228
CFL1P6	0.0627834
MASP2	4.14575
RP4-635E18.6	0.710646
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	4.19082
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.135013
MTCYBP45	0
DISP3	0.0494753
LINC01647	0
FBXO2	1.05817
DRAXIN	0.0714104
C1orf167	0.0251633
RP11-56N19.5	0
NPPA-AS1	2.19552
NPPA	3.16234
NPPB	0.301944
RP5-934G17.6	0.0301404
RNU5E-1	0.487103
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.4972
MIR6729	0
RN7SL649P	0
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	3.03666
RP5-888M10.2	1.10681
RNU6ATAC18P	1.22759
MIR6730	0
AADACL4	0
RP11-474O21.2	0
AADACL3	0.0250526
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0640271
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.0658246
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0.324408
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.409924
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.0961255
RP3-467K16.2	0.0822435
RP3-467K16.7	0
RP3-467K16.4	0.0319367
CTRC	0.328194
CELA2A	0.145373
CELA2B	0.10561
SCARNA21	0
RP4-680D5.8	0.291833
AGMAT	0.197679
RP4-680D5.2	0.0323614
CHCHD2P6	1.30481
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.186306
RP11-288I21.1	1.5814
SLC25A34	4.12134
TMEM82	0
RP11-169K16.4	0.107843
RPL12P14	0.934101
UQCRHL	4.26109
RP11-169K16.8	1.39207
FLJ37453	3.68939
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0229559
CLCNKA	0.59852
RP11-5P18.10	0.0540913
CLCNKB	0.1668
FAM131C	0.337001
RP11-276H7.2	0.657358
RP11-276H7.3	0.349728
ANO7L1	0.501562
RSG1	2.23626
MT1XP1	1.54051
RP11-430L17.1	0.18874
SPATA21	0.0674034
LINC01772	2.20737
CROCCP3	3.7694
RNU1-1	0
RP4-798A10.7	0.115293
RP4-798A10.4	0
LINC01783	0.0522777
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.89611
RP5-1182A14.5	0
MST1P2	2.22296
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.676497
ESPNP	0.0144062
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.577998
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.0887473
RP11-108M9.5	2.805
RNU1-2	0
RP11-108M9.6	0.185794
RP1-37C10.3	0.24084
PADI2	0.994546
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0201141
PADI3	0
MIR3972	0
PADI4	0.399809
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	3.18892
RP11-174G17.3	0.0683375
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.147296
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.014
RP1-43E13.2	1.66991
AKR7L	1.26548
AKR7A3	2.31527
RP4-657E11.10	1.95545
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
RP5-1056L3.3	4.91523
HTR6	0.0521385
RNF186	0.0348434
RP11-91K11.2	2.24396
PLA2G2E	0
RN7SL304P	0
PLA2G5	4.47658
PLA2G2D	0.0356945
PLA2G2F	0
RP3-340N1.2	0.0354079
PLA2G2C	0.0178565
UBXN10-AS1	0.299083
UBXN10	0.623673
LINC01757	0
VWA5B1	0.0104696
RP4-745E8.2	0
LINC01141	0.0113096
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.260022
PINK1-AS	3.97448
KIF17	4.84639
RP5-930J4.5	0
SH2D5	0.055169
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.101046
RP5-1071N3.1	0.737283
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.846516
HS6ST1P1	0.484733
CROCCP5	0
NBPF3	2.60566
PFN1P10	0
RP11-63N8.3	0
RAP1GAP	0.431784
RP11-132G19.3	0
RP11-26H16.1	0.157377
RP11-26H16.4	0
CELA3B	0.149316
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.471057
RN7SL186P	0
RNU6-776P	0
LINC01635	0.151365
CDC42-IT1	0.120183
RP1-224A6.8	0.182939
RP1-224A6.9	0.670859
WNT4	0.315391
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	1.12855
EPHA8	0.0158856
MIR6127	0
EPHB2	1.20327
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0141613
RP5-1057J7.1	0.057728
RP5-1057J7.7	0.312682
RP4-654C18.1	0
E2F2	0.302251
RP1-150O5.3	0.156005
MDS2	0.0708435
RP11-223J15.2	0
ELOA-AS1	3.89651
CNR2	0.0240253
BTBD6P1	0.0280736
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.353734
RP11-293P20.4	0
IL22RA1	0.421904
IFNLR1	0.163009
RP11-10N16.2	0
RP11-10N16.3	0
GRHL3	0.0814295
STPG1	2.05038
NIPAL3	3.08868
RCAN3	3.913
RP4-594I10.3	0
NCMAP	0.117472
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	3.56821
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.827258
RP3-465N24.5	0.957403
RHD	0.330877
SDHDP6	1.19667
RP11-335G20.7	0
RHCE	0.305772
RP3-469D22.1	0.276849
RP11-70P17.1	1.68975
RP1-187B23.1	0.151724
RP1-317E23.3	0.93532
AUNIP	0.351993
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.149453
SLC30A2	0.0688297
RP11-96L14.9	0
TRIM63	1.2508
PDIK1L	4.15931
RP11-96L14.8	0
RP11-96L14.7	0.295921
ZNF593	0
CNKSR1	1.36345
CATSPER4	0
RP11-231P20.2	0.0505121
RP11-231P20.6	0
CEP85	3.88666
RP11-231P20.5	0
AIM1L	0.0516413
RP11-569G9.7	0
ZNF683	0.128504
LIN28A	0.00905783
RP3-476K8.4	0.369926
RP3-476K8.3	0.685172
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.918808
RN7SL165P	0
SFN	1.86011
NR0B2	0
KDF1	0.0465196
RPL12P13	0.091688
RP11-344H11.5	0
OSTCP2	0
RP11-40H20.5	0
CHCHD3P3	0.139292
NPM1P39	0.375445
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.187967
RNU6-48P	0
ACTG1P20	1.31274
SYTL1	2.37573
CD164L2	0.0218409
RP1-144C9.2	0
GPR3	1.69546
RP4-752I6.1	0
RP1-159A19.4	0.184134
RP1-159A19.3	1.06292
RP11-288L9.1	0
RP11-288L9.4	0.155763
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.384655
RPEP3	0
RP3-426I6.5	0.745515
RP3-426I6.6	1.49699
RNU6-1245P	0
SCARNA1	0
SMPDL3B	0.263516
RP11-460I13.2	0
RP11-460I13.6	0.758621
RN7SL559P	0
SPCS2P4	1.33174
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	4.60771
RP5-1092A3.4	1.33033
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	1.52014
SNORA73B	3.09234
PRDX3P2	0.087629
RP4-669K10.8	0.133533
SNORD99	0
SNORA16A	0
RAB42	3.37874
LINC01715	1.09276
RNU11	0
SCARNA24	0
OPRD1	0.0471108
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	3.90102
RP11-467D18.2	0.308294
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.134436
MATN1-AS1	2.05617
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.302439
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.138512
RP11-490K7.4	2.65696
RP11-266K22.2	0
RP11-439L8.2	0.0465656
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.0112978
RP11-73M7.1	0.728656
HCRTR1	0.403602
RP11-73M7.6	3.04804
RP11-73M7.9	0.0983615
ADGRB2	2.68482
MIR4254	0
RP11-84A19.3	0
SPOCD1	1.73143
RP11-84A19.2	0
RP11-84A19.4	0.918091
RP4-534N18.2	0.361465
RP11-277A4.4	0.252118
MIR5585	0
Metazoa_SRP	0
CCDC28B	3.2839
RP4-622L5.7	0.934298
IQCC	3.49089
DCDC2B	0.467339
LCK	2.29932
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.0277149
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0113875
Y_RNA	0
RP11-114B7.6	0
FNDC5	1.00978
HPCA	0.216878
RP5-1174N9.2	0.178778
RP4-803A2.1	0.192906
RP4-803A2.2	0.101169
Metazoa_SRP	0
RP1-117O3.2	0.0940385
AZIN2	1.72147
RP11-131M11.2	1.03447
RP11-131M11.3	0.392698
RP11-415J8.7	0.498088
A3GALT2	0.189237
RP11-415J8.3	4.83996
MIR3605	0.858993
RN7SKP16	4.86072
RP11-415J8.5	0.0772511
TLR12P	0
ZSCAN20	1.40185
RP4-580O19.2	0.146555
CSMD2	0.313441
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.246228
GJB4	0.0302633
GJB3	0.178352
RP1-34M23.5	0
DLGAP3	0.381208
RPL12P45	0
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	4.54481
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.960123
TFAP2E	2.02791
CLSPN	0.232553
RP11-435D7.3	0
RP4-789D17.4	0
RP4-665N4.8	0.187272
RP4-665N4.4	0.026127
TEKT2	0.216458
RN7SL131P	0
UBE2V2P4	0
SH3D21	2.70186
RNU4-27P	0
SNORA63	0.272634
FTLP18	0
RP4-614N24.1	0
GRIK3	0.38006
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
MIR6732	0
MIR5581	0
FTH1P1	0.86638
RP3-423B22.5	0.516956
DNALI1	3.34898
RSPO1	0.675915
CDCA8	1.51799
EPHA10	0.0291134
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	0.801916
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.41722
POU3F1	0.145942
RP5-884C9.2	0.0927292
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0637918
RP5-864K19.4	4.60562
GJA9	0.190414
RHBDL2	1.05984
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.786355
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.653129
OXCT2P1	0.456498
RP11-69E11.4	4.9598
PPIEL	2.44142
SNORA55	1.73072
RP11-69E11.8	0.551796
RP1-144F13.3	0
NT5C1A	0.0344473
HPCAL4	0.0637566
RP1-144F13.4	0
RNU7-121P	0
BMP8B	1.55326
OXCT2	0.152748
RP1-118J21.25	0.0553588
RP1-118J21.24	0
Y_RNA	0
MYCL	0.221846
RP1-118J21.5	0
Y_RNA	0
MFSD2A	0.927645
RP3-342P20.2	0.439763
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0.164087
COL9A2	2.03428
RP1-228H13.1	0.182093
RP1-228H13.2	0
ZFP69B	0.665262
RP1-228H13.5	0.813852
RP11-656D10.7	0.122447
ZFP69	3.16581
RP11-656D10.3	1.0721
EXO5	3.90786
RP11-656D10.5	0
RP11-656D10.6	0.688263
ZNF684	2.89987
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	1.62833
RP4-739H11.3	0
NFYC-AS1	2.13744
MIR30E	0
MIR30C1	0
KCNQ4	4.29501
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.473227
SLFNL1	0.338035
RPL23AP17	0
RP11-399E6.1	0.114263
RP11-399E6.2	0
FOXO6	0.997766
RP11-399E6.4	0.514551
RNA5SP45	0
EDN2	0.0702937
HIVEP3	2.07917
RP11-486B10.3	0
RP11-486B10.4	0.0389851
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.976841
RIMKLA	0.261784
RP11-157D18.2	0
ZMYND12	1.28943
CCDC30	1.0148
RP11-163G10.2	0
TMSB4XP1	1.84814
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.860323
CLDN19	0.0704344
RP5-994D16.9	2.81914
TMEM269	0.282033
RP11-342M1.3	0.551879
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.0887068
RP5-848E13.5	0.0610203
SLC2A1-AS1	0.617484
RP5-848E13.4	0
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0
CFAP57	0.579277
RNA5SP46	0
TMEM125	0.146029
C1orf210	0.146251
MPL	0.497686
RP1-92O14.3	2.58212
CDC20	1.78009
RP1-92O14.6	3.10497
SZT2-AS1	0
HYI-AS1	0.249032
KDM4A-AS1	1.93838
RP11-184I16.4	0.0821517
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.682803
RP11-7O11.3	0.974283
CCDC24	3.42786
SLC6A9	3.81547
RP5-1198O20.4	0.0937916
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0
RP11-570P14.1	0.255745
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0458895
ERI3-IT1	0.354468
RNU6-369P	0
MIR5584	0
C1orf228	1.82422
RNU5F-1	0.37602
RNU5D-1	0
KIF2C	0.882326
RP11-269F19.2	0.136115
SNORD46	1.7812
SNORD38A	0
RPS15AP11	0.638698
BEST4	0.570085
TCTEX1D4	0.611911
PTCH2	4.0516
RP5-882O7.1	0.851381
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.227352
MRPS17P1	0.0946053
ZSWIM5	2.12331
OSTCP5	0
LINC01144	1.15129
HPDL	0.67104
RP11-291L19.1	0
CCDC163	1.88085
MMACHC	2.17769
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	3.38968
RPS15AP10	1.42465
RP11-767N6.2	1.8095
RP11-767N6.7	3.56177
RP11-630I5.1	0.0929886
TMA16P2	0
RP4-533D7.4	0.79878
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	2.87015
RP11-322N21.2	0
LURAP1	3.30375
RAD54L	0.387263
RP4-603I14.3	0
FAAHP1	0.340744
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	1.02108
KNCN	0
NENFP1	0.147987
TEX38	0.148496
EFCAB14-AS1	0.515078
RP11-8J9.5	0
CYP4Z2P	0.570482
RP11-346M5.1	0.101702
CYP4A11	0.69485
CYP4A26P	0.165719
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	3.20365
RP11-184J23.2	0.186088
CYP4A22-AS1	0.105937
CYP4A22	0.565966
MTND1P34	0
LINC00853	0.77309
PDZK1IP1	0.918177
RP1-18D14.7	1.30393
STIL	0.902116
LINC01389	0.767133
FOXE3	0.0877781
FOXD2-AS1	2.94172
FOXD2	0.768277
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	4.00785
RP11-330M19.1	0.175189
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.388601
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.809634
RP5-1024N4.4	1.96955
RP5-1024N4.5	0.185629
PPP1R8P1	0.184964
RNU6-723P	0
RP11-329A14.1	0.110589
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.102225
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.0328137
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.339483
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0112952
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.387575
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0768169
LINC01562	0.0566423
RP11-296A18.5	0.681169
RP11-296A18.6	0.173901
TTC39A	0.226849
TTC39A-AS1	0
RP11-275F13.3	0.282183
RNU6-877P	0
RP11-253A20.1	0.126144
RP11-191G24.1	0.282829
RNU6-1281P	0
CALR4P	0
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	2.82713
RP4-657D16.6	0.628692
MIR761	0
TSEN15P2	0
RAB3B	0.0164294
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	1.45869
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.0493434
RP11-155O18.6	1.75359
PLA2G12AP1	0.265217
ORC1	0.731407
RP11-25O10.2	0
EEF1GP7	0
FAM159A	0.202241
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	2.83955
RNU6-969P	0
ZYG11A	0.0500456
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	4.17886
RP11-334A14.8	1.16197
RP5-1024G6.9	0.133506
RP5-1024G6.2	0.320193
RP5-1024G6.7	0.047756
RP5-1024G6.5	0.633926
LRP8	1.77599
RP4-784A16.1	0
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0
RP11-117D22.1	0
RP11-117D22.2	0.20168
SLC25A3P1	0
DMRTB1	0
GLIS1	1.34359
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.201296
HNRNPA3P12	0.126706
LDLRAD1	0
RP4-758J24.6	1.46082
TCEANC2	2.41552
MIR4781	0
RP4-758J24.4	0
CDCP2	0.148262
RP11-446E24.3	0.0718154
CYB5RL	3.48176
SSBP3-AS1	2.53514
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	0.417324
FAM151A	0.15282
RP11-240D10.4	0
MROH7	1.39192
PARS2	2.43473
TTC22	0.10319
RP11-67L3.2	0
LEXM	0.0173346
RP11-67L3.5	0
RP11-67L3.4	0.0740556
TMEM61	0.152175
BSND	0
PCSK9	0.070863
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.222071
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0.0661059
RPSAP20	0.276617
RP11-504A18.1	1.03459
LINC01767	0.165357
RPL21P23	0.673375
RPL23AP85	0
RP11-377K22.2	0
PRKAA2	2.55594
C1orf168	0.0260478
RP11-378I13.1	0
C8A	0
C8B	0
RP5-1103B4.3	0
DAB1	0.525776
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0361732
RPS26P15	0.124002
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0
RN7SL713P	0
RP4-592A1.2	0.558275
RP11-63G10.4	0.558907
LINC01135	0.219315
RP11-63G10.3	0.355869
RP11-63G10.2	0
RP4-794H19.1	1.07256
LINC01358	0.167801
