Name	Brain - Spinal cord (cervical c-1)
RP3-329E20.2	0
RP5-1071N3.1	0.0447903
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.299186
HS6ST1P1	0.375872
CROCCP5	0
NBPF3	1.04819
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	0.16925
HSPG2	2.32131
RP11-26H16.1	0.0404155
RP11-26H16.4	0
CELA3B	0.0408183
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.112049
RN7SL186P	0
RNU6-776P	0
LINC01635	0.0636317
CDC42-IT1	0.0541833
RP1-224A6.8	0
RP1-224A6.9	0.746048
WNT4	0.651314
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.157707
EPHA8	0.210141
MIR6127	0
EPHB2	4.26009
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.359926
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
LUZP1	3.27262
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.251215
RP5-1057J7.1	0
LINC01355	4.83143
RP5-1057J7.7	0.120127
TCEA3	3.99269
RP4-654C18.1	0
E2F2	0.0347875
RP1-150O5.3	0.150382
MDS2	0.045306
RP11-223J15.2	0
ELOA-AS1	3.10812
CNR2	0
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0680228
RP11-293P20.4	0
IL22RA1	0.174723
IFNLR1	0.787753
RP11-10N16.2	0.0234174
RP11-10N16.3	0.0341612
GRHL3	0.586843
STPG1	3.35424
RP4-594I10.3	0
NCMAP	1.04765
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	1.40919
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0.353414
RP4-706G24.1	0
RP3-465N24.6	0.86469
RP3-465N24.5	0.387906
RHD	0.20826
SDHDP6	0.212531
RP11-335G20.7	0
RHCE	1.88148
RP3-469D22.1	0.0893322
RP11-70P17.1	1.343
RP1-187B23.1	0.174466
RP1-317E23.3	0.344726
AUNIP	0.270635
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0.554229
RP1-125I3.4	0.191774
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	4.71525
SLC30A2	0.0280792
RP11-96L14.9	0
TRIM63	0.212213
PDIK1L	3.5938
FAM110D	1.70977
RP11-96L14.8	0
RP11-96L14.7	0.308096
ZNF593	0
CNKSR1	3.33498
CATSPER4	0.0170452
RP11-231P20.2	0.929087
RP11-231P20.6	0
RP11-231P20.5	0.0915311
CD52	2.82767
AIM1L	0.0490019
RP11-569G9.7	0
ZNF683	0.693549
LIN28A	0
RP3-476K8.4	0.0660848
RP3-476K8.3	0.331465
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.3407
RN7SL165P	0
SFN	1.64382
NR0B2	0
KDF1	0.0400079
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
FAM46B	0.363372
RP11-40H20.5	0
CHCHD3P3	0
NPM1P39	0.204361
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.719543
RNU6-48P	0
ACTG1P20	0.651937
SYTL1	1.04174
FCN3	0.589344
CD164L2	0.030952
RP1-144C9.2	0
GPR3	1.18675
RP4-752I6.1	0
RP1-159A19.4	0.455415
RP1-159A19.3	1.19741
RP11-288L9.1	0.198955
RP11-288L9.4	0.100327
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0
RPEP3	0
RP3-426I6.5	0.311378
RP3-426I6.6	1.11714
RNU6-1245P	0
SCARNA1	0
SMPDL3B	0.243272
RP11-460I13.2	0
RP11-460I13.6	0.349479
RN7SL559P	0
SPCS2P4	1.48562
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	3.25206
RP5-1092A3.4	1.89922
RP5-1092A3.5	0
SESN2	3.76744
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
RCC1	3.78982
SNORA73A	0.704904
SNORA73B	1.26314
PRDX3P2	0
RP4-669K10.8	0.206627
SNORD99	0
SNORA44	4.73742
SNORA16A	0
RAB42	1.28835
LINC01715	1.81736
RNU11	0
GMEB1	2.6247
SCARNA24	0
OPRD1	0.0948365
RP1-212P9.3	0
Y_RNA	0
EPB41	2.21317
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	0.830003
RP11-242O24.3	0
uc_338	0.255167
RP11-467D18.2	0.0514572
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.563421
MATN1-AS1	3.25603
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.334134
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
RP11-490K7.4	1.7823
RP11-266K22.2	0
SERINC2	1.19729
RP11-439L8.2	0.0207219
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00373973
RP11-73M7.1	0
HCRTR1	0.0581787
RP11-73M7.9	0.433037
MIR4254	0
RP11-84A19.3	0
SPOCD1	1.25201
RP11-84A19.2	0.0389154
RP11-84A19.4	0.507361
RP4-534N18.2	0.171355
RP11-277A4.4	0.10493
MIR5585	0
Metazoa_SRP	0
CCDC28B	4.74107
RP4-622L5.7	0.488355
IQCC	2.79856
DCDC2B	0.175024
FAM167B	3.31717
LCK	0.989075
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.200788
TSSK3	2.57568
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.436602
ZBTB8A	1.80605
Y_RNA	0
SYNC	2.02667
RP11-114B7.6	0
KIAA1522	2.36073
FNDC5	4.99666
HPCA	4.21132
RP5-1174N9.2	0.306526
RP4-803A2.1	0.207735
RP4-803A2.2	0.0785158
Metazoa_SRP	0
RP1-117O3.2	0.0633458
RP11-131M11.2	0.994234
RP11-131M11.3	0.77732
RP11-415J8.7	0.238323
A3GALT2	0.10308
RP11-415J8.3	1.46525
MIR3605	0
RN7SKP16	0.9196
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.699144
RP4-580O19.2	0.136257
CSMD2	0.793087
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.627617
RP4-657M3.2	0
MIR552	0
GJB5	0.221372
GJB4	0
GJB3	0.0823669
RP1-34M23.5	0
RP5-997D16.2	1.82983
DLGAP3	2.09877
RP11-244H3.1	1.82826
RPL12P45	0
ZMYM1	2.11239
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	1.7738
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.80104
CLSPN	0.11411
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	4.43172
RP4-665N4.8	0.0580573
RP4-665N4.4	0.153049
TEKT2	1.2976
COL8A2	3.19168
RN7SL131P	0
UBE2V2P4	0
SH3D21	2.41179
RNU4-27P	0
OSCP1	3.18118
SNORA63	0.340434
FTLP18	0
RP4-614N24.1	0
GRIK3	3.06319
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	2.66882
RNA5SP43	0
RPS29P6	0.890087
ZC3H12A	1.93959
MIR6732	0
MIR5581	0
SNIP1	4.19672
FTH1P1	0.149257
RP3-423B22.5	0.250041
RSPO1	0.0294772
C1orf109	4.13807
CDCA8	1.04565
EPHA10	1.94907
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	4.20831
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.392158
POU3F1	0.200679
RP5-884C9.2	0.306285
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0371348
RP5-864K19.4	4.27042
MYCBP	4.5924
GJA9	1.47556
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.620796
RP11-420K8.1	0
HSPE1P8	0
BMP8A	3.53387
OXCT2P1	0.673555
PPIEL	1.40202
SNORA55	0.311973
RP11-69E11.8	0.0774619
HEYL	3.53936
RP1-144F13.3	0
NT5C1A	0.443971
RP1-144F13.4	0
RNU7-121P	0
BMP8B	2.1007
OXCT2	0.449858
RP1-118J21.25	0.224796
RP1-118J21.24	0
Y_RNA	0
MYCL	0.679663
RP1-118J21.5	0
Y_RNA	0
RP3-342P20.2	2.52882
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0
RP1-228H13.1	0.0989174
RP1-228H13.2	0
ZFP69B	1.0349
RP1-228H13.5	1.56254
RP11-656D10.7	0.410391
ZFP69	4.26308
RP11-656D10.3	0.745925
EXO5	1.60529
RP11-656D10.5	0
RP11-656D10.6	0.494088
ZNF684	2.80598
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
NFYC-AS1	4.1219
MIR30E	0
MIR30C1	0
KCNQ4	4.82529
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
CTPS1	4.1191
SLFNL1-AS1	0.18018
SLFNL1	0.160313
RPL23AP17	0
RP11-399E6.1	0.144333
RP11-399E6.2	0
FOXO6	1.20534
RP11-399E6.4	0.0837106
RNA5SP45	0
EDN2	0
HIVEP3	3.86181
RP11-486B10.3	0
RP11-486B10.4	0.119918
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.614319
RIMKLA	3.04717
RP11-157D18.2	0
CCDC30	1.33841
RP11-163G10.2	0
TMSB4XP1	1.86289
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	2.77242
CLDN19	0.0530779
RP5-994D16.9	2.28035
TMEM269	0.233564
RP11-342M1.3	0.532205
RP11-342M1.7	0.025663
RP11-342M1.6	0
ATP6V1E1P1	0.100295
RP5-848E13.5	0.248338
SLC2A1-AS1	2.47156
RP5-848E13.4	0.121637
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.42977
CFAP57	0.185577
RNA5SP46	0
C1orf210	0.140444
MPL	0.321868
RP1-92O14.3	0.89573
CDC20	1.93313
RP1-92O14.6	3.28003
SZT2-AS1	0
HYI-AS1	0.37439
KDM4A-AS1	0.961703
RP11-184I16.4	0
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.411142
RP11-7O11.3	1.73273
CCDC24	4.84686
RP5-1198O20.4	1.33851
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.225345
RP11-570P14.1	0.177025
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0
ERI3-IT1	0.19412
RNU6-369P	0
MIR5584	0
C1orf228	2.6629
RNU5F-1	0
RNU5D-1	0
KIF2C	0.413209
RP11-269F19.2	0.215592
SNORD46	0.523693
SNORD38A	0
RPS15AP11	0.231073
BEST4	0.528844
TCTEX1D4	0.277052
BTBD19	1.37367
PTCH2	1.74957
RP5-882O7.1	0.787886
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.195366
MRPS17P1	0.064513
ZSWIM5	2.77076
OSTCP5	0
LINC01144	1.83329
HPDL	1.14254
RP11-291L19.1	0
MMACHC	3.86529
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	1.61509
RPS15AP10	0.415732
RP11-767N6.2	0.426484
RP11-767N6.7	4.93345
RP11-630I5.1	0.0312349
TMA16P2	0
RP4-533D7.4	0.135998
RP4-533D7.3	0
RP4-533D7.5	0.136123
TSPAN1	4.54574
RP11-322N21.2	0
RAD54L	2.47653
NSUN4	3.71182
RP4-603I14.3	0
FAAHP1	0.575882
LINC01398	0.0467166
DMBX1	0
RP11-49P4.7	0.043648
MKNK1-AS1	0.303233
KNCN	0.0648135
MOB3C	4.90891
NENFP1	0
TEX38	0.119527
EFCAB14-AS1	0.0409057
RP11-8J9.5	0
CYP4B1	0.252125
CYP4Z2P	0
RP11-346M5.1	0
CYP4A11	0.0442714
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	1.78056
CYP4Z1	0.123071
RP11-184J23.2	0
CYP4A22-AS1	0.0783528
CYP4A22	0.0219503
MTND1P34	0
LINC00853	0.504006
PDZK1IP1	0.161311
TAL1	4.24068
RP1-18D14.7	1.18786
STIL	0.623491
LINC01389	0.16005
FOXE3	0.0870737
FOXD2-AS1	0.447084
FOXD2	0.116218
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	0.392503
RP11-330M19.1	0.0317064
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.130301
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.328913
RP5-1024N4.4	0.951182
RP5-1024N4.5	0.422255
PPP1R8P1	0.532995
RNU6-723P	0
RP11-329A14.1	0.145101
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.16972
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	1.74443
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.10003
HMGB1P45	0
FCF1P6	0
DMRTA2	0.8605
RP5-850O15.3	0.202711
RNU6-1026P	0
PHBP12	0.113768
MRPS6P2	0
CDKN2C	4.90191
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.090636
LINC01562	0.0935368
RP11-296A18.5	0.16824
RP11-296A18.6	0.0993776
TTC39A	0.242558
TTC39A-AS1	0
RP11-275F13.3	0.0718053
RNU6-877P	0
RP11-253A20.1	0.159063
RP11-191G24.1	0.132502
RNU6-1281P	0
CALR4P	0.197755
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	1.00628
RP4-657D16.6	0.19448
MIR761	0
TSEN15P2	0
RAB3B	0.40453
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
KTI12	4.26119
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.175571
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	1.13006
PLA2G12AP1	0.18121
ORC1	0.281321
RP11-25O10.2	0
EEF1GP7	0
GPX7	4.16972
FAM159A	0.64652
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	1.39378
RNU6-969P	0
ZYG11A	0.0221195
RP4-631H13.2	0
RP4-631H13.6	0.383085
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
PODN	3.32403
SLC1A7	1.28453
RP11-334A14.8	0.0715502
RP5-1024G6.9	0
RP5-1024G6.2	0.344863
RP5-1024G6.7	0.0490387
RP5-1024G6.5	2.10207
LRP8	3.87572
RP4-784A16.1	0.188202
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.156902
RP11-117D22.1	0
RP11-117D22.2	0.108255
SLC25A3P1	0
DMRTB1	0
GLIS1	0.494781
RNU7-95P	0
NDC1	4.22864
SNORA58	0
RP4-654H19.2	0
DIO1	0.144399
HNRNPA3P12	0.073983
LDLRAD1	0
RP4-758J24.6	2.65224
MIR4781	0
RP4-758J24.4	0
CDCP2	0.034391
RP11-446E24.3	0.0198511
CYB5RL	2.19415
SSBP3-AS1	0.868995
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	0.70418
FAM151A	0.121965
RP11-240D10.4	0.0525528
MROH7	3.18112
PARS2	1.74449
TTC22	0.277001
RP11-67L3.2	0
LEXM	0.0519223
RP11-67L3.5	0
RP11-67L3.4	0.0428829
TMEM61	0.295608
BSND	0.0112446
PCSK9	0.117227
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
