Name	Adipose - Visceral (Omentum)
RP11-26H16.1	0.123188
RP11-26H16.4	0
CELA3B	0.294832
RN7SL386P	0
RNU6-1022P	0
CELA3A	1.02475
RN7SL186P	0
RNU6-776P	0
LINC01635	0.125967
CDC42-IT1	0.112814
RP1-224A6.8	0.1311
RP1-224A6.9	0.710155
WNT4	0.713677
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.728829
EPHA8	0.0186788
MIR6127	0
EPHB2	1.12764
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.057163
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0213496
RP5-1057J7.1	0.0361869
LINC01355	4.71316
RP5-1057J7.7	0.241544
RP4-654C18.1	0
E2F2	0.271663
RP1-150O5.3	0.258393
MDS2	0.0498867
RP11-223J15.2	0
ELOA-AS1	3.42538
CNR2	0.0360728
BTBD6P1	0.0278486
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.227295
RP11-293P20.4	0
IL22RA1	0.824084
IFNLR1	0.542681
RP11-10N16.2	0
RP11-10N16.3	0
GRHL3	0.187956
STPG1	2.43466
NIPAL3	4.79905
RCAN3	3.23991
RP4-594I10.3	0
NCMAP	0.103715
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	4.55721
MIR6731	0
RP11-84D1.1	0.0564949
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.566724
RP3-465N24.5	0.598826
RHD	0.260097
SDHDP6	0.758804
RP11-335G20.7	0
RHCE	0.205073
RP3-469D22.1	0.242563
RP11-70P17.1	1.23968
RP1-187B23.1	0.136172
RP1-317E23.3	0.726236
AUNIP	0.334911
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.234369
SLC30A2	0.105123
RP11-96L14.9	0
TRIM63	0.525104
PDIK1L	2.88467
RP11-96L14.8	0
RP11-96L14.7	0.419891
ZNF593	0
CNKSR1	1.36496
CATSPER4	0
RP11-231P20.2	0.048704
RP11-231P20.6	0
CEP85	3.26533
RP11-231P20.5	0
AIM1L	0.0540736
RP11-569G9.7	0
ZNF683	0.119172
LIN28A	0
RP3-476K8.4	0.314276
RP3-476K8.3	0.561458
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.509543
RN7SL165P	0
SFN	1.65409
NR0B2	0
KDF1	0.11647
RPL12P13	0.0787821
RP11-344H11.5	0
OSTCP2	0
RP11-40H20.5	0
CHCHD3P3	0.132785
NPM1P39	0.399198
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.246102
RNU6-48P	0.259328
ACTG1P20	1.57581
SYTL1	3.871
CD164L2	0.0205858
RP1-144C9.2	0
GPR3	2.49011
RP4-752I6.1	0
RP1-159A19.4	0.138477
RP1-159A19.3	1.09759
RP11-288L9.1	0
RP11-288L9.4	0.0747433
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.411273
RPEP3	0
RP3-426I6.5	1.38673
RP3-426I6.6	1.44031
RNU6-1245P	0
SCARNA1	0
SMPDL3B	1.131
RP11-460I13.2	0
RP11-460I13.6	0.722871
RN7SL559P	0
SPCS2P4	1.37632
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
RP5-1092A3.4	1.11798
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	2.66578
PRDX3P2	0.118822
RP4-669K10.8	0.180678
SNORD99	0
SNORA16A	0
RAB42	2.3329
LINC01715	1.00942
RNU11	0
GMEB1	4.9182
SCARNA24	0
OPRD1	0.0742983
RP1-212P9.3	0.0414485
Y_RNA	0
RP4-604A21.1	0.0961409
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	2.42486
RP11-467D18.2	0.238268
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.165134
MATN1-AS1	1.23538
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.187876
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.104297
RP11-490K7.4	1.6788
RP11-266K22.2	0
SERINC2	3.14988
RP11-439L8.2	0.0444887
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.0090441
RP11-73M7.1	0.555973
HCRTR1	0.420152
RP11-73M7.6	1.47884
RP11-73M7.9	0
ADGRB2	2.28026
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.652538
RP11-84A19.2	0
RP11-84A19.4	1.53519
RP4-534N18.2	0.498064
RP11-277A4.4	0.152459
MIR5585	0
Metazoa_SRP	0
CCDC28B	3.80287
RP4-622L5.7	0.891792
IQCC	2.53504
DCDC2B	0.40604
LCK	3.88192
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.0596376
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0212042
ZBTB8A	4.14974
Y_RNA	0
SYNC	4.79785
RP11-114B7.6	0
FNDC5	1.03856
HPCA	0.373857
RP5-1174N9.2	0.142119
RP4-803A2.1	0.115276
RP4-803A2.2	0.0881477
Metazoa_SRP	0
RP1-117O3.2	0.121952
AZIN2	1.53789
RP11-131M11.2	0.844917
TRIM62	4.481
RP11-131M11.3	0.238857
RP11-415J8.7	0.308222
A3GALT2	0.197069
RP11-415J8.3	3.68978
MIR3605	0.520137
RN7SKP16	3.87484
RP11-415J8.5	0.0763827
TLR12P	0
ZSCAN20	1.26804
RP4-580O19.2	0.0886903
CSMD2	0.156317
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.239521
GJB4	0.0335561
GJB3	0.129344
RP1-34M23.5	0
RP5-997D16.2	4.17423
DLGAP3	0.488996
RP11-244H3.1	3.57703
RPL12P45	0
ZMYM1	4.31768
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	4.88561
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.931699
TFAP2E	1.86814
CLSPN	0.222201
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	4.28099
RP4-665N4.8	0.224986
RP4-665N4.4	0.0223581
TEKT2	0.364144
RN7SL131P	0
UBE2V2P4	0
SH3D21	2.39775
RNU4-27P	0
SNORA63	0.368203
FTLP18	0
RP4-614N24.1	0
GRIK3	0.217341
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	4.46687
MIR6732	0
MIR5581	0
FTH1P1	0.444481
RP3-423B22.5	0.452989
DNALI1	4.14411
CDCA8	0.953564
EPHA10	0.0331214
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	0.702231
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.317512
POU3F1	0.100838
RP5-884C9.2	0
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0810618
RP5-864K19.4	4.99596
GJA9	0.218548
RHBDL2	1.35399
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.777371
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.76468
OXCT2P1	0.373165
PPIEL	2.07106
SNORA55	2.02772
RP11-69E11.8	0.465924
RP1-144F13.3	0
NT5C1A	0.114105
HPCAL4	0.114421
RP1-144F13.4	0
RNU7-121P	0
BMP8B	1.2498
OXCT2	0.157667
RP1-118J21.25	0.0436133
RP1-118J21.24	0
Y_RNA	0
MYCL	0.186324
RP1-118J21.5	0
Y_RNA	0
MFSD2A	4.54241
RP3-342P20.2	1.20837
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0.107646
COL9A2	2.93777
RP1-228H13.1	0.150193
RP1-228H13.2	0
ZFP69B	0.678994
RP1-228H13.5	0.708746
RP11-656D10.7	0.107495
ZFP69	2.69842
RP11-656D10.3	0.969727
EXO5	2.91607
RP11-656D10.5	0
RP11-656D10.6	0.606608
ZNF684	1.93567
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	1.0777
RP4-739H11.3	0
NFYC-AS1	1.46376
MIR30E	0
MIR30C1	0
KCNQ4	2.39098
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.489381
SLFNL1	0.411573
RPL23AP17	0
RP11-399E6.1	0.059526
RP11-399E6.2	0
FOXO6	1.18222
RP11-399E6.4	0.600795
RNA5SP45	0
EDN2	0.137969
HIVEP3	3.05637
RP11-486B10.3	0
RP11-486B10.4	0.0614262
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.872907
RIMKLA	0.175689
RP11-157D18.2	0
ZMYND12	1.6628
CCDC30	0.768923
RP11-163G10.2	0
TMSB4XP1	1.47428
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.561279
CLDN19	0.0337809
RP5-994D16.9	1.54211
TMEM269	0.123935
RP11-342M1.3	0.380959
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.0623567
RP5-848E13.5	0
SLC2A1-AS1	0.385613
RP5-848E13.4	0
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.0870664
CFAP57	0.300003
RNA5SP46	0
TMEM125	0.308341
C1orf210	0.0776987
MPL	0.263
RP1-92O14.3	1.44922
CDC20	0.828554
RP1-92O14.6	2.51928
SZT2-AS1	0
HYI-AS1	0.183872
KDM4A-AS1	1.1071
RP11-184I16.4	0
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	1.64474
RP11-7O11.3	0.568942
CCDC24	3.06557
SLC6A9	4.24958
RP5-1198O20.4	0.0930691
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0256484
RP11-570P14.1	0.264628
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0352986
ERI3-IT1	0.221874
RNU6-369P	0
MIR5584	0
C1orf228	1.38938
RNU5F-1	0
RNU5D-1	0
KIF2C	0.5427
RP11-269F19.2	0.114701
SNORD46	2.55132
SNORD38A	0
RPS15AP11	0.603229
BEST4	0.465598
TCTEX1D4	1.23069
PTCH2	1.69133
RP5-882O7.1	0.747873
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.119028
MRPS17P1	0.0282706
ZSWIM5	1.35934
OSTCP5	0
LINC01144	0.564971
HPDL	0.487558
TESK2	4.83877
RP11-291L19.1	0
CCDC163	1.62156
MMACHC	2.48408
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	2.55426
RPS15AP10	1.11238
RP11-767N6.2	1.40824
IPP	4.08225
RP11-767N6.7	2.60966
RP11-630I5.1	0.061208
TMA16P2	0
RP4-533D7.4	0.446635
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	1.50242
RP11-322N21.2	0
LURAP1	2.19023
RAD54L	0.361429
RP4-603I14.3	0
FAAHP1	0.410928
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.636382
KNCN	0
NENFP1	0.0895858
TEX38	0.0752892
EFCAB14-AS1	0.268771
RP11-8J9.5	0
CYP4Z2P	0.294286
RP11-346M5.1	0.0635995
CYP4A11	0.224143
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	2.19691
RP11-184J23.2	0.102349
CYP4A22-AS1	0.0851786
CYP4A22	0.289881
MTND1P34	0
LINC00853	0.502065
RP1-18D14.7	2.03366
STIL	0.924136
LINC01389	0.457282
FOXE3	0.0399281
FOXD2-AS1	1.27038
FOXD2	0.241451
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	3.76284
RP11-330M19.1	0.145922
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.890054
RP5-1024N4.6	0.0158012
RP5-1024N4.2	0
SLC5A9	0.712073
RP5-1024N4.4	2.2195
RP5-1024N4.5	0.218861
PPP1R8P1	0.168415
RNU6-723P	0
RP11-329A14.1	0.0950358
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.0581439
BEND5	3.9937
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.0245592
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.289135
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0102672
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.331541
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0845947
LINC01562	0.0473193
RP11-296A18.5	0.521409
RP11-296A18.6	0.0963757
TTC39A	0.220432
TTC39A-AS1	0
RP11-275F13.3	0.281895
RNU6-877P	0
RP11-253A20.1	0.15149
RP11-191G24.1	0.209102
RNU6-1281P	0
CALR4P	0
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	2.22142
RP4-657D16.6	0.368819
MIR761	0
TSEN15P2	0
RAB3B	0.0245863
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.0736848
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.795853
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.110596
RP11-155O18.6	1.34611
PLA2G12AP1	0.343605
ORC1	0.516587
RP11-25O10.2	0
EEF1GP7	0
FAM159A	0.266764
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	2.49732
RNU6-969P	0
ZYG11A	0.0507601
RP4-631H13.2	0
RP4-631H13.6	4.51554
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
RP11-334A14.8	1.35314
RP5-1024G6.9	0
RP5-1024G6.2	0.158714
RP5-1024G6.7	0.0230103
RP5-1024G6.5	0.559327
LRP8	1.69428
RP4-784A16.1	0
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0
RP11-117D22.1	0
RP11-117D22.2	0.15582
SLC25A3P1	0
DMRTB1	0
GLIS1	1.23799
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.169028
HNRNPA3P12	0.127182
LDLRAD1	0
RP4-758J24.6	0.938465
TCEANC2	1.86213
MIR4781	0
RP4-758J24.4	0
CDCP2	0.247866
RP11-446E24.3	0.099075
CYB5RL	2.60818
SSBP3-AS1	1.73975
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	0.376091
FAM151A	0.190345
RP11-240D10.4	0
MROH7	1.27461
PARS2	2.12231
TTC22	0.426835
RP11-67L3.2	0
LEXM	0.0381676
RP11-67L3.5	0
RP11-67L3.4	0.244181
TMEM61	0.176013
BSND	0.0104661
PCSK9	0.267342
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.0345507
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0.0619334
RPSAP20	0.24119
RP11-504A18.1	0.835882
LINC01767	0.15327
RPL21P23	0.562201
RPL23AP85	0
RP11-377K22.2	0
PRKAA2	1.33095
C1orf168	0.0186755
RP11-378I13.1	0
C8A	0
C8B	0
RP5-1103B4.3	0
DAB1	0.292958
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.035344
RPS26P15	0.134067
RP11-393I23.4	0
RP11-393I23.3	0
