Name	Brain - Hippocampus
HSPB7	1.50813
CLCNKA	0.124579
RP11-5P18.10	1.56476
CLCNKB	0.0702783
EPHA2	1.92902
RP11-276H7.2	0.0606878
RP11-276H7.3	0
ARHGEF19	0.640859
ANO7L1	0.175588
RSG1	3.53413
MT1XP1	0.6847
FBXO42	3.92922
RP11-430L17.1	0.0620449
SPATA21	0.0331023
LINC01772	1.6481
CROCCP3	3.1226
RNU1-1	0
RP4-798A10.7	0.48177
RP4-798A10.4	0.0669178
LINC01783	0.0947437
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.70808
RP5-1182A14.5	0.0699945
MST1P2	1.45361
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.0197837
EIF1AXP1	0.228659
ESPNP	0.0554386
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.402574
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.144924
RP11-108M9.4	3.74874
RP11-108M9.5	1.71938
RNU1-2	0
RP11-108M9.6	0.256886
MFAP2	0.113486
RP1-37C10.3	0
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0475823
PADI3	0
MIR3972	0
PADI4	0.134983
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
RP11-174G17.3	0.201535
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0164114
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.182174
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	0.466816
RP1-43E13.2	0.874819
AKR7L	1.37254
AKR7A3	2.43717
RP4-657E11.10	2.35517
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
RP5-1056L3.3	2.34257
HTR6	0.230193
TMCO4	1.34778
RNF186	0
RP11-91K11.2	0
OTUD3	3.76132
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.318398
PLA2G5	3.33425
PLA2G2D	0.0192109
PLA2G2F	0
RP3-340N1.2	0.0588726
PLA2G2C	0.0780188
UBXN10-AS1	3.1464
UBXN10	1.63477
LINC01757	0
VWA5B1	0.143218
RP4-745E8.2	0
LINC01141	0.50714
RP4-749H3.2	0
RPS4XP4	0
CDA	2.83749
PINK1-AS	0.952784
KIF17	3.54168
RP5-930J4.5	0
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.0776775
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0
RP5-1071N3.1	0.0475101
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.304296
HS6ST1P1	0.421443
CROCCP5	0
NBPF3	0.84315
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	0.345454
HSPG2	1.15762
RP11-26H16.1	0
RP11-26H16.4	0
CELA3B	0.0434449
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.107417
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0
RP1-224A6.8	0
RP1-224A6.9	0.454253
WNT4	0.928014
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40	3.84466
ZBTB40-IT1	0
EPHA8	0.314042
MIR6127	0
EPHB2	1.58247
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.179558
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
LUZP1	4.59895
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.200119
RP5-1057J7.1	0
LINC01355	2.51608
RP5-1057J7.7	0.100195
TCEA3	2.22527
RP4-654C18.1	0
E2F2	0.0227742
RP1-150O5.3	0.103772
MDS2	0.0807863
RP11-223J15.2	0
ELOA-AS1	1.5966
GALE	3.64716
CNR2	0.00291309
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0409104
RP11-293P20.4	0
IL22RA1	0.136241
IFNLR1	0.372415
RP11-10N16.2	0
RP11-10N16.3	0
GRHL3	0.108947
STPG1	2.18275
RCAN3	1.65642
RP4-594I10.3	0
NCMAP	0.209415
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.525101
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.798173
RP3-465N24.5	0.216738
RHD	0.14282
SDHDP6	0.230347
RP11-335G20.7	0
RHCE	0.819785
RP3-469D22.1	0.0590766
RP11-70P17.1	0.440083
RP1-187B23.1	0.0503523
RP1-317E23.3	0.298796
AUNIP	0.601063
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0.113623
RP1-125I3.4	0
MIR3917	0
PAFAH2	2.85354
RNU6-110P	0
SCARNA17	0
SCARNA18	0
SLC30A2	0.0463673
RP11-96L14.9	0
TRIM63	0.179839
PDIK1L	2.71192
FAM110D	1.33227
RP11-96L14.8	0
RP11-96L14.7	0.289362
ZNF593	0
CNKSR1	2.41568
CATSPER4	0.0118395
RP11-231P20.2	0.551756
RP11-231P20.6	0
CEP85	4.80177
RP11-231P20.5	0
CD52	1.30202
AIM1L	0.0144977
RP11-569G9.7	0
ZNF683	0.0918039
LIN28A	0
RP3-476K8.4	0.0523577
RP3-476K8.3	0.217474
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.184455
PIGV	4.16973
RN7SL165P	0
SFN	1.09783
NR0B2	0.0495627
KDF1	0.037865
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
FAM46B	0.429052
RP11-40H20.5	0
CHCHD3P3	0
NPM1P39	0.0989259
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.743506
RNU6-48P	0
ACTG1P20	0.367218
SYTL1	1.1695
MAP3K6	4.23763
FCN3	0.580046
CD164L2	0.303001
RP1-144C9.2	0
GPR3	2.23764
RP4-752I6.1	0
RP1-159A19.4	0.754117
FGR	3.8223
RP1-159A19.3	0.931766
RP11-288L9.1	0.14153
RP11-288L9.4	0.0703582
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
FAM76A	4.70512
RP3-426I6.2	0.0785986
RPEP3	0
RP3-426I6.5	0.143475
RP3-426I6.6	0.812494
RNU6-1245P	0
SCARNA1	0
SMPDL3B	0.204471
RP11-460I13.2	0
XKR8	4.81409
EYA3	4.25322
RP11-460I13.6	0.105424
RN7SL559P	0
SPCS2P4	0.806505
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	1.12256
RP5-1092A3.4	1.28902
RP5-1092A3.5	0
MED18	4.07863
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
RCC1	2.25607
SNORA73A	0.455386
SNORA73B	0.68953
PRDX3P2	0
RP4-669K10.8	0.141642
TRNAU1AP	4.00057
SNORD99	0
SNORA44	1.65677
SNORA16A	0
RAB42	0.240775
LINC01715	0.725483
RNU11	0
GMEB1	1.74632
SCARNA24	0
OPRD1	0.562391
RP1-212P9.3	0
Y_RNA	0
EPB41	0.867253
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	0.712571
RP11-242O24.3	0
uc_338	0.148527
RP11-467D18.2	0
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.290098
MATN1-AS1	1.01727
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.203672
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
RP11-490K7.4	0.653932
RP11-266K22.2	0.230552
SERINC2	0.758383
RP11-439L8.2	0
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00477522
RP11-73M7.1	0
HCRTR1	0.136074
RP11-73M7.6	2.29215
RP11-73M7.9	0.14623
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.405614
RP11-84A19.2	0.0600066
RP11-84A19.4	0.183434
RP4-534N18.2	0.112532
RP11-277A4.4	0.072004
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	0.67237
IQCC	2.75824
DCDC2B	0.192236
TMEM234	4.87851
FAM167B	1.52654
LCK	0.233016
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.153104
TSSK3	1.74804
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.498338
ZBTB8A	1.07844
Y_RNA	0
SYNC	1.22629
RP11-114B7.6	0
S100PBP	4.4579
RP5-1174N9.2	0.185129
RP4-803A2.1	0.0488726
RP4-803A2.2	0.0380693
Metazoa_SRP	0
RP1-117O3.2	0.0437976
RP11-131M11.2	0.860688
RP11-131M11.3	0.473122
RP11-415J8.7	0.142552
A3GALT2	0.0558583
RP11-415J8.3	0.717249
MIR3605	0
RN7SKP16	0.344511
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.457285
RP4-580O19.2	0.0881483
CSMD2	1.53286
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.358688
RP4-657M3.2	0
MIR552	0
SMIM12	4.14607
GJB5	0.935748
GJB4	0.0240677
GJB3	0.0881368
RP1-34M23.5	0
GJA4	4.78053
RP5-997D16.2	1.0999
RP11-244H3.1	1.35236
ZMYM6	3.2805
RPL12P45	0
ZMYM1	1.1416
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	1.02365
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.463214
CLSPN	0.173478
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	2.08114
RP4-665N4.8	0
RP4-665N4.4	0.185621
TEKT2	1.6744
COL8A2	0.899651
RN7SL131P	0
UBE2V2P4	0
SH3D21	1.79959
RNU4-27P	0
SNORA63	1.51442
CSF3R	4.08634
FTLP18	0
RP4-614N24.1	0
GRIK3	2.12355
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0.119773
RNA5SP43	0
RPS29P6	0.180525
LINC01137	1.86496
ZC3H12A	0.877692
MIR6732	0
MIR5581	0
SNIP1	3.0144
FTH1P1	0.065179
RP3-423B22.5	0.130869
RSPO1	0.0248315
C1orf109	3.06948
CDCA8	0.570187
EPHA10	2.07176
Y_RNA	0
ACTN4P2	0.0131452
RP11-109P14.2	0
MTF1	3.32701
RP11-109P14.8	0
INPP5B	2.84599
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.540397
POU3F1	1.49741
RP5-884C9.2	1.38063
RP5-884C9.3	0
MIR3659	0
LINC01343	0.0263458
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0249009
RP5-864K19.4	2.47921
MYCBP	3.14408
GJA9	0.525621
RHBDL2	4.06511
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.394531
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.995167
OXCT2P1	0.183412
RP11-69E11.4	4.69147
PPIEL	1.19115
SNORA55	0
RP11-69E11.8	0
HEYL	3.34826
RP1-144F13.3	0
NT5C1A	0.342144
RP1-144F13.4	0.050634
RNU7-121P	0
BMP8B	2.46197
OXCT2	0.33166
RP1-118J21.25	0.225074
RP1-118J21.24	0
Y_RNA	0
MYCL	0.68526
RP1-118J21.5	0
Y_RNA	0
RP3-342P20.2	1.19923
RP11-115D7.3	0.0626049
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0
RP1-228H13.1	0.0919988
RP1-228H13.2	0
ZFP69B	0.91816
RP1-228H13.5	2.09646
RP11-656D10.7	0.723341
ZFP69	2.14534
RP11-656D10.3	0.609036
EXO5	1.09072
RP11-656D10.5	0
RP11-656D10.6	0.476493
ZNF684	1.43856
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
NFYC-AS1	2.12774
MIR30E	0
MIR30C1	0
KCNQ4	1.14772
RN7SL326P	0
CITED4	4.23825
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
CTPS1	3.43164
SLFNL1-AS1	0.118947
SLFNL1	0.151931
RPL23AP17	0
RP11-399E6.1	0.048927
RP11-399E6.2	0
FOXO6	3.85401
RP11-399E6.4	0.185809
RNA5SP45	0
EDN2	0
HIVEP3	1.72784
RP11-486B10.3	0
RP11-486B10.4	0.0798974
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.522194
RIMKLA	3.59024
RP11-157D18.2	0
ZMYND12	2.80254
CCDC30	1.25909
RP11-163G10.2	0
TMSB4XP1	0.620192
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	2.62553
CLDN19	0.0139151
RP5-994D16.9	1.73819
TMEM269	0.136699
ERMAP	2.96937
RP11-342M1.3	0.144851
ZNF691	4.78252
RP11-342M1.7	0.0215434
RP11-342M1.6	0
ATP6V1E1P1	0.0718352
RP5-848E13.5	0.0752422
SLC2A1-AS1	1.65269
RP5-848E13.4	0.108543
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	2.05073
CFAP57	0.743971
RNA5SP46	0
C1orf210	0.0900878
TIE1	4.65968
MPL	0.151407
RP1-92O14.3	0.506419
CDC20	0.733078
RP1-92O14.6	1.34439
SZT2	4.06281
SZT2-AS1	0
HYI-AS1	0.456357
KDM4A-AS1	0.538707
RP11-184I16.4	0
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.323874
RP11-7O11.3	0.948368
RP5-1198O20.4	0.460871
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.108681
RP11-570P14.1	0.164622
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0
ERI3-IT1	0.142402
RNU6-369P	0
MIR5584	0
TMEM53	4.22482
C1orf228	3.15127
RNU5F-1	0
RNU5D-1	0
KIF2C	0.276345
RP11-269F19.2	0.0800862
SNORD46	0.248982
SNORD38A	0
RPS15AP11	0.152635
BEST4	1.06663
PLK3	3.40021
TCTEX1D4	0.227102
BTBD19	0.758368
PTCH2	3.10782
RP5-882O7.1	0.741798
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.123857
MRPS17P1	0.0312732
ZSWIM5	2.29776
OSTCP5	0
LINC01144	1.1367
HPDL	1.14457
TOE1	3.70558
RP11-291L19.1	0
MMACHC	2.44474
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	0.858415
RPS15AP10	0.175018
RP11-767N6.2	0.180579
IPP	2.528
RP11-767N6.7	2.97977
RP11-630I5.1	0.0299682
TMA16P2	0
RP4-533D7.4	0.0640068
RP4-533D7.3	0
RP4-533D7.5	0.0976692
TSPAN1	0.360274
RP11-322N21.2	0
LURAP1	3.00839
RAD54L	0.633552
NSUN4	2.21255
RP4-603I14.3	0
FAAHP1	0.49309
LINC01398	0.0230408
DMBX1	0
RP11-49P4.7	0.231016
MKNK1-AS1	0.217304
KNCN	0.285315
MOB3C	3.43199
NENFP1	0
TEX38	0.0616575
EFCAB14-AS1	0
RP11-8J9.5	0
CYP4B1	0.229583
CYP4Z2P	0
RP11-346M5.1	0
CYP4A11	0.139113
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	4.38895
CYP4Z1	0.457648
RP11-184J23.2	0
CYP4A22-AS1	0.129781
CYP4A22	0.0724264
MTND1P34	0
LINC00853	0.772702
PDZK1IP1	0.281306
TAL1	2.06208
RP1-18D14.7	0.65807
STIL	0.532031
LINC01389	0.135576
FOXE3	0.131162
FOXD2-AS1	0.235049
FOXD2	0.0727892
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	0.107718
RP11-330M19.1	0
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.148619
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.145896
RP5-1024N4.4	0.677299
RP5-1024N4.5	0.220359
SPATA6	4.17665
PPP1R8P1	0.398353
RNU6-723P	0
RP11-329A14.1	0.0657556
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.737583
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.0960403
HMGB1P45	0
FCF1P6	0
DMRTA2	0.302242
RP5-850O15.3	0.0580147
RNU6-1026P	0
PHBP12	0.039767
MRPS6P2	0
CDKN2C	3.64225
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0705917
LINC01562	0.117957
RP11-296A18.5	0.120041
RP11-296A18.6	0.0477476
TTC39A	0.305174
TTC39A-AS1	0
RP11-275F13.3	0.0257558
RNU6-877P	0
RP11-253A20.1	0.122472
RP11-191G24.1	0.116297
RNU6-1281P	0
CALR4P	0.147509
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	0.465988
RP4-657D16.6	0.116764
MIR761	0
TSEN15P2	0
RAB3B	1.7836
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
KTI12	4.28376
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.0973723
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	0.755393
PLA2G12AP1	0.19654
ORC1	0.139961
ZCCHC11	4.32546
RP11-25O10.2	0
EEF1GP7	0
GPX7	2.28141
FAM159A	0.17434
COA7	4.84543
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	0.672005
RNU6-969P	0
ZYG11A	0.0116062
RP4-631H13.2	0
RP4-631H13.6	0.336994
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
PODN	2.60445
SLC1A7	0.956462
RP11-334A14.8	0.0316328
RP5-1024G6.9	0
CPT2	3.34489
RP5-1024G6.2	0.191279
RP5-1024G6.7	0.0259577
RP5-1024G6.5	0.784864
RP4-784A16.1	0.0952819
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.356058
RP11-117D22.1	0
RP11-117D22.2	0.0419909
SLC25A3P1	0
DMRTB1	0
GLIS1	0.873397
RNU7-95P	0
NDC1	2.62289
SNORA58	0
RP4-654H19.2	0
DIO1	0.0555892
