Name	Artery - Coronary
RP4-657E11.10	1.2705
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0542996
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2D	0.0494276
PLA2G2F	0.0313755
RP3-340N1.2	0.0847427
PLA2G2C	0.0152926
UBXN10-AS1	0.228229
UBXN10	0.291211
LINC01757	0
VWA5B1	0.00837881
RP4-745E8.2	0
LINC01141	0
RP4-749H3.2	0
RPS4XP4	0
FAM43B	1.19139
PINK1-AS	3.95568
KIF17	1.5497
RP5-930J4.5	0
SH2D5	0.111487
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.168742
RP5-1071N3.1	0.423847
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.677801
HS6ST1P1	0.467244
CROCCP5	0
NBPF3	2.0025
PFN1P10	0
RP11-63N8.3	0
RAP1GAP	0.500792
RP11-132G19.3	0
RP11-26H16.1	0.168951
RP11-26H16.4	0
CELA3B	0.471995
RN7SL386P	0
RNU6-1022P	0
CELA3A	1.63178
RN7SL186P	0
RNU6-776P	0
LINC01635	0.0660362
CDC42-IT1	0.0776185
RP1-224A6.8	0.0741662
RP1-224A6.9	0.630714
WNT4	0.224865
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	2.44334
EPHA8	0.173589
MIR6127	0
EPHB2	1.53542
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0149527
RP5-1057J7.1	0
RP5-1057J7.7	0.548177
RP4-654C18.1	0
E2F2	0.229453
RP1-150O5.3	0.69837
MDS2	0.14208
RP11-223J15.2	0
ELOA-AS1	3.37427
CNR2	0.0273476
BTBD6P1	0.0289368
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.837152
RP11-293P20.4	0
IL22RA1	0.603171
IFNLR1	0.247103
RP11-10N16.2	0
RP11-10N16.3	0
GRHL3	0.0675893
STPG1	1.76581
NIPAL3	4.02721
RCAN3	2.5729
RP4-594I10.3	0
NCMAP	0.457011
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	2.49301
MIR6731	0
RP11-84D1.1	0.0506228
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.722902
RP3-465N24.5	1.12624
RHD	0.315416
SDHDP6	0.799824
RP11-335G20.7	0
RHCE	0.181425
RP3-469D22.1	0.229094
RP11-70P17.1	3.87279
RP1-187B23.1	0.167314
RP1-317E23.3	0.898254
AUNIP	0.54731
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.509135
SLC30A2	0.0449463
RP11-96L14.9	0
TRIM63	0.505215
PDIK1L	3.64995
RP11-96L14.8	0
RP11-96L14.7	0.360666
ZNF593	0
CNKSR1	1.77018
CATSPER4	0
RP11-231P20.2	0.0739972
RP11-231P20.6	0
CEP85	2.98847
RP11-231P20.5	0
AIM1L	0.0435154
RP11-569G9.7	0
ZNF683	0.132162
LIN28A	0.00583336
RP3-476K8.4	0.269577
RP3-476K8.3	0.79688
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.72182
RN7SL165P	0
SFN	2.15267
NR0B2	0
KDF1	0.0574244
RPL12P13	0.0801389
RP11-344H11.5	0
OSTCP2	0
RP11-40H20.5	0
CHCHD3P3	0.0855912
NPM1P39	0.431418
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.220796
RNU6-48P	0.34192
ACTG1P20	1.6837
SYTL1	1.99804
CD164L2	0
RP1-144C9.2	0
GPR3	1.08833
RP4-752I6.1	0
RP1-159A19.4	0.415561
RP1-159A19.3	0.948639
RP11-288L9.1	0
RP11-288L9.4	0.106572
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.39841
RPEP3	0
RP3-426I6.5	0.897917
RP3-426I6.6	1.90995
RNU6-1245P	0
SCARNA1	0
SMPDL3B	0.114719
RP11-460I13.2	0
RP11-460I13.6	0.740373
RN7SL559P	0
SPCS2P4	1.68396
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	4.13597
RP5-1092A3.4	1.20514
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	1.60758
SNORA73B	3.61327
PRDX3P2	0.0195177
RP4-669K10.8	0.101707
SNORD99	0
SNORA16A	0
RAB42	1.25419
LINC01715	1.58504
RNU11	0
GMEB1	4.82224
SCARNA24	0
OPRD1	0.032135
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	2.21723
RP11-467D18.2	0.176061
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.121423
MATN1-AS1	1.36614
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.136008
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.0670242
RP11-490K7.4	2.27241
RP11-266K22.2	0.0475112
SERINC2	3.38256
RP11-439L8.2	0.0401367
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.0198385
RP11-73M7.1	1.46314
HCRTR1	0.316953
RP11-73M7.6	3.18565
RP11-73M7.9	0.128129
ADGRB2	1.86691
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.920582
RP11-84A19.2	0
RP11-84A19.4	0.488876
RP4-534N18.2	0.186946
RP11-277A4.4	0.18552
MIR5585	0
Metazoa_SRP	0
CCDC28B	4.52448
RP4-622L5.7	1.44369
IQCC	3.23786
DCDC2B	0.675014
LCK	2.09063
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.156796
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0260089
ZBTB8A	4.96066
Y_RNA	0
RP11-114B7.6	0
FNDC5	3.72073
HPCA	0.329704
RP5-1174N9.2	0.149619
RP4-803A2.1	0.0895106
RP4-803A2.2	0
Metazoa_SRP	0
RP1-117O3.2	0.0392598
AZIN2	2.02791
RP11-131M11.2	1.43479
RP11-131M11.3	0.464302
RP11-415J8.7	1.27846
A3GALT2	0.26279
RP11-415J8.3	4.92828
MIR3605	0.90286
RN7SKP16	3.91354
RP11-415J8.5	0.125368
TLR12P	0
ZSCAN20	1.64651
RP4-580O19.2	0.172004
CSMD2	0.223356
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.00462939
RP4-657M3.2	0
MIR552	0
GJB5	0.364614
GJB4	0.0391145
GJB3	0.271457
RP1-34M23.5	0
DLGAP3	0.474059
RPL12P45	0
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	1.00352
TFAP2E	2.03937
CLSPN	0.192845
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	4.78236
RP4-665N4.8	0.521936
RP4-665N4.4	0
TEKT2	0.128364
RN7SL131P	0
UBE2V2P4	0
SH3D21	2.83728
RNU4-27P	0
SNORA63	0.517515
FTLP18	0
RP4-614N24.1	0
GRIK3	1.135
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
MIR6732	0
MIR5581	0
FTH1P1	0.296471
RP3-423B22.5	0.515632
RSPO1	0.536916
CDCA8	1.20194
EPHA10	0.0389874
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	1.053
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.448815
POU3F1	0.253056
RP5-884C9.2	0.24786
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0916975
RP5-864K19.4	1.97816
GJA9	0.212457
RHBDL2	0.547756
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	1.23071
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.644969
OXCT2P1	0.914433
PPIEL	3.26196
SNORA55	1.53954
RP11-69E11.8	0.463219
RP1-144F13.3	0.449195
NT5C1A	0.756999
HPCAL4	0.213492
RP1-144F13.4	0
RNU7-121P	0
BMP8B	2.30249
OXCT2	0.282204
RP1-118J21.25	0.0994073
RP1-118J21.24	0
Y_RNA	0
MYCL	0.286724
RP1-118J21.5	0
Y_RNA	0
MFSD2A	1.09349
RP3-342P20.2	0.399702
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0.0369292
RP1-228H13.1	0.194914
RP1-228H13.2	0
ZFP69B	1.00681
RP1-228H13.5	1.2165
RP11-656D10.7	0.198645
ZFP69	4.16237
RP11-656D10.3	1.50007
EXO5	3.65917
RP11-656D10.5	0
RP11-656D10.6	0.836993
ZNF684	3.04126
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
NFYC-AS1	3.88584
MIR30E	0
MIR30C1	0
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	2.17137
SLFNL1	1.56556
RPL23AP17	0
RP11-399E6.1	0.151005
RP11-399E6.2	0
FOXO6	2.46648
RP11-399E6.4	1.50566
RNA5SP45	0
EDN2	0.0861853
HIVEP3	1.49938
RP11-486B10.3	0
RP11-486B10.4	0.0365891
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.362467
RIMKLA	0.165221
RP11-157D18.2	0
ZMYND12	1.36752
CCDC30	1.42036
RP11-163G10.2	0
TMSB4XP1	1.85079
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.886674
CLDN19	0.411846
RP5-994D16.9	2.32239
TMEM269	0.197738
RP11-342M1.3	0.536781
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.0790972
RP5-848E13.5	0.102563
SLC2A1-AS1	2.55114
RP5-848E13.4	0.0779209
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0
CFAP57	0.425477
RNA5SP46	0
TMEM125	0.205606
C1orf210	0.0554516
MPL	0.289176
RP1-92O14.3	1.10283
CDC20	1.03533
RP1-92O14.6	1.78703
SZT2-AS1	0
HYI-AS1	0.287379
KDM4A-AS1	0.998658
RP11-184I16.4	0
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	1.86669
RP11-7O11.3	1.82785
SLC6A9	4.86368
RP5-1198O20.4	0.160664
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0296227
RP11-570P14.1	0.245117
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0185527
ERI3-IT1	0.348746
RNU6-369P	0
MIR5584	0
C1orf228	1.16192
RNU5F-1	0
RNU5D-1	0
KIF2C	1.35105
RP11-269F19.2	0.143895
SNORD46	2.30676
SNORD38A	0
RPS15AP11	0.481135
BEST4	0.851414
TCTEX1D4	1.00204
RP5-882O7.1	0.649833
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.113967
MRPS17P1	0.0197482
ZSWIM5	3.34859
OSTCP5	0
LINC01144	1.17587
HPDL	0.55441
RP11-291L19.1	0
CCDC163	2.26815
MMACHC	2.32897
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	1.96604
RPS15AP10	1.1631
RP11-767N6.2	1.31762
RP11-767N6.7	3.25758
RP11-630I5.1	0.0772154
TMA16P2	0
RP4-533D7.4	0.15899
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	2.17996
RP11-322N21.2	0
RAD54L	0.513732
RP4-603I14.3	0
FAAHP1	0.23458
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.81808
KNCN	0
NENFP1	0.101472
TEX38	0.10705
EFCAB14-AS1	0.254286
RP11-8J9.5	0
CYP4Z2P	0.0908144
RP11-346M5.1	0
CYP4A11	0.13184
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	1.50906
RP11-184J23.2	0.0373687
CYP4A22-AS1	0.0778828
CYP4A22	0.140788
MTND1P34	0
LINC00853	0.802887
PDZK1IP1	3.34952
TAL1	4.47726
RP1-18D14.7	0.759725
STIL	0.709626
LINC01389	0.633549
FOXE3	0.0637133
FOXD2	2.57728
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0.140043
RP11-330M19.1	2.34209
RP4-683M8.2	0.151917
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	1.06585
RP5-1024N4.6	0.0379214
RP5-1024N4.2	0.178567
SLC5A9	1.24064
RP5-1024N4.4	2.67567
RP5-1024N4.5	0.273222
PPP1R8P1	0.149827
RNU6-723P	0
RP11-329A14.1	0.0650268
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.0540123
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.0524458
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.284307
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0309902
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.32592
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.106862
LINC01562	0.135702
RP11-296A18.5	0.537502
RP11-296A18.6	0.152733
TTC39A	0.234455
TTC39A-AS1	0
RP11-275F13.3	0.31206
RNU6-877P	0
RP11-253A20.1	0.176115
RP11-191G24.1	0.26516
RNU6-1281P	0
CALR4P	0
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	3.12178
RP4-657D16.6	0.776227
MIR761	0
TSEN15P2	0
RAB3B	0.0205431
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.754372
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.075973
RP11-155O18.6	1.93669
PLA2G12AP1	0.403625
ORC1	0.510585
RP11-25O10.2	0
EEF1GP7	0
FAM159A	0.259895
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	2.51948
RNU6-969P	0
ZYG11A	0.0673
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	3.68452
RP11-334A14.8	0.501177
RP5-1024G6.9	0
RP5-1024G6.2	0.43201
RP5-1024G6.7	0.0273036
RP5-1024G6.5	0.45108
LRP8	2.41244
RP4-784A16.1	0
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.0625537
RP11-117D22.1	0
RP11-117D22.2	0.148587
SLC25A3P1	0
DMRTB1	0
GLIS1	1.78542
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.22814
HNRNPA3P12	0.130784
LDLRAD1	0
RP4-758J24.6	1.17838
TCEANC2	2.33462
MIR4781	0
RP4-758J24.4	0
CDCP2	0.102201
RP11-446E24.3	0.0414455
CYB5RL	3.20483
SSBP3-AS1	2.76787
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	2.21868
FAM151A	0.239839
RP11-240D10.4	0
PARS2	3.18253
TTC22	0.119881
RP11-67L3.2	0
LEXM	0
RP11-67L3.5	0
RP11-67L3.4	0.0837283
TMEM61	0.293329
BSND	0
PCSK9	0.0835787
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.200152
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0.146493
RP11-504A18.1	0.783932
LINC01767	0.0854132
RPL21P23	0.214001
RPL23AP85	0
RP11-377K22.2	0
C1orf168	0.0385071
RP11-378I13.1	0
C8A	0
C8B	0
RP5-1103B4.3	0
DAB1	1.44843
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0352579
RPS26P15	0.147934
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0
RN7SL713P	0
TACSTD2	3.97731
RP4-592A1.2	0.508844
RP11-63G10.4	0.157818
LINC01135	0.40093
RP11-63G10.3	0.364083
RP11-63G10.2	0
RP4-794H19.1	1.41139
LINC01358	0.142227
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0.177235
RP11-467C18.1	0.67525
FGGY	1.47398
MIR4711	0
RP4-782L23.2	0.166078
HOOK1	0.183101
CYP2J2	0.274854
RN7SL475P	0
C1orf87	0.101431
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.0214561
RP11-436K8.1	0.057566
NFIA-AS2	0.387197
