Name	Adrenal Gland
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0
SMIM1	1.79002
RN7SL574P	0.576515
RP1-286D6.5	3.96782
DFFB	4.20928
LINC01134	0.307378
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.129976
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
NPHP4	4.73534
KCNAB2	4.93544
CHD5	0.154762
RP1-120G22.11	1.71649
LINC00337	0.0288065
HES3	0
GPR153	1.71652
HES2	0.0269875
ESPN	1.23306
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.356142
TAS1R1	0.380987
LINC01672	0.0229166
RP11-312B8.1	0.288896
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.205708
RP3-453P22.2	0
RP4-549F15.1	0.29831
RP11-338N10.1	0.0155374
RP11-338N10.2	0
RP11-338N10.3	0.128865
RP3-467L1.6	1.74188
RP3-467L1.4	0.563299
UTS2	0.950092
TNFRSF9	0.0352273
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.053496
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	2.35126
Y_RNA	0
RP5-1115A15.1	1.15084
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0469011
RPL7P7	0.0329433
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.148422
ENO1-AS1	0.496994
RNU6-304P	0
HMGN2P17	0.0372764
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	2.27441
SCARNA16	0
LINC01759	2.56052
RP3-510D11.4	0.266844
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	2.95236
RP13-15M17.1	0.340262
TMEM201	4.79155
PIK3CD	3.61195
PIK3CD-AS1	0.0242617
RP11-558F24.2	0
PIK3CD-AS2	1.09479
MZT1P1	0
RP11-84A14.7	0
RP11-84A14.4	0.468447
RN7SKP269	0.140445
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.0336091
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.2865
RN7SL614P	0.216901
CASZ1	1.48049
RP4-734G22.3	0.450992
HSPE1P24	0
C1orf127	0.138122
CFL1P6	0.113351
MASP2	2.06929
RP4-635E18.7	2.28307
RP4-635E18.6	1.04089
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	1.97386
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.0752598
MTCYBP45	0
DISP3	0.0794074
LINC01647	0
DRAXIN	0.0139552
C1orf167	0.00860484
RP11-56N19.5	0
NPPA-AS1	2.29497
NPPA	1.80967
NPPB	0.158882
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0
MIR6729	0
RN7SL649P	0
TNFRSF8	0.144113
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.75214
RP5-888M10.2	0.118971
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.726742
AADACL4	0.0561189
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.079407
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
RP4-597A16.2	0.705803
BRWD1P1	0
PDPN	2.42946
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	1.75854
C1orf195	0.0637302
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.156812
RP3-467K16.2	1.73942
RP3-467K16.7	0.403566
RP3-467K16.4	0.107061
CTRC	0.346619
CELA2A	2.13416
CELA2B	1.26494
SCARNA21	0
RP4-680D5.8	0.347063
AGMAT	1.44365
RP4-680D5.2	0.0705599
CHCHD2P6	2.51338
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.145615
RP11-288I21.1	1.22876
TMEM82	0.00536633
RP11-169K16.4	0.0889163
RPL12P14	0.18655
UQCRHL	2.98658
RP11-169K16.8	0.665236
FLJ37453	3.17414
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0
CLCNKA	2.67652
RP11-5P18.10	1.23673
CLCNKB	1.56723
RP11-276H7.2	0.497567
RP11-276H7.3	0.25341
ANO7L1	2.89234
MT1XP1	0.588641
RP11-430L17.1	0.121089
SPATA21	0.0234626
LINC01772	1.62028
CROCCP3	4.03074
RNU1-1	0
RP4-798A10.7	0.433618
RP4-798A10.4	0
LINC01783	0.239778
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
RP5-1182A14.5	0.52193
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.41262
ESPNP	0.0101925
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	2.06572
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	1.35778
RP11-108M9.5	4.36763
RNU1-2	0
RP11-108M9.6	0.493648
MFAP2	1.33822
RP1-37C10.3	0
PADI2	0.257514
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0259958
PADI3	0
MIR3972	0
PADI4	0.0927184
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	3.51031
RP11-174G17.3	0.0497952
RP11-174G17	0
RP11-422P22.1	0.0166127
KLHDC7A	0
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	0.683681
RP1-43E13.2	1.26492
AKR7L	0.785267
AKR7A3	4.38956
RP4-657E11.10	2.00307
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
RP5-1056L3.3	4.15408
HTR6	0.0142055
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2A	4.97384
PLA2G5	1.25573
PLA2G2D	0
PLA2G2F	0
RP3-340N1.2	0.0538279
PLA2G2C	0.0275257
UBXN10-AS1	2.6144
UBXN10	1.69095
LINC01757	0
VWA5B1	0.0236564
RP4-745E8.2	0
LINC01141	0.0214597
RP4-749H3.2	0
RPS4XP4	0
CDA	4.4361
PINK1-AS	3.80399
RP5-930J4.5	0
SH2D5	0.22381
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.342689
RP5-1071N3.1	0.307946
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	1.16804
HS6ST1P1	1.58422
CROCCP5	0
NBPF3	3.09601
PFN1P10	0
RP11-63N8.3	0.21715
RP11-132G19.3	0
LDLRAD2	1.95086
RP11-26H16.1	0.0976873
RP11-26H16.4	0
CELA3B	0.947417
RN7SL386P	0
RNU6-1022P	0
CELA3A	3.10942
RN7SL186P	0
RNU6-776P	0
LINC01635	0.130212
CDC42-IT1	0.0603519
RP1-224A6.8	0.0765304
RP1-224A6.9	0.218189
MIR4418	0
RP11-415K20.1	0.143153
RP11-415K20.2	0
ZBTB40-IT1	0.669523
EPHA8	0.106819
MIR6127	0
EPHB2	0.753715
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.0760779
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0564461
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0175076
RP5-1057J7.1	0
LINC01355	4.41178
RP5-1057J7.7	3.51954
RP4-654C18.1	0.0732241
E2F2	0.249594
RP1-150O5.3	0.16169
MDS2	0.0374725
RP11-223J15.2	0
ELOA-AS1	4.47609
CNR2	0.0122467
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0865723
RP11-293P20.4	0
IL22RA1	0.611252
IFNLR1	2.82475
RP11-10N16.2	0
RP11-10N16.3	0
GRHL3	0.0770189
STPG1	2.10534
RCAN3	0.825483
RP4-594I10.3	0
NCMAP	0.0228757
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	1.15734
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.738131
RP3-465N24.5	0.509954
RHD	0.331914
SDHDP6	0.740209
RP11-335G20.7	0
RHCE	0.475566
RP3-469D22.1	0.154431
RP11-70P17.1	0.496302
RP1-187B23.1	0.0659007
RP1-317E23.3	3.14029
AUNIP	1.38591
RP1-125I3.2	0.144873
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	1.51071
SLC30A2	0.883447
RP11-96L14.9	0.0287604
TRIM63	0.161585
PDIK1L	3.08865
FAM110D	1.63575
RP11-96L14.8	0
RP11-96L14.7	0.149134
ZNF593	0
CNKSR1	0.217221
CATSPER4	0
RP11-231P20.2	1.65457
RP11-231P20.6	0
CEP85	3.9414
RP11-231P20.5	0
CD52	2.50087
AIM1L	0.0284396
RP11-569G9.7	0
ZNF683	0.0403692
LIN28A	0.0075662
RP3-476K8.4	0.234701
RP3-476K8.3	0.340116
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.596317
RN7SL165P	0
SFN	0.839213
KDF1	1.51236
RPL12P13	0.053563
RP11-344H11.5	0
OSTCP2	0
TRNP1	4.73097
FAM46B	1.07407
RP11-40H20.5	0
CHCHD3P3	0.0908868
NPM1P39	0.269744
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.407556
RNU6-48P	0
ACTG1P20	1.18092
SYTL1	0.64906
CD164L2	0.117626
RP1-144C9.2	0
GPR3	0.483118
RP4-752I6.1	0
RP1-159A19.4	0.206849
RP1-159A19.3	1.25022
RP11-288L9.1	0
RP11-288L9.4	0.11871
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
FAM76A	4.49891
RP3-426I6.2	0.284718
RPEP3	0
RP3-426I6.5	0.227543
RP3-426I6.6	0.758543
RNU6-1245P	0
SCARNA1	0
SMPDL3B	0.0409483
RP11-460I13.2	0
RP11-460I13.6	0.212028
RN7SL559P	0
SPCS2P4	1.53533
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	2.70226
RP5-1092A3.4	4.38714
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	1.60615
SNORA73B	2.44509
PRDX3P2	0.127
RP4-669K10.8	0.115045
SNORD99	0
SNORA44	2.05023
SNORA16A	0
RAB42	0.772947
LINC01715	0.715587
RNU11	0
GMEB1	3.20524
SCARNA24	0
OPRD1	0.0368818
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	3.86522
RP11-242O24.3	0
uc_338	1.64291
RP11-467D18.2	0.188561
PTPRU	2.78957
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.0890525
MATN1-AS1	0.74996
MIR4420	0
RP5-1125N11.1	0
LINC01778	3.81735
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
RP11-490K7.4	1.23036
RP11-266K22.2	0
RP11-439L8.2	0.0368162
RNU6-40P	0
LINC01225	0.0138686
Y_RNA	0
LINC01226	0.00954312
RP11-73M7.1	0.184471
HCRTR1	0.0544051
RP11-73M7.6	0.523842
RP11-73M7.9	0
ADGRB2	1.9619
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.381988
RP11-84A19.2	0
RP11-84A19.4	0.194913
RP4-534N18.2	0.0865956
RP11-277A4.4	0.0624434
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	1.33198
IQCC	4.74243
DCDC2B	0.60795
LCK	0.805537
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.177855
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0435386
ZBTB8A	1.94949
Y_RNA	0
SYNC	4.01385
RP11-114B7.6	0.882509
HPCA	0.15966
RP5-1174N9.2	0.136654
RP4-803A2.1	0.0945528
RP4-803A2.2	0.105066
Metazoa_SRP	0
RP1-117O3.2	0.057451
AZIN2	3.93267
RP11-131M11.2	1.56874
RP11-131M11.3	0.536514
RP11-415J8.7	0.467777
A3GALT2	0.105753
RP11-415J8.3	3.04524
MIR3605	0.451742
RN7SKP16	2.01503
RP11-415J8.5	0.0680321
TLR12P	0
ZSCAN20	1.09145
RP4-580O19.2	0.0593137
CSMD2	0.536397
HSPD1P14	0
HMGB4	0.019052
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.155834
RP4-657M3.2	0
MIR552	0
GJB5	0.21904
GJB4	0.0252261
GJB3	0.226083
RP1-34M23.5	0
DLGAP3	0.507546
RP11-244H3.1	3.95605
RPL12P45	0
ZMYM1	3.8903
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	4.40907
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.43429
TFAP2E	0.775407
CLSPN	0.167744
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	3.14241
RP4-665N4.8	0.0955008
RP4-665N4.4	0.104943
TEKT2	0.649809
COL8A2	1.33978
RN7SL131P	0
UBE2V2P4	0
SH3D21	1.45775
RP11-268J15.5	3.05006
RNU4-27P	0
SNORA63	0.201723
FTLP18	0
RP4-614N24.1	0
GRIK3	0.250881
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
MIR6732	0
MIR5581	0
FTH1P1	0.190873
RP3-423B22.5	0.281622
RSPO1	0.128652
CDCA8	1.3393
EPHA10	0.332174
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	3.56705
RP11-109P14.8	0.0395435
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.385127
POU3F1	1.38747
RP5-884C9.2	0.398079
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0418387
RP5-864K19.4	1.63111
GJA9	0.193719
RHBDL2	0.473853
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.233175
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.625686
OXCT2P1	0.273107
PPIEL	2.25733
SNORA55	1.24238
RP11-69E11.8	0.379879
RP1-144F13.3	0
NT5C1A	0.151916
HPCAL4	0.145101
RP1-144F13.4	0
RNU7-121P	0
BMP8B	0.657374
OXCT2	0.111782
RP1-118J21.25	0.0340129
RP1-118J21.24	0
Y_RNA	0
MYCL	0.112595
RP1-118J21.5	0
Y_RNA	0
MFSD2A	0.334189
RP3-342P20.2	0.199003
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0
COL9A2	3.52075
RP1-228H13.1	0.108649
RP1-228H13.2	0
ZFP69B	0.570204
RP1-228H13.5	0.706161
RP11-656D10.7	0.0958192
ZFP69	1.43639
RP11-656D10.3	1.21611
EXO5	3.20336
RP11-656D10.5	0
RP11-656D10.6	0.565589
ZNF684	3.67129
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	1.06644
RP4-739H11.3	0
NFYC-AS1	2.82776
MIR30E	0
MIR30C1	0
KCNQ4	0.426815
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.58936
SLFNL1	0.428335
RPL23AP17	0
RP11-399E6.1	0.103935
RP11-399E6.2	0
FOXO6	0.924694
RP11-399E6.4	0.306316
RNA5SP45	0
EDN2	0.0920023
HIVEP3	1.33986
RP11-486B10.3	0
RP11-486B10.4	0.0348048
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0.170994
RP11-223A3.1	0.37004
RIMKLA	0.198589
RP11-157D18.2	0
ZMYND12	3.95049
CCDC30	1.07949
RP11-163G10.2	0
TMSB4XP1	0.856324
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.641221
CLDN19	0.0349247
RP5-994D16.9	1.79923
TMEM269	0.0566868
RP11-342M1.3	1.07086
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.096531
RP5-848E13.5	0
SLC2A1-AS1	0.499874
RP5-848E13.4	0
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.119654
CFAP57	0.130542
RNA5SP46	0
TMEM125	0.594387
C1orf210	0.028536
MPL	0.119206
RP1-92O14.3	0.533223
CDC20	1.28226
RP1-92O14.6	1.87279
SZT2-AS1	0
HYI-AS1	0.220087
KDM4A-AS1	2.22215
RP11-184I16.4	0.0511855
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.502043
RP11-7O11.3	0.764758
RP5-1198O20.4	1.75288
RP5-1198O20.5	0.344818
KRT8P47	0
RN7SL479P	0
KLF17	0.601023
RP11-570P14.1	0.190659
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.111274
ERI3-IT1	0.136472
RNU6-369P	0
MIR5584	0
C1orf228	2.68591
RNU5F-1	0.216738
RNU5D-1	0
KIF2C	0.766061
RP11-269F19.2	0.122294
SNORD46	1.10242
SNORD38A	0
RPS15AP11	0.389233
BEST4	2.73681
TCTEX1D4	2.48838
PTCH2	3.91388
RP5-882O7.1	0.78009
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.122308
MRPS17P1	0.0384979
OSTCP5	0
LINC01144	1.47701
HPDL	0.339425
TESK2	3.27768
RP11-291L19.1	0
CCDC163	2.66145
MMACHC	4.39178
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	1.1639
RPS15AP10	0.816223
RP11-767N6.2	0.824369
IPP	4.9136
RP11-767N6.7	4.14366
RP11-630I5.1	0.0583771
TMA16P2	0
RP4-533D7.4	0.115615
RP4-533D7.3	0
RP4-533D7.5	1.04107
RP11-322N21.2	0
LURAP1	3.98743
RAD54L	0.458125
RP4-603I14.3	0
FAAHP1	0.574645
LINC01398	0.03085
DMBX1	0.0218542
RP11-49P4.7	0
MKNK1-AS1	0.558122
KNCN	0
NENFP1	0
TEX38	0.136104
EFCAB14-AS1	0.0915703
RP11-8J9.5	0
CYP4B1	2.96615
CYP4Z2P	0.0208203
RP11-346M5.1	0
CYP4A11	0.0281402
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	1.49434
CYP4Z1	0.236994
RP11-184J23.2	0
CYP4A22-AS1	0.119933
CYP4A22	0.0307159
MTND1P34	0
LINC00853	0.596816
TAL1	2.94877
RP1-18D14.7	0.58694
STIL	0.684478
LINC01389	0.306772
FOXE3	0.03153
FOXD2-AS1	1.4204
FOXD2	0.871718
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	1.22164
RP11-330M19.1	0.0330294
RP4-683M8.2	0.0409613
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.644727
RP5-1024N4.6	0.0265562
RP5-1024N4.2	0.0552225
SLC5A9	0.680117
RP5-1024N4.4	2.25012
RP5-1024N4.5	0.320195
PPP1R8P1	0.200479
RNU6-723P	0
RP11-329A14.1	0.263973
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.0694391
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.062688
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.171359
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0181914
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.209677
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0856576
LINC01562	0.17772
RP11-296A18.5	0.300912
RP11-296A18.6	0.0856566
TTC39A	2.7162
TTC39A-AS1	0.0575461
RP11-275F13.3	0.335198
RNU6-877P	0
RP11-253A20.1	0.234533
RP11-191G24.1	0.900887
RNU6-1281P	0
CALR4P	2.84109
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	1.94074
RP4-657D16.6	0.471609
MIR761	0
TSEN15P2	0
RAB3B	0.704449
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.103379
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.554029
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	1.99689
PLA2G12AP1	0.538589
ORC1	0.986928
RP11-25O10.2	0.0721172
EEF1GP7	0
FAM159A	0.164559
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	1.29113
RNU6-969P	0
ZYG11A	0.0176272
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	0.27137
RP11-334A14.8	0.0817359
RP5-1024G6.9	0
RP5-1024G6.2	0.264246
RP5-1024G6.7	0.0164093
RP5-1024G6.5	2.79682
LRP8	1.35071
RP4-784A16.1	0
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0
RP11-117D22.1	0
RP11-117D22.2	0.118406
SLC25A3P1	0
DMRTB1	0
GLIS1	0.143891
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.178559
HNRNPA3P12	0.103175
LDLRAD1	1.28584
RP4-758J24.6	1.06498
TCEANC2	2.05211
MIR4781	0
RP4-758J24.4	0
CDCP2	0.140573
RP11-446E24.3	0.0584127
SSBP3-AS1	1.62487
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	1.40061
FAM151A	0.279513
RP11-240D10.4	0
MROH7	2.78723
PARS2	4.69089
TTC22	0.574302
RP11-67L3.2	0
LEXM	0.137687
RP11-67L3.5	0
RP11-67L3.4	0.540721
BSND	0.0171724
PCSK9	0.13387
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.0106324
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0.0893366
RP11-504A18.1	0.25585
LINC01767	0.0621392
RPL21P23	0.0892404
RPL23AP85	0
RP11-377K22.2	0
PRKAA2	0.933041
C1orf168	0
RP11-378I13.1	0
C8A	0
C8B	0.00377866
RP5-1103B4.3	0
DAB1	0.0988738
