Name	Heart - Left Ventricle
CELA2A	0.0544384
CELA2B	0.0285014
CASP9	4.39141
DNAJC16	2.64473
SCARNA21	0
RP4-680D5.8	0
AGMAT	0.0759851
RP4-680D5.2	0.0192482
CHCHD2P6	0.726962
RNU7-179P	0
CD24P1	0
DDI2	4.68492
RP4-680D5.9	0
RP11-288I21.1	0.538888
TMEM82	0
RP11-169K16.4	0
RPL12P14	0.0514798
RP11-169K16.8	0.456876
FLJ37453	2.14161
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.178625
CLCNKA	0.196471
RP11-5P18.10	0.513243
CLCNKB	0.916493
FAM131C	2.34941
RP11-276H7.2	0.240078
RP11-276H7.3	0.109588
ARHGEF19	1.27141
ANO7L1	0.279385
RSG1	1.91083
MT1XP1	0.355402
FBXO42	4.86305
RP11-430L17.1	0.0303173
SPATA21	0.0108363
LINC01772	0.639317
CROCCP3	1.06247
RNU1-1	0
RP4-798A10.7	0
RP4-798A10.4	0
LINC01783	0.0317762
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0.0315173
NBPF1	0.862919
RP5-1182A14.5	0
CROCCP2	4.65275
MST1P2	0.526474
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.0148892
EIF1AXP1	0.218585
ESPNP	0.00691614
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.13843
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.0533535
RP11-108M9.4	2.36603
RP11-108M9.5	1.04813
RNU1-2	0
RP11-108M9.6	0.107974
CROCC	3.51885
MFAP2	0.948924
RP1-37C10.3	0
PADI2	0.268712
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.00763435
PADI3	0
MIR3972	0
PADI4	0.277826
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	0.314912
RP11-174G17.3	0.0074983
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.00423403
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
IFFO2	1.84042
RP5-1126H10.2	0.32409
RP1-43E13.2	0.827744
AKR7L	0.10112
AKR7A3	0.238924
RP4-657E11.10	0.415349
RNU6-1099P	0
PQLC2	4.56539
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
RP5-1056L3.3	3.10337
HTR6	0
TMCO4	2.79048
RNF186	0
RP11-91K11.2	0
OTUD3	2.08367
PLA2G2E	0
RN7SL304P	0
PLA2G2D	0
PLA2G2F	0.0118498
RP3-340N1.2	0.0137951
PLA2G2C	0
UBXN10-AS1	0.0706193
UBXN10	0.472043
LINC01757	0
VWA5B1	0.0124369
RP4-745E8.2	0
LINC01141	0.0125955
RP4-749H3.2	0
RPS4XP4	0
FAM43B	1.70953
CDA	3.67232
PINK1-AS	2.54296
KIF17	1.63536
RP5-930J4.5	0
SH2D5	0.0192998
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.122351
RP5-1071N3.1	0.110197
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.219025
HS6ST1P1	0.182416
CROCCP5	0
NBPF3	0.649055
PFN1P10	0
RP11-63N8.3	0
RAP1GAP	1.59265
RP11-132G19.3	0
LDLRAD2	1.07176
RP11-26H16.1	0.0537402
RP11-26H16.4	0
CELA3B	0.0843185
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.328557
RN7SL186P	0
RNU6-776P	0
LINC01635	0.0514248
LINC00339	4.2353
CDC42-IT1	0
RP1-224A6.8	0
RP1-224A6.9	0.341666
WNT4	0.0500068
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.166044
EPHA8	0.00924861
MIR6127	0
EPHB2	0.12643
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.0267732
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0195704
RP5-1057J7.1	0
LINC01355	1.3968
ZNF436	4.62717
ZNF436-AS1	1.93157
RP5-1057J7.7	0.333042
RP4-654C18.1	0
E2F2	0.0581002
RP1-150O5.3	0.0479356
MDS2	0.00875534
RP11-223J15.2	0
ELOA-AS1	1.33879
GALE	1.93531
CNR2	0.00552408
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0.595832
RP11-293P20.4	0
IL22RA1	0.151185
IFNLR1	0.789383
RP11-10N16.2	0
RP11-10N16.3	0
GRHL3	0.0215286
STPG1	0.691676
NIPAL3	3.82547
RCAN3	1.37513
RP4-594I10.3	0
NCMAP	0.03951
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.314253
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.41972
RP3-465N24.5	0.216676
RHD	0.0893628
SDHDP6	0.161391
RP11-335G20.7	0
RHCE	0.391448
RP3-469D22.1	0.175897
RP11-70P17.1	0.333017
MAN1C1	2.85396
RP1-187B23.1	0.0307162
RP1-317E23.3	0.4646
AUNIP	0.391267
RP1-125I3.2	0
PAQR7	1.42427
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
PAFAH2	4.23374
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	1.69951
SLC30A2	2.41879
RP11-96L14.9	0
PDIK1L	1.37775
FAM110D	2.97084
RP11-96L14.8	0
RP11-96L14.7	0.111419
ZNF593	0
CNKSR1	1.05875
CATSPER4	0
RP11-231P20.2	0.557454
RP11-231P20.6	0
RP11-231P20.5	0.59801
UBXN11	4.07129
CD52	1.82619
AIM1L	0.0121337
RP11-569G9.7	0
ZNF683	0.0181028
LIN28A	0
RP3-476K8.4	0.0792621
RP3-476K8.3	0.109612
DPPA2P2	0
RPS6KA1	1.54691
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.131448
PIGV	1.91278
RN7SL165P	0
SFN	0.435427
NR0B2	4.66342
KDF1	0.0770085
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
RP11-40H20.5	0
CHCHD3P3	0.15701
NPM1P39	0.10369
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.11852
RNU6-48P	0
ACTG1P20	0.391493
SYTL1	0.484395
CD164L2	0
RP1-144C9.2	0
GPR3	0.431801
RP4-752I6.1	0
RP1-159A19.4	0.159585
FGR	3.33507
RP1-159A19.3	0.778212
RP11-288L9.1	0
RP11-288L9.4	0.0627572
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
FAM76A	3.20597
RP3-426I6.2	0.0775747
RPEP3	0
RP3-426I6.5	0.170005
RP3-426I6.6	0.416435
RNU6-1245P	0
SCARNA1	0
THEMIS2	1.7647
SMPDL3B	0.0162979
RP11-460I13.2	0
XKR8	3.34075
EYA3	4.04014
RP11-460I13.6	0.132126
RN7SL559P	0
SPCS2P4	0.521449
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	0.624714
RP5-1092A3.4	1.60221
RP5-1092A3.5	0
SESN2	2.66626
MED18	4.43401
PHACTR4	4.95009
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
RCC1	2.23118
SNORA73A	0.26524
SNORA73B	0.38655
PRDX3P2	0
RP4-669K10.8	0.0386796
TRNAU1AP	3.4172
SNHG12	2.81621
SNORD99	0
SNORA61	2.85161
SNORA44	1.03517
SNORA16A	0
RAB42	0.300136
LINC01715	1.06763
RNU11	0
GMEB1	1.31233
SCARNA24	0
OPRD1	0.0201726
RP1-212P9.3	0
Y_RNA	0
EPB41	3.32285
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	1.81024
RP11-242O24.3	0
uc_338	0.546713
RP11-467D18.2	0.0466982
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.0220619
MATN1-AS1	0.152119
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.0986734
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.032
SNRNP40	4.51707
RP11-490K7.4	0.501735
RP11-266K22.2	0
SERINC2	0.951523
RP11-439L8.2	0
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00509833
RP11-73M7.1	0.207207
HCRTR1	0.242946
RP11-73M7.6	0.281599
RP11-73M7.9	0
ADGRB2	2.15035
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.0222045
RP11-84A19.2	0
RP11-84A19.4	0.138261
RP4-534N18.2	0.0484479
RP11-277A4.4	0.0301122
TMEM39B	2.98405
MIR5585	0
Metazoa_SRP	0
CCDC28B	4.15268
RP4-622L5.7	0.229441
IQCC	1.01802
DCDC2B	0.10673
TMEM234	3.85963
FAM167B	4.30549
LCK	0.260813
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.00810208
TSSK3	1.92429
FAM229A	2.16394
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.00528892
ZBTB8A	0.937197
Y_RNA	0
SYNC	2.29397
RP11-114B7.6	0
KIAA1522	2.94854
S100PBP	2.1244
HPCA	0.0908741
RP5-1174N9.2	0.485852
RP4-803A2.1	0.351906
RP4-803A2.2	0.220541
Metazoa_SRP	0
RP1-117O3.2	0.0272125
AZIN2	0.85572
RP11-131M11.2	0.370892
TRIM62	1.87037
RP11-131M11.3	0.109032
RP11-415J8.7	0.154143
A3GALT2	0.0272188
RP11-415J8.3	1.18641
MIR3605	0
RN7SKP16	1.70485
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.69913
RP4-580O19.2	0
CSMD2	0.0455442
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.0711433
GJB4	0.00513194
GJB3	0.0566464
RP1-34M23.5	0
RP5-997D16.2	1.27245
DLGAP3	0.0770991
RP11-244H3.1	0.832531
ZMYM6	2.84394
RPL12P45	0
ZMYM1	1.24956
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	1.06201
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.122868
TFAP2E	0.495751
CLSPN	0.0507941
RP11-435D7.3	0
AGO1	3.06137
RP4-789D17.4	0
AGO3	1.17959
RP4-665N4.8	0.0319947
RP4-665N4.4	0
TEKT2	0.0301919
COL8A2	0.656726
RN7SL131P	0
UBE2V2P4	0
SH3D21	0.927176
RP11-268J15.5	1.99552
RNU4-27P	0
OSCP1	2.15407
SNORA63	0
CSF3R	3.38165
FTLP18	0
RP4-614N24.1	0
GRIK3	0.167802
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	1.64963
ZC3H12A	3.22412
MIR6732	0
MIR5581	0
SNIP1	2.58394
FTH1P1	0.0751796
RP3-423B22.5	0.126923
DNALI1	1.21797
RSPO1	0.0104245
C1orf109	1.88525
CDCA8	0.260853
EPHA10	0.0223121
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	0.330851
MTF1	1.95687
RP11-109P14.8	0
INPP5B	2.71749
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0
POU3F1	0.0283364
RP5-884C9.2	0
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0369749
RP5-864K19.4	3.40646
GJA9	0.102494
RHBDL2	0.184988
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.164838
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.213216
OXCT2P1	0.778449
RP11-69E11.4	1.31526
PPIEL	0.353619
SNORA55	0.379503
RP11-69E11.8	0.0681594
RP1-144F13.3	0.0842039
NT5C1A	1.66384
HPCAL4	0.238806
PPIE	4.83898
RP1-144F13.4	0
RNU7-121P	0
BMP8B	0.393261
OXCT2	0.271272
RP1-118J21.25	0
RP1-118J21.24	0
Y_RNA	0
MYCL	0.150188
RP1-118J21.5	0
Y_RNA	0
MFSD2A	0.19356
RP3-342P20.2	0.108384
RP11-115D7.3	0
RLF	3.33472
RNU6-1237P	0
TMCO2	0
RP1-39G22.7	4.77381
RP1-39G22.4	0
COL9A2	0.303503
RP1-228H13.1	0.0541525
RP1-228H13.2	0
ZFP69B	0.26382
RP1-228H13.5	0.27465
RP11-656D10.7	0
ZFP69	0.811906
RP11-656D10.3	0.488917
EXO5	0.988779
RP11-656D10.5	0
RP11-656D10.6	0.246338
ZNF684	2.09367
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	0.427166
RP4-739H11.3	0
NFYC-AS1	1.32223
MIR30E	0
MIR30C1	0
KCNQ4	1.8035
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
CTPS1	2.801
SLFNL1-AS1	0.142375
SLFNL1	0.133371
RPL23AP17	0
RP11-399E6.1	0.0632958
RP11-399E6.2	0
FOXO6	0.64844
RP11-399E6.4	0.146269
RNA5SP45	0
EDN2	0.210694
HIVEP3	0.712295
RP11-486B10.3	0
RP11-486B10.4	0.0128754
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0.0290869
RP11-223A3.1	0.241701
RIMKLA	1.89423
RP11-157D18.2	0
ZMYND12	0.860974
CCDC30	0.184852
RP11-163G10.2	0
TMSB4XP1	0.210399
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.301339
CLDN19	0.00930823
RP5-994D16.9	0.87627
TMEM269	0.030304
ERMAP	1.90065
RP11-342M1.3	0.20139
ZNF691	4.24223
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.0476982
RP5-848E13.5	0
SLC2A1-AS1	0.252428
RP5-848E13.4	0
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0
CFAP57	0.0537741
RNA5SP46	0
TMEM125	0.0760294
C1orf210	0.0269124
MPL	0.156147
RP1-92O14.3	0.215418
CDC20	0.343246
RP1-92O14.6	0.588642
SZT2	4.08129
SZT2-AS1	0
HYI-AS1	0
PTPRF	0.663278
KDM4A	4.40621
KDM4A-AS1	0.286021
RP11-184I16.4	0
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.190288
RP11-7O11.3	0.355559
CCDC24	0.566915
SLC6A9	0.578709
RP5-1198O20.4	0.00877772
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0
RP11-570P14.1	0.0731148
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0369916
ERI3-IT1	0.0830733
RNU6-369P	0
MIR5584	0
TMEM53	3.77315
C1orf228	0.175586
RNU5F-1	0
RNU5D-1	0
KIF2C	0.368609
RP11-269F19.2	0
SNORD46	0.363268
SNORD38A	0
RPS15AP11	0.179338
BEST4	0.142315
PLK3	3.80142
TCTEX1D4	0.300341
BTBD19	2.19145
PTCH2	0.488347
RP5-882O7.1	0.256277
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0
MRPS17P1	0
ZSWIM5	0.592895
OSTCP5	0
LINC01144	0.278758
HPDL	0.118544
MUTYH	2.84349
TOE1	2.97411
TESK2	0.977872
RP11-291L19.1	0
CCDC163	0.475606
MMACHC	3.17247
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	0.979729
RPS15AP10	0.415684
RP11-767N6.2	0.454991
IPP	2.25142
RP11-767N6.7	1.6878
RP11-630I5.1	0.0243694
TMA16P2	0
RP4-533D7.4	0.172389
RP4-533D7.3	0
RP4-533D7.5	0.065972
TSPAN1	0.597677
RP11-322N21.2	0
LURAP1	3.03867
RAD54L	0.197651
NSUN4	2.51575
RP4-603I14.3	0
FAAH	2.36179
FAAHP1	0.0427985
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.17954
KNCN	0
MOB3C	4.93279
NENFP1	0
TEX38	0.0270518
EFCAB14-AS1	0.0407667
RP11-8J9.5	0
CYP4Z2P	0.0515816
RP11-346M5.1	0
CYP4A11	0.037602
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	1.90343
CYP4Z1	0.358696
RP11-184J23.2	0
CYP4A22-AS1	0
CYP4A22	0.0605659
MTND1P34	0
LINC00853	0.165373
PDZK1IP1	0.105448
TAL1	2.68901
RP1-18D14.7	0.507184
STIL	0.19808
LINC01389	0.0792779
FOXE3	0
FOXD2-AS1	0.277501
FOXD2	0.0654187
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	0.64603
RP11-330M19.1	0.0196852
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.185105
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.27676
RP5-1024N4.4	0.639341
RP5-1024N4.5	0.0525617
SPATA6	1.28503
PPP1R8P1	0.0378007
RNU6-723P	0
RP11-329A14.1	0.0806599
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.0259539
BEND5	1.81946
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.00668916
RP11-492I2.1	0
RP11-567C20.2	0.0318827
RP11-567C20.3	0
RP11-183G22.1	0.0732535
HMGB1P45	0
FCF1P6	0
DMRTA2	0
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.0626286
MRPS6P2	0
CDKN2C	4.51588
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0
LINC01562	0.0234657
RP11-296A18.5	0.122938
RP11-296A18.6	0
TTC39A	1.9578
TTC39A-AS1	0.24257
RP11-275F13.3	0.0481122
RNU6-877P	0
RP11-253A20.1	0.0641073
RP11-191G24.1	0.0998148
RNU6-1281P	0
CALR4P	0
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	0.502321
RP4-657D16.6	0.100203
MIR761	0
TSEN15P2	0
RAB3B	0.00363283
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
KTI12	3.56314
RP11-91A18.4	0
TXNDC12-AS1	0
ZFYVE9	4.47335
RN7SL788P	0
RP4-800M22.1	0.154203
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	0.461177
