Name	Esophagus - Gastroesophageal Junction
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	1.62323
RP1-43E13.2	1.48493
AKR7L	0.565792
AKR7A3	1.3198
RP4-657E11.10	1.39001
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0717413
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2D	0.0790206
PLA2G2F	0.0142483
RP3-340N1.2	0.0768449
PLA2G2C	0.536164
LINC01757	0
VWA5B1	0.0154391
RP4-745E8.2	0
LINC01141	0.00995242
RP4-749H3.2	0
RPS4XP4	0
FAM43B	1.33892
PINK1-AS	2.79291
KIF17	1.49776
RP5-930J4.5	0
SH2D5	0.349561
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.0558346
RP5-1071N3.1	0.253136
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.968061
HS6ST1P1	0.472604
CROCCP5	0
NBPF3	2.30744
PFN1P10	0
ALPL	3.49466
RP11-63N8.3	0
RAP1GAP	0.923236
RP11-132G19.3	0
RP11-26H16.1	0.178735
RP11-26H16.4	0
CELA3B	0.210504
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.757208
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0.0892635
RP1-224A6.8	0.080332
RP1-224A6.9	0.700006
WNT4	0.314063
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.990038
EPHA8	0.0391316
MIR6127	0
EPHB2	0.569181
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.0320819
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0488057
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0233813
RP5-1057J7.1	0
RP5-1057J7.7	0.785829
RP4-654C18.1	0
E2F2	0.0946565
RP1-150O5.3	0.46071
MDS2	0.0302374
RP11-223J15.2	0
ELOA-AS1	2.78443
GALE	4.49672
CNR2	0.00721075
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.226907
RP11-293P20.4	0
IL22RA1	0.381475
IFNLR1	0.733804
RP11-10N16.2	0
RP11-10N16.3	0.0322226
GRHL3	0.0923147
STPG1	2.24706
RCAN3	4.75996
RP4-594I10.3	0
NCMAP	0.172264
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	1.2122
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.853078
RP3-465N24.5	0.799186
RHD	0.281508
SDHDP6	0.542854
RP11-335G20.7	0
RHCE	0.153397
RP3-469D22.1	0.191683
RP11-70P17.1	2.01711
RP1-187B23.1	0.117119
RP1-317E23.3	0.697428
AUNIP	0.84525
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.597352
SLC30A2	0.102592
RP11-96L14.9	0
TRIM63	0.960236
PDIK1L	3.48117
RP11-96L14.8	0
RP11-96L14.7	0.334551
ZNF593	0
CNKSR1	1.79506
CATSPER4	0
RP11-231P20.2	0.0745951
RP11-231P20.6	0
CEP85	4.46218
RP11-231P20.5	0
CD52	4.62601
AIM1L	0.0492873
RP11-569G9.7	0
ZNF683	0.0671463
LIN28A	0.00701553
RP3-476K8.4	0.235543
RP3-476K8.3	0.708323
DPPA2P2	0
RPS6KA1	3.54576
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.490257
RN7SL165P	0
SFN	1.28847
NR0B2	0
KDF1	0.0669537
RPL12P13	0.0618495
RP11-344H11.5	0
OSTCP2	0
RP11-40H20.5	0
CHCHD3P3	0.107727
NPM1P39	0.328338
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.539019
RNU6-48P	0
ACTG1P20	1.31899
SYTL1	0.923304
FCN3	4.40142
CD164L2	0
RP1-144C9.2	0
GPR3	0.630378
RP4-752I6.1	0
RP1-159A19.4	1.43987
RP1-159A19.3	0.934597
RP11-288L9.1	0
RP11-288L9.4	0.152965
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.335519
RPEP3	0
RP3-426I6.5	0.489638
RP3-426I6.6	1.45113
RNU6-1245P	0
SCARNA1	0
SMPDL3B	0.0589915
RP11-460I13.2	0
RP11-460I13.6	0.387328
RN7SL559P	0
SPCS2P4	1.10333
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	3.15914
RP5-1092A3.4	0.892012
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	1.20146
SNORA73B	2.17744
PRDX3P2	0.0723663
RP4-669K10.8	0.0787605
SNORD99	0
SNORA16A	0
RAB42	0.901067
LINC01715	0.836253
RNU11	0
GMEB1	4.36674
SCARNA24	0
OPRD1	0.0525017
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	2.28506
RP11-467D18.2	0.179173
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.113264
MATN1-AS1	1.35218
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.540855
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.181402
RP11-490K7.4	1.75377
RP11-266K22.2	0
SERINC2	2.15449
RP11-439L8.2	0.0398587
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.0153963
RP11-73M7.1	1.15946
HCRTR1	0.43119
RP11-73M7.6	3.64409
RP11-73M7.9	0.100921
ADGRB2	2.80099
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.133653
RP11-84A19.2	0
RP11-84A19.4	0.38779
RP4-534N18.2	0.178626
RP11-277A4.4	0.138745
MIR5585	0
Metazoa_SRP	0
CCDC28B	4.76027
RP4-622L5.7	1.42134
IQCC	3.82517
DCDC2B	0.651801
LCK	0.770338
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.150967
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0373038
ZBTB8A	4.81541
Y_RNA	0
RP11-114B7.6	0
HPCA	0.477835
RP5-1174N9.2	0.100689
RP4-803A2.1	0
RP4-803A2.2	0
Metazoa_SRP	0
RP1-117O3.2	0.0454487
AZIN2	2.05691
RP11-131M11.2	1.47026
RP11-131M11.3	0.389893
RP11-415J8.7	0.540299
A3GALT2	0.137272
RP11-415J8.3	3.2876
MIR3605	0.472752
RN7SKP16	3.09081
RP11-415J8.5	0.315832
TLR12P	0
ZSCAN20	1.685
RP4-580O19.2	0.171777
CSMD2	0.240948
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.0478569
RP4-657M3.2	0
MIR552	0
GJB5	0.180811
GJB4	0.0190995
GJB3	0.148863
RP1-34M23.5	0
DLGAP3	0.351131
RPL12P45	0
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.689119
TFAP2E	2.58719
CLSPN	0.0685786
RP11-435D7.3	0
RP4-789D17.4	0
RP4-665N4.8	0.211353
RP4-665N4.4	0
TEKT2	0.370391
RN7SL131P	0
UBE2V2P4	0
SH3D21	1.9827
RNU4-27P	0
SNORA63	0.414654
CSF3R	3.81085
FTLP18	0
RP4-614N24.1	0
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	4.11149
MIR6732	0
MIR5581	0
FTH1P1	0.268458
RP3-423B22.5	0.435794
RSPO1	2.01254
CDCA8	0.793841
EPHA10	0.359148
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	1.38015
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.389102
POU3F1	0.177869
RP5-884C9.2	0.15156
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0418516
RP5-864K19.4	1.31031
GJA9	0.174897
RHBDL2	0.401146
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.76496
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.756166
OXCT2P1	0.620902
PPIEL	3.69309
SNORA55	0.843636
RP11-69E11.8	0.247448
RP1-144F13.3	0
NT5C1A	0.0861451
HPCAL4	0.18033
RP1-144F13.4	0
RNU7-121P	0
BMP8B	4.40271
OXCT2	0.30254
RP1-118J21.25	0.142426
RP1-118J21.24	0
Y_RNA	0
MYCL	0.23273
RP1-118J21.5	0
Y_RNA	0
MFSD2A	0.958922
RP3-342P20.2	0.355209
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0.153595
COL9A2	4.87635
RP1-228H13.1	0.175029
RP1-228H13.2	0
ZFP69B	0.436827
RP1-228H13.5	0.512608
RP11-656D10.7	0.0812295
ZFP69	3.16596
RP11-656D10.3	1.59466
EXO5	3.42188
RP11-656D10.5	0
RP11-656D10.6	0.693735
ZNF684	2.4638
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
NFYC-AS1	4.65287
MIR30E	0
MIR30C1	0
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.857917
SLFNL1	0.800629
RPL23AP17	0
RP11-399E6.1	0.260706
RP11-399E6.2	0
FOXO6	4.41052
RP11-399E6.4	2.63933
RNA5SP45	0
EDN2	0.782763
HIVEP3	1.10484
RP11-486B10.3	0
RP11-486B10.4	0.0167559
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.536723
RIMKLA	2.11231
RP11-157D18.2	0
ZMYND12	0.880079
CCDC30	1.04673
RP11-163G10.2	0
TMSB4XP1	0.99209
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.71539
CLDN19	0.147755
RP5-994D16.9	2.39281
TMEM269	0.124927
RP11-342M1.3	0.480123
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.096939
RP5-848E13.5	0
SLC2A1-AS1	1.91391
RP5-848E13.4	0.0691403
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.0913076
CFAP57	0.0807452
RNA5SP46	0
TMEM125	0.0987848
C1orf210	0.0821832
MPL	0.359216
RP1-92O14.3	0.953999
CDC20	0.639703
RP1-92O14.6	1.60869
SZT2-AS1	0
HYI-AS1	0.335199
KDM4A-AS1	0.966842
RP11-184I16.4	0.149374
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	2.30632
RP11-7O11.3	1.72999
RP5-1198O20.4	0.798422
RP5-1198O20.5	0.0737897
KRT8P47	0
RN7SL479P	0
KLF17	0.641504
RP11-570P14.1	0.179354
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0982561
ERI3-IT1	0.373991
RNU6-369P	0
MIR5584	0
TMEM53	4.71967
C1orf228	1.43191
RNU5F-1	0
RNU5D-1	0
KIF2C	0.826148
RP11-269F19.2	0.0976582
SNORD46	1.13888
SNORD38A	0
RPS15AP11	0.586054
BEST4	0.717304
TCTEX1D4	1.02895
RP5-882O7.1	0.785852
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.0627696
MRPS17P1	0.0104793
OSTCP5	0
LINC01144	1.05788
HPDL	0.405314
RP11-291L19.1	0
CCDC163	1.84229
MMACHC	2.17623
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	2.43766
RPS15AP10	1.27163
RP11-767N6.2	1.24312
RP11-767N6.7	3.9393
RP11-630I5.1	0.0740331
TMA16P2	0
RP4-533D7.4	0.215938
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	1.70828
RP11-322N21.2	0
RAD54L	0.279922
RP4-603I14.3	0
FAAHP1	0.307401
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.675735
KNCN	0
NENFP1	0.085698
TEX38	0.136195
EFCAB14-AS1	0.211304
RP11-8J9.5	0
CYP4Z2P	0.13917
RP11-346M5.1	0
CYP4A11	0.0923731
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	1.1416
RP11-184J23.2	0.0542022
CYP4A22-AS1	0
CYP4A22	0.124699
MTND1P34	0
LINC00853	0.214924
PDZK1IP1	0.366086
RP1-18D14.7	0.910027
STIL	0.387341
LINC01389	0.372778
FOXE3	0.069577
FOXD2-AS1	1.25696
FOXD2	0.398784
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
RP11-330M19.1	0.19918
RP4-683M8.2	0.0908633
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	1.06298
RP5-1024N4.6	0.0268397
RP5-1024N4.2	0.155182
SLC5A9	1.43436
RP5-1024N4.4	2.72414
RP5-1024N4.5	0.222887
PPP1R8P1	0.165361
RNU6-723P	0
RP11-329A14.1	0.0577606
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.0454888
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.241258
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.239754
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0148104
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.241033
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0692736
LINC01562	0.0880694
RP11-296A18.5	0.387233
RP11-296A18.6	0.10225
TTC39A	0.142593
TTC39A-AS1	0
RP11-275F13.3	0.218279
RNU6-877P	0
RP11-253A20.1	0.100129
RP11-191G24.1	0.187223
RNU6-1281P	0
CALR4P	0
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	2.41859
RP4-657D16.6	0.664241
MIR761	0
TSEN15P2	0
RAB3B	0.233072
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	1.39151
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	2.21295
PLA2G12AP1	0.329768
ORC1	0.372845
RP11-25O10.2	0
EEF1GP7	0
FAM159A	0.0690405
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	2.1969
RNU6-969P	0
ZYG11A	0.050678
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
RP11-334A14.8	1.37434
RP5-1024G6.9	0
RP5-1024G6.2	0.486593
RP5-1024G6.7	0.0265339
RP5-1024G6.5	0.292227
LRP8	0.825554
RP4-784A16.1	0
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.0593905
RP11-117D22.1	0
RP11-117D22.2	0.129338
SLC25A3P1	0
DMRTB1	0
GLIS1	0.814169
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.171394
HNRNPA3P12	0.131353
LDLRAD1	0
RP4-758J24.6	1.33264
TCEANC2	2.71152
MIR4781	0
RP4-758J24.4	0
CDCP2	0.129903
RP11-446E24.3	0.0543403
CYB5RL	3.13308
SSBP3-AS1	2.59907
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	3.88559
FAM151A	0.346071
RP11-240D10.4	0.130171
PARS2	4.19135
TTC22	0.112962
RP11-67L3.2	0
LEXM	0
RP11-67L3.5	0
RP11-67L3.4	0
TMEM61	1.51543
BSND	0
PCSK9	0.124368
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.0702902
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0.114008
RP11-504A18.1	0.523888
LINC01767	0.0753257
RPL21P23	0.128743
RPL23AP85	0
RP11-377K22.2	0
C1orf168	0.030832
RP11-378I13.1	0
C8A	0
C8B	0
RP5-1103B4.3	0
DAB1	0.617944
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0404028
RPS26P15	0.12369
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0
RN7SL713P	0
TACSTD2	1.96946
RP4-592A1.2	0.423986
RP11-63G10.4	0.167206
LINC01135	0.446058
RP11-63G10.3	0.442646
RP11-63G10.2	0
RP4-794H19.1	1.50152
LINC01358	0.111048
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0.0823084
RP11-467C18.1	0.417308
FGGY	1.24585
MIR4711	0
RP4-782L23.2	0.157682
HOOK1	0.230837
CYP2J2	0.377481
RN7SL475P	0
C1orf87	0.0371348
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.0410544
RP11-436K8.1	0.0831473
NFIA-AS2	0.261392
RP4-802A10.1	0.179075
