Name	Brain - Cortex
LINC01757	0
VWA5B1	0.0900477
RP4-745E8.2	0
LINC01141	0.80931
RP4-749H3.2	0
RPS4XP4	0.0663379
CDA	2.4078
PINK1-AS	1.36058
RP5-930J4.5	0
RP5-930J4.2	0.0846419
RNU7-200P	0
MIR1256	0
RPS15AP6	0.0717099
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0
RP5-1071N3.1	0.0634291
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.621387
HS6ST1P1	1.46911
CROCCP5	0
NBPF3	1.45873
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	0.158021
HSPG2	1.43936
RP11-26H16.1	0.0457167
RP11-26H16.4	0
CELA3B	0.0650647
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.133145
RN7SL186P	0
RNU6-776P	0
LINC01635	0.038012
CDC42-IT1	0.0455274
RP1-224A6.8	0
RP1-224A6.9	0.45636
WNT4	0.874476
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.112505
EPHA8	0.937656
MIR6127	0
EPHB2	2.94641
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.165791
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0535544
RNU6-514P	0
RNU6-135P	0
HTR1D	0.801396
RP5-1057J7.1	0
LINC01355	2.7991
RP5-1057J7.7	0.146904
TCEA3	3.56316
RP4-654C18.1	0
E2F2	0.0258652
RP1-150O5.3	0.120887
MDS2	0.0471508
RP11-223J15.2	0
ELOA-AS1	1.79499
CNR2	0.00567361
BTBD6P1	0.0241834
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0354909
RP11-293P20.4	0
IL22RA1	0.036698
IFNLR1	0.625962
RP11-10N16.2	0.018004
RP11-10N16.3	0
GRHL3	0.0797219
STPG1	4.7211
RCAN3	1.05164
RP4-594I10.3	0
NCMAP	0.0707882
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.451846
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	1.17184
RP3-465N24.5	0.42892
RHD	0.193095
SDHDP6	0.436835
RP11-335G20.7	0
RHCE	1.07567
RP3-469D22.1	0.0898562
LDLRAP1	4.78345
RP11-70P17.1	0.451639
RP1-187B23.1	0.057253
RP1-317E23.3	0.526695
AUNIP	1.46444
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0.331102
RP1-125I3.4	0
MIR3917	0
PAFAH2	3.19482
RNU6-110P	0
SCARNA17	0
SCARNA18	0
SLC30A2	0.101493
RP11-96L14.9	0
TRIM63	0.205401
PDIK1L	3.73312
FAM110D	1.53214
RP11-96L14.8	0
RP11-96L14.7	0.444587
ZNF593	0
CNKSR1	3.07744
CATSPER4	0.0254134
RP11-231P20.2	0.866822
RP11-231P20.6	0
RP11-231P20.5	0.0711345
CD52	1.398
AIM1L	0.0172111
RP11-569G9.7	0
ZNF683	0.0278845
LIN28A	0.0062144
RP3-476K8.4	0.0687624
RP3-476K8.3	0.276387
DPPA2P2	0
RPS6KA1	4.78391
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.239584
RN7SL165P	0
SFN	0.965151
NR0B2	0.0484778
KDF1	0.840762
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
FAM46B	0.620442
RP11-40H20.5	0
CHCHD3P3	0
NPM1P39	0.0922753
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	1.25507
RNU6-48P	0
ACTG1P20	0.556827
SYTL1	0.944093
FCN3	0.535729
CD164L2	0.30276
RP1-144C9.2	0.0934562
GPR3	4.83625
RP4-752I6.1	0
RP1-159A19.4	1.16025
RP1-159A19.3	1.16949
RP11-288L9.1	0.213373
RP11-288L9.4	0.111753
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.0589772
RPEP3	0
RP3-426I6.5	0.154711
RP3-426I6.6	0.909761
RNU6-1245P	0
SCARNA1	0
THEMIS2	3.17725
SMPDL3B	0.217662
RP11-460I13.2	0
RP11-460I13.6	0.0775663
RN7SL559P	0
SPCS2P4	0.933015
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	0.679934
RP5-1092A3.4	1.28357
RP5-1092A3.5	0
MED18	4.83142
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
RCC1	3.05307
SNORA73A	0.486742
SNORA73B	0.734575
PRDX3P2	0
RP4-669K10.8	0.162837
TRNAU1AP	4.72788
SNORD99	0
SNORA44	1.69659
SNORA16A	0
RAB42	0.221084
LINC01715	0.546796
RNU11	0
GMEB1	2.20838
SCARNA24	0
OPRD1	3.49215
RP1-212P9.3	0.054426
Y_RNA	0
EPB41	3.24223
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	2.1069
RP11-242O24.3	0
uc_338	0.42883
RP11-467D18.2	0.0390503
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.335542
MATN1-AS1	0.571464
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.215025
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
RP11-490K7.4	0.688094
RP11-266K22.2	0.443598
SERINC2	0.48522
RP11-439L8.2	0
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00589875
RP11-73M7.1	0
HCRTR1	0.405773
RP11-73M7.6	3.03158
RP11-73M7.9	0.150375
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.168212
RP11-84A19.2	0.0144317
RP11-84A19.4	0.13106
RP4-534N18.2	0.0621346
RP11-277A4.4	0.0763214
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	1.51653
DCDC2B	0.499583
FAM167B	1.3728
LCK	0.121718
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.113987
TSSK3	2.67858
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0.015771
RN7SL122P	0
ZBTB8B	0.501011
ZBTB8A	1.36619
Y_RNA	0
SYNC	1.6827
RP11-114B7.6	0
S100PBP	4.32609
RP5-1174N9.2	0.24205
RP4-803A2.1	0.0730617
RP4-803A2.2	0.073337
Metazoa_SRP	0
RP1-117O3.2	0.125451
RP11-131M11.2	0.740898
RP11-131M11.3	0.485641
RP11-415J8.7	0.218141
A3GALT2	0.0828223
RP11-415J8.3	1.05769
MIR3605	0
RN7SKP16	0.647218
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.604407
RP4-580O19.2	0.102819
CSMD2	2.71634
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.364395
RP4-657M3.2	0
MIR552	0
GJB5	1.36469
GJB4	0.0614214
GJB3	0.566813
RP1-34M23.5	0
RP5-997D16.2	1.45431
RP11-244H3.1	2.14337
ZMYM6	4.40658
RPL12P45	0
ZMYM1	1.33565
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	0.914717
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.674667
CLSPN	0.312961
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	2.12582
RP4-665N4.8	0.0423001
RP4-665N4.4	0.0795444
TEKT2	1.48638
COL8A2	0.424051
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
SNORA63	1.04157
CSF3R	3.26819
FTLP18	0
RP4-614N24.1	0
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0.183038
RNA5SP43	0
RPS29P6	0.113146
LINC01137	1.62
ZC3H12A	0.967515
MIR6732	0
MIR5581	0
SNIP1	4.23406
FTH1P1	0.11688
RP3-423B22.5	0.122789
RSPO1	0.0831021
C1orf109	4.74838
CDCA8	0.898277
Y_RNA	0
ACTN4P2	0.0396245
RP11-109P14.2	0.170792
MTF1	3.60028
RP11-109P14.8	0
INPP5B	4.39053
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.318641
POU3F1	2.4597
RP5-884C9.2	2.95778
RP5-884C9.3	0
MIR3659	0
LINC01343	0.0515496
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0196074
RP5-864K19.4	2.8684
MYCBP	2.95543
GJA9	0.228397
RHBDL2	1.85067
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.520584
RP11-420K8.1	0
HSPE1P8	0
BMP8A	1.80314
OXCT2P1	0.363395
PPIEL	1.85196
SNORA55	0.217477
RP11-69E11.8	0.0786358
HEYL	3.40109
RP1-144F13.3	0
NT5C1A	0.97562
RP1-144F13.4	0.125061
RNU7-121P	0
BMP8B	2.24978
OXCT2	0.730547
RP1-118J21.25	0.172694
RP1-118J21.24	0
Y_RNA	0
MYCL	0.678087
RP1-118J21.5	0
Y_RNA	0
RP3-342P20.2	2.97533
RP11-115D7.3	0.0863024
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0
RP1-228H13.1	0.0821856
RP1-228H13.2	0
ZFP69B	1.9608
RP1-228H13.5	3.88649
RP11-656D10.7	1.11253
ZFP69	2.11369
RP11-656D10.3	0.599953
EXO5	2.10781
RP11-656D10.5	0
RP11-656D10.6	0.901117
ZNF684	1.84143
RP1-63P18.2	0
GTF2F2P2	0.0809867
RP4-739H11.3	0
NFYC-AS1	2.27932
MIR30E	0
MIR30C1	0
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.185559
SLFNL1	0.357255
RPL23AP17	0
RP11-399E6.1	0.109477
RP11-399E6.2	0
FOXO6	2.22374
RP11-399E6.4	0.0898389
RNA5SP45	0
EDN2	0
HIVEP3	3.39198
RP11-486B10.3	0
RP11-486B10.4	0.0795203
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.465119
RP11-157D18.2	0.072288
ZMYND12	3.76178
CCDC30	2.02658
RP11-163G10.2	0
TMSB4XP1	0.390111
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	2.92622
CLDN19	0.0144936
RP5-994D16.9	2.01734
TMEM269	0.169617
ERMAP	3.83794
RP11-342M1.3	0.20515
RP11-342M1.7	0.0490928
RP11-342M1.6	0.0371189
ATP6V1E1P1	0.169413
RP5-848E13.5	0.160857
SLC2A1-AS1	1.80234
RP5-848E13.4	0.17043
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.10353
CFAP57	0.600696
RNA5SP46	0
C1orf210	0.0656799
MPL	0.46165
RP1-92O14.3	0.271225
CDC20	0.607744
RP1-92O14.6	3.14902
SZT2-AS1	0
HYI-AS1	0.664395
KDM4A-AS1	0.83488
RP11-184I16.4	0.0748638
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.713882
RP11-7O11.3	0.954158
RP5-1198O20.4	0.348346
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0754997
RP11-570P14.1	0.19669
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0
ERI3-IT1	0.106334
RNU6-369P	0
MIR5584	0
C1orf228	4.12882
RNU5F-1	0.347606
RNU5D-1	0
KIF2C	0.465133
RP11-269F19.2	0.08311
SNORD46	0.437167
SNORD38A	0
RPS15AP11	0.172689
BEST4	2.09772
PLK3	4.84498
TCTEX1D4	0.0665079
BTBD19	1.524
RP5-882O7.1	1.10039
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.120659
MRPS17P1	0.0332167
ZSWIM5	3.22919
OSTCP5	0
LINC01144	1.29024
HPDL	1.66013
RP11-291L19.1	0
MMACHC	3.03933
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	0.536775
RPS15AP10	0.344268
RP11-767N6.2	0.292213
IPP	2.67565
RP11-767N6.7	2.58606
RP11-630I5.1	0.0306151
TMA16P2	0
RP4-533D7.4	0.134593
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	0.88606
RP11-322N21.2	0
LURAP1	3.15027
RAD54L	1.214
NSUN4	3.48344
RP4-603I14.3	0
FAAHP1	0.599547
LINC01398	0.0219933
DMBX1	0
RP11-49P4.7	0.281575
MKNK1-AS1	0.581944
KNCN	0.738464
MOB3C	4.26717
NENFP1	0
TEX38	0.0997102
EFCAB14-AS1	0
RP11-8J9.5	0
CYP4B1	0.280509
CYP4Z2P	0.0199944
RP11-346M5.1	0
CYP4A11	0.234676
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	1.2591
RP11-184J23.2	0
CYP4A22-AS1	0.491021
CYP4A22	0.177825
MTND1P34	0
LINC00853	1.26746
PDZK1IP1	0.209175
TAL1	1.89257
RP1-18D14.7	0.49686
STIL	0.899761
LINC01389	0.228849
FOXE3	0.179804
FOXD2-AS1	0.332385
FOXD2	0.116828
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	0.109697
RP11-330M19.1	0
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.153448
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.129839
RP5-1024N4.4	0.535493
RP5-1024N4.5	0.163059
SPATA6	3.29709
PPP1R8P1	0.535719
RNU6-723P	0
RP11-329A14.1	0.0749149
RNU4-61P	0
RP11-329A14.2	0.0696148
AGBL4	2.27089
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
RP11-492I2.1	0
RP11-567C20.2	0.237076
RP11-567C20.3	0
RP11-183G22.1	0.208347
HMGB1P45	0
FCF1P6	0
DMRTA2	0.122093
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.0820945
MRPS6P2	0
CDKN2C	4.97508
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.106307
LINC01562	0.179526
RP11-296A18.5	0.117544
RP11-296A18.6	0.0711241
TTC39A	1.13438
TTC39A-AS1	0.0514083
RP11-275F13.3	0.0537049
RNU6-877P	0
RP11-253A20.1	0.0696248
RP11-191G24.1	0.0787495
RNU6-1281P	0
CALR4P	0.108694
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	0.815588
RP4-657D16.6	0.126162
MIR761	0
TSEN15P2	0
RAB3B	2.66301
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.126781
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.182739
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	1.73303
PLA2G12AP1	0.478756
ORC1	0.246164
RP11-25O10.2	0
EEF1GP7	0
GPX7	2.68747
FAM159A	0.15183
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	0.600763
RNU6-969P	0
ZYG11A	0.0215068
RP4-631H13.2	0
RP4-631H13.6	0.637717
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
PODN	3.37853
SLC1A7	0.691981
RP11-334A14.8	0.0498951
RP5-1024G6.9	0
RP5-1024G6.2	0.285983
RP5-1024G6.7	0.0287496
RP5-1024G6.5	0.67694
RP4-784A16.1	0.245468
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	1.49859
RP11-117D22.1	0
RP11-117D22.2	0
SLC25A3P1	0
DMRTB1	0
GLIS1	2.53295
RNU7-95P	0
NDC1	3.48787
SNORA58	0
RP4-654H19.2	0
DIO1	0.0600638
HNRNPA3P12	0.0685398
LDLRAD1	0
RP4-758J24.6	0.629838
TCEANC2	1.89561
MIR4781	0
RP4-758J24.4	0
CDCP2	0.176309
RP11-446E24.3	0.108893
CYB5RL	2.16372
SSBP3-AS1	0.887583
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	1.39059
FAM151A	0.248642
RP11-240D10.4	0.0816125
PARS2	2.61721
TTC22	0.379872
RP11-67L3.2	0
LEXM	0.0475755
RP11-67L3.5	0
RP11-67L3.4	0.123007
TMEM61	0.299546
BSND	0.0624337
PCSK9	0.129872
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.00525028
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0
RP11-504A18.1	0.101214
LINC01767	0
RPL21P23	0
RPL23AP85	0
