Name	Ovary
NBPF3	4.05583
PFN1P10	0
ALPL	4.51338
RP11-63N8.3	0
RAP1GAP	2.48658
RP11-132G19.3	0
LDLRAD2	1.78308
RP11-26H16.1	0.276095
RP11-26H16.4	0
CELA3B	1.36121
RN7SL386P	0
RNU6-1022P	0
CELA3A	4.44087
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0.379475
RP1-224A6.8	0.388386
RP1-224A6.9	1.50683
MIR4418	0
RP11-415K20.1	0.0864877
RP11-415K20.2	0
ZBTB40-IT1	1.79915
EPHA8	0.0192501
MIR6127	0
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.224754
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.108506
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0570317
RP5-1057J7.1	0.115619
RP5-1057J7.7	2.33551
RP4-654C18.1	0.193953
E2F2	0.0675392
RP1-150O5.3	0.380686
MDS2	0.0283417
RP11-223J15.2	0
CNR2	0.0115546
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.107107
RP11-293P20.4	0
IL22RA1	0.605615
IFNLR1	1.84377
RP11-10N16.2	0
RP11-10N16.3	0.0642975
GRHL3	0.103061
STPG1	3.13592
RCAN3	0.927606
RP4-594I10.3	0
NCMAP	0.0384954
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.531481
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.895428
RP3-465N24.5	2.48225
RHD	0.879881
SDHDP6	1.63422
RP11-335G20.7	0
RHCE	0.602437
RP3-469D22.1	0.23986
RP11-70P17.1	1.577
RP1-187B23.1	0.314325
RP1-317E23.3	1.6112
AUNIP	0.508938
RP1-125I3.2	0.191246
Y_RNA	0
SNRPFP2	0.261592
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	2.57628
SLC30A2	0.0394526
RP11-96L14.9	0
TRIM63	0.19202
FAM110D	1.83292
RP11-96L14.8	0
RP11-96L14.7	1.29999
ZNF593	0
CATSPER4	0.0205728
RP11-231P20.2	0.387937
RP11-231P20.6	0
CEP85	4.51083
RP11-231P20.5	0
CD52	1.14203
AIM1L	0.0480944
RP11-569G9.7	0
ZNF683	0.0530917
LIN28A	0.0291939
RP3-476K8.4	0.848459
RP3-476K8.3	2.82961
DPPA2P2	0
RPS6KA1	3.03654
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	1.06134
RN7SL165P	0
SFN	1.16386
NR0B2	0
KDF1	0.191161
RPL12P13	0.205098
RP11-344H11.5	0
OSTCP2	0
TRNP1	4.87176
FAM46B	2.8077
RP11-40H20.5	0
CHCHD3P3	0.101338
NPM1P39	1.10102
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.582658
RNU6-48P	0.616074
ACTG1P20	3.25447
SYTL1	1.46888
FCN3	1.93291
CD164L2	0.064571
RP1-144C9.2	0
GPR3	0.474442
RP4-752I6.1	0
RP1-159A19.4	0.249365
FGR	3.7384
RP1-159A19.3	1.49935
RP11-288L9.1	0
RP11-288L9.4	0.132908
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.322838
RPEP3	0
RP3-426I6.5	0.64717
RP3-426I6.6	1.31866
RNU6-1245P	0
SCARNA1	0
THEMIS2	3.53544
SMPDL3B	0.0880179
RP11-460I13.2	0
RP11-460I13.6	1.14816
RN7SL559P	0
SPCS2P4	1.62043
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	0.821975
RP5-1092A3.4	3.60098
RP5-1092A3.5	0.0974955
Y_RNA	0
RP1-308E4.1	0.0415263
RNU6ATAC27P	0
PRDX3P2	0.198856
RP4-669K10.8	0.336005
SNORD99	0
SNORA16A	0
RAB42	0.572636
LINC01715	0.954444
RNU11	0
SCARNA24	0
OPRD1	0.0431273
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0.175827
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	3.6481
RP11-467D18.2	0.484999
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	1.10777
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.041467
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.131285
RP11-490K7.4	4.21972
RP11-266K22.2	0
SERINC2	0.966283
RP11-439L8.2	0.09243
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00681538
RP11-73M7.1	0.236174
HCRTR1	0.071412
RP11-73M7.9	0.668972
ADGRB2	2.86086
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.22922
RP11-84A19.2	0
RP11-84A19.4	1.47744
RP4-534N18.2	0.447208
RP11-277A4.4	0.398126
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	3.09327
DCDC2B	1.58724
LCK	0.672495
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	1.76588
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0.0330088
RN7SL122P	0
ZBTB8B	0.121105
Y_RNA	0
SYNC	2.40813
RP11-114B7.6	0
HPCA	1.4218
RP5-1174N9.2	0.148012
RP4-803A2.1	0
RP4-803A2.2	0
Metazoa_SRP	0
RP1-117O3.2	0.0943772
RP11-131M11.2	1.95877
RP11-131M11.3	1.02947
RP11-415J8.7	0.984671
A3GALT2	0.162587
RP11-415J8.3	3.18924
MIR3605	0.449426
RN7SKP16	3.34694
RP11-415J8.5	0.219597
TLR12P	0
ZSCAN20	2.30015
RP4-580O19.2	0.170332
CSMD2	0.0468959
HSPD1P14	0
HMGB4	0.024781
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.210513
GJB4	0.0263902
GJB3	0.142112
RP1-34M23.5	0
DLGAP3	0.3889
RPL12P45	0
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.885764
CLSPN	0.0711498
RP11-435D7.3	0
RP4-789D17.4	0
RP4-665N4.8	0.387957
RP4-665N4.4	0.0416453
TEKT2	0.959396
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
SNORA63	0.554464
CSF3R	2.89804
FTLP18	0
RP4-614N24.1	0
GRIK3	0.253716
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	4.99114
MIR6732	0
MIR5581	0
FTH1P1	0.671165
RP3-423B22.5	1.37611
RSPO1	2.62598
CDCA8	1.04049
EPHA10	0.0321854
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	0.892127
RP11-109P14.8	0
SNORA63	0.49454
RNU6-584P	0.334129
Metazoa_SRP	0
RNU6-510P	0.506344
POU3F1	0.188181
RP5-884C9.2	0.253611
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.093629
RP5-864K19.4	2.48247
GJA9	0.450829
RHBDL2	0.62949
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	3.14082
RP11-420K8.1	0
HSPE1P8	0
BMP8A	3.93714
OXCT2P1	3.33486
SNORA55	4.15964
RP11-69E11.8	1.18623
RP1-144F13.3	0
NT5C1A	0.254827
HPCAL4	3.42147
RP1-144F13.4	0.618678
RNU7-121P	0
BMP8B	1.96252
OXCT2	0.866481
RP1-118J21.25	0
RP1-118J21.24	0
Y_RNA	0
MYCL	0.123008
RP1-118J21.5	0
Y_RNA	0
MFSD2A	2.62148
RP3-342P20.2	1.42891
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0.138715
COL9A2	1.67894
RP1-228H13.1	0.515585
RP1-228H13.2	0
ZFP69B	1.06003
RP1-228H13.5	0.89851
RP11-656D10.7	0.160756
ZFP69	3.86867
RP11-656D10.3	2.02341
EXO5	3.9636
RP11-656D10.5	0
RP11-656D10.6	1.15118
ZNF684	3.02369
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	4.22523
RP4-739H11.3	0
MIR30E	0
MIR30C1	0
KCNQ4	2.38884
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	1.70347
SLFNL1	1.88672
RPL23AP17	0
RP11-399E6.1	0.269558
RP11-399E6.2	0
RP11-399E6.4	4.60805
RNA5SP45	0
EDN2	0.100042
HIVEP3	1.58612
RP11-486B10.3	0
RP11-486B10.4	0.0309003
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.578948
RIMKLA	0.0975406
RP11-157D18.2	0
ZMYND12	3.26684
CCDC30	2.88867
RP11-163G10.2	0
TMSB4XP1	0.983845
RNU6-536P	0
RP11-163G10.4	0.132737
RP5-994D16.3	1.86261
CLDN19	0.0332663
RP5-994D16.9	3.31548
TMEM269	0.234905
RP11-342M1.3	0.589945
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.0601384
RP5-848E13.5	0
SLC2A1-AS1	0.724945
RP5-848E13.4	0.110769
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.506956
CFAP57	0.32442
RNA5SP46	0
TMEM125	2.14966
C1orf210	0.130957
MPL	0.735112
RP1-92O14.3	0.676471
CDC20	0.673029
RP1-92O14.6	3.20706
SZT2-AS1	0
HYI-AS1	0.500543
KDM4A-AS1	2.31316
RP11-184I16.4	0.107288
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0.0504107
ARTN	1.2898
RP11-7O11.3	1.79877
SLC6A9	3.25154
RP5-1198O20.4	0.119599
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0386633
RP11-570P14.1	0.374684
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.145523
ERI3-IT1	0.906467
RNU6-369P	0
MIR5584	0
RNU5F-1	0.773466
RNU5D-1	0
KIF2C	1.04876
RP11-269F19.2	0.509675
SNORD38A	0
RPS15AP11	1.68816
BEST4	1.41876
TCTEX1D4	0.868025
RP5-882O7.1	2.61827
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.202603
MRPS17P1	0.0521893
OSTCP5	0
LINC01144	2.40135
HPDL	1.12699
RP11-291L19.1	0
MMACHC	3.68027
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	4.41702
RPS15AP10	3.20477
RP11-767N6.2	3.19031
RP11-630I5.1	0.194657
TMA16P2	0
RP4-533D7.4	0.0974498
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	0.605503
RP11-322N21.2	0
RAD54L	0.522533
RP4-603I14.3	0
FAAHP1	0.458817
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	1.06666
KNCN	0
NENFP1	0.19183
TEX38	0.123491
EFCAB14-AS1	0.404894
RP11-8J9.5	0
CYP4B1	0.930179
CYP4Z2P	0
RP11-346M5.1	0
CYP4A11	0.061319
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	1.3181
CYP4Z1	0.0872548
RP11-184J23.2	0
CYP4A22-AS1	0.0422971
CYP4A22	0.0194017
MTND1P34	0
LINC00853	0.15936
PDZK1IP1	0.445909
TAL1	1.97641
RP1-18D14.7	0.428697
STIL	0.92624
LINC01389	0.478354
FOXE3	0
FOXD2-AS1	1.04156
FOXD2	0.214484
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	0.971665
RP11-330M19.1	0.0592126
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	1.87623
RP5-1024N4.6	0.071578
RP5-1024N4.2	0
SLC5A9	1.10856
RP5-1024N4.4	4.01167
RP5-1024N4.5	0.324983
PPP1R8P1	0.557482
RNU6-723P	0
RP11-329A14.1	0.0876295
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.123081
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.00243395
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.749174
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0369077
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.578835
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0754637
LINC01562	0.332306
RP11-296A18.5	1.33333
RP11-296A18.6	0.509644
TTC39A	0.149
TTC39A-AS1	0
RP11-275F13.3	0.448984
RNU6-877P	0
RP11-253A20.1	0.161981
RP11-191G24.1	0.26597
RNU6-1281P	0
CALR4P	0
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	4.19621
RP4-657D16.6	0.718082
MIR761	0
TSEN15P2	0.343234
RAB3B	2.89721
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.163716
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	1.42742
RP4-800M22.2	0
PDCL3P6	0.115531
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.179935
RP11-155O18.6	3.99762
PLA2G12AP1	0.246261
ORC1	1.10737
RP11-25O10.2	0.209243
EEF1GP7	0.215107
FAM159A	0.118194
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RNU6-969P	0
ZYG11A	0.382223
RP4-631H13.2	0
RP4-631H13.4	0.224207
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
RP11-334A14.8	2.61413
RP5-1024G6.9	0
RP5-1024G6.2	0.981847
RP5-1024G6.7	0.060513
RP5-1024G6.5	0.735705
LRP8	1.49198
RP4-784A16.1	0
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0
RP11-117D22.1	0
RP11-117D22.2	0
SLC25A3P1	0
DMRTB1	0.0204393
GLIS1	0.949002
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.332077
HNRNPA3P12	0.302466
LDLRAD1	0
TCEANC2	2.16749
MIR4781	0
RP4-758J24.4	0
CDCP2	0.112072
RP11-446E24.3	0.0623991
RP5-997D24.3	0.0720499
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	4.06486
FAM151A	0.541128
RP11-240D10.4	0.220653
TTC22	0.538317
RP11-67L3.2	0
LEXM	0.0239459
RP11-67L3.5	0
RP11-67L3.4	0.0832377
TMEM61	0.0652879
BSND	0
PCSK9	0.0733842
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.068181
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0.0708256
RP11-504A18.1	0.607516
LINC01767	0.0748152
RPL21P23	0.332252
RPL23AP85	0.0851495
RP11-377K22.2	0
PRKAA2	2.8698
C1orf168	0.0937335
RP11-378I13.1	0
C8A	0
C8B	0
RP5-1103B4.3	0
DAB1	0.751735
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.198029
RPS26P15	0.185271
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0
RN7SL713P	0
TACSTD2	1.87339
RP4-592A1.2	0.456453
RP11-63G10.4	0.133782
LINC01135	1.14754
RP11-63G10.3	0.980428
RP11-63G10.2	0
RP4-794H19.1	2.69724
LINC01358	0.659034
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0.0258298
RP11-467C18.1	0.66964
FGGY	1.96392
MIR4711	0
RP4-782L23.2	0.570695
HOOK1	0.707432
CYP2J2	0.140375
RN7SL475P	0
C1orf87	0.025914
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.0311742
RP11-436K8.1	0.0753435
NFIA-AS2	0.320461
RP4-802A10.1	0.491669
NFIA-AS1	0.0276794
RP11-430G17.1	0
RNU6-414P	0
RNU6-1177P	0
LAMTOR5P1	0
RN7SL180P	0
MIR3116-1	0
PIGPP2	0
RPS15AP7	0
L1TD1	0.149309
RP5-1155K23.4	0
KANK4	0.11206
RNU6-371P	0
RP11-293K19.1	0
ANGPTL3	0.414748
RP5-849H19.3	0.231447
RP5-849H19.2	0.0786943
RP11-230B22.1	0.542216
RP4-771M4.3	0
RP4-771M4.2	0
LINC01739	0
RP11-5P4.2	0
RP11-5P4.3	0
RP11-335E6.2	0
LINC00466	0
RNA5SP49	0
RP11-335E6.3	0
