Name	Brain - Cerebellar Hemisphere
AJAP1	1.85613
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
RP1-120G22.11	4.46069
LINC00337	0.288659
HES3	0
GPR153	1.89691
HES2	0.0102707
ESPN	4.9107
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.478083
TAS1R1	0.168185
LINC01672	0
RP11-312B8.1	0.511549
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.1931
RP3-453P22.2	0
RP4-549F15.1	0
RP3-467L1.4	1.28716
UTS2	0.141292
TNFRSF9	0.00897957
RP5-892F13.2	0
Y_RNA	0.268067
RP11-431K24.1	0.296336
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	1.05142
SNORA77	0.549998
RP5-1115A15.2	0.248076
RPL7P11	0.0582489
RPL7P7	0.142548
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.0924543
ENO1-AS1	0.302122
RNU6-304P	0
HMGN2P17	0.0516047
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	1.31748
SCARNA16	0
GPR157	0.246522
MIR34AHG	0.80129
LINC01759	0.0742062
RP3-510D11.4	0.0305582
SPSB1	1.34217
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	4.1064
RP13-15M17.1	0.134451
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	0.084125
MZT1P1	0
RP11-84A14.7	0.386612
RP11-84A14.4	0.170143
NMNAT1	2.09453
RN7SKP269	0.203394
RP11-84A14.6	0
MIR5697	0
RBP7	1.90326
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0.542752
RP4-736L20.3	0
CORT	4.22856
RN7SL614P	0.288929
CASZ1	0.273331
RP4-734G22.3	0.116268
HSPE1P24	0
C1orf127	2.37628
CFL1P6	0.164099
RP4-635E18.6	1.90027
MTOR-AS1	0.0980886
RNU6-537P	0
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0
MTCYBP45	0
DISP3	2.74908
LINC01647	0
DRAXIN	2.03545
AGTRAP	2.54481
C1orf167	0.0226722
RP11-56N19.5	0
NPPA	1.90481
NPPB	0.60935
RP5-934G17.6	0.0555727
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.311865
MIR6729	0
RN7SL649P	0
TNFRSF8	0.0268035
RNU6-777P	0
RPL23AP89	0
MIR7846	0
TNFRSF1B	3.42269
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	1.26126
RP5-888M10.2	0.0630386
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.088019
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
RP4-597A16.2	1.22717
BRWD1P1	0
PDPN	4.59386
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0.122386
C1orf195	0.108575
RP1-21O18.3	0.0726619
RP5-903E17.2	0.659704
FHAD1	0.0547587
RP3-467K16.2	0.0180909
RP3-467K16.7	0
RP3-467K16.4	0.129835
CTRC	0.38303
CELA2A	1.09447
CELA2B	0.343729
SCARNA21	0
RP4-680D5.8	0.180414
AGMAT	0.211183
RP4-680D5.2	0.115363
CHCHD2P6	1.0545
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.517957
RP11-288I21.1	1.15499
TMEM82	0
RP11-169K16.4	0
FBLIM1	0.891763
RPL12P14	0.205869
RP11-169K16.8	0.738813
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	1.37096
EPHA2	1.54603
RP11-276H7.2	0
RP11-276H7.3	0
ARHGEF19	1.07372
ANO7L1	0.663475
RSG1	2.72485
MT1XP1	1.85673
RP11-430L17.1	0.150882
SPATA21	0.87589
RNU1-1	0
RP4-798A10.7	1.13954
RP4-798A10.4	0.361459
LINC01783	1.70348
RNU1-6P	0
FAM231B	1.31106
RP5-875O13.6	0
RP5-1182A14.5	0.231063
MST1P2	3.82233
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.431287
EIF1AXP1	1.24154
ESPNP	0.277107
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	1.23919
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	2.9181
RNU1-2	0
RP11-108M9.6	0.855332
MFAP2	0.0802977
RP1-37C10.3	0
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0607388
PADI3	0
MIR3972	0
PADI4	0.0603089
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0.107489
RP11-174G17.3	1.11335
RP11-174G17	0
RP11-422P22.1	0.198625
KLHDC7A	0.616546
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	2.46954
RP1-43E13.2	1.231
RP4-657E11.10	4.99734
RNU6-1099P	0.212064
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0205133
TMCO4	0.506969
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.289304
PLA2G5	2.99191
PLA2G2D	0
PLA2G2F	0
RP3-340N1.2	0.0169596
PLA2G2C	0.0464539
UBXN10-AS1	3.18824
UBXN10	1.62516
LINC01757	0
VWA5B1	0.010081
RP4-745E8.2	0
LINC01141	0.143895
RP4-749H3.2	0
RPS4XP4	0.0645218
CDA	2.04671
PINK1-AS	4.73531
KIF17	0.35518
RP5-930J4.5	0
SH2D5	1.76453
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.253758
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0
RP5-1071N3.1	0.0186361
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	2.10053
HS6ST1P1	1.09323
CROCCP5	0
NBPF3	4.86197
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	0.0548702
HSPG2	0.473101
RP11-26H16.1	0.0813252
RP11-26H16.4	0
CELA3B	0.208228
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.630301
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0.074552
RP1-224A6.8	0.0790159
RP1-224A6.9	1.45424
WNT4	0.158905
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.278703
EPHA8	1.18844
MIR6127	0
EPHB2	0.674615
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.209076
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0719524
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0517012
RP5-1057J7.1	0
RP5-1057J7.7	0.128361
TCEA3	2.01307
RP4-654C18.1	0
ASAP3	3.27075
E2F2	0.0146871
RP1-150O5.3	0
MDS2	0
RP11-223J15.2	0
ELOA-AS1	2.7222
CNR2	0.0101158
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.13122
RP11-293P20.4	0
IL22RA1	0.547567
RP11-10N16.2	3.02235
RP11-10N16.3	0
GRHL3	0.456546
RP4-594I10.3	0
NCMAP	0.0523811
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.27806
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	2.70241
RP3-465N24.5	3.00389
RHD	0.724283
SDHDP6	0.410504
RP11-335G20.7	0
RHCE	1.17004
RP3-469D22.1	0.111189
RP1-187B23.1	0.255061
RP1-317E23.3	1.06082
AUNIP	2.19276
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	1.03472
RP1-125I3.4	0.355706
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	2.21599
SLC30A2	0.0380661
RP11-96L14.9	0
TRIM63	0.0943257
FAM110D	0.974114
RP11-96L14.8	0.0431284
RP11-96L14.7	1.75171
ZNF593	0
CATSPER4	0.155872
RP11-231P20.2	1.36579
RP11-231P20.6	0
RP11-231P20.5	0.220078
CD52	0.408832
AIM1L	0.0996304
RP11-569G9.7	0
ZNF683	0.0427275
LIN28A	0.0243326
RP3-476K8.4	0.42394
RP3-476K8.3	1.07872
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.355679
RN7SL165P	0
SFN	1.08323
NR0B2	0.283449
KDF1	3.11674
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
FAM46B	1.31799
RP11-40H20.5	0
CHCHD3P3	0
NPM1P39	0.227516
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RNU6-48P	0.491321
ACTG1P20	3.32035
FCN3	0.41926
CD164L2	0.434616
RP1-144C9.2	0
RP4-752I6.1	0
RP1-159A19.4	2.34006
FGR	2.23407
RP1-159A19.3	1.4241
RP11-288L9.1	0.255166
RP11-288L9.4	0.222472
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.155589
RPEP3	0
RP3-426I6.5	0.193756
RP3-426I6.6	1.94394
RNU6-1245P	0
SCARNA1	0
THEMIS2	0.788294
SMPDL3B	1.5358
RP11-460I13.2	0
RP11-460I13.6	0.183244
RN7SL559P	0
SPCS2P4	1.20329
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	0.577915
RP5-1092A3.5	0.335604
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	0.565354
SNORA73B	0.693683
PRDX3P2	0.174344
RP4-669K10.8	0.243506
SNORD99	0
SNORA44	4.25327
SNORA16A	0
RAB42	0.397516
LINC01715	0.407752
RNU11	0
SCARNA24	0
OPRD1	0.0867017
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0.291091
Y_RNA	0
Metazoa_SRP	0
TMEM200B	2.90096
RP11-242O24.3	0
uc_338	1.08061
RP11-467D18.2	0.189691
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.215027
MATN1-AS1	0.424447
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.218356
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
RP11-266K22.2	0.216511
SERINC2	0.802417
RP11-439L8.2	0
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00417777
RP11-73M7.1	0
TINAGL1	3.22505
HCRTR1	0.143197
RP11-73M7.6	2.06317
RP11-73M7.9	0.096486
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.114581
RP11-84A19.2	0.0114242
RP11-84A19.4	0.123782
RP4-534N18.2	0
RP11-277A4.4	0.149312
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	2.01421
DCDC2B	0.754512
MTMR9LP	4.21044
FAM167B	2.19979
LCK	0.0888232
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.220973
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.52946
Y_RNA	0
SYNC	0.509285
RP11-114B7.6	0
KIAA1522	2.99671
RP5-1174N9.2	0.269623
RP4-803A2.1	0.0642869
RP4-803A2.2	0.129
Metazoa_SRP	0
RP1-117O3.2	1.45066
RP11-131M11.2	3.51679
RP11-131M11.3	1.25952
RP11-415J8.7	1.23852
A3GALT2	0.506193
RP11-415J8.3	3.39234
MIR3605	0.35123
RN7SKP16	1.42507
RP11-415J8.5	0.100532
TLR12P	0
ZSCAN20	1.54362
RP4-580O19.2	0.430376
CSMD2	2.66164
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.192081
RP4-657M3.2	0
MIR552	0
GJB5	0.607862
GJB4	0.0287656
GJB3	1.73408
RP1-34M23.5	0
GJA4	3.04517
RP5-997D16.2	3.39519
RPL12P45	0
ZMYM1	4.03633
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	2.66946
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	4.43662
CLSPN	0.0332461
RP11-435D7.3	0
RP4-789D17.4	0
RP4-665N4.8	0.187621
RP4-665N4.4	0.0448772
TEKT2	1.05808
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
SNORA63	0.342284
CSF3R	1.66708
FTLP18	0
RP4-614N24.1	0
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	1.7806
ZC3H12A	3.23568
MIR6732	0
MIR5581	0
FTH1P1	0.144961
RP3-423B22.5	0.135159
RSPO1	0.358168
CDCA8	1.11365
EPHA10	1.31152
Y_RNA	0
ACTN4P2	0.0718343
RP11-109P14.2	0.276591
RP11-109P14.8	0
SNORA63	0.476046
RNU6-584P	0.309774
Metazoa_SRP	0
RNU6-510P	0.37827
FHL3	2.93291
POU3F1	0.437361
RP5-884C9.2	0.269586
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0277267
RP5-864K19.4	1.80147
GJA9	0.494477
RHBDL2	1.71156
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	1.85
RP11-420K8.1	0
HSPE1P8	0.122364
BMP8A	1.31315
OXCT2P1	0.466932
PPIEL	4.95872
SNORA55	0.480951
RP11-69E11.8	0.21819
HEYL	2.32385
RP1-144F13.3	0
NT5C1A	4.91648
RP1-144F13.4	0.181176
RNU7-121P	0
BMP8B	2.60372
OXCT2	1.60026
RP1-118J21.25	0.058931
RP1-118J21.24	0
Y_RNA	0
MYCL	0.949526
RP1-118J21.5	0
Y_RNA	0
RP3-342P20.2	0.568037
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0.179932
RP1-39G22.4	0
RP1-228H13.1	0.157901
RP1-228H13.2	0
ZFP69B	2.45201
RP1-228H13.5	3.83073
RP11-656D10.7	1.23165
ZFP69	3.78401
RP11-656D10.3	1.10327
RP11-656D10.5	0
RP11-656D10.6	3.4886
ZNF684	2.958
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
MIR30E	0
MIR30C1	0
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.564919
SLFNL1	1.13236
RPL23AP17	0
RP11-399E6.1	0.383237
RP11-399E6.2	0
FOXO6	0.846453
RP11-399E6.4	0
RNA5SP45	0
EDN2	0.0562529
RP11-486B10.3	0
RP11-486B10.4	0.334931
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.68711
RP11-157D18.2	0.188964
ZMYND12	2.04167
CCDC30	2.03384
RP11-163G10.2	0
TMSB4XP1	0.394961
RNU6-536P	0
RP11-163G10.4	0
CLDN19	0.0297008
RP5-994D16.9	3.03172
TMEM269	0.859876
ERMAP	1.59269
RP11-342M1.3	0.103157
RP11-342M1.7	0.0172349
RP11-342M1.6	0
ATP6V1E1P1	0.156785
RP5-848E13.5	0.0817456
SLC2A1-AS1	1.37445
RP5-848E13.4	0.0753638
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0
CFAP57	0.0481446
RNA5SP46	0
TMEM125	2.13354
C1orf210	0.026948
TIE1	2.85315
MPL	0.114489
RP1-92O14.3	0.355508
CDC20	0.528497
RP1-92O14.6	3.48206
SZT2-AS1	0
HYI-AS1	2.9837
KDM4A-AS1	1.77671
RP11-184I16.4	0.139478
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	4.08927
RP11-7O11.3	2.69259
RP5-1198O20.4	0.168362
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0116773
RP11-570P14.1	0.272339
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.129623
ERI3-IT1	0.450815
RNU6-369P	0
MIR5584	0
TMEM53	2.49933
C1orf228	4.06941
RNU5F-1	0.214126
RNU5D-1	0
KIF2C	0.983871
RP11-269F19.2	0.263223
SNORD46	1.25396
SNORD38A	0
RPS15AP11	1.09508
PLK3	3.83731
TCTEX1D4	0.0633832
BTBD19	0.453686
RP5-882O7.1	4.44252
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.233452
MRPS17P1	0.185405
OSTCP5	0
LINC01144	3.08692
RP11-291L19.1	0
MMACHC	3.30689
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	1.80921
RPS15AP10	0.740987
RP11-767N6.2	1.2064
IPP	3.91153
RP11-767N6.7	4.37711
RP11-630I5.1	0.0578471
TMA16P2	0
RP4-533D7.4	1.09971
RP4-533D7.3	0
RP4-533D7.5	0.23492
RP11-322N21.2	0.104395
RAD54L	2.81958
RP4-603I14.3	0.106748
FAAHP1	3.55083
LINC01398	0.211992
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.853322
KNCN	0
NENFP1	0
TEX38	0.0993415
EFCAB14-AS1	0.0835965
RP11-8J9.5	0
CYP4B1	0.15931
CYP4Z2P	0
RP11-346M5.1	0
CYP4A11	0.184843
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	0.592103
RP11-184J23.2	0
CYP4A22-AS1	0.0343807
CYP4A22	0.117066
MTND1P34	0
LINC00853	0.144286
PDZK1IP1	0.0674601
TAL1	0.868354
RP1-18D14.7	0.214314
STIL	1.10471
LINC01389	1.41583
FOXE3	0.636906
FOXD2-AS1	0.143555
FOXD2	0.0440248
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	0.744485
RP11-330M19.1	0
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.0609715
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.209974
RP5-1024N4.4	0.29071
RP5-1024N4.5	0.0724063
SPATA6	1.64775
PPP1R8P1	0.208216
RNU6-723P	0
RP11-329A14.1	0.0781665
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.210494
BEND5	4.53352
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.0690807
HMGB1P45	0
FCF1P6	0
DMRTA2	0.286297
RP5-850O15.3	0.0645411
RNU6-1026P	0
PHBP12	0.335168
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.220686
LINC01562	0.483235
RP11-296A18.5	0.155528
RP11-296A18.6	0.250534
TTC39A	0.313476
TTC39A-AS1	0
RP11-275F13.3	0.103848
RNU6-877P	0
RP11-253A20.1	0.0515762
RP11-191G24.1	0.235913
RNU6-1281P	0
CALR4P	0.0388268
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	4.80625
RP4-657D16.6	1.45154
MIR761	0
TSEN15P2	0
RAB3B	2.1445
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.210244
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.514962
RP4-800M22.2	0.0595786
PDCL3P6	0.168789
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.0481035
RP11-155O18.6	4.95058
PLA2G12AP1	0.804119
ORC1	1.35751
RP11-25O10.2	0
EEF1GP7	0
GPX7	3.79115
FAM159A	0.384307
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	1.08296
RNU6-969P	0
ZYG11A	0.480476
RP4-631H13.2	0.13844
RP4-631H13.6	3.62886
RP4-631H13.4	0
MIR1273F	0.360112
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
PODN	1.29702
SLC1A7	0.439284
RP11-334A14.8	0.0718856
RP5-1024G6.9	0.0348925
RP5-1024G6.2	1.32109
RP5-1024G6.7	0.106746
RP5-1024G6.5	0.687492
RP4-784A16.1	0.491337
RP4-784A16.2	0.0444032
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.123346
RP11-117D22.1	0
RP11-117D22.2	0
SLC25A3P1	0
DMRTB1	0
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.127067
HNRNPA3P12	0.19413
LDLRAD1	0
RP4-758J24.6	2.79322
TCEANC2	1.69867
MIR4781	0
RP4-758J24.4	0
CDCP2	0.100996
RP11-446E24.3	0.0416282
CYB5RL	3.24284
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	1.63017
FAM151A	0.238684
RP11-240D10.4	0.129786
PARS2	3.28162
TTC22	0.0507941
RP11-67L3.2	0
LEXM	0.0544511
RP11-67L3.5	0
RP11-67L3.4	0.322204
BSND	1.21093
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.0217753
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0
RP11-504A18.1	0.0789337
LINC01767	0
RPL21P23	0
RPL23AP85	0
RP11-377K22.2	0
C1orf168	0.653593
RP11-378I13.1	0
C8A	0
C8B	0.0251907
RP5-1103B4.3	0
RP6-102O10.1	0.497316
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.075482
RPS26P15	0.0704326
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0.0840431
OMA1	4.83607
RP4-592A1.4	0
RN7SL713P	0
TACSTD2	0.249971
RP4-592A1.2	0.241892
RP11-63G10.4	0
LINC01135	2.13048
RP11-63G10.3	0.928966
RP11-63G10.2	0
RP4-794H19.1	0.786423
LINC01358	0.119818
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0
RP11-467C18.1	3.23782
FGGY	3.91911
MIR4711	0
RP4-782L23.2	0.443179
RN7SL475P	0
C1orf87	0
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.234879
RP11-436K8.1	0.525728
NFIA-AS2	0.258276
RP4-802A10.1	0.250724
NFIA-AS1	0.0673854
RP11-430G17.1	0
RNU6-414P	0
RNU6-1177P	0
LAMTOR5P1	0
RN7SL180P	0.75175
MIR3116-1	0
PIGPP2	0
RPS15AP7	0
L1TD1	0.190835
RP5-1155K23.4	0
KANK4	0.160336
RNU6-371P	0
RP11-293K19.1	0
ANGPTL3	0.0924684
RP5-849H19.3	0.0455638
RP5-849H19.2	0
RP11-230B22.1	0.430465
RP4-771M4.3	0
RP4-771M4.2	0
LINC01739	0
RP11-5P4.2	0
RP11-5P4.3	0
RP11-335E6.2	0
LINC00466	0
RNA5SP49	0
RP11-335E6.3	0
RPSAP65	0
FOXD3-AS1	0
FOXD3	0
MIR6068	0
