Name	Brain - Frontal Cortex (BA9)
HSPB7	1.39303
CLCNKA	0.171022
RP11-5P18.10	2.28343
CLCNKB	0.116304
EPHA2	1.98098
RP11-276H7.2	0.0563269
RP11-276H7.3	0
ARHGEF19	0.627136
ANO7L1	0.216362
MT1XP1	0.987117
RP11-430L17.1	0.0785239
SPATA21	0.0282707
LINC01772	2.44528
CROCCP3	4.4377
RNU1-1	0
RP4-798A10.7	0.503644
RP4-798A10.4	0.102634
LINC01783	0.190328
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.44103
RP5-1182A14.5	0.0748394
MST1P2	1.77811
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.0321163
EIF1AXP1	0.300342
ESPNP	0.094792
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.45768
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.389172
RP11-108M9.4	4.57503
RP11-108M9.5	2.43583
RNU1-2	0
RP11-108M9.6	0.298285
MFAP2	0.0558781
RP1-37C10.3	0
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0175909
PADI3	0
MIR3972	0
PADI4	0.702821
PADI6	0
RP11-473A10.2	0
ACTL8	0.120265
LINC01654	0.0728005
RP11-174G17.3	0.157174
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.017884
DYNLL1P3	0
RP1-8B22.2	0
PAX7	1.72838
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	0.820446
RP1-43E13.2	0.748354
AKR7L	1.58531
AKR7A3	2.44662
RP4-657E11.10	2.89642
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0.097066
RP5-1056L3.3	2.0439
HTR6	1.59534
TMCO4	1.46299
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.280855
PLA2G5	4.74497
PLA2G2D	0.0186536
PLA2G2F	0
RP3-340N1.2	0.0214178
PLA2G2C	0.0615664
UBXN10-AS1	4.42577
UBXN10	4.47637
LINC01757	0
VWA5B1	0.0524006
RP4-745E8.2	0
LINC01141	0.825008
RP4-749H3.2	0
RPS4XP4	0.073856
CDA	2.26346
PINK1-AS	1.3045
RP5-930J4.5	0
RP5-930J4.2	0.0850299
RNU7-200P	0
MIR1256	0
RPS15AP6	0.100357
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0
RP5-1071N3.1	0.0494936
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.632184
HS6ST1P1	1.29663
CROCCP5	0.0289881
NBPF3	1.45281
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	0.122016
HSPG2	0.852668
RP11-26H16.1	0.0482481
RP11-26H16.4	0
CELA3B	0.0539339
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.216823
RN7SL186P	0
RNU6-776P	0
LINC01635	0.0452394
CDC42-IT1	0
RP1-224A6.8	0
RP1-224A6.9	0.354289
WNT4	0.74689
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.0735995
EPHA8	0.903439
MIR6127	0
EPHB2	2.39556
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.163587
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0576404
RNU6-514P	0
RNU6-135P	0
HTR1D	0.648238
RP5-1057J7.1	0
LINC01355	2.74996
RP5-1057J7.7	0.144485
TCEA3	3.37887
RP4-654C18.1	0
E2F2	0.0225085
RP1-150O5.3	0.104723
MDS2	0.0458439
RP11-223J15.2	0
ELOA-AS1	1.83354
CNR2	0.00560437
BTBD6P1	0.0261831
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0286453
RP11-293P20.4	0
IL22RA1	0.0201597
IFNLR1	0.585257
RP11-10N16.2	0.0149184
RP11-10N16.3	0
GRHL3	0.0698388
RCAN3	1.30717
RP4-594I10.3	0
NCMAP	0.0860372
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.393495
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	1.12474
RP3-465N24.5	0.320756
RHD	0.174262
SDHDP6	0.398887
RP11-335G20.7	0
RHCE	1.17362
RP3-469D22.1	0.0926424
LDLRAP1	3.29498
RP11-70P17.1	0.44663
RP1-187B23.1	0.044596
RP1-317E23.3	0.500102
AUNIP	1.77593
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0.221885
RP1-125I3.4	0
MIR3917	0
PAFAH2	3.10554
RNU6-110P	0
SCARNA17	0
SCARNA18	0
SLC30A2	0.0857752
RP11-96L14.9	0
TRIM63	0.20259
FAM110D	1.33229
RP11-96L14.8	0
RP11-96L14.7	0.419496
ZNF593	0
CNKSR1	2.7082
CATSPER4	0.0151594
RP11-231P20.2	0.916768
RP11-231P20.6	0
RP11-231P20.5	0.0880243
CD52	2.10527
AIM1L	0.0128719
RP11-569G9.7	0
ZNF683	0.0202271
LIN28A	0.00581433
RP3-476K8.4	0.0573966
RP3-476K8.3	0.190834
DPPA2P2	0
RPS6KA1	4.34212
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.250484
RN7SL165P	0
SFN	0.749584
NR0B2	0.0457167
KDF1	0.714861
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
FAM46B	0.552032
RP11-40H20.5	0
CHCHD3P3	0.0287819
NPM1P39	0.135957
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	1.81593
RNU6-48P	0
ACTG1P20	0.481906
SYTL1	0.835052
FCN3	0.570316
CD164L2	0.274847
RP1-144C9.2	0.108695
RP4-752I6.1	0
RP1-159A19.4	1.1442
FGR	3.85973
RP1-159A19.3	1.35968
RP11-288L9.1	0.320411
RP11-288L9.4	0.0936098
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0
RPEP3	0
RP3-426I6.5	0.0958292
RP3-426I6.6	0.972332
RNU6-1245P	0
SCARNA1	0
THEMIS2	3.35719
SMPDL3B	0.205251
RP11-460I13.2	0
XKR8	4.53876
RP11-460I13.6	0.0638763
RN7SL559P	0
SPCS2P4	1.1299
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	0.769963
RP5-1092A3.4	1.16306
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
RCC1	3.19226
SNORA73A	0.507128
SNORA73B	0.638332
PRDX3P2	0
RP4-669K10.8	0.211799
SNORD99	0
SNORA44	1.44669
SNORA16A	0
RAB42	0.208644
LINC01715	0.565124
RNU11	0
GMEB1	2.4481
SCARNA24	0
OPRD1	3.26862
RP1-212P9.3	0.0653178
Y_RNA	0
EPB41	3.21658
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	1.98033
RP11-242O24.3	0
uc_338	0.167223
RP11-467D18.2	0
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0.0128752
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.339583
MATN1-AS1	0.490302
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.306043
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
RP11-490K7.4	0.595852
RP11-266K22.2	0.579015
SERINC2	0.372051
RP11-439L8.2	0
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00477237
RP11-73M7.1	0
HCRTR1	0.297164
RP11-73M7.6	2.1772
RP11-73M7.9	0.132247
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.151745
RP11-84A19.2	0.0200543
RP11-84A19.4	0.118362
RP4-534N18.2	0.0502529
RP11-277A4.4	0.0695479
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	1.06452
DCDC2B	0.308189
MTMR9LP	3.88172
FAM167B	1.17262
LCK	0.0992277
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.100059
TSSK3	2.25732
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0.0170869
RN7SL122P	0
ZBTB8B	0.550101
ZBTB8A	1.69478
Y_RNA	0
SYNC	1.71373
RP11-114B7.6	0
S100PBP	4.29602
RP5-1174N9.2	0.248449
RP4-803A2.1	0.0630457
RP4-803A2.2	0.0650248
Metazoa_SRP	0
RP1-117O3.2	0.11459
RP11-131M11.2	0.591046
RP11-131M11.3	0.390575
RP11-415J8.7	0.180405
A3GALT2	0.0711962
RP11-415J8.3	0.740893
MIR3605	0
RN7SKP16	0.340816
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.561041
RP4-580O19.2	0.107946
CSMD2	2.20582
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.358717
RP4-657M3.2	0
MIR552	0
GJB5	1.46256
GJB4	0.0388896
GJB3	0.445242
RP1-34M23.5	0
GJA4	4.96125
RP5-997D16.2	1.4473
RP11-244H3.1	1.90825
ZMYM6	4.74271
RPL12P45	0
ZMYM1	1.2645
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	1.02483
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.602205
CLSPN	0.362692
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	2.388
RP4-665N4.8	0.0419402
RP4-665N4.4	0.0807715
TEKT2	1.10048
COL8A2	0.391087
RN7SL131P	0
UBE2V2P4	0
SH3D21	4.14988
RNU4-27P	0
SNORA63	1.26267
CSF3R	2.48769
FTLP18	0
RP4-614N24.1	0
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0.234556
RNA5SP43	0
RPS29P6	0
LINC01137	1.81544
ZC3H12A	0.715883
MIR6732	0
MIR5581	0
SNIP1	4.78194
FTH1P1	0.0911487
RP3-423B22.5	0.113086
RSPO1	0.0774816
CDCA8	0.894381
Y_RNA	0
ACTN4P2	0.0310127
RP11-109P14.2	0.12123
MTF1	3.58134
RP11-109P14.8	0
INPP5B	4.08971
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.399297
POU3F1	2.91905
RP5-884C9.2	3.22398
RP5-884C9.3	0
MIR3659	0
LINC01343	0.0463284
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0302731
RP5-864K19.4	3.16726
MYCBP	3.18713
GJA9	0.25264
RHBDL2	2.0892
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.582659
RP11-420K8.1	0
HSPE1P8	0
BMP8A	1.48017
OXCT2P1	0.353215
PPIEL	1.56486
SNORA55	0
RP11-69E11.8	0
HEYL	2.62903
RP1-144F13.3	0
NT5C1A	1.06052
RP1-144F13.4	0.0823646
RNU7-121P	0
BMP8B	1.97527
OXCT2	0.796036
RP1-118J21.25	0.147181
RP1-118J21.24	0
Y_RNA	0
MYCL	0.621107
RP1-118J21.5	0
Y_RNA	0
RP3-342P20.2	1.396
RP11-115D7.3	0.097989
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0
RP1-228H13.1	0.080213
RP1-228H13.2	0
ZFP69B	2.13265
RP11-656D10.7	1.57878
ZFP69	2.31777
RP11-656D10.3	0.595828
EXO5	2.0673
RP11-656D10.5	0
RP11-656D10.6	0.854724
ZNF684	2.09007
RP1-63P18.2	0
GTF2F2P2	0.070376
RP4-739H11.3	0
NFYC-AS1	1.99771
MIR30E	0
MIR30C1	0
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.163458
SLFNL1	0.276269
RPL23AP17	0
RP11-399E6.1	0.0956018
RP11-399E6.2	0
FOXO6	2.19988
RP11-399E6.4	0.0667792
RNA5SP45	0
EDN2	0
HIVEP3	3.06275
RP11-486B10.3	0
RP11-486B10.4	0.101157
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.522795
RP11-157D18.2	0
ZMYND12	4.43345
CCDC30	2.12134
RP11-163G10.2	0
TMSB4XP1	0.485717
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	3.46141
CLDN19	0.0117077
RP5-994D16.9	2.08233
TMEM269	0.164939
ERMAP	3.58543
RP11-342M1.3	0.171028
RP11-342M1.7	0.0539082
RP11-342M1.6	0.0379046
ATP6V1E1P1	0.165996
RP5-848E13.5	0.0837292
SLC2A1-AS1	1.9832
RP5-848E13.4	0.117809
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.102211
CFAP57	0.618255
RNA5SP46	0
TMEM125	4.78174
C1orf210	0.044276
MPL	0.340789
RP1-92O14.3	0.26341
CDC20	0.473511
RP1-92O14.6	2.57012
SZT2-AS1	0
HYI-AS1	0.708882
KDM4A-AS1	0.691597
RP11-184I16.4	0.0583203
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.596884
RP11-7O11.3	1.00933
RP5-1198O20.4	0.361057
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0845506
RP11-570P14.1	0.19346
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0
ERI3-IT1	0.194117
RNU6-369P	0
MIR5584	0
C1orf228	3.3565
RNU5F-1	0.265904
RNU5D-1	0
KIF2C	0.450983
RP11-269F19.2	0.0678853
SNORD46	0.299142
SNORD38A	0
RPS15AP11	0.125951
BEST4	1.76933
PLK3	3.95796
TCTEX1D4	0.0421347
BTBD19	1.10124
RP5-882O7.1	1.05311
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.133812
MRPS17P1	0.0248308
ZSWIM5	3.31527
OSTCP5	0
LINC01144	1.17293
HPDL	1.48337
TESK2	3.87098
RP11-291L19.1	0
CCDC163	4.54083
MMACHC	3.37493
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	0.384611
RPS15AP10	0.20398
RP11-767N6.2	0.204898
IPP	3.25061
RP11-767N6.7	3.35139
RP11-630I5.1	0
TMA16P2	0
RP4-533D7.4	0.08494
RP4-533D7.3	0
RP4-533D7.5	0.109273
TSPAN1	0.857022
RP11-322N21.2	0
LURAP1	3.26704
RAD54L	1.07729
NSUN4	3.71247
RP4-603I14.3	0
FAAHP1	0.435525
LINC01398	0.0252804
DMBX1	0
RP11-49P4.7	0.327942
MKNK1-AS1	0.443789
KNCN	0.753665
MOB3C	3.58308
NENFP1	0
TEX38	0.0932045
EFCAB14-AS1	0
RP11-8J9.5	0
CYP4B1	0.236982
CYP4Z2P	0.019216
RP11-346M5.1	0
CYP4A11	0.244753
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	1.10622
RP11-184J23.2	0
CYP4A22-AS1	0.667501
CYP4A22	0.173495
MTND1P34	0
LINC00853	1.38653
PDZK1IP1	0.196815
TAL1	1.53972
RP1-18D14.7	0.374857
STIL	0.848201
LINC01389	0.219311
FOXE3	0.173579
FOXD2-AS1	0.228755
FOXD2	0.0705987
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	0.075837
RP11-330M19.1	0
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.107124
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.0995227
RP5-1024N4.4	0.399618
RP5-1024N4.5	0.164409
SPATA6	3.3703
PPP1R8P1	0.531832
RNU6-723P	0
RP11-329A14.1	0.0755901
RNU4-61P	0
RP11-329A14.2	0
AGBL4	2.9446
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
RP11-492I2.1	0
RP11-567C20.2	0.351784
RP11-567C20.3	0
RP11-183G22.1	0.170945
HMGB1P45	0
FCF1P6	0
DMRTA2	0.104666
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.076745
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.126894
LINC01562	0.181699
RP11-296A18.5	0.125287
RP11-296A18.6	0.0895637
TTC39A	1.37567
TTC39A-AS1	0.0609475
RP11-275F13.3	0.0364637
RNU6-877P	0
RP11-253A20.1	0.0822909
RP11-191G24.1	0.0653587
RNU6-1281P	0
CALR4P	0.0814001
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	0.576155
RP4-657D16.6	0.114971
MIR761	0
TSEN15P2	0
RAB3B	2.86305
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.15894
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.198846
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	1.33553
PLA2G12AP1	0.710137
ORC1	0.231671
RP11-25O10.2	0
EEF1GP7	0
GPX7	2.72337
FAM159A	0.160921
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	0.599448
RNU6-969P	0
ZYG11A	0.0187583
RP4-631H13.2	0
RP4-631H13.6	0.610421
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
PODN	2.27937
SLC1A7	0.426457
RP11-334A14.8	0.0153844
RP5-1024G6.9	0
CPT2	4.58433
RP5-1024G6.2	0.225363
RP5-1024G6.7	0.0267689
RP5-1024G6.5	0.745126
RP4-784A16.1	0.150202
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	1.5392
RP11-117D22.1	0
RP11-117D22.2	0
SLC25A3P1	0
DMRTB1	0
GLIS1	2.0166
RNU7-95P	0
NDC1	4.14666
SNORA58	0
RP4-654H19.2	0
DIO1	0.0552184
HNRNPA3P12	0.0675681
LDLRAD1	0
RP4-758J24.6	0.612598
TCEANC2	2.08089
MIR4781	0
RP4-758J24.4	0
CDCP2	0.147793
RP11-446E24.3	0.0701126
CYB5RL	2.04955
SSBP3-AS1	0.746719
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	1.24273
FAM151A	0.223761
RP11-240D10.4	0.0889376
PARS2	2.45164
TTC22	0.294289
RP11-67L3.2	0
LEXM	0.0501418
RP11-67L3.5	0
RP11-67L3.4	0.154723
TMEM61	0.413101
BSND	0.0475437
PCSK9	0.11809
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0
LINC01753	0
PIGQP1	0
