Name	Skin - Sun Exposed (Lower leg)
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.0409033
RP5-1071N3.1	0.425657
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	1.07238
HS6ST1P1	1.05399
CROCCP5	0
NBPF3	2.80907
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	1.80057
RP11-26H16.1	0.140529
RP11-26H16.4	0
CELA3B	0.130411
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.470244
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0.33656
RP1-224A6.8	0.571041
RP1-224A6.9	0.623957
MIR4418	0
RP11-415K20.1	0.0758349
RP11-415K20.2	0
ZBTB40-IT1	1.3059
EPHA8	0.0893378
MIR6127	0
EPHB2	0.394459
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.0919272
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0245439
RP5-1057J7.1	0.0885482
RP5-1057J7.7	1.82044
RP4-654C18.1	0.0923896
RP1-150O5.3	0.196805
MDS2	0.024196
RP11-223J15.2	0
ELOA-AS1	4.44845
CNR2	0.0138695
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	1.57827
RP11-293P20.4	0
RP11-10N16.2	0.0376505
RP11-10N16.3	0.107121
STPG1	2.8966
RP4-594I10.3	0
NCMAP	0.574338
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
MIR6731	0
RP11-84D1.1	0.350065
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	1.1534
RP3-465N24.5	1.11458
RHD	0.360644
SDHDP6	0.74061
RP11-335G20.7	0
RHCE	0.579274
RP3-469D22.1	0.189987
RP11-70P17.1	1.96489
RP1-187B23.1	0.638474
RP1-317E23.3	1.15357
AUNIP	0.432589
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0.161324
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	3.35584
SLC30A2	0.994212
RP11-96L14.9	0.289588
TRIM63	2.73843
FAM110D	4.17903
RP11-96L14.8	0
RP11-96L14.7	0.369753
ZNF593	0
CATSPER4	0.0542587
RP11-231P20.2	0.0785705
RP11-231P20.6	0
RP11-231P20.5	0
RP11-569G9.7	3.83703
ZNF683	0.104131
LIN28A	0.0182638
RP3-476K8.4	0.377923
RP3-476K8.3	0.480614
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.728824
RN7SL165P	0.124052
NR0B2	0
RPL12P13	0.175304
RP11-344H11.5	0
OSTCP2	0.102417
RP11-40H20.5	0
CHCHD3P3	0.068682
NPM1P39	0.290003
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.179246
RNU6-48P	0.251264
ACTG1P20	1.48517
FCN3	1.95201
RP1-144C9.2	0
GPR3	0.866703
RP4-752I6.1	0
RP1-159A19.4	0.288403
RP1-159A19.3	0.832504
RP11-288L9.1	0
RP11-288L9.4	0.0554486
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.402855
RPEP3	0
RP3-426I6.5	0.280386
RP3-426I6.6	0.66326
RNU6-1245P	0
SCARNA1	0
THEMIS2	3.65883
SMPDL3B	0.852939
RP11-460I13.2	0
RP11-460I13.6	0.957139
RN7SL559P	0
SPCS2P4	1.13624
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	3.94529
RP5-1092A3.4	2.18788
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0.0682366
RNU6ATAC27P	0
SNORA73A	2.69685
SNORA73B	4.44407
PRDX3P2	0.102577
RP4-669K10.8	0.469913
SNORD99	0
SNORA16A	0
RAB42	0.722006
LINC01715	0.466507
RNU11	0
SCARNA24	0
OPRD1	0.0238375
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0.107177
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	3.88066
RP11-467D18.2	0.297392
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.114175
MATN1-AS1	3.15971
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.0519391
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	2.72344
RP11-490K7.4	2.89688
RP11-266K22.2	0
RP11-439L8.2	0.0393173
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00655881
RP11-73M7.1	0.211086
HCRTR1	0.0686067
RP11-73M7.6	4.35864
RP11-73M7.9	0.116662
ADGRB2	1.96465
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.224629
RP11-84A19.2	0
RP11-84A19.4	0.457432
RP4-534N18.2	0.211422
RP11-277A4.4	0.235852
MIR5585	0
Metazoa_SRP	0
CCDC28B	2.82168
RP4-622L5.7	0.831083
DCDC2B	0.405643
FAM167B	2.80742
LCK	1.07483
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0.0117241
RN7SL122P	0
ZBTB8B	0.0212047
ZBTB8A	2.74247
Y_RNA	0
SYNC	2.82858
RP11-114B7.6	0
FNDC5	0.942999
HPCA	0.200827
RP5-1174N9.2	0.225287
RP4-803A2.1	0.263952
RP4-803A2.2	0.115878
Metazoa_SRP	0
RP1-117O3.2	0.071172
AZIN2	2.48836
RP11-131M11.2	3.14178
RP11-131M11.3	1.31875
RP11-415J8.7	0.60964
A3GALT2	0.0797287
RP11-415J8.3	2.05074
MIR3605	0.469788
RN7SKP16	1.97344
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.882947
RP4-580O19.2	0.0844446
CSMD2	0.13505
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
RP1-34M23.5	0
DLGAP3	0.321519
RP11-244H3.1	3.66839
RPL12P45	0
ZMYM1	4.62354
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	3.93914
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	1.08361
CLSPN	0.361458
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	4.0457
RP4-665N4.8	0.136214
RP4-665N4.4	0.0427086
TEKT2	0.421518
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
SNORA63	0
CSF3R	1.44452
FTLP18	0
RP4-614N24.1	0
GRIK3	0.391896
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
MIR6732	0
MIR5581	0
FTH1P1	1.21995
RP3-423B22.5	0.599375
DNALI1	1.09784
EPHA10	0.211158
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	2.90093
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.45382
RP5-884C9.3	0.229108
MIR3659	0
LINC01343	0.459449
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.24218
RP5-864K19.4	1.34753
GJA9	0.940888
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.372765
RP11-420K8.1	0
HSPE1P8	0.185305
BMP8A	0.860506
OXCT2P1	0.302509
PPIEL	3.48861
SNORA55	1.25621
RP11-69E11.8	0.536304
HEYL	4.95869
RP1-144F13.3	0
NT5C1A	0
HPCAL4	0.0556024
RP1-144F13.4	0
RNU7-121P	0
BMP8B	2.61763
OXCT2	0.522188
RP1-118J21.25	0.215969
RP1-118J21.24	0
Y_RNA	0
RP1-118J21.5	0.158801
Y_RNA	0
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0.132648
RP1-228H13.1	0.21408
RP1-228H13.2	0
ZFP69B	0.56601
RP1-228H13.5	0.914741
RP11-656D10.7	0.161653
ZFP69	2.01251
RP11-656D10.3	0.430076
EXO5	3.00959
RP11-656D10.5	0
RP11-656D10.6	0.524902
ZNF684	1.62388
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	3.08956
RP4-739H11.3	0
NFYC-AS1	1.59518
MIR30E	0
MIR30C1	0
KCNQ4	3.49744
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.595733
SLFNL1	0.589602
RPL23AP17	0
RP11-399E6.1	0.0298582
RP11-399E6.2	0
FOXO6	2.6552
RP11-399E6.4	0.331063
RNA5SP45	0
RP11-486B10.3	0.191396
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0.143783
GUCA2A	0
RP11-223A3.1	0.354544
RIMKLA	0.293515
RP11-157D18.2	0
ZMYND12	0.818714
CCDC30	0.747245
RP11-163G10.2	0
TMSB4XP1	0.573384
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	1.45498
CLDN19	0.314661
RP5-994D16.9	2.72735
TMEM269	0.653815
RP11-342M1.3	0.587444
RP11-342M1.7	0.0351893
RP11-342M1.6	0
ATP6V1E1P1	0.103977
RP5-848E13.5	1.12876
SLC2A1-AS1	3.88741
RP5-848E13.4	0.387189
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	4.31235
CFAP57	0.509047
RNA5SP46	0
MPL	0.218216
RP1-92O14.3	2.94344
RP1-92O14.6	2.92498
SZT2-AS1	0
HYI-AS1	0.697321
KDM4A-AS1	3.30253
RP11-184I16.4	0.287114
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.796987
RP11-7O11.3	1.14976
RP5-1198O20.4	0.0830933
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0
RP11-570P14.1	0.239052
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0674326
ERI3-IT1	0.466075
RNU6-369P	0
MIR5584	0
TMEM53	4.18794
C1orf228	0.983417
RNU5F-1	0
RNU5D-1	0
KIF2C	3.96556
RP11-269F19.2	0.200434
SNORD46	2.5138
SNORD38A	0
RPS15AP11	0.905924
BEST4	1.38515
TCTEX1D4	0.660459
BTBD19	2.54769
PTCH2	3.67197
RP5-882O7.1	1.19491
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.102623
MRPS17P1	0.0355685
ZSWIM5	2.34066
OSTCP5	0
LINC01144	2.92107
HPDL	1.24797
RP11-291L19.1	0.130114
CCDC163	2.51809
MMACHC	2.52492
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	2.9534
RPS15AP10	2.75098
RP11-767N6.2	3.06614
RP11-767N6.7	4.42756
RP11-630I5.1	0.104037
TMA16P2	0
RP4-533D7.4	0.140766
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	3.89628
RP11-322N21.2	0
LURAP1	3.01525
RAD54L	1.12406
RP4-603I14.3	0.121207
FAAHP1	0.378246
LINC01398	0.023983
DMBX1	0.0238402
RP11-49P4.7	0
MKNK1-AS1	0.69506
KNCN	0
NENFP1	0.223976
TEX38	0.149358
EFCAB14-AS1	0.792708
RP11-8J9.5	0
CYP4Z2P	0.254756
RP11-346M5.1	0.0482385
CYP4A11	0.206329
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	1.13911
RP11-184J23.2	0.0757346
CYP4A22-AS1	0.145138
CYP4A22	0.172505
MTND1P34	0
LINC00853	0.684768
TAL1	2.82474
RP1-18D14.7	0.258925
STIL	1.90894
LINC01389	0.531246
FOXE3	0.109425
FOXD2-AS1	1.31713
FOXD2	0.475654
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	2.8944
RP11-330M19.1	0.112645
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.57477
RP5-1024N4.6	0.0940293
RP5-1024N4.2	0
SLC5A9	3.79304
RP5-1024N4.4	1.8076
RP5-1024N4.5	0.111082
PPP1R8P1	0.235196
RNU6-723P	0
RP11-329A14.1	0.0313348
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.180343
BEND5	3.8156
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.0606679
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.505161
HMGB1P45	0
FCF1P6	0
DMRTA2	0
RP5-850O15.3	0.0571407
RNU6-1026P	0
PHBP12	0.819992
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0682233
LINC01562	0.0405998
RP11-296A18.5	1.08407
RP11-296A18.6	0.326899
TTC39A	3.32605
TTC39A-AS1	0.0923519
RP11-275F13.3	0.381313
RNU6-877P	0
RP11-253A20.1	0.137721
RP11-191G24.1	1.10099
RNU6-1281P	0
CALR4P	0.0989376
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	3.89305
RP4-657D16.6	0.818113
MIR761	0
TSEN15P2	0.20734
RAB3B	1.43966
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	2.11676
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.0735876
RP11-155O18.6	1.61003
PLA2G12AP1	0.354847
ORC1	1.97948
RP11-25O10.2	0
EEF1GP7	0
FAM159A	0.0709469
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	3.23828
RNU6-969P	0
ZYG11A	0.20379
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	1.09685
RP11-334A14.8	0.33349
RP5-1024G6.9	0
RP5-1024G6.2	0.157077
RP5-1024G6.7	0.0476319
RP5-1024G6.5	0.775833
LRP8	1.87195
RP4-784A16.1	0.160307
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0
RP11-117D22.1	0
RP11-117D22.2	0.0631486
SLC25A3P1	0
DMRTB1	0
GLIS1	3.29186
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.138916
HNRNPA3P12	0.149066
LDLRAD1	0.0399982
RP4-758J24.6	1.4749
TCEANC2	2.75321
MIR4781	0
RP4-758J24.4	0
CDCP2	0.143602
RP11-446E24.3	0.0849439
CYB5RL	2.90201
SSBP3-AS1	3.12383
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	0.818367
FAM151A	0.11796
RP11-240D10.4	0
MROH7	2.96076
PARS2	4.72489
RP11-67L3.2	0.870962
LEXM	0.91194
RP11-67L3.5	0
RP11-67L3.4	0.602329
TMEM61	3.56152
BSND	0.0412514
PCSK9	1.49083
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.344924
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0.100143
RP11-504A18.1	0.313122
LINC01767	0.0733509
RPL21P23	0.409675
RPL23AP85	0
RP11-377K22.2	0
PRKAA2	1.22929
C1orf168	0.0264339
RP11-378I13.1	0
C8A	0
C8B	0
RP5-1103B4.3	0
DAB1	0.145863
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0365961
RPS26P15	0.139807
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0
RN7SL713P	0
RP4-592A1.2	0.643379
RP11-63G10.4	0.741094
LINC01135	0.216404
RP11-63G10.3	0.383144
RP11-63G10.2	0
RP4-794H19.1	0.528688
LINC01358	0.0612621
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0.0534632
RP11-467C18.1	0.268203
FGGY	1.55769
MIR4711	0
RP4-782L23.2	0.361201
RN7SL475P	0
C1orf87	0.0401879
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.0455232
RP11-436K8.1	0.0455556
NFIA-AS2	0.101091
RP4-802A10.1	0.400026
NFIA-AS1	0
RP11-430G17.1	0
RP11-430G17.3	0.389432
RNU6-414P	0
RNU6-1177P	0
LAMTOR5P1	0
RN7SL180P	0
MIR3116-1	0
PIGPP2	0
RPS15AP7	0
L1TD1	0.122614
RP5-1155K23.4	0
KANK4	0.377009
RNU6-371P	0
RP11-293K19.1	0
ANGPTL3	0.105521
RP5-849H19.3	0.0872276
RP5-849H19.2	0
RP11-230B22.1	0.244389
ATG4C	3.94302
