Name	Brain - Anterior cingulate cortex (BA24)
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	0.203585
SNORA77	0.36398
RP5-1115A15.2	0.0833273
RPL7P11	0
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.0498451
ENO1-AS1	0.318906
RNU6-304P	0
HMGN2P17	0
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	2.49303
SCARNA16	0
GPR157	0.321309
MIR34AHG	1.27632
LINC01759	0.143126
RP3-510D11.4	0.083582
H6PD	4.57992
SPSB1	2.66644
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.27726
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	0.218436
MZT1P1	0
RP11-84A14.7	0.0967149
RP11-84A14.4	0.139636
NMNAT1	2.72182
RN7SKP269	0.0604879
RP11-84A14.6	0.0586153
MIR5697	0
RBP7	2.17907
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0.279351
RP4-736L20.3	0
RN7SL614P	0.0522304
CASZ1	0.255472
RP4-734G22.3	0.271638
HSPE1P24	0
C1orf127	0.0657013
CFL1P6	0
MASP2	1.21627
RP4-635E18.7	1.5385
RP4-635E18.6	1.67076
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.14149
RNU6-291P	0
RPL39P6	0
UBIAD1	2.95392
UBE2V2P3	0
MTCYBP45	0
DISP3	2.58453
LINC01647	0
DRAXIN	0.783137
C1orf167	0.00635334
RP11-56N19.5	0
NPPA-AS1	1.0748
NPPA	4.46617
NPPB	0.262975
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0
MIR6729	0
RN7SL649P	0
TNFRSF8	0.0333678
RNU6-777P	0
RPL23AP89	0
MIR7846	0
TNFRSF1B	4.643
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.479986
RP5-888M10.2	0
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.304561
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0.0146003
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.042443
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.803221
RP4-597A16.2	0.104972
BRWD1P1	0
PDPN	3.36874
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.858997
TMEM51	4.47193
C1orf195	0
RP1-21O18.3	0.0889468
RP5-903E17.2	0
FHAD1	0.201692
RP3-467K16.2	0.0322403
RP3-467K16.7	0.0348697
RP3-467K16.4	0.150017
CTRC	0.140351
CELA2A	0.160917
CELA2B	0.10151
DNAJC16	3.88132
SCARNA21	0
RP4-680D5.8	0.324163
AGMAT	1.36262
RP4-680D5.2	0.167568
CHCHD2P6	1.00524
RNU7-179P	0
CD24P1	0
DDI2	3.7866
RP4-680D5.9	0.120651
RP11-288I21.1	0.302405
SLC25A34	2.99321
TMEM82	0
RP11-169K16.4	0
FBLIM1	1.21165
RPL12P14	0.06593
RP11-169K16.8	0.329989
FLJ37453	3.17849
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	1.93828
HSPB7	1.28142
CLCNKA	0.134173
RP11-5P18.10	2.73053
CLCNKB	0.212807
EPHA2	1.87209
RP11-276H7.2	0.053359
RP11-276H7.3	0
ARHGEF19	0.750623
ANO7L1	0.241394
MT1XP1	0.888638
FBXO42	4.88248
RP11-430L17.1	0.0655934
SPATA21	0.0231495
LINC01772	1.77469
CROCCP3	3.50008
RNU1-1	0
RP4-798A10.7	0.518431
RP4-798A10.4	0.0928086
LINC01783	0.124838
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.36662
RP5-1182A14.5	0.074122
MST1P2	1.445
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.0284588
EIF1AXP1	0.259669
ESPNP	0.10772
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.36752
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.27337
RP11-108M9.4	4.39322
RP11-108M9.5	2.00372
RNU1-2	0
RP11-108M9.6	0.279327
MFAP2	0.0691782
RP1-37C10.3	0
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0186735
PADI3	0
MIR3972	0
PADI4	0.320253
PADI6	0
RP11-473A10.2	0
ACTL8	0.024581
LINC01654	0.0315568
RP11-174G17.3	0.221534
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0125389
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.483858
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	0.587663
RP1-43E13.2	0.736948
AKR7L	1.56673
AKR7A3	2.76198
RP4-657E11.10	2.70616
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0.108692
RP5-1056L3.3	1.64297
HTR6	0.755408
TMCO4	1.59915
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.215723
PLA2G5	3.2066
PLA2G2D	0.016975
PLA2G2F	0
RP3-340N1.2	0.0291756
PLA2G2C	0.0687373
UBXN10-AS1	3.26999
UBXN10	1.98872
LINC01757	0
VWA5B1	0.100774
RP4-745E8.2	0
LINC01141	0.605947
RP4-749H3.2	0
RPS4XP4	0.0555972
CDA	2.16234
PINK1-AS	1.08063
RP5-930J4.5	0
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.0926915
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0
RP5-1071N3.1	0.0469287
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.436876
HS6ST1P1	0.806582
CROCCP5	0.0155002
NBPF3	1.10257
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	0.126464
HSPG2	0.818225
RP11-26H16.1	0.0427914
RP11-26H16.4	0
CELA3B	0.0438258
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.190429
RN7SL186P	0
RNU6-776P	0
LINC01635	0.0276089
CDC42-IT1	0
RP1-224A6.8	0
RP1-224A6.9	0.351496
WNT4	0.747517
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40	4.10357
ZBTB40-IT1	0
EPHA8	1.0095
MIR6127	0
EPHB2	1.49392
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.135305
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.046369
RNU6-514P	0
RNU6-135P	0
HTR1D	0.329076
RP5-1057J7.1	0
LINC01355	2.23662
RP5-1057J7.7	0.194277
TCEA3	4.4421
RP4-654C18.1	0
E2F2	0.0200015
RP1-150O5.3	0.05833
MDS2	0.029883
RP11-223J15.2	0
ELOA-AS1	1.6022
CNR2	0.0075627
BTBD6P1	0.018303
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0229356
RP11-293P20.4	0
IL22RA1	0.0230891
IFNLR1	0.381643
RP11-10N16.2	0.0128903
RP11-10N16.3	0
GRHL3	0.0589453
STPG1	2.52228
RCAN3	1.1682
RP4-594I10.3	0
NCMAP	0.0811249
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.352599
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	1.02376
RP3-465N24.5	0.247535
RHD	0.147806
SDHDP6	0.318102
RP11-335G20.7	0
RHCE	0.984297
RP3-469D22.1	0.083813
LDLRAP1	2.23905
RP11-70P17.1	0.334261
RP1-187B23.1	0.0321379
RP1-317E23.3	0.38041
AUNIP	0.870524
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0.126561
RP1-125I3.4	0
MIR3917	0
PAFAH2	2.81342
RNU6-110P	0
SCARNA17	0
SCARNA18	0
SLC30A2	0.0674499
RP11-96L14.9	0
TRIM63	0.111334
PDIK1L	3.63682
FAM110D	1.45346
RP11-96L14.8	0
RP11-96L14.7	0.332546
ZNF593	0
CNKSR1	2.05694
CATSPER4	0.0162654
RP11-231P20.2	0.775738
RP11-231P20.6	0
CEP85	3.41979
RP11-231P20.5	0
CD52	2.31584
AIM1L	0.0116174
RP11-569G9.7	0
ZNF683	0.0235099
LIN28A	0.00474902
RP3-476K8.4	0.0478899
RP3-476K8.3	0.196754
DPPA2P2	0
RPS6KA1	3.07651
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.20777
PIGV	4.73276
RN7SL165P	0
SFN	0.650005
NR0B2	0.0390708
KDF1	0.128007
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
FAM46B	0.522785
RP11-40H20.5	0
CHCHD3P3	0
NPM1P39	0.0816026
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	1.22419
RNU6-48P	0
ACTG1P20	0.37316
SYTL1	1.09097
FCN3	0.498496
CD164L2	0.242949
RP1-144C9.2	0.0924065
GPR3	3.72737
RP4-752I6.1	0
RP1-159A19.4	0.714946
FGR	3.26691
RP1-159A19.3	1.20318
RP11-288L9.1	0.205691
RP11-288L9.4	0.0689536
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
FAM76A	4.68393
RP3-426I6.2	0.0356977
RPEP3	0
RP3-426I6.5	0.112577
RP3-426I6.6	0.783203
RNU6-1245P	0
SCARNA1	0
THEMIS2	2.39751
SMPDL3B	0.206329
RP11-460I13.2	0
XKR8	4.72986
EYA3	4.64621
RP11-460I13.6	0.0580753
RN7SL559P	0
SPCS2P4	0.911018
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	0.727504
RP5-1092A3.4	1.08604
RP5-1092A3.5	0
MED18	4.4147
PHACTR4	4.39352
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
RCC1	2.40954
SNORA73A	0.459866
SNORA73B	0.660152
PRDX3P2	0
RP4-669K10.8	0.173328
TRNAU1AP	4.45456
SNHG12	4.93013
SNORD99	0
SNORA44	1.00447
SNORA16A	0
RAB42	0.253496
LINC01715	0.579075
RNU11	0
GMEB1	1.82377
SCARNA24	0
OPRD1	1.46028
RP1-212P9.3	0.0346101
Y_RNA	0
EPB41	1.59431
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	0.984661
RP11-242O24.3	0
uc_338	0.138368
RP11-467D18.2	0
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.261168
MATN1-AS1	0.331692
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.218269
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	3.9673
RP11-490K7.4	0.489773
RP11-266K22.2	0.375313
SERINC2	0.392114
RP11-439L8.2	0
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00404618
RP11-73M7.1	0
TINAGL1	4.96631
HCRTR1	0.178109
RP11-73M7.6	2.33682
RP11-73M7.9	0.113113
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.129437
RP11-84A19.2	0.0247236
RP11-84A19.4	0.0661617
RP4-534N18.2	0
RP11-277A4.4	0.09437
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	0.849259
IQCC	3.25584
DCDC2B	0.206456
MTMR9LP	4.25178
FAM167B	1.32978
LCK	0.100723
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.0923946
TSSK3	1.5912
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0.0144386
RN7SL122P	0
ZBTB8B	0.66809
ZBTB8A	1.23718
Y_RNA	0
SYNC	1.74382
RP11-114B7.6	0
S100PBP	4.07559
RP5-1174N9.2	0.193251
RP4-803A2.1	0.0398615
RP4-803A2.2	0.0382728
Metazoa_SRP	0
RP1-117O3.2	0.0660175
RP11-131M11.2	0.644918
RP11-131M11.3	0.341598
RP11-415J8.7	0.155885
A3GALT2	0.0341926
RP11-415J8.3	0.560811
MIR3605	0
RN7SKP16	0.218019
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.432417
RP4-580O19.2	0.0825485
CSMD2	1.57572
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.341232
RP4-657M3.2	0
MIR552	0
GJB5	0.81225
GJB4	0.0268324
GJB3	0.334439
RP1-34M23.5	0
GJA4	4.36085
RP5-997D16.2	1.12926
RP11-244H3.1	1.72698
ZMYM6	3.47034
RPL12P45	0
ZMYM1	1.1113
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	0.93606
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.429447
CLSPN	0.147118
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	1.84183
RP4-665N4.8	0
RP4-665N4.4	0.0865468
TEKT2	1.29485
COL8A2	0.422935
RN7SL131P	0
UBE2V2P4	0
SH3D21	2.77155
RNU4-27P	0
SNORA63	1.30306
CSF3R	2.5126
FTLP18	0
RP4-614N24.1	0
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0.257035
RNA5SP43	0
RPS29P6	0
LINC01137	1.5077
ZC3H12A	0.64382
MIR6732	0
MIR5581	0
SNIP1	3.49974
FTH1P1	0.0606493
RP3-423B22.5	0.105395
RSPO1	0.0492685
C1orf109	4.27955
CDCA8	0.556529
EPHA10	4.85948
Y_RNA	0
ACTN4P2	0.0261848
RP11-109P14.2	0.0524762
MTF1	2.83533
RP11-109P14.8	0
INPP5B	3.05253
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.481569
POU3F1	2.23873
RP5-884C9.2	2.5384
RP5-884C9.3	0
MIR3659	0
LINC01343	0.0460243
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0161598
RP5-864K19.4	2.59123
MYCBP	2.82671
GJA9	0.184723
RHBDL2	1.81618
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.484
RP11-420K8.1	0
HSPE1P8	0
BMP8A	1.13848
OXCT2P1	0.240075
RP11-69E11.4	4.55939
PPIEL	1.28527
SNORA55	0
RP11-69E11.8	0
HEYL	4.06787
RP1-144F13.3	0
NT5C1A	0.644504
RP1-144F13.4	0.107131
RNU7-121P	0
BMP8B	1.98883
OXCT2	0.433201
RP1-118J21.25	0.137798
RP1-118J21.24	0
Y_RNA	0
MYCL	0.524833
RP1-118J21.5	0
Y_RNA	0
RP3-342P20.2	0.89246
RP11-115D7.3	0.0986831
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0
RP1-228H13.1	0.0666878
RP1-228H13.2	0
ZFP69B	1.3786
RP1-228H13.5	3.24499
RP11-656D10.7	1.01724
ZFP69	2.07611
RP11-656D10.3	0.565412
EXO5	1.29557
RP11-656D10.5	0
RP11-656D10.6	0.660119
ZNF684	1.52937
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
NFYC-AS1	1.70906
MIR30E	0
MIR30C1	0
KCNQ4	3.79771
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
CTPS1	4.04964
SLFNL1-AS1	0.123295
SLFNL1	0.197635
RPL23AP17	0
RP11-399E6.1	0.0807667
RP11-399E6.2	0
FOXO6	2.9081
RP11-399E6.4	0.1002
RNA5SP45	0
EDN2	0
HIVEP3	2.60225
RP11-486B10.3	0
RP11-486B10.4	0.0969285
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.460051
RP11-157D18.2	0
ZMYND12	3.80076
CCDC30	1.41193
RP11-163G10.2	0
TMSB4XP1	0.413885
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	2.90055
CLDN19	0.00651841
RP5-994D16.9	1.90055
TMEM269	0.143416
ERMAP	3.42739
RP11-342M1.3	0.165347
ZNF691	4.46262
RP11-342M1.7	0.0279393
RP11-342M1.6	0.0210556
ATP6V1E1P1	0.0849417
RP5-848E13.5	0.0739514
SLC2A1-AS1	1.84925
RP5-848E13.4	0.0972055
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.225009
CFAP57	0.482608
RNA5SP46	0
TMEM125	2.75922
C1orf210	0.0344469
TIE1	3.64774
MPL	0.194348
RP1-92O14.3	0.199483
CDC20	0.28506
RP1-92O14.6	1.42634
SZT2	3.8966
SZT2-AS1	0
HYI-AS1	0.474067
KDM4A-AS1	0.540541
RP11-184I16.4	0.0554255
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.450229
RP11-7O11.3	0.965606
RP5-1198O20.4	0.433227
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.114611
RP11-570P14.1	0.144471
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0
ERI3-IT1	0.141583
RNU6-369P	0
MIR5584	0
TMEM53	4.85534
C1orf228	3.32315
RNU5F-1	0.239296
RNU5D-1	0
KIF2C	0.351458
RP11-269F19.2	0.070275
SNORD46	0.216198
SNORD38A	0
RPS15AP11	0.136106
BEST4	1.58011
PLK3	3.3814
TCTEX1D4	0.0293401
BTBD19	0.828471
RP5-882O7.1	0.907147
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.138541
MRPS17P1	0.0330507
ZSWIM5	2.74964
OSTCP5	0
LINC01144	1.10652
HPDL	1.48042
TOE1	4.28442
TESK2	3.16783
RP11-291L19.1	0
CCDC163	4.58975
MMACHC	2.47014
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	0.367045
RPS15AP10	0.162261
RP11-767N6.2	0.146126
IPP	2.73695
RP11-767N6.7	3.10568
RP11-630I5.1	0.0210345
TMA16P2	0
RP4-533D7.4	0.0705843
RP4-533D7.3	0
RP4-533D7.5	0.0990174
TSPAN1	0.414806
RP11-322N21.2	0
LURAP1	2.29907
RAD54L	0.614933
NSUN4	2.487
RP4-603I14.3	0
FAAHP1	0.301391
LINC01398	0.0187715
DMBX1	0
RP11-49P4.7	0.491906
MKNK1-AS1	0.325925
KNCN	0.393625
MOB3C	3.63736
NENFP1	0
TEX38	0.0794757
EFCAB14-AS1	0
RP11-8J9.5	0
CYP4B1	0.190121
CYP4Z2P	0
RP11-346M5.1	0
CYP4A11	0.189797
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	0.802882
RP11-184J23.2	0
CYP4A22-AS1	0.257009
CYP4A22	0.126733
MTND1P34	0
LINC00853	1.49045
PDZK1IP1	0.228311
TAL1	1.42403
RP1-18D14.7	0.340301
STIL	0.53284
LINC01389	0.182248
FOXE3	0.102204
FOXD2-AS1	0.297989
FOXD2	0.0903951
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	0.0904965
RP11-330M19.1	0
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.122602
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.0886824
RP5-1024N4.4	0.421434
RP5-1024N4.5	0.165812
SPATA6	3.15241
PPP1R8P1	0.376098
RNU6-723P	0
RP11-329A14.1	0.0647858
RNU4-61P	0
RP11-329A14.2	0
AGBL4	1.33776
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
RP11-492I2.1	0
RP11-567C20.2	0.430176
RP11-567C20.3	0
RP11-183G22.1	0.154628
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0906046
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.028737
MRPS6P2	0
CDKN2C	3.75878
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0910453
LINC01562	0.170877
RP11-296A18.5	0.121606
RP11-296A18.6	0.0645587
TTC39A	0.601822
TTC39A-AS1	0.027877
RP11-275F13.3	0.022297
RNU6-877P	0
RP11-253A20.1	0.086931
RP11-191G24.1	0.0635278
RNU6-1281P	0
CALR4P	0.104377
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	0.438913
RP4-657D16.6	0.105561
MIR761	0
TSEN15P2	0
RAB3B	3.52362
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.0582764
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.144809
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	0.869654
PLA2G12AP1	0.46142
ORC1	0.152253
ZCCHC11	4.56942
RP11-25O10.2	0
EEF1GP7	0
GPX7	2.65544
FAM159A	0.139089
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	0.583342
RNU6-969P	0
ZYG11A	0.0196672
RP4-631H13.2	0
RP4-631H13.6	0.520704
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
PODN	2.15067
SLC1A7	0.459153
RP11-334A14.8	0.0118742
RP5-1024G6.9	0
CPT2	4.11806
RP5-1024G6.2	0.163189
RP5-1024G6.7	0.0208886
RP5-1024G6.5	0.669131
RP4-784A16.1	0.0886625
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.957725
RP11-117D22.1	0
RP11-117D22.2	0
SLC25A3P1	0
DMRTB1	0
GLIS1	1.37457
RNU7-95P	0
NDC1	2.80537
SNORA58	0
RP4-654H19.2	0
DIO1	0.0418639
HNRNPA3P12	0.0634007
