Name	Stomach
RP11-154H17.1	0
MIR4417	0
MIR4689	0
NPHP4	3.74882
KCNAB2	3.32949
CHD5	0.730706
RP1-120G22.11	1.49023
LINC00337	0.0311572
HES3	0
GPR153	3.26881
HES2	0.0277941
ESPN	0.421515
MIR4252	0
RP1-202O8.2	0
RNU6-731P	0
RP11-58A11.2	0.403088
TAS1R1	0.202304
LINC01672	0
RP11-312B8.1	0.238705
CAMTA1	4.52391
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0.101313
RP11-338N10.2	0.391145
RP11-338N10.3	0.648395
RP3-467L1.6	2.47603
RP3-467L1.4	0.535898
UTS2	0.0414128
TNFRSF9	0.061203
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.204727
CTA-215D11.4	0.0396846
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	2.03796
Y_RNA	0
RP5-1115A15.1	0.685732
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0410506
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.169502
ENO1-AS1	0.439368
RNU6-304P	0
HMGN2P17	0
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	0.297034
SCARNA16	0
GPR157	3.30861
MIR34AHG	4.51624
LINC01759	0.592972
RP3-510D11.4	0.0457229
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	4.89664
RP13-15M17.1	0.73391
TMEM201	3.42909
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	1.11412
MZT1P1	0
RP11-84A14.7	0
RP11-84A14.4	0.286841
NMNAT1	3.44648
RN7SKP269	0.140486
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.0378281
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.18906
RN7SL614P	0.180171
RP4-734G22.3	2.84566
HSPE1P24	0
C1orf127	0.104582
CFL1P6	0.0777546
MASP2	3.2357
RP4-635E18.7	2.59914
RP4-635E18.6	0.407722
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.456818
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.127113
MTCYBP45	0
DISP3	0.133566
LINC01647	0
DRAXIN	0.0290673
C1orf167	0.0102087
RP11-56N19.5	0
NPPA-AS1	1.57411
NPPA	1.50398
NPPB	0.398435
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.338731
MIR6729	0
RN7SL649P	0
TNFRSF8	0.980772
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	1.16099
RP5-888M10.2	0.130899
RNU6ATAC18P	0.532714
MIR6730	0
RP11-474O21.5	0.997891
AADACL4	0.0532016
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0475376
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.0768939
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
KAZN	2.07305
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
C1orf195	0.0744558
RP1-21O18.3	0
RP5-903E17.2	0.129469
FHAD1	0.356036
RP3-467K16.2	0.276083
RP3-467K16.7	0.214908
RP3-467K16.4	0.108268
CTRC	0.380766
CELA2A	0.864464
CELA2B	0.207148
DNAJC16	4.62322
SCARNA21	0
RP4-680D5.8	0.224192
AGMAT	0.420774
RP4-680D5.2	0.0887335
CHCHD2P6	1.07706
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	0.930241
SLC25A34	2.89362
TMEM82	0.271956
RP11-169K16.4	0
RPL12P14	0.177311
UQCRHL	4.22456
RP11-169K16.8	0.875244
FLJ37453	3.27019
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0459792
CLCNKA	3.79453
RP11-5P18.10	0.151654
CLCNKB	0.507691
FAM131C	0.697751
RP11-276H7.2	0.725067
RP11-276H7.3	0.570407
ANO7L1	1.2634
RSG1	4.10072
MT1XP1	1.07089
RP11-430L17.1	0.12638
SPATA21	0.0234122
LINC01772	1.56838
CROCCP3	3.09865
RNU1-1	0
RP4-798A10.7	0.263416
RP4-798A10.4	0
LINC01783	0.368264
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.53908
RP5-1182A14.5	0
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.0543482
EIF1AXP1	0.446423
ESPNP	0.130854
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	1.43797
RP11-108M9.5	2.89849
RNU1-2	0
RP11-108M9.6	0.315172
MFAP2	2.17016
RP1-37C10.3	0.0604279
PADI2	0.866942
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.027421
PADI3	0
MIR3972	0
PADI4	0.169893
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	0.627144
RP11-174G17.3	0.0132166
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	3.2543
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
IFFO2	4.78332
RP5-1126H10.2	0.804464
RP1-43E13.2	0.840492
RP4-657E11.10	1.53701
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
RP5-1056L3.3	4.346
HTR6	0.0300995
RNF186	0.0713962
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G5	1.2189
PLA2G2D	0.0931954
PLA2G2F	0.041949
RP3-340N1.2	0.0472969
PLA2G2C	0.0491808
UBXN10-AS1	1.1054
UBXN10	0.865972
LINC01757	0
VWA5B1	0.00944441
RP4-745E8.2	0
LINC01141	0
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.198065
CDA	2.24032
PINK1-AS	2.47349
KIF17	0.695184
RP5-930J4.5	0
SH2D5	0.130924
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0
RP5-1071N3.1	0.175698
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	1.02304
HS6ST1P1	0.32723
CROCCP5	0
NBPF3	2.83199
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	2.44268
RP11-26H16.1	0.0954126
RP11-26H16.4	0.0165296
RN7SL386P	0
RNU6-1022P	0
RN7SL186P	0
RNU6-776P	0
LINC01635	0.0692036
CDC42-IT1	0.116589
RP1-224A6.8	0.168612
RP1-224A6.9	0.415388
WNT4	3.27903
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.690372
EPHA8	0.0141456
MIR6127	0
EPHB2	0.348471
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.00923417
RP5-1057J7.1	0
ZNF436-AS1	3.3817
RP5-1057J7.7	1.8287
RP4-654C18.1	0
E2F2	0.40791
RP1-150O5.3	0.380353
MDS2	0.0353567
RP11-223J15.2	0
ELOA-AS1	2.4313
CNR2	0.0294911
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0762711
RP11-293P20.4	0
IL22RA1	1.53421
IFNLR1	1.90745
RP11-10N16.2	0
RP11-10N16.3	0.0412963
GRHL3	0.182941
STPG1	1.46273
RP4-594I10.3	0.612234
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	2.52275
MIR6731	0
RP11-84D1.1	0.0674019
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.532603
RP3-465N24.5	0.703206
RHD	0.206468
SDHDP6	0.302716
RP11-335G20.7	0
RHCE	0.291968
RP3-469D22.1	0.160731
RP11-70P17.1	0.712847
MAN1C1	3.5997
RP1-187B23.1	0.111033
RP1-317E23.3	0.745257
AUNIP	0.580699
RP1-125I3.2	0.121994
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.2143
SLC30A2	0.112899
RP11-96L14.9	0
TRIM63	0.609884
PDIK1L	4.57035
FAM110D	3.92153
RP11-96L14.8	0
RP11-96L14.7	0.26462
ZNF593	0
CATSPER4	0
RP11-231P20.2	0.579031
RP11-231P20.6	0
CEP85	4.42096
RP11-231P20.5	0
AIM1L	0.146836
RP11-569G9.7	0
ZNF683	0.302768
LIN28A	0
RP3-476K8.4	0.279994
RP3-476K8.3	0.448712
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.417675
RN7SL165P	0
RPL12P13	0.0884934
RP11-344H11.5	0
OSTCP2	0.0575082
RP11-40H20.5	0
CHCHD3P3	0.0756789
NPM1P39	0.305201
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.385466
RNU6-48P	0.294936
ACTG1P20	1.31199
CD164L2	0.684017
RP1-144C9.2	0
GPR3	0.630301
RP4-752I6.1	0
RP1-159A19.4	0.676266
FGR	4.5509
RP1-159A19.3	0.958832
RP11-288L9.1	0
RP11-288L9.4	0.0679194
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.248025
RPEP3	0
RP3-426I6.5	0.765973
RP3-426I6.6	1.81383
RNU6-1245P	0
SCARNA1	0
RP11-460I13.2	0
RP11-460I13.6	0.34815
RN7SL559P	0
SPCS2P4	1.14553
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	2.07721
RP5-1092A3.4	3.56122
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	1.84687
SNORA73B	2.87695
PRDX3P2	0.101019
RP4-669K10.8	0.134623
SNORD99	0
SNORA44	4.48009
SNORA16A	0
RAB42	0.706201
LINC01715	0.444656
RNU11	0
GMEB1	3.23589
SCARNA24	0
OPRD1	0.0969473
RP1-212P9.3	0.0568062
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	4.77191
RP11-242O24.3	0
uc_338	2.34389
RP11-467D18.2	0.181244
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.0942152
MATN1-AS1	1.28665
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.127011
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.0893064
RP11-490K7.4	1.18588
RP11-266K22.2	0
RP11-439L8.2	0.0288594
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00974946
RP11-73M7.1	0.721888
HCRTR1	0.0532695
RP11-73M7.6	1.27335
RP11-73M7.9	0
ADGRB2	1.22904
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.660997
RP11-84A19.2	0
RP11-84A19.4	0.352
RP4-534N18.2	0.156739
RP11-277A4.4	0.0762461
MIR5585	0
Metazoa_SRP	0
CCDC28B	2.77945
RP4-622L5.7	1.00197
IQCC	3.51769
DCDC2B	0.496631
LCK	3.06828
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.0952489
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0170465
ZBTB8A	2.41201
Y_RNA	0
SYNC	2.52739
RP11-114B7.6	0
HPCA	0.270058
RP5-1174N9.2	0.0994629
RP4-803A2.1	0.0799033
RP4-803A2.2	0.0689888
Metazoa_SRP	0
RP1-117O3.2	0.04929
AZIN2	0.999311
RP11-131M11.2	1.16569
RP11-131M11.3	0.39312
RP11-415J8.7	0.330522
A3GALT2	0.0968307
RP11-415J8.3	2.79275
MIR3605	0.400873
RN7SKP16	2.33658
RP11-415J8.5	0.0764783
TLR12P	0
ZSCAN20	1.09191
RP4-580O19.2	0.103485
CSMD2	0.122847
HSPD1P14	0
HMGB4	0.0173252
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.0217653
RP4-657M3.2	0
MIR552	0
GJB5	0.113809
GJB4	0.0232464
GJB3	0.917335
RP1-34M23.5	0
RP5-997D16.2	3.7071
DLGAP3	0.395988
RP11-244H3.1	2.64762
RPL12P45	0
ZMYM1	3.57175
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	3.84903
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.486435
TFAP2E	1.46904
CLSPN	0.160601
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	2.66093
RP4-665N4.8	0.157016
RP4-665N4.4	0.0436356
TEKT2	0.51753
COL8A2	4.53427
RN7SL131P	0
UBE2V2P4	0
SH3D21	1.51141
RP11-268J15.5	2.41403
RNU4-27P	0
OSCP1	3.90441
SNORA63	0
CSF3R	3.43531
FTLP18	0
RP4-614N24.1	0
GRIK3	0.747583
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	4.9706
MIR6732	0
MIR5581	0
FTH1P1	0.28863
RP3-423B22.5	0.347677
RSPO1	1.54052
CDCA8	2.19932
EPHA10	1.10212
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	1.68091
MTF1	4.22254
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.20831
POU3F1	0.0475132
RP5-884C9.2	0.0385285
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.274511
RP5-864K19.4	1.18775
GJA9	0.320276
RHBDL2	2.24914
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.248278
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.70887
OXCT2P1	0.507261
PPIEL	1.85896
SNORA55	1.53024
RP11-69E11.8	0.59331
RP1-144F13.3	0
NT5C1A	0.133053
HPCAL4	0.591298
RP1-144F13.4	0
RNU7-121P	0
BMP8B	2.35736
OXCT2	0.278815
RP1-118J21.25	0.296223
RP1-118J21.24	0
Y_RNA	0
MYCL	2.91474
RP1-118J21.5	0.0397877
Y_RNA	0
MFSD2A	1.39954
RP3-342P20.2	0.419141
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0.0347145
RP1-39G22.4	0
RP1-228H13.1	0.14394
RP1-228H13.2	0
ZFP69B	0.571283
RP1-228H13.5	0.645069
RP11-656D10.7	0.110536
ZFP69	1.807
RP11-656D10.3	0.746983
EXO5	2.49657
RP11-656D10.5	0
RP11-656D10.6	0.462453
ZNF684	2.18826
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	4.54931
RP4-739H11.3	0
NFYC-AS1	3.51495
MIR30E	0
MIR30C1	0
KCNQ4	3.47553
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.527928
SLFNL1	0.461266
RPL23AP17	0
RP11-399E6.1	0.0555855
RP11-399E6.2	0
FOXO6	1.6722
RP11-399E6.4	1.2279
RNA5SP45	0
EDN2	0.73255
HIVEP3	0.857441
RP11-486B10.3	0
RP11-486B10.4	0.468644
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	4.88818
GUCA2A	0.0735272
RP11-223A3.1	0.428045
RIMKLA	0.897866
RP11-157D18.2	0
ZMYND12	1.51983
CCDC30	0.573074
RP11-163G10.2	0
TMSB4XP1	0.838988
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.645863
CLDN19	0.162128
RP5-994D16.9	1.42828
TMEM269	0.0713927
RP11-342M1.3	0.342928
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0
RP5-848E13.5	0
SLC2A1-AS1	0.383918
RP5-848E13.4	0
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.108399
CFAP57	0.110339
RNA5SP46	0
MPL	0.146152
RP1-92O14.3	1.61435
CDC20	1.93426
RP1-92O14.6	1.86395
SZT2-AS1	0
HYI-AS1	0.303805
KDM4A-AS1	1.00956
ST3GAL3	4.40151
RP11-184I16.4	0
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.905658
RP11-7O11.3	1.0169
RP5-1198O20.4	0.155118
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0773041
RP11-570P14.1	0.177856
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0
ERI3-IT1	0.152122
RNU6-369P	0
MIR5584	0
C1orf228	0.895551
RNU5F-1	0
RNU5D-1	0
KIF2C	1.08656
RP11-269F19.2	0.10345
SNORD46	0.984303
SNORD38A	0
RPS15AP11	0.376514
BEST4	0.297316
TCTEX1D4	0.541742
BTBD19	2.7971
PTCH2	1.36132
RP5-882O7.1	0.560659
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0
MRPS17P1	0.00965177
ZSWIM5	2.66071
OSTCP5	0
LINC01144	1.16359
HPDL	1.66163
RP11-291L19.1	0
CCDC163	2.5942
MMACHC	2.76269
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	1.88977
RPS15AP10	0.923928
RP11-767N6.2	0.996122
IPP	3.70959
RP11-767N6.7	3.03868
RP11-630I5.1	0.051233
TMA16P2	0
RP4-533D7.4	0.0972342
RP4-533D7.3	0
RP4-533D7.5	0.170787
RP11-322N21.2	0
LURAP1	2.75053
RAD54L	0.47566
NSUN4	4.68207
RP4-603I14.3	0
FAAHP1	0.178461
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.560488
KNCN	0
NENFP1	0.10303
TEX38	0.117808
EFCAB14-AS1	0.294031
RP11-8J9.5	0
CYP4Z2P	0.0212397
RP11-346M5.1	0
CYP4A11	0.269572
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	0.471327
RP11-184J23.2	0
CYP4A22-AS1	0
CYP4A22	0.0901527
MTND1P34	0
LINC00853	0.121561
TAL1	2.24753
RP1-18D14.7	0.422509
STIL	0.811056
LINC01389	0.358713
FOXE3	0
FOXD2-AS1	0.711067
FOXD2	0.23519
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	1.44933
RP11-330M19.1	0.0476304
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.322523
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	1.59719
RP5-1024N4.4	1.4162
RP5-1024N4.5	0.0964784
SPATA6	4.19366
PPP1R8P1	0.0816763
RNU6-723P	0
RP11-329A14.1	0.0280333
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.0312293
BEND5	3.80502
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.116348
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.217002
HMGB1P45	0
FCF1P6	0
DMRTA2	0
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.213574
MRPS6P2	0
CDKN2C	3.8001
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0496214
LINC01562	0.046485
RP11-296A18.5	0.412032
RP11-296A18.6	0.144954
TTC39A	3.69005
TTC39A-AS1	0.389129
RP11-275F13.3	0.143289
RNU6-877P	0
RP11-253A20.1	0.0715804
RP11-191G24.1	0.471395
RNU6-1281P	0
CALR4P	0.0348801
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	1.83615
RP4-657D16.6	0.441081
MIR761	0
TSEN15P2	0
RAB3B	0.476929
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.490133
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	1.64409
PLA2G12AP1	0.301656
ORC1	0.609299
RP11-25O10.2	0
EEF1GP7	0
GPX7	3.83501
FAM159A	0.137972
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	1.72459
RNU6-969P	0
ZYG11A	0.0512897
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	1.14849
RP11-334A14.8	0.169388
RP5-1024G6.9	0
RP5-1024G6.2	0.30457
RP5-1024G6.7	0.0129759
RP5-1024G6.5	0.752512
LRP8	0.733478
RP4-784A16.1	0
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0
RP11-117D22.1	0
RP11-117D22.2	0.0437584
SLC25A3P1	0
DMRTB1	0
GLIS1	0.858752
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.126966
HNRNPA3P12	0.0962702
LDLRAD1	0.0546652
RP4-758J24.6	1.16499
TCEANC2	1.76846
MIR4781	0
RP4-758J24.4	0
CDCP2	0.0806809
RP11-446E24.3	0.0398352
CYB5RL	3.39424
SSBP3-AS1	2.11299
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	3.48893
FAM151A	0.459002
RP11-240D10.4	0.0506551
PARS2	3.48766
RP11-67L3.2	0.121974
LEXM	0.131138
RP11-67L3.5	0
RP11-67L3.4	0.290299
TMEM61	2.7033
BSND	0
PCSK9	0.327288
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.0151401
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0.108026
RP11-504A18.1	0.331391
LINC01767	0.37762
RPL21P23	0.0876953
RPL23AP85	0
RP11-377K22.2	0
PRKAA2	2.43499
C1orf168	0.349535
RP11-378I13.1	0
C8A	0.0365314
C8B	0.0201391
RP5-1103B4.3	0
DAB1	0.172731
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0282557
RPS26P15	0.111102
RP11-393I23.4	0
RP11-393I23.3	0
