Name	Brain - Cerebellum
LINC01635	0
CDC42-IT1	0.134465
RP1-224A6.8	0.154356
RP1-224A6.9	1.34661
WNT4	0.25678
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.42574
EPHA8	1.48919
MIR6127	0
C1QA	4.08134
C1QC	4.8636
EPHB2	1.12068
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.18968
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0794028
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0666178
RP5-1057J7.1	0
RP5-1057J7.7	0.142031
TCEA3	2.64191
RP4-654C18.1	0
ASAP3	4.59222
E2F2	0.0203845
RP1-150O5.3	0
MDS2	0.015042
RP11-223J15.2	0
ELOA-AS1	2.64661
CNR2	0.0102865
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.174523
RP11-293P20.4	0
IL22RA1	0.593147
RP11-10N16.2	2.96773
RP11-10N16.3	0.0364405
GRHL3	0.539672
RP4-594I10.3	0
NCMAP	0.0508155
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.368748
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	2.40661
RP3-465N24.5	2.79328
RHD	0.734541
SDHDP6	0.405146
RP11-335G20.7	0
RHCE	1.02031
RP3-469D22.1	0.0922707
RP1-187B23.1	0.40033
RP1-317E23.3	1.12513
AUNIP	2.01337
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	1.15853
RP1-125I3.4	0.455915
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	2.59119
SLC30A2	0.0461838
RP11-96L14.9	0
TRIM63	0.12093
FAM110D	1.15224
RP11-96L14.8	0.0291055
RP11-96L14.7	1.83786
ZNF593	0
CATSPER4	0.194401
RP11-231P20.2	1.14228
RP11-231P20.6	0
RP11-231P20.5	0.234946
CD52	0.438108
AIM1L	0.107945
RP11-569G9.7	0
ZNF683	0.0510047
LIN28A	0.0300779
RP3-476K8.4	0.463236
RP3-476K8.3	1.24819
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.400013
RN7SL165P	0
SFN	1.38027
NR0B2	0.252777
KDF1	2.78809
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
FAM46B	1.29674
RP11-40H20.5	0
CHCHD3P3	0
NPM1P39	0.198083
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	4.49629
RNU6-48P	0.688583
ACTG1P20	3.64941
FCN3	0.476665
CD164L2	0.447599
RP1-144C9.2	0
RP4-752I6.1	0
RP1-159A19.4	2.24657
FGR	3.31213
RP1-159A19.3	1.26252
RP11-288L9.1	0.241
RP11-288L9.4	0.224718
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.129453
RPEP3	0
RP3-426I6.5	0.270577
RP3-426I6.6	2.11629
RNU6-1245P	0
SCARNA1	0
THEMIS2	0.940334
SMPDL3B	4.34292
RP11-460I13.2	0
RP11-460I13.6	0.239536
RN7SL559P	0
SPCS2P4	1.05689
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	0.433884
RP5-1092A3.5	0.295395
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	0.669618
SNORA73B	0.943778
PRDX3P2	0.188345
RP4-669K10.8	0.215669
SNORD99	0
SNORA44	4.54744
SNORA16A	0
RAB42	0.436391
LINC01715	0.433423
RNU11	0
SCARNA24	0
OPRD1	0.0971788
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0.227729
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	1.73687
RP11-467D18.2	0.23921
LINC01756	0.0298138
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.226863
MATN1-AS1	0.485385
LAPTM5	3.26813
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.183226
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
RP11-266K22.2	0.19354
SERINC2	1.38861
RP11-439L8.2	0
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00468569
RP11-73M7.1	0
TINAGL1	4.74591
HCRTR1	0.165243
RP11-73M7.6	2.56106
RP11-73M7.9	0.140622
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.14
RP11-84A19.2	0.0147708
RP11-84A19.4	0.203482
RP4-534N18.2	0.0815985
RP11-277A4.4	0.141982
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	2.49265
DCDC2B	1.02194
FAM167B	2.09814
LCK	0.117695
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.242174
GAPDHP20	0.0526177
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.532863
ZBTB8A	4.05916
Y_RNA	0
SYNC	0.674392
RP11-114B7.6	0
KIAA1522	4.09496
RP5-1174N9.2	0.309277
RP4-803A2.1	0.0687185
RP4-803A2.2	0.133554
Metazoa_SRP	0
RP1-117O3.2	1.87861
RP11-131M11.2	4.002
RP11-131M11.3	1.60527
RP11-415J8.7	1.63358
A3GALT2	0.484797
RP11-415J8.3	4.18485
MIR3605	0.418627
RN7SKP16	2.40653
RP11-415J8.5	0.147933
TLR12P	0
ZSCAN20	1.56552
RP4-580O19.2	0.419993
CSMD2	3.30493
HSPD1P14	0
HMGB4	0.0319514
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.271775
RP4-657M3.2	0
MIR552	0
GJB5	1.28701
GJB4	0.0643819
GJB3	2.87843
RP1-34M23.5	0
GJA4	3.88204
RP5-997D16.2	3.89612
RPL12P45	0
ZMYM1	3.72129
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	2.31579
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
CLSPN	0.034616
RP11-435D7.3	0
RP4-789D17.4	0
RP4-665N4.8	0.150359
RP4-665N4.4	0.0456686
TEKT2	1.19517
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
SNORA63	0.354071
CSF3R	1.89673
FTLP18	0
RP4-614N24.1	0
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	1.76861
ZC3H12A	3.46409
MIR6732	0
MIR5581	0
FTH1P1	0.257645
RP3-423B22.5	0.150899
RSPO1	0.450546
CDCA8	1.0818
EPHA10	1.42177
Y_RNA	0
ACTN4P2	0.0638528
RP11-109P14.2	0.274164
RP11-109P14.8	0
SNORA63	0.682278
RNU6-584P	0.479368
Metazoa_SRP	0
RNU6-510P	0.205086
FHL3	3.62701
POU3F1	0.863166
RP5-884C9.2	0.423261
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0274049
RP5-864K19.4	1.94648
GJA9	0.640646
RHBDL2	1.50494
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	1.64446
RP11-420K8.1	0
HSPE1P8	0.205241
BMP8A	1.53041
OXCT2P1	0.501709
SNORA55	0.751752
RP11-69E11.8	0.379903
HEYL	3.35874
RP1-144F13.3	0
RP1-144F13.4	0.172034
RNU7-121P	0
BMP8B	3.0781
OXCT2	1.38657
RP1-118J21.25	0.0606078
RP1-118J21.24	0
Y_RNA	0
MYCL	1.02974
RP1-118J21.5	0
Y_RNA	0
RP3-342P20.2	1.98497
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0.165756
RP1-39G22.4	0
RP1-228H13.1	0.193141
RP1-228H13.2	0
ZFP69B	2.49378
RP1-228H13.5	3.439
RP11-656D10.7	1.11837
ZFP69	3.36993
RP11-656D10.3	1.15323
RP11-656D10.5	0
RP11-656D10.6	2.95225
ZNF684	2.77235
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
MIR30E	0
MIR30C1	0
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.657935
SLFNL1	1.42085
RPL23AP17	0
RP11-399E6.1	0.372936
RP11-399E6.2	0
FOXO6	1.01373
RP11-399E6.4	0
RNA5SP45	0
EDN2	0.0639523
RP11-486B10.3	0
RP11-486B10.4	0.412149
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.647829
RP11-157D18.2	0.225236
ZMYND12	1.88218
CCDC30	1.88199
RP11-163G10.2	0
TMSB4XP1	0.390129
RNU6-536P	0
RP11-163G10.4	0.076057
CLDN19	0.0336486
RP5-994D16.9	2.74147
TMEM269	0.832932
ERMAP	1.90839
RP11-342M1.3	0.12924
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.142668
RP5-848E13.5	0.207
SLC2A1-AS1	1.39139
RP5-848E13.4	0.151523
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.0581494
CFAP57	0.0637066
RNA5SP46	0
TMEM125	2.83842
C1orf210	0.0582576
TIE1	4.59225
MPL	0.132256
RP1-92O14.3	0.3876
CDC20	0.628931
RP1-92O14.6	4.29581
SZT2-AS1	0
HYI-AS1	2.96594
KDM4A-AS1	1.94025
RP11-184I16.4	0.161582
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0.0394449
ARTN	4.71176
RP11-7O11.3	2.67662
RP5-1198O20.4	0.184138
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0132041
RP11-570P14.1	0.234369
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.115572
ERI3-IT1	0.43235
RNU6-369P	0
MIR5584	0
TMEM53	3.02357
C1orf228	4.43048
RNU5F-1	0.308939
RNU5D-1	0
KIF2C	0.925989
RP11-269F19.2	0.25383
SNORD46	1.8412
SNORD38A	0
RPS15AP11	0.991668
PLK3	4.73717
TCTEX1D4	0.0803995
BTBD19	0.818874
RP5-882O7.1	4.03104
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.202036
MRPS17P1	0.151328
OSTCP5	0
LINC01144	3.06334
RP11-291L19.1	0
MMACHC	3.18247
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	2.11156
RPS15AP10	0.957754
RP11-767N6.2	1.43146
IPP	3.55395
RP11-767N6.7	3.64617
RP11-630I5.1	0.0387296
TMA16P2	0
RP4-533D7.4	1.33322
RP4-533D7.3	0
RP4-533D7.5	0.155361
RP11-322N21.2	0.125597
RAD54L	2.95038
RP4-603I14.3	0.163787
FAAHP1	3.95299
LINC01398	0.262794
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	1.12979
KNCN	0
NENFP1	0.0964582
TEX38	0.122379
EFCAB14-AS1	0.185579
RP11-8J9.5	0
CYP4B1	0.261794
CYP4Z2P	0
RP11-346M5.1	0
CYP4A11	0.229884
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	0.699677
RP11-184J23.2	0
CYP4A22-AS1	0.0690034
CYP4A22	0.128128
MTND1P34	0
LINC00853	0.169592
PDZK1IP1	0.107005
TAL1	1.17911
RP1-18D14.7	0.308596
STIL	1.09052
LINC01389	1.27421
FOXE3	0.580912
FOXD2-AS1	0.237832
FOXD2	0.0829304
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	2.39017
RP11-330M19.1	0
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.103841
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.542798
RP5-1024N4.4	0.484742
RP5-1024N4.5	0.0881515
SPATA6	2.31771
PPP1R8P1	0.278168
RNU6-723P	0
RP11-329A14.1	0.0961073
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.240804
BEND5	4.41784
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.0768806
HMGB1P45	0
FCF1P6	0
DMRTA2	0.315537
RP5-850O15.3	0.097114
RNU6-1026P	0
PHBP12	0.416466
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.212286
LINC01562	0.43231
RP11-296A18.5	0.203671
RP11-296A18.6	0.233302
TTC39A	0.460727
TTC39A-AS1	0
RP11-275F13.3	0.195978
RNU6-877P	0
RP11-253A20.1	0.0498567
RP11-191G24.1	0.229167
RNU6-1281P	0
CALR4P	0.0480568
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	4.97924
RP4-657D16.6	1.42314
MIR761	0
TSEN15P2	0
RAB3B	2.44648
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.172021
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.550467
RP4-800M22.2	0.129707
PDCL3P6	0.164627
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.0495267
PLA2G12AP1	0.648629
ORC1	1.22964
RP11-25O10.2	0.0849612
EEF1GP7	0
GPX7	4.05156
FAM159A	0.492948
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	1.0969
RNU6-969P	0
ZYG11A	0.426165
RP4-631H13.2	0.132494
RP4-631H13.6	4.58871
RP4-631H13.4	0.126567
MIR1273F	0.386108
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
PODN	2.14467
SLC1A7	0.784061
RP11-334A14.8	0.135722
RP5-1024G6.9	0
RP5-1024G6.2	1.51989
RP5-1024G6.7	0.126102
RP5-1024G6.5	0.755432
RP4-784A16.1	0.89443
RP4-784A16.2	0.0881043
RP4-784A16.3	0.139187
RP4-784A16.4	0.0696349
LINC01771	0.140103
RP11-117D22.1	0
RP11-117D22.2	0
SLC25A3P1	0
DMRTB1	0
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.161872
HNRNPA3P12	0.212154
LDLRAD1	0
RP4-758J24.6	2.90429
TCEANC2	1.77163
MIR4781	0
RP4-758J24.4	0
CDCP2	0.114125
RP11-446E24.3	0.0615241
CYB5RL	3.18937
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	2.05475
FAM151A	0.295609
RP11-240D10.4	0.14221
PARS2	3.49779
TTC22	0.071725
RP11-67L3.2	0
LEXM	0.0656945
RP11-67L3.5	0
RP11-67L3.4	0.290925
BSND	1.16967
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.0255809
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0
RP11-504A18.1	0.0979395
LINC01767	0
RPL21P23	0
RPL23AP85	0
RP11-377K22.2	0
C1orf168	0.646123
RP11-378I13.1	0
C8A	0
C8B	0.0268692
RP5-1103B4.3	0
RP6-102O10.1	0.675144
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0574395
RPS26P15	0
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0.0779768
OMA1	4.64777
RP4-592A1.4	0
RN7SL713P	0
TACSTD2	0.41359
RP4-592A1.2	0.277513
RP11-63G10.4	0
LINC01135	1.61902
RP11-63G10.3	1.09731
RP11-63G10.2	0
RP4-794H19.1	0.911276
LINC01358	0.130486
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0
RP11-467C18.1	3.05145
FGGY	3.58236
MIR4711	0
RP4-782L23.2	0.579213
RN7SL475P	0
C1orf87	0
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.506746
RP11-436K8.1	0.8922
NFIA-AS2	0.343425
RP4-802A10.1	0.429521
NFIA-AS1	0.107786
RP11-430G17.1	0
RNU6-414P	0
RNU6-1177P	0
LAMTOR5P1	0.184059
RN7SL180P	0.51942
MIR3116-1	0
PIGPP2	0
RPS15AP7	0
L1TD1	0.153109
RP5-1155K23.4	0
KANK4	0.182202
RNU6-371P	0
RP11-293K19.1	0
ANGPTL3	0.114773
RP5-849H19.3	0.106576
RP5-849H19.2	0.0701209
RP11-230B22.1	0.478895
RP4-771M4.3	0
RP4-771M4.2	0
LINC01739	0
RP11-5P4.2	0
RP11-5P4.3	0
RP11-335E6.2	0
LINC00466	0
RNA5SP49	0
RP11-335E6.3	0
RPSAP65	0
FOXD3-AS1	0
FOXD3	0
MIR6068	0
Y_RNA	0
RP4-792G4.3	0
ITGB3BP	3.54119
RN7SL488P	0
RNU7-123P	0
DLEU2L	2.91896
RN7SL130P	1.347
ROR1	1.699
