Name	Brain - Putamen (basal ganglia)
RP11-345P4.6	0.350215
MMP23A	0.0554073
RP1-283E3.4	2.03861
SLC35E2	1.29742
RP1-140A9.1	1.44543
CALML6	1.1048
TMEM52	0.759687
CFAP74	1.13511
RP11-547D24.1	0.348688
RP11-547D24.3	0
RP5-892K4.1	0.0658918
PRKCZ-AS1	3.50739
FAAP20	4.1932
RP11-181G12.4	0.0817237
MORN1	1.04315
RP4-713A8.1	0.44696
RP4-740C4.5	1.30277
RP3-395M20.2	0.41597
RP3-395M20.3	0.371433
HES5	3.28065
RP3-395M20.8	0.29824
RP3-395M20.7	0.0312975
RP3-395M20.9	0.211187
MMEL1	0.131317
RP13-436F16.1	0
TTC34	0.364873
ABC14-1188822O7.1	0.0121355
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
PRDM16	3.18685
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0.0238188
RP11-22L13.1	0.251067
ARHGEF16	0.707925
RP11-168F9.2	0
MEGF6	1.37132
MIR551A	0
RP11-46F15.2	3.07892
TP73	0.247488
RP5-1092A11.5	0
RP5-1092A11.2	0
CCDC27	0.0202898
SMIM1	0.610752
RN7SL574P	0.101764
RP1-286D6.5	1.14349
DFFB	3.8922
LINC01134	0.0620953
LINC01346	0.0204609
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	3.77922
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.274035
MIR4417	0
MIR4689	0
NPHP4	4.17297
RP1-120G22.11	0.19595
RNF207	2.84915
LINC00337	0.139711
HES3	0
GPR153	2.92595
HES2	0.00439068
ESPN	0.154641
MIR4252	0
RP1-202O8.2	0
PLEKHG5	4.46079
NOL9	3.37247
RNU6-731P	0
RP11-58A11.2	0.076656
TAS1R1	0.114586
LINC01672	0
RP11-312B8.1	0.319978
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.133442
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	1.35095
RP11-338N10.2	1.05481
RP11-338N10.3	1.76526
RP3-467L1.6	2.01293
RP3-467L1.4	0.780784
UTS2	0
TNFRSF9	0.00766938
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.113178
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	0.221855
SNORA77	0.254555
RP5-1115A15.2	0.0510856
RPL7P11	0
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.0481845
ENO1-AS1	0.299269
RNU6-304P	0
HMGN2P17	0
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	2.59946
SCARNA16	0
GPR157	0.381302
MIR34AHG	1.40677
LINC01759	0.275192
RP3-510D11.4	0.10084
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.244522
TMEM201	4.5011
PIK3CD	2.79804
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	0.0991923
MZT1P1	0
RP11-84A14.7	0.0248475
RP11-84A14.4	0.210234
NMNAT1	2.43937
RN7SKP269	0.0787976
RP11-84A14.6	0.14257
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0.205422
RP4-736L20.3	0
RN7SL614P	0
CASZ1	0.262614
RP4-734G22.3	0.0679606
HSPE1P24	0
C1orf127	0.274457
CFL1P6	0.0425701
MASP2	0.895447
RP4-635E18.7	1.79629
RP4-635E18.6	1.40722
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.139763
RNU6-291P	0
RPL39P6	0
UBIAD1	3.59175
UBE2V2P3	0
MTCYBP45	0
DISP3	4.10892
LINC01647	0
DRAXIN	0.416411
C1orf167	0.00648647
RP11-56N19.5	0
MTHFR	4.04465
NPPA-AS1	0.558411
NPPA	0.899414
NPPB	2.32384
RP5-934G17.6	0.0190644
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0
MIR6729	0
RN7SL649P	0
TNFRSF8	1.67493
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.323921
RP5-888M10.2	0.0521582
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.38686
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0396515
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.341269
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.463092
TMEM51	4.417
C1orf195	0
RP1-21O18.3	0.0404959
RP5-903E17.2	0
FHAD1	0.0824359
RP3-467K16.2	0.0230313
RP3-467K16.7	0
RP3-467K16.4	0.0291225
CTRC	0.0504449
CELA2A	0.0965892
CELA2B	0.0616817
DNAJC16	3.23866
SCARNA21	0
RP4-680D5.8	0.151394
AGMAT	0.396007
RP4-680D5.2	0.0799266
CHCHD2P6	0.969032
RNU7-179P	0
CD24P1	0
DDI2	2.7847
RP4-680D5.9	0
RP11-288I21.1	0.174215
SLC25A34	2.1453
TMEM82	0
RP11-169K16.4	0
FBLIM1	0.859778
RPL12P14	0.0453794
UQCRHL	3.73892
RP11-169K16.8	0.387995
FLJ37453	3.15825
RP1-134O19.3	0
RP11-5P18.1	0.0328607
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	2.5735
HSPB7	1.34696
CLCNKA	0.112007
RP11-5P18.10	1.24227
CLCNKB	0.0513087
EPHA2	2.26672
RP11-276H7.2	0.0695395
RP11-276H7.3	0
ARHGEF19	0.901749
ANO7L1	0.373883
RSG1	4.29886
MT1XP1	0.765355
FBXO42	3.87082
RP11-430L17.1	0.0600181
SPATA21	0.0403278
LINC01772	1.91092
CROCCP3	3.02456
RNU1-1	0
RP4-798A10.7	0.400662
RP4-798A10.4	0.108835
LINC01783	0.0889396
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.03016
RP5-1182A14.5	0.042772
MST1P2	1.5615
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.0283187
EIF1AXP1	0.208366
ESPNP	0.088972
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.392143
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.190104
RP11-108M9.4	3.00584
RP11-108M9.5	1.3782
RNU1-2	0
RP11-108M9.6	0.218673
MFAP2	0.111404
RP1-37C10.3	0
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.161768
PADI3	0
MIR3972	0
PADI4	0.100769
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
RP11-174G17.3	0.0350743
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0169177
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.114613
TAS1R2	0
MIR4695	0
MIR1290	0
IFFO2	4.60908
RP5-1126H10.2	0.487842
RP1-43E13.2	0.824294
AKR7L	1.18192
AKR7A3	3.30159
RP4-657E11.10	2.10628
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
RP5-1056L3.3	1.57823
HTR6	2.06032
TMCO4	2.68403
RNF186	0
RP11-91K11.2	0
OTUD3	4.40586
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.223297
PLA2G2D	0
PLA2G2F	0
RP3-340N1.2	0.0245622
PLA2G2C	0.0165466
UBXN10-AS1	1.36153
UBXN10	0.785067
LINC01757	0
VWA5B1	0.0116659
RP4-745E8.2	0
LINC01141	0.332576
RP4-749H3.2	0
RPS4XP4	0
CDA	2.31825
PINK1-AS	1.09469
KIF17	3.6483
RP5-930J4.5	0
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.101671
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0
RP5-1071N3.1	0.0581597
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.302459
HS6ST1P1	0.361428
CROCCP5	0
NBPF3	0.760845
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	0.0976345
HSPG2	1.14944
RP11-26H16.1	0
RP11-26H16.4	0
CELA3B	0.0284147
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.0444309
RN7SL186P	0
RNU6-776P	0
LINC01635	0.0290064
LINC00339	4.78641
CDC42-IT1	0
RP1-224A6.8	0
RP1-224A6.9	0.377161
WNT4	0.386684
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40	3.8704
ZBTB40-IT1	0
EPHA8	0.44032
MIR6127	0
EPHB2	1.18625
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.221142
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0454727
RNU6-514P	0
RNU6-135P	0
HTR1D	3.6457
RP5-1057J7.1	0
LINC01355	2.20577
RP5-1057J7.7	0.111423
TCEA3	2.18269
RP4-654C18.1	0
E2F2	0.0183159
RP1-150O5.3	0.0964041
MDS2	0.0907313
RP11-223J15.2	0
ELOA-AS1	1.6571
CNR2	0.00623942
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0207507
RP11-293P20.4	0
IL22RA1	0.0406511
IFNLR1	0.485326
RP11-10N16.2	0
RP11-10N16.3	0.0211267
GRHL3	0.1806
STPG1	2.10928
RCAN3	2.14115
RP4-594I10.3	0
NCMAP	0.107046
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.646343
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.984106
RP3-465N24.5	0.18451
RHD	0.170563
SDHDP6	0.305276
RP11-335G20.7	0
RHCE	1.15572
RP3-469D22.1	0.0695404
RP11-70P17.1	0.338741
MAN1C1	1.93995
RP1-187B23.1	0.0197544
RP1-317E23.3	0.324186
AUNIP	0.36555
RP1-125I3.2	0
PAQR7	4.66448
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
PAFAH2	3.41768
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	4.76702
SLC30A2	0.0209486
RP11-96L14.9	0
TRIM63	0.198852
PDIK1L	2.4808
FAM110D	1.33334
RP11-96L14.8	0
RP11-96L14.7	0.231673
ZNF593	0
CNKSR1	2.25172
CATSPER4	0
RP11-231P20.2	0.75347
RP11-231P20.6	0
CEP85	4.17004
RP11-231P20.5	0
CD52	2.9052
AIM1L	0.0197642
RP11-569G9.7	0
ZNF683	0.0399166
LIN28A	0
RP3-476K8.4	0.0448694
RP3-476K8.3	0.174678
DPPA2P2	0
RPS6KA1	4.93892
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.219221
PIGV	4.66926
RN7SL165P	0
SFN	2.63162
NR0B2	0.0624463
KDF1	0.0534183
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
FAM46B	0.315814
RP11-40H20.5	0
CHCHD3P3	0
NPM1P39	0.0612646
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.911641
RNU6-48P	0
ACTG1P20	0.291688
SYTL1	0.406482
MAP3K6	4.10147
FCN3	0.457537
CD164L2	0.0365543
RP1-144C9.2	0.0572632
GPR3	1.31678
RP4-752I6.1	0
RP1-159A19.4	0.252593
FGR	3.86499
RP1-159A19.3	1.08793
RP11-288L9.1	0.171238
RP11-288L9.4	0.085553
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
FAM76A	4.31615
RP3-426I6.2	0
RPEP3	0
RP3-426I6.5	0.131942
RP3-426I6.6	0.682612
RNU6-1245P	0
SCARNA1	0
THEMIS2	1.77319
SMPDL3B	0.199197
RP11-460I13.2	0
EYA3	4.21325
RP11-460I13.6	0.061513
RN7SL559P	0
SPCS2P4	0.726618
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	0.91545
RP5-1092A3.4	1.04626
RP5-1092A3.5	0
SESN2	4.54221
MED18	3.84563
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
RCC1	2.30282
SNORA73A	0.475407
SNORA73B	0.634749
PRDX3P2	0
RP4-669K10.8	0.175666
TRNAU1AP	3.92404
SNHG12	4.4325
SNORD99	0
SNORA61	4.41816
SNORA44	1.14521
SNORA16A	0
RAB42	0.180482
LINC01715	0.733087
RNU11	0
GMEB1	1.59819
SCARNA24	0
OPRD1	1.32057
RP1-212P9.3	0.130812
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	3.21452
RP11-242O24.3	0.100062
uc_338	0
RP11-467D18.2	0.0324807
PTPRU	2.52287
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.163727
MATN1-AS1	0.632105
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.138107
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
RP11-490K7.4	0.448788
RP11-266K22.2	0.121663
SERINC2	0.412897
RP11-439L8.2	0
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00315764
RP11-73M7.1	0
HCRTR1	0.0628587
RP11-73M7.6	2.40141
RP11-73M7.9	0.137773
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.372145
RP11-84A19.2	0.0255015
RP11-84A19.4	0.107477
RP4-534N18.2	0.0551506
RP11-277A4.4	0.0572788
MIR5585	0
Metazoa_SRP	0
CCDC28B	4.73021
RP4-622L5.7	0.776877
IQCC	2.81702
DCDC2B	0.174159
TMEM234	4.43696
MTMR9LP	4.79132
FAM167B	1.06899
LCK	0.157715
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.11419
TSSK3	1.78882
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.194976
ZBTB8A	1.00271
Y_RNA	0
SYNC	1.05937
RP11-114B7.6	0
RP5-1174N9.2	0.153459
RP4-803A2.1	0
RP4-803A2.2	0.0359943
Metazoa_SRP	0
RP1-117O3.2	0.0494379
RP11-131M11.2	0.5465
TRIM62	4.83117
RP11-131M11.3	0.333228
RP11-415J8.7	0.153078
A3GALT2	0.0369089
RP11-415J8.3	0.652958
MIR3605	0
RN7SKP16	0.248807
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.490086
RP4-580O19.2	0.0905344
CSMD2	1.30303
HSPD1P14	0
HMGB4	0.00788551
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.288645
RP4-657M3.2	0
MIR552	0
GJB5	0.68228
GJB4	0.0281095
GJB3	0.0940505
RP1-34M23.5	0
RP5-997D16.2	1.16822
RP11-244H3.1	1.4654
ZMYM6	3.62207
RPL12P45	0
ZMYM1	1.0351
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	0.918571
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.480498
CLSPN	0.050066
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	1.88329
RP4-665N4.8	0.0286651
RP4-665N4.4	0.0759601
TEKT2	0.885806
COL8A2	0.492046
RN7SL131P	0
UBE2V2P4	0
SH3D21	1.31123
RNU4-27P	0
SNORA63	0.634542
CSF3R	2.83334
FTLP18	0
RP4-614N24.1	0
GRIK3	2.80233
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0.146936
RNA5SP43	0
RPS29P6	0.15693
LINC01137	1.49708
ZC3H12A	0.810452
MIR6732	0
MIR5581	0
SNIP1	3.06057
FTH1P1	0.0493286
RP3-423B22.5	0.160446
DNALI1	4.69212
GNL2	4.92051
RSPO1	0.0178715
C1orf109	3.20818
CDCA8	0.735485
EPHA10	2.87246
Y_RNA	0
ACTN4P2	0.025356
RP11-109P14.2	0.0750209
MTF1	2.98234
RP11-109P14.8	0
INPP5B	2.61362
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.261219
FHL3	4.31919
POU3F1	2.48651
RP5-884C9.2	2.44464
RP5-884C9.3	0
MIR3659	0
LINC01343	0.0220489
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0237757
RP5-864K19.4	3.19359
MYCBP	2.45418
GJA9	0.353601
RHBDL2	3.36033
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.366866
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.676517
OXCT2P1	0.150496
RP11-69E11.4	4.57383
PPIEL	1.09993
SNORA55	0
RP11-69E11.8	0
RP1-144F13.3	0
NT5C1A	0.453378
RP1-144F13.4	0.0559671
RNU7-121P	0
BMP8B	1.75889
OXCT2	0.219169
RP1-118J21.25	0.183928
RP1-118J21.24	0
Y_RNA	0
MYCL	0.717601
RP1-118J21.5	0
Y_RNA	0
RP3-342P20.2	0.866476
RP11-115D7.3	0.0644236
RLF	4.67886
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0
RP1-228H13.1	0.0751958
RP1-228H13.2	0
ZFP69B	1.06941
RP1-228H13.5	2.61199
RP11-656D10.7	0.904647
ZFP69	2.2985
RP11-656D10.3	0.664837
EXO5	1.47945
RP11-656D10.5	0
RP11-656D10.6	0.498886
ZNF684	1.66479
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
NFYC-AS1	1.84384
MIR30E	0
MIR30C1	0
KCNQ4	2.32434
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
CTPS1	3.39421
SLFNL1-AS1	0.122307
SLFNL1	0.168469
RPL23AP17	0
RP11-399E6.1	0.0511531
RP11-399E6.2	0
FOXO6	3.47582
RP11-399E6.4	0.161212
RNA5SP45	0
EDN2	0.029224
HIVEP3	0.932669
RP11-486B10.3	0
RP11-486B10.4	0.058591
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.408912
RIMKLA	3.73489
RP11-157D18.2	0
ZMYND12	3.24183
CCDC30	1.04213
RP11-163G10.2	0
TMSB4XP1	0.496926
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	1.86781
CLDN19	0.00648894
RP5-994D16.9	1.51695
TMEM269	0.150164
ERMAP	3.09833
RP11-342M1.3	0.183418
ZNF691	4.79448
RP11-342M1.7	0.0111588
RP11-342M1.6	0
ATP6V1E1P1	0.0776523
RP5-848E13.5	0.109114
SLC2A1-AS1	1.69572
RP5-848E13.4	0.128084
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.160658
CFAP57	0.728874
RNA5SP46	0
C1orf210	0.0620158
MPL	0.160335
RP1-92O14.3	0.465039
CDC20	0.426121
RP1-92O14.6	0.976248
SZT2	3.57843
SZT2-AS1	0
HYI-AS1	0.409128
KDM4A-AS1	0.516109
RP11-184I16.4	0
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.473015
RP11-7O11.3	0.937966
CCDC24	4.39864
RP5-1198O20.4	0.409471
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0771753
RP11-570P14.1	0.112936
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0552265
ERI3-IT1	0.174448
RNU6-369P	0
MIR5584	0
TMEM53	4.23767
C1orf228	3.90792
RNU5F-1	0.219729
RNU5D-1	0
KIF2C	0.227967
RP11-269F19.2	0.0641633
SNORD46	0.213889
SNORD38A	0
RPS15AP11	0.177454
BEST4	1.33062
PLK3	3.18793
TCTEX1D4	0.0577068
BTBD19	0.678267
PTCH2	3.17748
RP5-882O7.1	0.698612
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.0777774
MRPS17P1	0.0316985
ZSWIM5	2.68925
OSTCP5	0
LINC01144	1.00261
HPDL	1.51515
TOE1	4.25442
TESK2	3.86996
RP11-291L19.1	0
CCDC163	3.56598
MMACHC	2.64427
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	0.537383
RPS15AP10	0.145943
RP11-767N6.2	0.145095
IPP	2.45659
RP11-767N6.7	2.95011
RP11-630I5.1	0
TMA16P2	0
RP4-533D7.4	0.0557301
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	0.255184
RP11-322N21.2	0
LURAP1	2.42114
RAD54L	1.4473
NSUN4	2.16512
RP4-603I14.3	0
FAAHP1	0.857564
LINC01398	0.0268723
DMBX1	0
RP11-49P4.7	0.065536
MKNK1-AS1	0.349322
KNCN	0.300985
MOB3C	4.28589
NENFP1	0
TEX38	0.0714914
EFCAB14-AS1	0
RP11-8J9.5	0
CYP4B1	0.252601
CYP4Z2P	0.0176312
RP11-346M5.1	0
CYP4A11	0.170345
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	4.62376
CYP4Z1	0.306965
RP11-184J23.2	0
CYP4A22-AS1	0.12536
CYP4A22	0.0848446
MTND1P34	0
LINC00853	1.07399
PDZK1IP1	0.587384
TAL1	1.34472
RP1-18D14.7	0.293231
STIL	0.504511
LINC01389	0.206615
FOXE3	0.554997
FOXD2-AS1	0.304883
FOXD2	0.0762844
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0.129893
TRABD2B	0.0894642
RP11-330M19.1	0
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.147181
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.125508
RP5-1024N4.4	0.579059
RP5-1024N4.5	0.155283
SPATA6	3.38736
PPP1R8P1	0.482383
RNU6-723P	0
RP11-329A14.1	0.0410716
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.448508
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.712254
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.100625
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0584779
RP5-850O15.3	0.0389258
RNU6-1026P	0
PHBP12	0.0322827
MRPS6P2	0
CDKN2C	4.35457
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0675933
LINC01562	0.0838071
RP11-296A18.5	0.0901703
RP11-296A18.6	0.062984
TTC39A	0.724336
TTC39A-AS1	0.0578683
RP11-275F13.3	0.0377973
RNU6-877P	0
RP11-253A20.1	0.0534091
RP11-191G24.1	0.0667843
RNU6-1281P	0
CALR4P	0.230969
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	0.387795
RP4-657D16.6	0.101393
MIR761	0
TSEN15P2	0
RAB3B	1.10014
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
KTI12	4.35076
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.0985096
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	0.728884
PLA2G12AP1	0.24118
ORC1	0.111213
ZCCHC11	3.66807
RP11-25O10.2	0
EEF1GP7	0
GPX7	2.50301
FAM159A	0.140496
COA7	4.51054
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	0.515663
RNU6-969P	0
ZYG11A	0.0226071
RP4-631H13.2	0
RP4-631H13.6	0.506394
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
PODN	2.36136
SLC1A7	0.415151
RP11-334A14.8	0.0160612
RP5-1024G6.9	0
CPT2	4.44005
RP5-1024G6.2	0.206424
RP5-1024G6.7	0.0177563
RP5-1024G6.5	0.794316
