Name	Whole Blood
PRKCZ-AS1	4.25904
RP11-181G12.4	0
MORN1	0.200105
RP4-713A8.1	0
RP4-740C4.5	0.349875
RP4-740C4.7	0.204029
PEX10	2.0224
PLCH2	2.98193
RP3-395M20.2	0.166525
RP3-395M20.3	0.168425
HES5	0
RP3-395M20.8	2.82539
RP3-395M20.7	0.340355
RP3-395M20.9	1.16904
MMEL1	0.127913
RP13-436F16.1	0
TTC34	0.163176
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	0
LINC00982	0.0302992
PRDM16	0.0183187
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0
ARHGEF16	0.0412619
RP11-168F9.2	0
MIR551A	0
RP11-46F15.2	1.61769
TP73	0.11905
RP5-1092A11.5	0.0455004
RP5-1092A11.2	0
TP73-AS1	2.11262
CCDC27	0
RN7SL574P	0.18217
RP1-286D6.5	1.16899
CEP104	2.65219
DFFB	2.07027
LINC01134	0.175806
LINC01346	0
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
AJAP1	0.00814801
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
MIR4417	0
MIR4689	0
NPHP4	1.77939
CHD5	0.042965
RP1-120G22.11	0
RNF207	0.249339
ICMT	4.29475
LINC00337	0.0112358
HES3	0
GPR153	0.865711
ACOT7	2.95443
HES2	0.00627104
ESPN	1.12221
MIR4252	0
RP1-202O8.2	0
PLEKHG5	0.309659
NOL9	1.74914
RNU6-731P	0
RP11-58A11.2	0
TAS1R1	0.0240813
DNAJC11	3.20238
LINC01672	0
RP11-312B8.1	0
CAMTA1	1.16292
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	0
RP11-338N10.2	0
RP11-338N10.3	0
RP3-467L1.6	1.83701
PER3	0.340559
RP3-467L1.4	0.0835123
UTS2	0.294265
TNFRSF9	1.44103
RP5-892F13.2	0.151701
Y_RNA	0
ERRFI1	0.805055
RP11-431K24.1	0
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	0.19549
Y_RNA	0
RP5-1115A15.1	2.91403
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.800547
ENO1-AS1	0.197372
RNU6-304P	0
HMGN2P17	0.115602
RP3-477M7.5	0.59795
RP3-477M7.6	0
CA6	0.0841131
RN7SL451P	0
SLC2A7	0
SLC2A5	1.45346
SCARNA16	0
GPR157	0.621892
MIR34AHG	0.0668162
LINC01759	0.0222458
RP3-510D11.4	0
SPSB1	0.856933
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	0.993388
RP13-15M17.1	0.0753053
TMEM201	0.653702
PIK3CD-AS1	2.60299
RP11-558F24.2	0.0601582
PIK3CD-AS2	0.282854
MZT1P1	0
RP11-84A14.7	0
RP11-84A14.4	0.228969
NMNAT1	2.32129
RN7SKP269	0.410549
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CENPS	0.716207
CORT	0.390885
DFFA	2.64827
RN7SL614P	0
CASZ1	1.29182
RP4-734G22.3	0.574583
HSPE1P24	0
C1orf127	0.120571
CFL1P6	0
MASP2	0.369035
RP4-635E18.8	4.92841
RP4-635E18.7	1.02891
RP4-635E18.6	0.120295
MTOR	3.03492
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.058046
RNU6-291P	0
RPL39P6	0
UBIAD1	2.77318
UBE2V2P3	0
MTCYBP45	0
DISP3	0.0460224
LINC01647	0
FBXO2	1.9786
DRAXIN	0.409136
C1orf167	0.0180511
RP11-56N19.5	0
CLCN6	3.17555
NPPA-AS1	1.71458
NPPA	1.68926
NPPB	0.0959771
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.258957
MIR6729	0
RN7SL649P	0
TNFRSF8	4.84202
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
VPS13D	2.74527
SNORA59A	0.485403
RP5-888M10.2	0
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.116834
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0664019
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0
RP4-597A16.2	0
BRWD1P1	0
PDPN	0.0370976
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
KAZN	1.30208
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.0137139
TMEM51	0.674957
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.0510614
RP3-467K16.2	0.0180228
RP3-467K16.7	0
RP3-467K16.4	0.450813
CTRC	0.685797
CELA2A	0.071829
CELA2B	0.0751667
DNAJC16	1.42343
SCARNA21	0
RP4-680D5.8	0
AGMAT	0.743123
RP4-680D5.2	0.0170307
CHCHD2P6	0.668383
RNU7-179P	0
CD24P1	0
DDI2	1.92649
RP4-680D5.9	0
RP11-288I21.1	0.491111
SLC25A34	0.575721
TMEM82	0
RP11-169K16.4	0
FBLIM1	0.123284
RPL12P14	0.208804
UQCRHL	1.82283
RP11-169K16.8	0.75752
FLJ37453	2.2119
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0
HSPB7	0.535466
CLCNKA	0.0148278
RP11-5P18.10	0
CLCNKB	0
FAM131C	0
EPHA2	0.0967222
RP11-276H7.2	0
RP11-276H7.3	0
ARHGEF19	1.73857
ANO7L1	0.366945
RSG1	0.850722
MT1XP1	1.36354
RP11-430L17.1	0.085749
SPATA21	0.00937482
LINC01772	0.654547
CROCCP3	0.827249
RNU1-1	0
RP4-798A10.7	0
RP4-798A10.4	0
LINC01783	0
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	0.297237
RP5-1182A14.5	0
MST1P2	0.432261
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0
EIF1AXP1	0.100851
ESPNP	0.010954
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.0953508
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.0191582
RP11-108M9.4	2.62509
RP11-108M9.5	0.854277
RNU1-2	0
RP11-108M9.6	0.161641
CROCC	3.13756
MFAP2	0.0270125
RP1-37C10.3	0
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0111653
PADI3	0
MIR3972	0
PADI6	0.170105
ARHGEF10L	1.8431
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	0.0678625
RP11-174G17.3	0
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
ALDH4A1	3.40818
MIR4695	0
MIR1290	0
IFFO2	2.03739
RP5-1126H10.2	0.58244
RP1-43E13.2	0.442582
EMC1	1.71273
MRTO4	4.29
AKR7L	0.0821003
AKR7A3	0.310382
RP4-657E11.10	0.0812884
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
RP5-1056L3.3	3.53449
NBL1	1.28534
HTR6	0.0478756
TMCO4	3.93998
RNF186	0
RP11-91K11.2	0
OTUD3	1.01437
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.607723
PLA2G5	0.0255687
PLA2G2D	0.0373807
PLA2G2F	0
RP3-340N1.2	0.0165538
PLA2G2C	0.0434629
UBXN10-AS1	0.438666
UBXN10	0.247745
LINC01757	0
VWA5B1	0.00397155
RP4-745E8.2	0
LINC01141	0
RP4-749H3.2	0
CAMK2N1	0.756595
RPS4XP4	0
FAM43B	0
PINK1-AS	1.52089
KIF17	0.0568659
RP5-930J4.5	0
SH2D5	0.0240422
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.58297
RP5-1071N3.1	1.00998
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.122587
HS6ST1P1	0.0822724
CROCCP5	0
NBPF3	0.444624
PFN1P10	0
RP11-63N8.3	1.92604
RAP1GAP	1.81099
RP11-132G19.3	0
LDLRAD2	0.0927935
HSPG2	0.248982
RP11-26H16.1	0
RP11-26H16.4	0.0311801
CELA3B	0.0292984
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.0609752
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0.113578
RP1-224A6.8	0.099979
RP1-224A6.9	0.726363
WNT4	0.228349
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40	4.33952
ZBTB40-IT1	0.139822
EPHA8	0
MIR6127	0
EPHB2	0.186912
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
LUZP1	0.993228
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0
RP5-1057J7.1	0
LINC01355	0.306796
ZNF436	0.982399
ZNF436-AS1	0.290353
RP5-1057J7.7	0
TCEA3	1.00965
RP4-654C18.1	0
ASAP3	0.265068
RP1-150O5.3	0
ID3	4.2383
MDS2	0.328155
RP11-223J15.2	0
ELOA-AS1	1.63166
GALE	2.99271
CNR2	1.24283
BTBD6P1	0.263222
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0.101404
SRSF10	4.61762
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0249123
RP11-293P20.4	0
IL22RA1	0.0255481
IFNLR1	0.433494
RP11-10N16.2	0
RP11-10N16.3	0
GRHL3	0.0286232
STPG1	0.268189
NIPAL3	2.09074
RCAN3	3.47624
RP4-594I10.3	0
NCMAP	0.0190589
RP11-496D1.2	0
Y_RNA	0
CLIC4	4.75447
RNU6-1208P	0
MIR6731	0
RP11-84D1.1	0.219707
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0.0539703
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.379274
RP3-465N24.5	0.753544
RHD	2.25225
SDHDP6	0.611882
RP11-335G20.7	0
RHCE	2.33576
RP3-469D22.1	0.108981
RP11-70P17.1	0.445665
MAN1C1	0.810437
RP1-187B23.1	0.108544
RP1-317E23.3	0.175746
AUNIP	0.436042
RP1-125I3.2	0
PAQR7	2.54579
Y_RNA	0
STMN1	4.84263
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
PAFAH2	4.69321
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.0160999
SLC30A2	0.0114013
RP11-96L14.9	0
TRIM63	0.140772
PDIK1L	0.591093
FAM110D	0.0395884
RP11-96L14.8	0
RP11-96L14.7	0.0550635
ZNF593	0
CNKSR1	0.490003
CATSPER4	0
RP11-231P20.2	0.0125247
RP11-231P20.6	0
CEP85	2.19954
RP11-231P20.5	0
AIM1L	0.30181
RP11-569G9.7	0
ZNF683	1.23249
LIN28A	0.00767271
DHDDS	4.85564
RP3-476K8.4	0.125873
RP3-476K8.3	0.497021
DPPA2P2	0.0565049
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.183861
PIGV	4.59535
RN7SL165P	0
SFN	1.3154
NR0B2	0.04103
KDF1	0.243503
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
TRNP1	0.382902
FAM46B	0.137807
RP11-40H20.5	0
CHCHD3P3	0
NPM1P39	0.0842507
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.229779
RNU6-48P	0
ACTG1P20	0.404404
MAP3K6	2.96489
FCN3	0.361964
CD164L2	0.0256622
RP1-144C9.2	0
GPR3	0.176235
RP4-752I6.1	0
RP1-159A19.4	0.359444
AHDC1	1.29874
RP1-159A19.3	0.168705
RP11-288L9.1	0
RP11-288L9.4	0.0570578
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
FAM76A	2.01873
RP3-426I6.2	0.0747382
RPEP3	0
RP3-426I6.5	0.365528
RP3-426I6.6	0.399219
RNU6-1245P	0
SCARNA1	0
SMPDL3B	0.760947
RP11-460I13.2	0
RP11-460I13.6	0.485152
RN7SL559P	0
SPCS2P4	1.0724
RP5-1053E7.2	0
RP5-1053E7.3	0.113068
RNU6-176P	0
RP5-1092A3.4	2.14338
RP5-1092A3.5	0
PHACTR4	3.02184
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	1.88407
SNORA73B	2.47032
PRDX3P2	0
RP4-669K10.8	0.0656684
TRNAU1AP	4.40191
SNORD99	0
SNORA61	2.88734
SNORA44	2.43795
SNORA16A	0
RAB42	0.184232
LINC01715	0.0877941
RNU11	0
GMEB1	3.52823
SCARNA24	0
OPRD1	0.0664966
RP1-212P9.3	0.0530302
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	0.0356546
RP11-242O24.3	0
uc_338	0.194533
MECR	1.26535
RP11-467D18.2	0
PTPRU	0.0863513
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0.0483306
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.0950927
MATN1-AS1	0.911413
MIR4420	0
RP5-1125N11.1	0
LINC01778	0
RN7SKP91	0
RP1-65J11.5	0
SDC3	0.916691
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0
RP11-490K7.4	0.321031
RP11-266K22.2	0
FABP3	0.992374
RP11-439L8.2	0
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00712788
RP11-73M7.1	0
TINAGL1	0.219515
HCRTR1	0.0126574
RP11-73M7.6	0.0211595
RP11-73M7.9	0
COL16A1	0.113332
ADGRB2	0.249047
MIR4254	0
RP11-84A19.3	0
SPOCD1	1.28298
RP11-84A19.2	0
RP11-84A19.4	0.437366
RP4-534N18.2	0.198434
RP11-277A4.4	0.0691538
MIR5585	0
Metazoa_SRP	0
CCDC28B	2.32385
RP4-622L5.7	0.326433
IQCC	0.879554
DCDC2B	0.164952
MTMR9LP	0.267705
FAM167B	0.548143
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.00282253
ZBTB8A	0.0517635
ZBTB8OS	3.24647
Y_RNA	0
SYNC	0.0507489
RP11-114B7.6	0
KIAA1522	0.526014
S100PBP	3.24329
FNDC5	0.194319
HPCA	0.0990772
TMEM54	0.299423
RP5-1174N9.2	0.534181
RP4-803A2.1	0.396786
RP4-803A2.2	0.11604
Metazoa_SRP	0
RP1-117O3.2	0.0482095
AZIN2	0.399659
RP11-131M11.2	0.892886
TRIM62	4.06817
RP11-131M11.3	0.407063
RP11-415J8.7	0.14008
A3GALT2	0.412541
MIR3605	1.96922
RP11-415J8.5	0.0524406
TLR12P	0
ZSCAN20	0.130219
RP4-580O19.2	0
CSMD2	0.0026874
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.101743
GJB4	0
GJB3	0.0448408
RP1-34M23.5	0
GJA4	0.369227
RP5-997D16.2	1.91128
DLGAP3	0.432843
RP11-244H3.1	1.81923
ZMYM6	1.94821
RPL12P45	0
ZMYM1	0.710321
EFCAB14P1	0
Y_RNA	0
ZMYM4	2.46554
RN7SL503P	0
SNORA62	0
RPL5P4	0.914754
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
NCDN	4.95004
RP4-728D4.2	2.9226
TFAP2E	1.06886
C1orf216	2.46797
CLSPN	0.251426
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	1.06778
RP4-665N4.8	0.147186
RP4-665N4.4	0
TEKT2	0.0858016
COL8A2	0.647245
RN7SL131P	0
UBE2V2P4	0
SH3D21	1.99044
RP11-268J15.5	1.1037
RNU4-27P	0
OSCP1	0.198368
SNORA63	0
FTLP18	0
RP4-614N24.1	0
GRIK3	0.0170692
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	3.18646
MIR6732	0
MIR5581	0
SNIP1	3.79535
FTH1P1	0.31066
RP3-423B22.5	0.168708
DNALI1	0.0405375
GNL2	4.32985
RSPO1	0
C1orf109	1.02052
CDCA8	1.79357
EPHA10	0.0100448
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	0.2226
RP11-109P14.8	0
INPP5B	2.62
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0
UTP11	3.34661
POU3F1	0.0243318
RP5-884C9.2	0
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0.0169789
RP11-334L9.1	0.0532065
RP5-864K19.4	0.459017
GJA9	0.0168717
RHBDL2	0.038345
RNU6-605P	0
Y_RNA	0
EIF1P2	0
MACF1	4.27935
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.174434
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.234675
OXCT2P1	0.0170816
RP11-69E11.4	2.20442
PPIEL	0.367174
SNORA55	0
RP11-69E11.8	0
HEYL	0.0840125
RP1-144F13.3	0
NT5C1A	0
HPCAL4	0.486103
PPIE	4.9294
RP1-144F13.4	0
RNU7-121P	0
BMP8B	0.544207
OXCT2	0.0819369
RP1-118J21.25	0.103014
RP1-118J21.24	0
TRIT1	2.96542
Y_RNA	0
MYCL	0.875837
RP1-118J21.5	0
Y_RNA	0
MFSD2A	1.39122
RP3-342P20.2	0.352219
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.7	1.3732
RP1-39G22.4	0
RP1-228H13.1	0.0533874
RP1-228H13.2	0
ZFP69B	0.407737
RP1-228H13.5	0.547625
RP11-656D10.7	0.132949
ZFP69	0.809155
RP11-656D10.3	0.196237
EXO5	1.19819
RP11-656D10.5	0
RP11-656D10.6	0.182934
ZNF684	0.456776
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	0.485704
RP4-739H11.3	0
NFYC-AS1	0.504079
MIR30E	0
MIR30C1	0
KCNQ4	0.202487
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
CTPS1	2.30649
SLFNL1-AS1	0.142259
SLFNL1	0.112695
SCMH1	2.79696
RPL23AP17	0
RP11-399E6.1	0
RP11-399E6.2	0
FOXO6	0.0478717
RP11-399E6.4	0
RNA5SP45	0
EDN2	0
HIVEP3	0.538705
RP11-486B10.3	0
RP11-486B10.4	0.0342003
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.0732563
RIMKLA	0.0321543
RP11-157D18.2	0
ZMYND12	0.165017
CCDC30	0.226994
RP11-163G10.2	0
TMSB4XP1	1.98107
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.138379
CLDN19	0.00982771
RP5-994D16.9	0.536906
TMEM269	0.0872116
RP11-342M1.3	0.118198
ZNF691	3.38873
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.042675
RP5-848E13.5	1.58906
SLC2A1-AS1	0.654673
RP5-848E13.4	0
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0
EBNA1BP2	4.0913
CFAP57	0.0137621
RNA5SP46	0
TMEM125	0.0582338
C1orf210	0.0258565
TIE1	0.215521
MPL	0.170651
RP1-92O14.3	0.373128
CDC20	2.86189
RP1-92O14.6	0.573333
SZT2-AS1	0
HYI-AS1	0
PTPRF	0.283994
KDM4A-AS1	0.422145
ST3GAL3	1.77168
RP11-184I16.4	0
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.0337334
RP11-7O11.3	0.109886
B4GALT2	0.950093
CCDC24	1.12509
SLC6A9	1.29697
RP5-1198O20.4	0.68928
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0
RP11-570P14.1	0
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0
ERI3-IT1	0
RNU6-369P	0
MIR5584	0
TMEM53	1.28979
RNU5F-1	0
RNU5D-1	0
KIF2C	1.13875
RP11-269F19.2	0.0930843
SNORD46	0.327733
SNORD38A	0
RPS15AP11	0.218528
BEST4	0.402152
TCTEX1D4	0.81883
BTBD19	2.11196
PTCH2	0.218987
RP5-882O7.1	0.365863
EIF2B3	2.97421
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0
MRPS17P1	0
ZSWIM5	0.153809
OSTCP5	0
LINC01144	0.214131
HPDL	0.233235
MUTYH	4.08812
TOE1	3.62985
RP11-291L19.1	0
CCDC163	0.806725
MMACHC	0.496128
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
RPS15AP10	0.184381
RP11-767N6.2	0.823895
IPP	1.07309
RP11-767N6.7	0.885738
RP11-630I5.1	0
MAST2	3.59639
TMA16P2	0
PIK3R3	0.304676
RP4-533D7.4	0
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	0.0634828
RP11-322N21.2	0
POMGNT1	2.99239
LURAP1	0.0505813
RAD54L	0.449654
NSUN4	1.86013
RP4-603I14.3	0
FAAH	4.39832
FAAHP1	0.419363
LINC01398	0.046457
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	2.15543
KNCN	0
ATPAF1	3.9663
NENFP1	0
TEX38	0
EFCAB14-AS1	0.0653161
RP11-8J9.5	0
CYP4B1	0.0880187
CYP4Z2P	0
RP11-346M5.1	0
CYP4A11	0.0114586
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	0.0283499
CYP4Z1	0
RP11-184J23.2	0
CYP4A22-AS1	0.0467112
CYP4A22	0
MTND1P34	0
LINC00853	1.35368
RP1-18D14.7	0.150039
STIL	0.22624
LINC01389	0.0848364
FOXE3	0
FOXD2-AS1	1.65647
FOXD2	0.197656
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	0.0109548
RP11-330M19.1	0
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.943757
RP5-1024N4.4	0.292662
RP5-1024N4.5	0
SPATA6	0.894773
PPP1R8P1	0.0535513
RNU6-723P	0
RP11-329A14.1	0.342853
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0
BEND5	0.626637
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.00315952
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.20973
HMGB1P45	0
FCF1P6	0
DMRTA2	0
FAF1	3.81854
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.0466206
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.170544
LINC01562	0.0126491
RP11-296A18.5	0.464135
RP11-296A18.6	0
TTC39A	0.186473
TTC39A-AS1	0
RP11-275F13.3	0.217665
RNU6-877P	0
RP11-253A20.1	0.125537
RP11-191G24.1	0.251889
RNU6-1281P	0
CALR4P	0
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	1.09895
RP4-657D16.6	0.187978
MIR761	0
TSEN15P2	0
RAB3B	0.00698737
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
KTI12	3.52
