Name	Small Intestine - Terminal Ileum
SLC45A1	3.08172
Y_RNA	0
RP5-1115A15.1	1.57463
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0.0452015
RPL7P7	0.0486027
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.272332
ENO1-AS1	0.689427
RNU6-304P	0
HMGN2P17	0.0713456
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0.0143599
RN7SL451P	0
SLC2A7	0.200036
SCARNA16	0
GPR157	4.06319
MIR34AHG	4.77999
LINC01759	0.41539
RP3-510D11.4	0.0404648
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	3.72849
RP13-15M17.1	0.746367
TMEM201	4.84988
PIK3CD-AS1	0.142106
RP11-558F24.2	0
PIK3CD-AS2	1.37352
MZT1P1	0
RP11-84A14.7	0.0164175
RP11-84A14.4	0.768287
RN7SKP269	0.311339
RP11-84A14.6	0
MIR5697	0
RP11-496H15.2	0
PGAM1P11	0.124277
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0.0337831
CORT	1.76888
RN7SL614P	0.282597
RP4-734G22.3	2.01764
HSPE1P24	0
C1orf127	0.453429
CFL1P6	0.189734
RP4-635E18.7	3.96512
RP4-635E18.6	0.440189
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	1.25964
RNU6-291P	0
RPL39P6	0
UBE2V2P3	0.270628
MTCYBP45	0
DISP3	0.289785
LINC01647	0
DRAXIN	0.0770885
C1orf167	0.0159615
RP11-56N19.5	0
NPPA-AS1	4.85355
NPPA	2.9834
NPPB	0.151366
RP5-934G17.6	0
RNU5E-1	0.190709
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0.547495
MIR6729	0
RN7SL649P	0
TNFRSF8	0.825249
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	1.21129
RP5-888M10.2	0.133851
RNU6ATAC18P	0.590485
MIR6730	0
RP11-474O21.5	0.943947
AADACL4	0.0419844
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0691582
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.0737911
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
KAZN	2.44979
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	1.86573
C1orf195	0.0688739
RP1-21O18.3	0
RP5-903E17.2	0.0396621
FHAD1	0.197738
RP3-467K16.2	0.0716551
RP3-467K16.7	0
RP3-467K16.4	0.176091
CTRC	0.408377
CELA2A	0.426963
CELA2B	0.173869
SCARNA21	0
RP4-680D5.8	1.73924
RP4-680D5.2	0.172772
CHCHD2P6	1.15006
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0.154801
RP11-288I21.1	1.29135
RP11-169K16.4	0.125787
RPL12P14	1.37495
UQCRHL	4.976
RP11-169K16.8	0.993127
FLJ37453	4.46128
RP1-134O19.3	0
RP11-5P18.1	0.0570749
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0.0140016
CLCNKA	0.188004
RP11-5P18.10	0.0878791
CLCNKB	0.109448
FAM131C	0.363539
RP11-276H7.2	1.23827
RP11-276H7.3	0.883432
ANO7L1	0.683458
RSG1	2.96896
MT1XP1	0.644354
RP11-430L17.1	0.14579
SPATA21	0.0491796
LINC01772	2.01931
CROCCP3	4.37582
RNU1-1	0
RP4-798A10.7	0.337845
RP4-798A10.4	0
LINC01783	0.112524
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	4.64045
RP5-1182A14.5	0.124783
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.147903
EIF1AXP1	0.675046
ESPNP	0.139263
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	4.14612
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.224328
RP11-108M9.5	3.73043
RNU1-2	0
RP11-108M9.6	0.354754
RP1-37C10.3	0.0894332
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0369748
PADI3	0.0302251
MIR3972	0
PADI4	0.241536
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	0.524353
RP11-174G17.3	0.0151873
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.140111
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	0.900014
RP1-43E13.2	0.85362
RP4-657E11.10	3.20911
RNU6-1099P	0.290434
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
HTR6	0.0899412
RP11-91K11.2	0.0857078
PLA2G2E	0.0463732
RN7SL304P	0
PLA2G5	1.79101
PLA2G2D	1.45339
PLA2G2F	0.0226101
RP3-340N1.2	0.121106
PLA2G2C	0.130966
UBXN10-AS1	3.03009
UBXN10	1.93309
LINC01757	0
VWA5B1	0.0459092
RP4-745E8.2	0
LINC01141	0.00880969
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.424763
PINK1-AS	3.23761
KIF17	1.12228
RP5-930J4.5	0
SH2D5	0.0949233
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.0550679
RP5-1071N3.1	0.645019
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	1.0712
HS6ST1P1	0.49258
CROCCP5	0
NBPF3	2.98668
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	3.04013
RP11-26H16.1	0.105345
RP11-26H16.4	0.0193741
CELA3B	0.860796
RN7SL386P	0
RNU6-1022P	0
CELA3A	2.8448
RN7SL186P	0
RNU6-776P	0
LINC01635	0.125026
CDC42-IT1	0.186005
RP1-224A6.8	0.243102
RP1-224A6.9	0.644381
WNT4	3.27569
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	1.05092
EPHA8	0.0200896
MIR6127	0
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.0543173
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0808379
RNU6-514P	0
RNU6-135P	0
HTR1D	3.39652
RP5-1057J7.1	0
ZNF436-AS1	4.68242
RP5-1057J7.7	1.21079
RP4-654C18.1	0
E2F2	3.18015
RP1-150O5.3	0.872537
MDS2	0.449083
RP11-223J15.2	0
ELOA-AS1	2.88835
CNR2	2.07942
BTBD6P1	0.353414
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0.100879
MYOM3	1.9748
RP11-293P20.4	0
RP11-10N16.2	0.0352146
RP11-10N16.3	0.0359644
GRHL3	0.170556
STPG1	2.19508
RP4-594I10.3	0.267338
NCMAP	1.08338
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
MIR6731	0
RP11-84D1.1	0.60314
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.864821
RP3-465N24.5	1.61626
RHD	0.407139
SDHDP6	0.577228
RP11-335G20.7	0
RHCE	0.169878
RP3-469D22.1	0.222349
RP11-70P17.1	0.996685
MAN1C1	4.76377
RP1-187B23.1	0.14696
RP1-317E23.3	1.18089
AUNIP	0.885512
RP1-125I3.2	0.210237
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.365507
SLC30A2	0.205981
RP11-96L14.9	0
TRIM63	0.843225
FAM110D	4.65555
RP11-96L14.8	0
RP11-96L14.7	0.265057
ZNF593	0
CATSPER4	0.0146894
RP11-231P20.2	0.261205
RP11-231P20.6	0
RP11-231P20.5	0
AIM1L	2.21947
RP11-569G9.7	0.538907
ZNF683	0.113987
LIN28A	0.0177141
RP3-476K8.4	0.526532
RP3-476K8.3	0.897496
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.666354
RN7SL165P	0.0994813
NR0B2	2.84517
RPL12P13	0.0677189
RP11-344H11.5	0
OSTCP2	0
FAM46B	4.46387
RP11-40H20.5	0
CHCHD3P3	0.0785813
NPM1P39	0.319036
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.527029
RNU6-48P	0.313362
ACTG1P20	1.71203
CD164L2	0.137415
RP1-144C9.2	0
GPR3	0.602858
RP4-752I6.1	0
RP1-159A19.4	0.877361
RP1-159A19.3	1.15916
RP11-288L9.1	0
RP11-288L9.4	0.17639
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.255404
RPEP3	0
RP3-426I6.5	0.438168
RP3-426I6.6	1.1421
RNU6-1245P	0
SCARNA1	0
RP11-460I13.2	0.0983206
RP11-460I13.6	0.366153
RN7SL559P	0.105195
SPCS2P4	1.1367
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	2.21979
SNORA73B	4.39707
PRDX3P2	0.184007
RP4-669K10.8	0.262702
SNORD99	0
SNORA16A	0
RAB42	1.83324
LINC01715	0.51778
RNU11	0
SCARNA24	0
OPRD1	0.187963
RP1-212P9.3	0.0810092
Y_RNA	0
RP4-604A21.1	0.0903326
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	3.50324
RP11-467D18.2	0.292846
PTPRU	4.38816
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0.474519
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.190405
MATN1-AS1	2.1865
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.0814817
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.118062
RP11-490K7.4	1.85014
RP11-266K22.2	0
RP11-439L8.2	0.035912
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.042221
RP11-73M7.1	1.40514
HCRTR1	0.0981517
RP11-73M7.6	1.82407
RP11-73M7.9	0.081117
ADGRB2	3.45174
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.68019
RP11-84A19.2	0
RP11-84A19.4	0.443692
RP4-534N18.2	0.227245
RP11-277A4.4	0.10124
MIR5585	0
Metazoa_SRP	0
CCDC28B	4.14527
RP4-622L5.7	1.46644
IQCC	3.84214
DCDC2B	0.658611
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.116303
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0193824
ZBTB8A	2.04055
Y_RNA	0
SYNC	3.35383
RP11-114B7.6	0
FNDC5	1.29539
HPCA	0.654893
RP5-1174N9.2	0.253671
RP4-803A2.1	0.32175
RP4-803A2.2	0.223775
Metazoa_SRP	0
RP1-117O3.2	0.0749374
AZIN2	1.98571
RP11-131M11.2	1.3778
RP11-131M11.3	0.5244
RP11-415J8.7	0.397567
A3GALT2	0.113512
RP11-415J8.3	3.01051
MIR3605	0.325751
RN7SKP16	1.91006
RP11-415J8.5	0.100934
TLR12P	0
ZSCAN20	1.27159
RP4-580O19.2	0.118011
CSMD2	0.162765
HSPD1P14	0
HMGB4	0.0156124
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.0270391
RP4-657M3.2	0
MIR552	0
GJB5	0.34056
GJB4	0.0969006
GJB3	1.31392
RP1-34M23.5	0
DLGAP3	0.831909
RPL12P45	0
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	3.69749
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	1.18792
TFAP2E	2.0849
CLSPN	0.739986
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	3.86478
RP4-665N4.8	0.276052
RP4-665N4.4	0.0311195
TEKT2	0.298515
COL8A2	3.4973
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
OSCP1	1.86234
SNORA63	0
FTLP18	0
RP4-614N24.1	0
GRIK3	1.47476
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
MIR6732	0
MIR5581	0
FTH1P1	0.550123
RP3-423B22.5	0.416589
DNALI1	3.41353
RSPO1	4.45959
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	1.90448
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0
POU3F1	0.0728157
RP5-884C9.2	0
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0.0566521
RP11-334L9.1	0.0422987
RP5-864K19.4	1.15868
GJA9	0.206697
RHBDL2	0.607256
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.40943
RP11-420K8.1	0
HSPE1P8	0
BMP8A	1.22412
OXCT2P1	0.543
PPIEL	2.36558
SNORA55	1.6693
RP11-69E11.8	0.588912
RP1-144F13.3	0
NT5C1A	0.0474471
HPCAL4	0.60283
RP1-144F13.4	0
RNU7-121P	0
OXCT2	0.643253
RP1-118J21.25	0.786622
RP1-118J21.24	0
Y_RNA	0
MYCL	4.16573
RP1-118J21.5	0.0797282
Y_RNA	0
RP3-342P20.2	2.87789
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0.0448544
RP1-39G22.4	0.141775
RP1-228H13.1	0.127021
RP1-228H13.2	0
ZFP69B	0.864361
RP1-228H13.5	1.10985
RP11-656D10.7	0.3392
ZFP69	3.37358
RP11-656D10.3	1.18455
EXO5	4.40521
RP11-656D10.5	0
RP11-656D10.6	0.782485
ZNF684	2.32727
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	3.63194
RP4-739H11.3	0
NFYC-AS1	4.95846
MIR30E	0
MIR30C1	0
KCNQ4	2.87007
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	1.78455
SLFNL1	1.61621
RPL23AP17	0
RP11-399E6.1	0.102108
RP11-399E6.2	0
FOXO6	0.852564
RP11-399E6.4	0.468605
RNA5SP45	0
HIVEP3	1.37425
RP11-486B10.3	0
RP11-486B10.4	0.188599
HNRNPFP1	0
RP11-319C21.1	0
RP11-223A3.1	0.548227
RIMKLA	0.50358
RP11-157D18.2	0
ZMYND12	0.889887
CCDC30	0.719431
RP11-163G10.2	0
TMSB4XP1	1.18909
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.897205
CLDN19	0.0432665
RP5-994D16.9	2.34705
TMEM269	0.194492
RP11-342M1.3	0.451368
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0
RP5-848E13.5	0.163517
SLC2A1-AS1	0.630187
RP5-848E13.4	0
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.124708
CFAP57	0.0802169
RNA5SP46	0
MPL	0.140475
RP1-92O14.3	1.24449
RP1-92O14.6	2.1214
SZT2-AS1	0
HYI-AS1	0.303598
KDM4A-AS1	1.60975
RP11-184I16.4	0
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.829049
RP11-7O11.3	1.21134
RP5-1198O20.4	0.120148
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0254267
RP11-570P14.1	0.200962
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0471115
ERI3-IT1	0.330301
RNU6-369P	0
MIR5584	0
C1orf228	3.08079
RNU5F-1	0.351543
RNU5D-1	0.197285
KIF2C	3.76688
RP11-269F19.2	0.203887
SNORD46	1.1524
SNORD38A	0
RPS15AP11	0.861355
TCTEX1D4	0.857854
BTBD19	4.93517
PTCH2	2.90327
RP5-882O7.1	0.853277
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.0623596
MRPS17P1	0.020943
OSTCP5	0
LINC01144	1.49843
HPDL	3.25655
RP11-291L19.1	0
CCDC163	2.81458
MMACHC	2.66393
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	4.19167
RPS15AP10	1.14648
RP11-767N6.2	1.47193
IPP	4.31143
RP11-767N6.7	3.27234
RP11-630I5.1	0.0529018
TMA16P2	0
RP4-533D7.4	0.0982403
RP4-533D7.3	0
RP4-533D7.5	0
RP11-322N21.2	0
LURAP1	1.4728
RAD54L	1.85237
RP4-603I14.3	0.0923452
FAAHP1	0.318233
LINC01398	0.0224064
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.746545
KNCN	0
NENFP1	0.10342
TEX38	0.110283
EFCAB14-AS1	0.267895
RP11-8J9.5	0
CYP4Z2P	0.0323957
RP11-346M5.1	0
CYP4A11	0.208727
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	1.99101
CYP4Z1	0.310046
RP11-184J23.2	0
CYP4A22-AS1	0.10978
CYP4A22	0.078327
MTND1P34	0
LINC00853	0.393898
TAL1	4.36413
RP1-18D14.7	0.594879
STIL	2.92252
LINC01389	0.874828
FOXE3	0.031375
FOXD2-AS1	2.29127
FOXD2	0.727149
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	2.23303
RP11-330M19.1	0.0936387
RP4-683M8.2	0.0240346
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.467209
RP5-1024N4.6	0.0133005
RP5-1024N4.2	0.039944
RP5-1024N4.4	3.31849
RP5-1024N4.5	0.168351
SPATA6	4.01811
PPP1R8P1	0.100621
RNU6-723P	0
RP11-329A14.1	0.109101
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.0382631
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.35315
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.233131
HMGB1P45	0
FCF1P6	0
DMRTA2	0.02742
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.248999
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0874272
LINC01562	0.0778174
RP11-296A18.5	0.449245
RP11-296A18.6	0.158828
TTC39A	2.18067
TTC39A-AS1	0.224864
RP11-275F13.3	0.19333
RNU6-877P	0
RP11-253A20.1	0.101831
RP11-191G24.1	2.25846
RNU6-1281P	0
CALR4P	0.316095
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	2.9791
RP4-657D16.6	0.671188
MIR761	0
TSEN15P2	0.0890441
RAB3B	0.728695
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.11377
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.703568
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	2.01646
PLA2G12AP1	0.386269
ORC1	2.65017
RP11-25O10.2	0
EEF1GP7	0.063695
FAM159A	1.6247
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	1.84864
RNU6-969P	0
ZYG11A	0.0862833
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	2.47866
RP11-334A14.8	0.393397
RP5-1024G6.9	0
RP5-1024G6.2	0.469421
RP5-1024G6.7	0.0268415
RP5-1024G6.5	0.346493
LRP8	2.5721
RP4-784A16.1	0
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.326596
RP11-117D22.1	0
RP11-117D22.2	0.46062
SLC25A3P1	0
DMRTB1	0
GLIS1	0.943901
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.183894
HNRNPA3P12	0.1634
LDLRAD1	0
RP4-758J24.6	1.9399
TCEANC2	2.47424
MIR4781	0
RP4-758J24.4	0
CDCP2	0.190141
RP11-446E24.3	0.0880046
CYB5RL	3.39217
SSBP3-AS1	1.96436
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
RP11-240D10.4	0.200596
PARS2	3.32252
RP11-67L3.2	0.304794
LEXM	0.632945
RP11-67L3.5	0
RP11-67L3.4	0.146421
TMEM61	3.07252
BSND	0.0130579
PCSK9	2.89367
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.0210791
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0.102373
RP11-504A18.1	0.366373
LINC01767	0.136121
RPL21P23	0.0932721
RPL23AP85	0
RP11-377K22.2	0
PRKAA2	0.821295
C1orf168	1.23256
RP11-378I13.1	0.0483812
C8A	0
C8B	0.0289797
RP5-1103B4.3	0
DAB1	3.30236
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0313212
RPS26P15	0.126227
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0
RN7SL713P	0
TACSTD2	2.0288
RP4-592A1.2	0.419399
RP11-63G10.4	0.161593
LINC01135	0.291334
RP11-63G10.3	0.674045
RP11-63G10.2	0
RP4-794H19.1	1.49432
LINC01358	0.160053
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0.088884
RP11-467C18.1	0.47903
FGGY	1.43729
MIR4711	0
RP4-782L23.2	0.209047
RN7SL475P	0
C1orf87	0.0103021
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.103116
RP11-436K8.1	0.0747705
NFIA-AS2	0.113792
RP4-802A10.1	0.177972
NFIA-AS1	0
RP11-430G17.1	0
RP11-430G17.3	1.2173
RNU6-414P	0
RNU6-1177P	0
LAMTOR5P1	0
RN7SL180P	0
MIR3116-1	0
PIGPP2	0
RPS15AP7	0
L1TD1	0.234995
RP5-1155K23.4	0
KANK4	0.127212
