Name	Brain - Caudate (basal ganglia)
LINC01346	0.0388935
LINC01345	0
EEF1DP6	0
LINC01777	0
RP1-37J18.1	0
LINC01646	0
RP11-542C10.1	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0.319961
MIR4417	0
MIR4689	0
RP1-120G22.11	0.306864
RNF207	3.76681
LINC00337	0.145651
HES3	0
GPR153	3.47052
HES2	0.00552024
ESPN	0.19236
MIR4252	0
RP1-202O8.2	0
NOL9	4.1123
RNU6-731P	0
RP11-58A11.2	0.0954635
TAS1R1	0.154721
LINC01672	0
RP11-312B8.1	0.340793
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0.112018
RP3-453P22.2	0
RP4-549F15.1	0
RP11-338N10.1	1.34577
RP11-338N10.2	0.930462
RP11-338N10.3	1.67722
RP3-467L1.6	2.49975
RP3-467L1.4	0.783982
UTS2	0
TNFRSF9	0.00599556
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.123227
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
Y_RNA	0
RP5-1115A15.1	0.248274
SNORA77	0.265274
RP5-1115A15.2	0.0741968
RPL7P11	0
RPL7P7	0.0340389
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.0892038
ENO1-AS1	0.391123
RNU6-304P	0
HMGN2P17	0
RP3-477M7.5	0.077961
RP3-477M7.6	0
CA6	0.00738868
RN7SL451P	0
SLC2A7	0
SLC2A5	3.49708
SCARNA16	0
GPR157	0.439832
MIR34AHG	1.41554
LINC01759	0.349581
RP3-510D11.4	0.116877
RNA5SP40	0
RP13-392I16.1	0
RP13-15M17.1	0.45848
TMEM201	4.78665
PIK3CD	3.03983
PIK3CD-AS1	0.0141273
RP11-558F24.2	0
PIK3CD-AS2	0.111403
MZT1P1	0
RP11-84A14.7	0.0338808
RP11-84A14.4	0.205019
NMNAT1	2.86631
RN7SKP269	0.0781155
RP11-84A14.6	0.0930539
MIR5697	0
RBP7	4.41573
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
MIR1273D	0
RNU6-37P	0.197343
RP4-736L20.3	0
RN7SL614P	0.0627799
CASZ1	0.333491
RP4-734G22.3	0.0858634
HSPE1P24	0
C1orf127	0.325039
CFL1P6	0.0600113
MASP2	1.44914
RP4-635E18.7	2.24221
RP4-635E18.6	2.0105
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.187472
RNU6-291P	0
RPL39P6	0
UBIAD1	4.18851
UBE2V2P3	0
MTCYBP45	0
LINC01647	0
DRAXIN	1.01149
C1orf167	0.00735165
RP11-56N19.5	0
NPPA-AS1	0.636318
NPPA	1.30805
NPPB	1.95863
RP5-934G17.6	0.0195707
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0
MIR6729	0
RN7SL649P	0
TNFRSF8	1.98458
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
SNORA59A	0.465766
RP5-888M10.2	0.0748639
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0.524236
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0.0621492
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0508639
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0.369965
RP4-597A16.2	0
BRWD1P1	0
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.576784
TMEM51	4.88513
C1orf195	0
RP1-21O18.3	0.0540817
RP5-903E17.2	0
FHAD1	0.186731
RP3-467K16.2	0.0428541
RP3-467K16.7	0.03384
RP3-467K16.4	0.0435049
CTRC	0.0559027
CELA2A	0.141883
CELA2B	0.070511
DNAJC16	4.18451
SCARNA21	0
RP4-680D5.8	0.233247
AGMAT	0.569636
RP4-680D5.2	0.149356
CHCHD2P6	1.14486
RNU7-179P	0
CD24P1	0
DDI2	3.34323
RP4-680D5.9	0.0753913
RP11-288I21.1	0.245218
SLC25A34	2.75061
TMEM82	0
RP11-169K16.4	0
FBLIM1	0.784232
RPL12P14	0.0460921
UQCRHL	4.80883
RP11-169K16.8	0.435812
FLJ37453	3.36828
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	2.76423
HSPB7	1.45739
CLCNKA	0.149952
RP11-5P18.10	1.25166
CLCNKB	0.0586032
EPHA2	2.2302
RP11-276H7.2	0.0724397
RP11-276H7.3	0
ARHGEF19	1.0904
ANO7L1	0.480351
MT1XP1	0.713287
FBXO42	4.77621
RP11-430L17.1	0.0627582
SPATA21	0.0392273
LINC01772	2.59075
CROCCP3	4.21703
RNU1-1	0
RP4-798A10.7	0.444267
RP4-798A10.4	0.0959607
LINC01783	0.0900033
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	2.36199
RP5-1182A14.5	0
MST1P2	1.72442
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.0581885
EIF1AXP1	0.247301
ESPNP	0.180984
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.442493
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.248004
RP11-108M9.4	3.17425
RP11-108M9.5	1.51519
RNU1-2	0
RP11-108M9.6	0.26028
MFAP2	0.134006
RP1-37C10.3	0
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.141974
PADI3	0
MIR3972	0
PADI4	0.104769
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
RP11-174G17.3	0.0419236
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0.0240937
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0.229949
TAS1R2	0
MIR4695	0
MIR1290	0
RP5-1126H10.2	0.563994
RP1-43E13.2	0.900549
AKR7L	1.44322
AKR7A3	3.68807
RP4-657E11.10	2.7882
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
RP5-1056L3.3	1.86123
HTR6	3.11152
TMCO4	3.28826
RNF186	0
RP11-91K11.2	0
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0.255688
PLA2G2D	0.0109918
PLA2G2F	0
RP3-340N1.2	0.0428937
PLA2G2C	0.0300141
UBXN10-AS1	2.00223
UBXN10	2.02136
LINC01757	0
VWA5B1	0.0907061
RP4-745E8.2	0
LINC01141	0.442779
RP4-749H3.2	0
RPS4XP4	0.0181472
CDA	2.25345
PINK1-AS	1.28141
RP5-930J4.5	0
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0.123231
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.0387692
RP5-1071N3.1	0.0611048
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.439842
HS6ST1P1	0.46164
CROCCP5	0
NBPF3	1.02463
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	0.19021
HSPG2	1.23182
RP11-26H16.1	0.0141234
RP11-26H16.4	0
CELA3B	0.0234574
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.0589978
RN7SL186P	0
RNU6-776P	0
LINC01635	0.0408898
CDC42-IT1	0.0323627
RP1-224A6.8	0
RP1-224A6.9	0.365184
WNT4	0.416635
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40	4.9228
ZBTB40-IT1	0.0770429
EPHA8	0.674869
MIR6127	0
EPHB2	1.27215
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.223274
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0665322
RNU6-514P	0
RNU6-135P	0
HTR1D	4.92965
RP5-1057J7.1	0
LINC01355	2.94843
RP5-1057J7.7	0.1302
TCEA3	2.5063
RP4-654C18.1	0
E2F2	0.0190005
RP1-150O5.3	0.0987645
MDS2	0.0752376
RP11-223J15.2	0
ELOA-AS1	1.86893
CNR2	0.00592473
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0297677
RP11-293P20.4	0
IL22RA1	0.0831113
IFNLR1	0.886733
RP11-10N16.2	0.0271639
RP11-10N16.3	0.0427768
GRHL3	0.318581
STPG1	2.99416
RCAN3	2.09494
RP4-594I10.3	0
NCMAP	0.10948
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.627252
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	1.11512
RP3-465N24.5	0.286687
RHD	0.217937
SDHDP6	0.522849
RP11-335G20.7	0
RHCE	1.31112
RP3-469D22.1	0.0942189
RP11-70P17.1	0.309098
MAN1C1	3.24292
RP1-187B23.1	0.0393724
RP1-317E23.3	0.390011
AUNIP	0.447952
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
PAFAH2	3.83456
RNU6-110P	0
SCARNA17	0
SCARNA18	0
SLC30A2	0.0171583
RP11-96L14.9	0
TRIM63	0.188439
PDIK1L	3.24924
FAM110D	1.51452
RP11-96L14.8	0
RP11-96L14.7	0.280168
ZNF593	0
CNKSR1	2.4644
CATSPER4	0.0123674
RP11-231P20.2	0.715954
RP11-231P20.6	0
CEP85	4.68865
RP11-231P20.5	0
CD52	2.63999
AIM1L	0.0233423
RP11-569G9.7	0
ZNF683	0.0333772
LIN28A	0
RP3-476K8.4	0.0733962
RP3-476K8.3	0.263743
DPPA2P2	0
RPS6KA1	4.44378
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.254481
RN7SL165P	0
SFN	2.67915
NR0B2	0.0957802
KDF1	0.0540339
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
FAM46B	0.335261
RP11-40H20.5	0
CHCHD3P3	0
NPM1P39	0.0807276
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	1.108
RNU6-48P	0
ACTG1P20	0.457758
SYTL1	0.422705
MAP3K6	4.44218
FCN3	0.536295
CD164L2	0.0788927
RP1-144C9.2	0
GPR3	1.41201
RP4-752I6.1	0
RP1-159A19.4	0.307167
FGR	4.14949
RP1-159A19.3	1.28004
RP11-288L9.1	0.159441
RP11-288L9.4	0.0868063
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.0662459
RPEP3	0
RP3-426I6.5	0.136312
RP3-426I6.6	0.826844
RNU6-1245P	0
SCARNA1	0
THEMIS2	1.91782
SMPDL3B	0.258095
RP11-460I13.2	0
RP11-460I13.6	0.0922174
RN7SL559P	0
SPCS2P4	0.950294
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	1.07299
RP5-1092A3.4	1.31938
RP5-1092A3.5	0
MED18	4.40264
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
RCC1	3.01669
SNORA73A	0.549426
SNORA73B	0.745905
PRDX3P2	0
RP4-669K10.8	0.209135
TRNAU1AP	4.29531
SNHG12	4.97407
SNORD99	0
SNORA44	1.38866
SNORA16A	0
RAB42	0.270206
LINC01715	0.729247
RNU11	0
GMEB1	1.85189
SCARNA24	0
OPRD1	1.22581
RP1-212P9.3	0.138195
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	4.41868
RP11-242O24.3	0.135172
uc_338	0.175505
RP11-467D18.2	0.037409
PTPRU	3.48583
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.150488
MATN1-AS1	0.522053
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.165748
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	4.89389
RP11-490K7.4	0.633216
RP11-266K22.2	0.18321
SERINC2	0.394496
RP11-439L8.2	0
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00346532
RP11-73M7.1	0
HCRTR1	0.0558529
RP11-73M7.6	2.36655
RP11-73M7.9	0.133976
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.399604
RP11-84A19.2	0.0300901
RP11-84A19.4	0.132741
RP4-534N18.2	0.0529567
RP11-277A4.4	0.0655672
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	1.12173
IQCC	3.52531
DCDC2B	0.290812
FAM167B	1.3663
LCK	0.142179
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.153243
TSSK3	2.07612
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.288899
ZBTB8A	1.21321
Y_RNA	0
SYNC	1.71717
RP11-114B7.6	0
RP5-1174N9.2	0.157784
RP4-803A2.1	0.0478092
RP4-803A2.2	0.0378513
Metazoa_SRP	0
RP1-117O3.2	0.0494931
RP11-131M11.2	0.586893
TRIM62	4.50309
RP11-131M11.3	0.346498
RP11-415J8.7	0.219324
A3GALT2	0.0544023
RP11-415J8.3	0.795847
MIR3605	0
RN7SKP16	0.433777
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.577774
RP4-580O19.2	0.0999297
CSMD2	1.62885
HSPD1P14	0
HMGB4	0.00904343
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0.260637
RP4-657M3.2	0
MIR552	0
GJB5	0.456945
GJB4	0.0295852
GJB3	0.139469
RP1-34M23.5	0
RP5-997D16.2	1.27277
RP11-244H3.1	1.647
ZMYM6	4.46433
RPL12P45	0
ZMYM1	1.36737
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	1.09095
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.566043
CLSPN	0.0680964
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	2.39071
RP4-665N4.8	0.0364175
RP4-665N4.4	0.139864
TEKT2	1.6428
COL8A2	0.745509
RN7SL131P	0
UBE2V2P4	0
SH3D21	1.75643
RNU4-27P	0
SNORA63	0.80741
CSF3R	3.64057
FTLP18	0
RP4-614N24.1	0
GRIK3	2.67861
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0.0838895
RNA5SP43	0
RPS29P6	0.136895
LINC01137	1.45477
ZC3H12A	0.878756
MIR6732	0
MIR5581	0
SNIP1	3.60608
FTH1P1	0.0535799
RP3-423B22.5	0.196885
RSPO1	0.0199759
C1orf109	3.98577
CDCA8	0.869806
EPHA10	4.01872
Y_RNA	0
ACTN4P2	0.035589
RP11-109P14.2	0.120541
MTF1	3.48744
RP11-109P14.8	0
INPP5B	3.14528
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.337095
FHL3	4.2614
POU3F1	3.85766
RP5-884C9.2	3.91397
RP5-884C9.3	0
MIR3659	0
LINC01343	0.041679
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0.0162589
RP11-334L9.1	0.0278147
RP5-864K19.4	3.66831
MYCBP	3.05451
GJA9	0.317796
RHBDL2	2.85149
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.442092
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.90112
OXCT2P1	0.155228
PPIEL	1.27446
SNORA55	0.120431
RP11-69E11.8	0
RP1-144F13.3	0
NT5C1A	0.385758
RP1-144F13.4	0.0945091
RNU7-121P	0
BMP8B	2.31077
OXCT2	0.216278
RP1-118J21.25	0.270933
RP1-118J21.24	0
Y_RNA	0
MYCL	0.867571
RP1-118J21.5	0
Y_RNA	0
RP3-342P20.2	1.05234
RP11-115D7.3	0.0823038
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0
RP1-228H13.1	0.0735327
RP1-228H13.2	0
ZFP69B	1.51632
RP1-228H13.5	3.57514
RP11-656D10.7	1.22109
ZFP69	2.86048
RP11-656D10.3	0.863123
EXO5	1.93684
RP11-656D10.5	0
RP11-656D10.6	0.778582
ZNF684	1.91622
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
NFYC-AS1	2.31502
MIR30E	0
MIR30C1	0
KCNQ4	3.39945
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
CTPS1	4.15573
SLFNL1-AS1	0.157037
SLFNL1	0.254847
RPL23AP17	0
RP11-399E6.1	0.0562092
RP11-399E6.2	0
FOXO6	4.1251
RP11-399E6.4	0.310279
RNA5SP45	0
EDN2	0.0364221
HIVEP3	1.32836
RP11-486B10.3	0
RP11-486B10.4	0.0769921
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.46495
RIMKLA	4.64528
RP11-157D18.2	0
ZMYND12	4.58233
CCDC30	1.71777
RP11-163G10.2	0
TMSB4XP1	0.424624
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	2.21933
CLDN19	0.0124172
RP5-994D16.9	1.75686
TMEM269	0.174217
ERMAP	4.33223
RP11-342M1.3	0.24318
RP11-342M1.7	0.0102043
RP11-342M1.6	0
ATP6V1E1P1	0.0714222
RP5-848E13.5	0.120207
SLC2A1-AS1	1.78653
RP5-848E13.4	0.133688
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.762249
CFAP57	1.45223
RNA5SP46	0
C1orf210	0.0735683
MPL	0.188154
RP1-92O14.3	0.435206
CDC20	0.364111
RP1-92O14.6	1.12433
SZT2	4.36605
SZT2-AS1	0
HYI-AS1	0.520648
KDM4A-AS1	0.699827
RP11-184I16.4	0.0486219
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.559814
RP11-7O11.3	1.16141
RP5-1198O20.4	0.463096
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0961177
RP11-570P14.1	0.169015
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0799661
ERI3-IT1	0.231883
RNU6-369P	0
MIR5584	0
TMEM53	4.93984
C1orf228	4.9932
RNU5F-1	0.333885
RNU5D-1	0
KIF2C	0.28635
RP11-269F19.2	0.103621
SNORD46	0.278398
SNORD38A	0
RPS15AP11	0.183473
BEST4	2.9514
PLK3	4.12691
TCTEX1D4	0.149426
BTBD19	0.949561
PTCH2	4.93876
RP5-882O7.1	0.771118
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.130749
MRPS17P1	0.0396759
ZSWIM5	3.5567
OSTCP5	0
LINC01144	1.17371
HPDL	2.5678
TESK2	3.7941
RP11-291L19.1	0
MMACHC	2.90362
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	0.77049
RPS15AP10	0.211519
RP11-767N6.2	0.221811
IPP	3.10577
RP11-767N6.7	3.27739
RP11-630I5.1	0
TMA16P2	0
RP4-533D7.4	0.0699381
RP4-533D7.3	0
RP4-533D7.5	0.0488778
TSPAN1	0.295179
RP11-322N21.2	0
LURAP1	2.73747
RAD54L	1.89787
NSUN4	2.62159
RP4-603I14.3	0
FAAHP1	0.970779
LINC01398	0.0340154
DMBX1	0
RP11-49P4.7	0.0805884
MKNK1-AS1	0.634537
KNCN	0.686029
MOB3C	4.94368
NENFP1	0
TEX38	0.0784154
EFCAB14-AS1	0
RP11-8J9.5	0
CYP4B1	0.253095
CYP4Z2P	0.0207805
RP11-346M5.1	0
CYP4A11	0.172273
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	0.468868
RP11-184J23.2	0
CYP4A22-AS1	0.180787
CYP4A22	0.108484
MTND1P34	0
LINC00853	0.963923
PDZK1IP1	0.576874
TAL1	1.63079
RP1-18D14.7	0.392804
STIL	0.615067
LINC01389	0.183995
FOXE3	0.239755
FOXD2-AS1	0.265651
FOXD2	0.0733801
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0.623914
TRABD2B	0.095079
RP11-330M19.1	0.0134567
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.138697
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.138935
RP5-1024N4.4	0.575097
RP5-1024N4.5	0.181893
SPATA6	4.24295
PPP1R8P1	0.576916
RNU6-723P	0
RP11-329A14.1	0.0636031
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.78374
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.944359
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.121698
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0474674
RP5-850O15.3	0.0388114
RNU6-1026P	0
PHBP12	0.0498325
MRPS6P2	0
CDKN2C	3.10583
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0723734
LINC01562	0.120872
RP11-296A18.5	0.110445
RP11-296A18.6	0.06509
TTC39A	0.825315
TTC39A-AS1	0.0805227
RP11-275F13.3	0.0430284
RNU6-877P	0
RP11-253A20.1	0.0604235
RP11-191G24.1	0.0849354
RNU6-1281P	0
CALR4P	0.344852
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	0.550181
RP4-657D16.6	0.115733
MIR761	0
TSEN15P2	0
RAB3B	1.52748
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.121437
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	0.819162
PLA2G12AP1	0.351107
ORC1	0.141578
RP11-25O10.2	0
EEF1GP7	0
GPX7	2.9254
FAM159A	0.15793
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	0.581436
RNU6-969P	0
ZYG11A	0.0314229
RP4-631H13.2	0
RP4-631H13.6	1.08412
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
PODN	2.55628
SLC1A7	0.409966
RP11-334A14.8	0.0154232
RP5-1024G6.9	0
RP5-1024G6.2	0.242716
RP5-1024G6.7	0.0229076
RP5-1024G6.5	0.837804
RP4-784A16.1	0.0655891
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.339072
RP11-117D22.1	0
RP11-117D22.2	0.0395264
SLC25A3P1	0
DMRTB1	0
GLIS1	1.00529
RNU7-95P	0
NDC1	2.56573
SNORA58	0
RP4-654H19.2	0
DIO1	0.0450935
HNRNPA3P12	0.061694
LDLRAD1	0
RP4-758J24.6	0.672503
TCEANC2	1.92963
MIR4781	0
RP4-758J24.4	0
CDCP2	0.0449029
RP11-446E24.3	0.0188592
