Name	Liver
RP3-467L1.4	0.712806
UTS2	0.0372294
TNFRSF9	0.0377477
RP5-892F13.2	0
Y_RNA	0
RP11-431K24.1	0.246359
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0.705033
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	0.21513
Y_RNA	0
RP5-1115A15.1	0.329466
SNORA77	0
RP5-1115A15.2	0
RPL7P11	0
RPL7P7	0
Y_RNA	0
RP4-633I8.3	0
RP4-633I8.4	0
RPL23AP19	0
MIR6728	0
ENO1-IT1	0.0987726
ENO1-AS1	0.22429
RNU6-304P	0
HMGN2P17	0
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	0.125334
SCARNA16	0
GPR157	4.33345
MIR34AHG	2.37107
LINC01759	0.362959
RP3-510D11.4	0.0113003
RNA5SP40	0
RP13-392I16.1	0.549776
RP13-15M17.1	1.00307
TMEM201	1.3023
PIK3CD	2.14619
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	0.161219
MZT1P1	0
RP11-84A14.7	0
RP11-84A14.4	0.20876
NMNAT1	3.09551
RN7SKP269	0.0908598
RP11-84A14.6	0
MIR5697	0
RBP7	2.41568
RP11-496H15.2	0
PGAM1P11	0.0286995
RNU6-828P	0
MIR1273D	0
RNU6-37P	0
RP4-736L20.3	0
CORT	1.10355
RN7SL614P	0.106496
CASZ1	1.33833
RP4-734G22.3	0.372672
HSPE1P24	0
C1orf127	0.0507405
CFL1P6	0.210724
RP4-635E18.7	1.63618
RP4-635E18.6	0.316023
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0.0643325
RNU6-291P	0
RPL39P6	0
UBIAD1	4.67403
UBE2V2P3	0
MTCYBP45	0
DISP3	0.00977364
LINC01647	0
DRAXIN	0.0200692
C1orf167	0.0135381
RP11-56N19.5	0
MTHFR	4.96152
NPPA-AS1	1.33907
NPPA	1.3644
NPPB	0.114646
RP5-934G17.6	0
RNU5E-1	0
RNU5E-4P	0
RP5-1077B9.5	0
Y_RNA	0
MIR6729	0
RN7SL649P	0
TNFRSF8	0.0628318
RNU6-777P	0
RPL23AP89	0
MIR7846	0
MIR4632	0
RPL10P17	0
SNORA70	0
VPS13D	4.13687
SNORA59A	0.686663
RP5-888M10.2	2.34659
RNU6ATAC18P	0.68335
MIR6730	0
RP11-474O21.5	0.791928
AADACL4	0
RP11-474O21.2	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0.0453595
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0.117031
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0.0588727
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0
RP4-597A16.2	0
BRWD1P1	0
PDPN	0.134126
RNA5SP41	0
CTA-520D8.2	0
SCARNA11	0
PRDM2	3.53968
KAZN	1.57304
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	0
TBCAP2	0
TMEM51-AS1	0.132385
TMEM51	2.04253
C1orf195	0
RP1-21O18.3	0
RP5-903E17.2	0
FHAD1	0.0240176
RP3-467K16.2	0.0115356
RP3-467K16.7	0
RP3-467K16.4	0.0197163
CTRC	0.304343
CELA2A	0.459803
CELA2B	0.13801
CASP9	4.27798
SCARNA21	0
RP4-680D5.8	4.85537
RP4-680D5.2	0.0264082
CHCHD2P6	0.858
RNU7-179P	0
CD24P1	0
RP4-680D5.9	0
RP11-288I21.1	0.320088
SLC25A34	2.88088
RP11-169K16.4	0
FBLIM1	3.07252
RPL12P14	0.499995
UQCRHL	2.16552
RP11-169K16.8	0.487717
FLJ37453	1.56787
RP1-134O19.3	0
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
C1orf64	0
HSPB7	1.08067
CLCNKA	0.0989349
RP11-5P18.10	0
CLCNKB	0.0206374
FAM131C	0.0706181
RP11-276H7.2	0.338528
RP11-276H7.3	0.161797
ARHGEF19	1.22872
ANO7L1	0.50897
RSG1	1.90822
MT1XP1	2.1608
FBXO42	3.47708
RP11-430L17.1	0
SPATA21	0.0608967
LINC01772	0.367446
CROCCP3	0.698126
RNU1-1	0
RP4-798A10.7	0.185602
RP4-798A10.4	0
LINC01783	0.0518275
RNU1-6P	0
FAM231B	0
RP5-875O13.6	0
NBPF1	1.70396
RP5-1182A14.5	0.433848
RP1-163M9.8	0
RNU1-3	0
FAM231A	0
RP5-875O13.7	0.637109
EIF1AXP1	1.0875
ESPNP	0.366767
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
RP11-108M9.1	0
RP11-108M9.2	0
MIR3675	0
RP11-108M9.3	0.183296
RP11-108M9.5	1.78023
RNU1-2	0
RP11-108M9.6	0.1913
CROCC	2.56565
MFAP2	0.233615
RP1-37C10.3	0
ATP13A2	3.9614
PADI2	0.44086
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0623992
PADI3	0
MIR3972	0
PADI4	0.690405
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	0.202652
RP11-174G17.3	0.0064864
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	3.0819
DYNLL1P3	0
RP1-8B22.2	0
PAX7	0
TAS1R2	0
MIR4695	0
MIR1290	0
IFFO2	3.31463
RP5-1126H10.2	0.73542
RP1-43E13.2	0.243851
EMC1	4.63953
RP4-657E11.10	0.903497
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
RP5-1056L3.3	3.24153
NBL1	1.80578
HTR6	0
RNF186	0.316914
RP11-91K11.2	0
OTUD3	2.12499
PLA2G2E	0
RN7SL304P	0
PLA2G5	2.62665
PLA2G2D	0.021624
PLA2G2F	0
RP3-340N1.2	0.803115
PLA2G2C	0.0251474
UBXN10-AS1	0.177509
UBXN10	1.97299
LINC01757	0
VWA5B1	0
RP4-745E8.2	0
LINC01141	0.0164597
RP4-749H3.2	0
RPS4XP4	0
FAM43B	0.250598
PINK1-AS	1.58771
KIF17	0.540149
RP5-930J4.5	0
SH2D5	0.0344038
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0
RP5-1071N3.1	0.0600596
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	0.14043
HS6ST1P1	0.43131
CROCCP5	0
NBPF3	0.455606
PFN1P10	0
RP11-63N8.3	0
RP11-132G19.3	0
LDLRAD2	0.262484
HSPG2	3.46128
RP11-26H16.1	0.00663577
RP11-26H16.4	0
CELA3B	0.802003
RN7SL386P	0
RNU6-1022P	0
CELA3A	2.62699
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0
RP1-224A6.8	0
RP1-224A6.9	0.431402
WNT4	0.401334
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40	4.50829
ZBTB40-IT1	0.202982
EPHA8	0.00530822
MIR6127	0
EPHB2	0.0795506
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.0470233
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
LUZP1	1.80774
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0
RP5-1057J7.1	0
LINC01355	3.32621
ZNF436	2.32968
ZNF436-AS1	1.18405
RP5-1057J7.7	2.00566
RP4-654C18.1	0.0527605
E2F2	0.107275
RP1-150O5.3	0
MDS2	0.0339932
RP11-223J15.2	0
ELOA-AS1	2.18723
CNR2	0.0632216
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.054178
RP11-293P20.4	0
IL22RA1	4.72606
RP11-10N16.2	0
RP11-10N16.3	0.0786388
GRHL3	0.188691
STPG1	0.390177
NIPAL3	1.16316
RCAN3	0.806273
RP4-594I10.3	0.304009
NCMAP	1.05136
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	1.39883
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.265002
RP3-465N24.5	0.245744
RHD	0.153195
SDHDP6	0.207156
RP11-335G20.7	0
RHCE	0.542472
RP3-469D22.1	0.17501
RP11-70P17.1	0.301936
RP1-187B23.1	0.106582
RP1-317E23.3	0.537231
AUNIP	0.276611
RP1-125I3.2	0
PAQR7	2.96991
Y_RNA	0
STMN1	1.50445
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.0245943
SLC30A2	0.0369625
RP11-96L14.9	0
TRIM63	0.0900944
PDIK1L	3.33027
FAM110D	0.241764
RP11-96L14.8	0
RP11-96L14.7	0.0826957
ZNF593	0
CNKSR1	1.21535
CATSPER4	0
RP11-231P20.2	3.3677
RP11-231P20.6	0
CEP85	3.17788
RP11-231P20.5	0
CD52	3.9346
AIM1L	0.0531265
RP11-569G9.7	0
ZNF683	0.0735069
LIN28A	0
RP3-476K8.4	0.117494
RP3-476K8.3	0.144996
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.398383
RN7SL165P	0
SFN	1.07289
KDF1	3.15516
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
TRNP1	1.83437
FAM46B	0.246614
SLC9A1	2.14315
RP11-40H20.5	0
CHCHD3P3	0
NPM1P39	0.0790771
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0
RNU6-48P	0
ACTG1P20	0.443481
SYTL1	1.74874
CD164L2	0
RP1-144C9.2	0
GPR3	0.0736473
RP4-752I6.1	0
RP1-159A19.4	0
AHDC1	4.86668
RP1-159A19.3	0.533845
RP11-288L9.1	0
RP11-288L9.4	0.0175556
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
FAM76A	2.8885
RP3-426I6.2	0.160069
RPEP3	0
RP3-426I6.5	0.309417
RP3-426I6.6	0.510944
RNU6-1245P	0
SCARNA1	0
THEMIS2	2.65988
SMPDL3B	0.130604
RP11-460I13.2	0
EYA3	4.11963
RP11-460I13.6	0.385965
RN7SL559P	0
SPCS2P4	0.7125
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	0.440124
RP5-1092A3.4	4.05847
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	0.862637
SNORA73B	1.34918
PRDX3P2	0.121872
RP4-669K10.8	0.24244
TRNAU1AP	2.59359
SNHG12	4.60292
SNORD99	0
SNORA44	1.62708
SNORA16A	0
RAB42	0.245443
LINC01715	0.441703
RNU11	0
GMEB1	1.59655
SCARNA24	0
OPRD1	0.0546834
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	2.47477
RP11-242O24.3	0
uc_338	0.929765
RP11-467D18.2	0.167597
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.0210241
MATN1-AS1	0.660759
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.0489773
RN7SKP91	0
RP1-65J11.5	0
SDC3	4.21508
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0
SNRNP40	4.77203
RP11-490K7.4	0.685268
RP11-266K22.2	0
FABP3	1.88647
RP11-439L8.2	0
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.0120089
RP11-73M7.1	0.0563571
HCRTR1	0.0128931
RP11-73M7.6	0.0944341
RP11-73M7.9	0
COL16A1	1.39688
ADGRB2	0.0584194
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.039474
RP11-84A19.2	0.0209157
RP11-84A19.4	0.290968
RP4-534N18.2	0.0706943
RP11-277A4.4	0.0448591
MIR5585	0
Metazoa_SRP	0
CCDC28B	1.04901
RP4-622L5.7	0.31421
IQCC	1.08319
DCDC2B	0.119802
TMEM234	4.75163
MTMR9LP	3.23629
LCK	1.60667
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.0435645
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.00392925
ZBTB8A	0.920837
Y_RNA	0
SYNC	0.126506
RP11-114B7.6	0
S100PBP	3.46464
FNDC5	4.13719
HPCA	0.0585844
RP5-1174N9.2	0.120389
RP4-803A2.1	0
RP4-803A2.2	0
Metazoa_SRP	0
RP1-117O3.2	0.0384455
AZIN2	0.47919
RP11-131M11.2	0.195432
TRIM62	1.23806
RP11-131M11.3	0.0964908
RP11-415J8.7	0.162575
A3GALT2	0.0551014
RP11-415J8.3	1.76792
MIR3605	0.310669
RN7SKP16	1.10556
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.28259
RP4-580O19.2	0
CSMD2	0.0121628
HSPD1P14	0
HMGB4	0.0185805
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.219205
GJB4	0.0248544
GJB3	0.349575
RP1-34M23.5	0
RP5-997D16.2	3.36849
DLGAP3	0.109674
RP11-244H3.1	1.56968
ZMYM6	3.07711
RPL12P45	0
ZMYM1	2.42249
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	1.88832
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.148177
TFAP2E	0.264969
C1orf216	3.30088
CLSPN	0.0417601
RP11-435D7.3	0
AGO1	2.52826
RP4-789D17.4	0
AGO3	1.76376
RP4-665N4.8	0.120539
RP4-665N4.4	0
TEKT2	0.098916
COL8A2	0.367412
RN7SL131P	0
UBE2V2P4	0
SH3D21	0.685302
RP11-268J15.5	1.67896
RNU4-27P	0
OSCP1	0.674247
SNORA63	0
FTLP18	0
RP4-614N24.1	0
GRIK3	0.0336573
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
MIR6732	0
MIR5581	0
SNIP1	4.12314
FTH1P1	0.154594
RP3-423B22.5	0.147554
DNALI1	4.10128
RSPO1	0.0341014
C1orf109	2.55641
CDCA8	0.589708
EPHA10	0.0268754
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	2.40993
MTF1	1.81255
RP11-109P14.8	0
INPP5B	4.97722
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0
FHL3	3.91699
POU3F1	0.0180837
RP5-884C9.2	0
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0559081
RP5-864K19.4	0.674203
GJA9	0.088279
RHBDL2	0.179024
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.256824
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.417223
OXCT2P1	0.10975
RP11-69E11.4	4.0398
PPIEL	0.599054
SNORA55	0.467501
RP11-69E11.8	0.112438
HEYL	2.29616
RP1-144F13.3	0
NT5C1A	0
HPCAL4	0.0233772
RP1-144F13.4	0
RNU7-121P	0
BMP8B	0.493377
OXCT2	0.116316
RP1-118J21.25	0.0525991
RP1-118J21.24	0
Y_RNA	0
MYCL	3.20228
RP1-118J21.5	0.106531
Y_RNA	0
RP11-115D7.3	0
RLF	4.67134
RNU6-1237P	0
TMCO2	0
RP1-39G22.7	3.07468
RP1-39G22.4	0
COL9A2	0.512168
RP1-228H13.1	0.0400547
RP1-228H13.2	0
ZFP69B	0.286626
RP1-228H13.5	0.457188
RP11-656D10.7	0.036318
ZFP69	1.03387
RP11-656D10.3	0.461681
EXO5	1.97454
RP11-656D10.5	0
RP11-656D10.6	0.482797
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	0.279687
RP4-739H11.3	0
NFYC-AS1	1.75377
MIR30E	0
MIR30C1	0
KCNQ4	0.336144
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	1.46467
SLFNL1	0.998722
RPL23AP17	0
RP11-399E6.1	0.0449316
RP11-399E6.2	0
FOXO6	0.165475
RP11-399E6.4	0.080559
RNA5SP45	0
EDN2	0.373837
HIVEP3	0.443865
RP11-486B10.3	0
RP11-486B10.4	0.0686505
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	1.71342
GUCA2A	0.101851
RP11-223A3.1	0.334494
RIMKLA	0.0642785
RP11-157D18.2	0
ZMYND12	2.59407
CCDC30	0.252075
RP11-163G10.2	0
TMSB4XP1	0.161171
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.266641
CLDN19	0.0230249
RP5-994D16.9	0.84082
TMEM269	0.0732808
RP11-342M1.3	0.421938
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0
SLC2A1	1.57971
RP5-848E13.5	0
SLC2A1-AS1	0.0489026
RP5-848E13.4	0
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.0335117
CFAP57	0.455487
RNA5SP46	0.519832
TMEM125	0.479136
C1orf210	1.62311
TIE1	2.72232
MPL	0.0398599
RP1-92O14.3	0.258207
CDC20	0.316268
RP1-92O14.6	1.35048
SZT2-AS1	0
HYI-AS1	0.0843448
KDM4A-AS1	1.14575
ST3GAL3	4.67872
RP11-184I16.4	0
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0.0196156
ARTN	0.195119
RP11-7O11.3	0.165213
CCDC24	2.93476
SLC6A9	0.598648
RP5-1198O20.4	0.0113965
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0
RP11-570P14.1	0.0780725
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0
ERI3-IT1	0.0407528
RNU6-369P	0
MIR5584	0
RNU5F-1	0.379649
RNU5D-1	0
KIF2C	0.236682
RP11-269F19.2	0
SNORD46	0.617361
SNORD38A	0
RPS15AP11	0.18151
BEST4	0.354736
PLK3	3.06884
TCTEX1D4	0.343326
BTBD19	1.66842
PTCH2	0.800926
RP5-882O7.1	0.389665
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.0497458
MRPS17P1	0.0119829
ZSWIM5	0.397357
OSTCP5	0
LINC01144	1.26554
HPDL	0.0649242
TESK2	4.1478
RP11-291L19.1	0
CCDC163	1.18414
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	2.80404
RPS15AP10	0.76078
RP11-767N6.2	0.572211
IPP	1.8563
RP11-767N6.7	2.53519
RP11-630I5.1	0
TMA16P2	0
PIK3R3	1.15447
RP4-533D7.4	0
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	3.09559
RP11-322N21.2	0
LURAP1	0.15526
RAD54L	0.114718
NSUN4	2.74699
RP4-603I14.3	0
FAAHP1	0.256971
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.286305
KNCN	0
MOB3C	4.02883
NENFP1	0
TEX38	0.0424009
EFCAB14-AS1	0.04397
RP11-8J9.5	0
CYP4B1	0.079875
CYP4Z2P	0
RP11-346M5.1	0
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	1.77857
CYP4Z1	0.335865
RP11-184J23.2	0
CYP4A22-AS1	0.0322329
MTND1P34	0
LINC00853	0.252666
PDZK1IP1	1.10578
TAL1	0.962533
RP1-18D14.7	0.192352
STIL	0.388315
LINC01389	0.376963
FOXE3	0.0221904
FOXD2-AS1	1.61602
FOXD2	0.435863
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	2.8073
RP11-330M19.1	0.0729092
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.0621891
RP5-1024N4.6	0
RP5-1024N4.2	0
RP5-1024N4.4	0.539678
RP5-1024N4.5	0.0279516
SPATA6	0.863358
PPP1R8P1	0
RNU6-723P	0
RP11-329A14.1	0.0913851
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.110088
BEND5	0.253827
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.0138769
RP11-492I2.1	0
RP11-567C20.2	0.197548
RP11-567C20.3	0
RP11-183G22.1	0.112274
HMGB1P45	0
FCF1P6	0
DMRTA2	0
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.216857
MRPS6P2	0
CDKN2C	1.21164
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0264483
LINC01562	0.036545
RP11-296A18.5	0.182622
RP11-296A18.6	0
TTC39A	0.227495
TTC39A-AS1	0
RP11-275F13.3	0.0910896
RNU6-877P	0
RP11-253A20.1	0.0381071
RP11-191G24.1	1.43799
RNU6-1281P	0
CALR4P	0.169933
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	1.1014
RP4-657D16.6	0.133113
MIR761	0
TSEN15P2	0
RAB3B	0.0497486
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
ZFYVE9	3.21951
RN7SL788P	0
RP4-800M22.1	0.323481
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.101373
RP11-155O18.6	1.35503
PLA2G12AP1	0.127173
ORC1	0.272055
ZCCHC11	4.68312
RP11-25O10.2	0
EEF1GP7	0
GPX7	1.41878
FAM159A	0.0889261
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	0.631235
RNU6-969P	0
ZYG11A	0.751602
RP4-631H13.2	0.106302
RP4-631H13.6	4.08087
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0.10297
RP11-334A14.2	0
TUBBP10	0
PODN	3.94102
SLC1A7	0.64044
RP11-334A14.8	0.183636
RP5-1024G6.9	0
RP5-1024G6.2	0.277535
RP5-1024G6.7	0
