Name	Spleen
HS6ST1P1	0.805718
CROCCP5	0
NBPF3	2.27711
PFN1P10	0
RP11-63N8.3	0.373318
RAP1GAP	1.20677
RP11-132G19.3	0
LDLRAD2	2.7373
RP11-26H16.1	0.105336
RP11-26H16.4	0.0426904
CELA3B	1.29008
RN7SL386P	0
RNU6-1022P	0
CELA3A	4.14567
RN7SL186P	0
RNU6-776P	0
LINC01635	0.164596
CDC42-IT1	0.162244
RP1-224A6.8	0.20226
RP1-224A6.9	1.87966
WNT4	0.491498
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.720522
EPHA8	4.48762
MIR6127	0
EPHB2	1.44062
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.0873408
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.034563
RP5-1057J7.1	0
RP5-1057J7.7	0.546341
RP4-654C18.1	0
RP1-150O5.3	0.467168
MDS2	0.943516
RP11-223J15.2	0
ELOA-AS1	3.80231
BTBD6P1	2.18591
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0348345
RP11-293P20.4	0
IL22RA1	0.0617165
IFNLR1	4.13888
RP11-10N16.2	0.0300914
RP11-10N16.3	0
GRHL3	0.0785759
STPG1	1.09658
RP4-594I10.3	0
NCMAP	0.131474
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
MIR6731	0
RP11-84D1.1	0.725658
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0.0586899
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.927341
RP3-465N24.5	2.38953
RHD	1.16979
SDHDP6	1.25233
RP11-335G20.7	0
RHCE	0.434372
RP3-469D22.1	0.156587
RP11-70P17.1	2.43958
RP1-187B23.1	0.991706
RP1-317E23.3	0.927824
AUNIP	1.11099
RP1-125I3.2	0.401771
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
SLC30A2	0.0326369
RP11-96L14.9	0
TRIM63	0.15442
PDIK1L	4.77257
FAM110D	1.0327
RP11-96L14.8	0
RP11-96L14.7	0.292012
ZNF593	0
CNKSR1	3.52913
CATSPER4	0
RP11-231P20.2	0.373018
RP11-231P20.6	0
RP11-231P20.5	0.0909978
AIM1L	0.226215
RP11-569G9.7	0.0941538
ZNF683	0.548016
LIN28A	0.021119
RP3-476K8.4	0.513963
RP3-476K8.3	1.46273
DPPA2P2	0.0856048
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	1.01136
RN7SL165P	0.129205
SFN	1.23529
KDF1	1.04438
RPL12P13	0.0581137
RP11-344H11.5	0
OSTCP2	0
FAM46B	0.849514
RP11-40H20.5	0
CHCHD3P3	0.0579352
NPM1P39	0.25239
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.946045
RNU6-48P	0.275112
ACTG1P20	1.28616
CD164L2	0.0453228
RP1-144C9.2	0
GPR3	0.44942
RP4-752I6.1	0
RP1-159A19.4	1.1345
RP1-159A19.3	1.219
RP11-288L9.1	0.108237
RP11-288L9.4	0.202184
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.338349
RPEP3	0
RP3-426I6.5	0.89331
RP3-426I6.6	2.13342
RNU6-1245P	0
SCARNA1	0
SMPDL3B	1.56003
RP11-460I13.2	0
RP11-460I13.6	0.669248
RN7SL559P	0
SPCS2P4	1.67557
RP5-1053E7.2	0
RP5-1053E7.3	0.0614791
RNU6-176P	0
RP5-1092A3.5	0.0679588
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	4.31226
PRDX3P2	0.179636
RP4-669K10.8	0.420205
SNORD99	0
SNORA16A	0
RAB42	3.66213
LINC01715	0.599298
RNU11	0
SCARNA24	0
OPRD1	0.154171
RP1-212P9.3	0.125437
Y_RNA	0
RP4-604A21.1	0.135328
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	1.81799
RP11-467D18.2	0.337231
PTPRU	4.20183
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0.0300892
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.328881
MATN1-AS1	3.79445
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.154153
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.0101798
RP11-490K7.4	2.01505
RP11-266K22.2	0
SERINC2	3.28749
RP11-439L8.2	0.0212067
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.0726135
RP11-73M7.1	3.05634
HCRTR1	0.0432712
RP11-73M7.6	0.48827
RP11-73M7.9	0
ADGRB2	1.23942
MIR4254	0
RP11-84A19.3	0
SPOCD1	1.89832
RP11-84A19.2	0
RP11-84A19.4	0.820244
RP4-534N18.2	0.311137
RP11-277A4.4	0.128631
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	1.61444
IQCC	4.35271
DCDC2B	0.589545
FAM167B	2.75171
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.43783
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.00946392
ZBTB8A	1.19929
Y_RNA	0
SYNC	1.38611
RP11-114B7.6	0
KIAA1522	2.32608
FNDC5	0.451644
HPCA	0.276128
RP5-1174N9.2	0.576472
RP4-803A2.1	0.521663
RP4-803A2.2	0.221872
Metazoa_SRP	0
RP1-117O3.2	0.0447031
AZIN2	2.06146
RP11-131M11.2	2.00613
RP11-131M11.3	0.679326
RP11-415J8.7	0.846228
A3GALT2	0.290747
MIR3605	0.903744
RN7SKP16	3.02257
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.951899
RP4-580O19.2	0.134028
CSMD2	0.250783
HSPD1P14	0
HMGB4	0.0144782
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.15491
GJB4	0.0166059
GJB3	0.113428
RP1-34M23.5	0
DLGAP3	3.1611
RPL12P45	0
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	3.93004
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	4.52354
TFAP2E	3.85304
CLSPN	1.47122
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	4.1129
RP4-665N4.8	0.698934
RP4-665N4.4	0
TEKT2	0.134482
RN7SL131P	0
UBE2V2P4	0
SH3D21	4.24609
RNU4-27P	0
OSCP1	1.26217
SNORA63	0
FTLP18	0
RP4-614N24.1	0
GRIK3	0.15475
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
MIR6732	0
MIR5581	0
FTH1P1	0.43666
RP3-423B22.5	0.619004
DNALI1	1.65826
RSPO1	0.591746
EPHA10	0.11442
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	1.59232
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.373298
POU3F1	0.173253
RP5-884C9.2	0
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0.270553
RP11-334L9.1	0.0559435
RP5-864K19.4	1.06565
GJA9	0.199814
RHBDL2	0.437231
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.632811
RP11-420K8.1	0
HSPE1P8	0
BMP8A	1.44643
OXCT2P1	0.579694
PPIEL	2.14048
SNORA55	1.07015
RP11-69E11.8	0.273773
RP1-144F13.3	0
NT5C1A	0
HPCAL4	0.369567
RP1-144F13.4	0
RNU7-121P	0
BMP8B	2.63441
OXCT2	0.62458
RP1-118J21.25	0.990163
RP1-118J21.24	0
Y_RNA	0
MYCL	2.46751
RP1-118J21.5	0
Y_RNA	0
MFSD2A	2.18874
RP3-342P20.2	0.60819
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0.0894719
RP1-39G22.4	0
RP1-228H13.1	0.127174
RP1-228H13.2	0.101988
ZFP69B	1.09699
RP1-228H13.5	1.50221
RP11-656D10.7	0.631183
ZFP69	4.50581
RP11-656D10.3	1.67201
RP11-656D10.5	0
RP11-656D10.6	1.11574
ZNF684	3.67175
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	2.29519
RP4-739H11.3	0
MIR30E	0
MIR30C1	0
KCNQ4	0.691622
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.766535
SLFNL1	0.570904
RPL23AP17	0
RP11-399E6.1	0.0879506
RP11-399E6.2	0
FOXO6	0.964547
RP11-399E6.4	0.767199
RNA5SP45	0
EDN2	0.0386578
HIVEP3	2.34703
RP11-486B10.3	0
RP11-486B10.4	0.0477382
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0.295928
RP11-223A3.1	0.84667
RIMKLA	0.310393
RP11-157D18.2	0
ZMYND12	1.50587
CCDC30	0.808879
RP11-163G10.2	0
TMSB4XP1	1.98202
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	1.52919
CLDN19	0.00877688
RP5-994D16.9	1.65985
TMEM269	0.239061
RP11-342M1.3	0.576238
RP11-342M1.7	0.0139778
RP11-342M1.6	0
ATP6V1E1P1	0
RP5-848E13.5	0.542322
SLC2A1-AS1	0.564849
RP5-848E13.4	0
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.141849
CFAP57	0.0529875
RNA5SP46	0
TMEM125	0.362641
C1orf210	0.0623443
MPL	0.252172
RP1-92O14.3	1.11656
RP1-92O14.6	2.43028
SZT2-AS1	0
HYI-AS1	0.149541
PTPRF	4.5036
KDM4A-AS1	2.69282
RP11-184I16.4	0
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.575768
RP11-7O11.3	1.07834
SLC6A9	2.10663
RP5-1198O20.4	0.120246
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0178102
RP11-570P14.1	0.246982
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0723013
ERI3-IT1	0.181608
RNU6-369P	0
MIR5584	0
TMEM53	3.96242
RNU5F-1	0
RNU5D-1	0
KIF2C	3.96114
RP11-269F19.2	0.335805
SNORD46	2.06651
SNORD38A	0
RPS15AP11	0.552566
BEST4	0.963007
TCTEX1D4	0.695878
BTBD19	4.66288
PTCH2	3.66493
RP5-882O7.1	1.34955
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.120453
MRPS17P1	0.0301583
ZSWIM5	2.6604
OSTCP5	0
LINC01144	1.77049
HPDL	2.37272
RP11-291L19.1	0.0900628
CCDC163	4.92478
MMACHC	2.85172
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
RPS15AP10	1.09039
RP11-767N6.2	1.38723
IPP	2.81719
RP11-767N6.7	3.18939
RP11-630I5.1	0.0502847
TMA16P2	0
RP4-533D7.4	0.134867
RP4-533D7.3	0
RP4-533D7.5	0.146331
TSPAN1	1.48651
RP11-322N21.2	0
LURAP1	1.96975
RAD54L	1.96196
RP4-603I14.3	0
FAAHP1	0.396809
LINC01398	0.0339718
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	1.17359
KNCN	0
NENFP1	0
TEX38	0.0661358
EFCAB14-AS1	0.146385
RP11-8J9.5	0
CYP4B1	0.332079
CYP4Z2P	0
RP11-346M5.1	0
CYP4A11	0.018219
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	0.496778
CYP4Z1	0.0322499
RP11-184J23.2	0
CYP4A22-AS1	0.0478125
CYP4A22	0
MTND1P34	0
LINC00853	0.535711
PDZK1IP1	2.09863
RP1-18D14.7	1.94451
STIL	2.18272
LINC01389	0.757028
FOXE3	0.0452231
FOXD2-AS1	3.93651
FOXD2	1.16904
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	2.11359
RP11-330M19.1	0.0370846
RP4-683M8.2	0.0230297
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.598234
RP5-1024N4.6	0.0250246
RP5-1024N4.2	0.0419208
SLC5A9	1.4908
RP5-1024N4.4	4.37077
RP5-1024N4.5	0.191005
SPATA6	4.99711
PPP1R8P1	0.188975
RNU6-723P	0
RP11-329A14.1	0.0460264
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.0617428
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.0284993
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.387771
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0125011
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.155046
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0979706
LINC01562	0.0886979
RP11-296A18.5	0.603044
RP11-296A18.6	0.0688657
TTC39A	0.16262
TTC39A-AS1	0
RP11-275F13.3	0.274314
RNU6-877P	0
RP11-253A20.1	0.165076
RP11-191G24.1	0.563726
RNU6-1281P	0
CALR4P	0.06031
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	3.2567
RP4-657D16.6	0.865857
MIR761	0
TSEN15P2	0.0917725
RAB3B	0.094
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
ZFYVE9	3.91134
RN7SL788P	0
RP4-800M22.1	0.372726
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	4.34016
PLA2G12AP1	0.370946
ORC1	2.69988
RP11-25O10.2	0
EEF1GP7	0.0492751
FAM159A	4.43382
COA7	4.74951
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	2.05491
RNU6-969P	0
ZYG11A	0.169818
RP4-631H13.2	0
RP4-631H13.6	1.32503
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
PODN	1.74768
SLC1A7	0.364337
RP11-334A14.8	0.0248813
RP5-1024G6.9	0
RP5-1024G6.2	0.544622
RP5-1024G6.7	0.0179256
RP5-1024G6.5	0.337709
LRP8	3.93316
RP4-784A16.1	0
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.564266
RP11-117D22.1	0
RP11-117D22.2	2.16295
SLC25A3P1	0
DMRTB1	0
GLIS1	0.274137
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.355727
HNRNPA3P12	0.134541
LDLRAD1	0
RP4-758J24.6	2.82619
TCEANC2	3.20322
MIR4781	0
RP4-758J24.4	0
CDCP2	0.940777
RP11-446E24.3	0.478813
CYB5RL	4.71243
SSBP3-AS1	1.99959
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	0.244367
FAM151A	0.431058
RP11-240D10.4	0
MROH7	1.09535
PARS2	3.01846
TTC22	2.61202
RP11-67L3.2	0
LEXM	0.230248
RP11-67L3.5	0
RP11-67L3.4	0.176873
TMEM61	0.286952
BSND	0.179714
PCSK9	0.202812
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.153467
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0.0514346
RPSAP20	0.245625
RP11-504A18.1	0.469924
LINC01767	0.0901691
RPL21P23	0
RPL23AP85	0
RP11-377K22.2	0
PRKAA2	1.64777
C1orf168	0.0119065
RP11-378I13.1	0
C8A	0
C8B	0.0223559
RP5-1103B4.3	0
DAB1	0.103322
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.033771
RPS26P15	0.130355
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0
RN7SL713P	0
TACSTD2	1.36173
RP4-592A1.2	0.263348
RP11-63G10.4	0.0765794
LINC01135	0.246639
RP11-63G10.3	0.954626
RP11-63G10.2	0
RP4-794H19.1	0.718919
LINC01358	0.362765
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0
RP11-467C18.1	0.157301
FGGY	0.954844
MIR4711	0
RP4-782L23.2	0.132846
HOOK1	1.66459
CYP2J2	0.276191
RN7SL475P	0
C1orf87	0.0142348
PGBD4P8	0
RP11-575B7.3	0
LINC01748	1.15053
RP11-436K8.1	1.50595
NFIA-AS2	0.0218753
RP4-802A10.1	0.209066
NFIA-AS1	0
RP11-430G17.1	0.055186
RP11-430G17.3	1.68477
PATJ	2.66313
