Name	Pituitary
RN7SL386P	0
RNU6-1022P	0
CELA3A	2.63632
RN7SL186P	0
RNU6-776P	0
LINC01635	0.0651591
CDC42-IT1	0.187632
RP1-224A6.8	0.172969
RP1-224A6.9	0.999014
MIR4418	0
RP11-415K20.1	0.28333
RP11-415K20.2	0
ZBTB40-IT1	1.21835
EPHA8	1.36378
MIR6127	0
EPHB2	2.05392
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.274427
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.283548
RP5-1057J7.1	0
RP5-1057J7.7	0.640203
RP4-654C18.1	0
E2F2	0.0747386
RP1-150O5.3	0.853682
MDS2	0.129829
RP11-223J15.2	0
CNR2	0.0222496
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.0660464
RP11-293P20.4	0
IL22RA1	2.90461
RP11-10N16.2	0.0533328
RP11-10N16.3	0
GRHL3	0.292343
RP4-594I10.3	3.98062
RP11-496D1.2	0.265669
Y_RNA	0
RNU6-1208P	0
RUNX3	0.991893
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	1.28967
RP3-465N24.5	1.37434
RHD	0.442589
SDHDP6	0.71601
RP11-335G20.7	0
RHCE	4.32607
RP3-469D22.1	0.101947
RP11-70P17.1	1.11348
RP1-187B23.1	0.422829
RP1-317E23.3	2.14591
AUNIP	0.714767
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0.128678
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	1.64291
SLC30A2	0.064345
RP11-96L14.9	0
TRIM63	0.184816
FAM110D	2.04295
RP11-96L14.8	0.346244
RP11-96L14.7	0.67804
ZNF593	0
CATSPER4	0.112198
RP11-231P20.2	3.05526
RP11-231P20.6	0
RP11-231P20.5	0.110717
CD52	3.10293
AIM1L	0.343133
RP11-569G9.7	0
ZNF683	0.25198
LIN28A	0.0426431
RP3-476K8.4	0.6815
RP3-476K8.3	2.59086
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	1.51987
RN7SL165P	0
SFN	1.71729
NR0B2	0.51095
RPL12P13	0.14037
RP11-344H11.5	0.242767
OSTCP2	0.448448
FAM46B	3.6098
RP11-40H20.5	0
CHCHD3P3	0
NPM1P39	0.229655
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	2.10456
RNU6-48P	0.491078
ACTG1P20	2.38896
FCN3	2.98854
RP1-144C9.2	0
RP4-752I6.1	0
RP1-159A19.4	3.92387
FGR	3.2995
RP1-159A19.3	1.94381
RP11-288L9.1	0.224782
RP11-288L9.4	0.28055
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	1.3363
RPEP3	0
RP3-426I6.5	1.44193
RP3-426I6.6	2.36121
RNU6-1245P	0
SCARNA1	0
SMPDL3B	1.24127
RP11-460I13.2	0
RP11-460I13.6	0.710632
RN7SL559P	0
SPCS2P4	1.42429
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	0.797134
RP5-1092A3.5	0.326496
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	1.99821
SNORA73B	2.68409
PRDX3P2	0.0757015
RP4-669K10.8	0.10999
SNORD99	0
SNORA16A	0
RAB42	0.434817
LINC01715	1.82292
RNU11	0
SCARNA24	0
OPRD1	0.178256
RP1-212P9.3	0.0569516
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	3.95292
RP11-242O24.3	0
uc_338	2.09519
RP11-467D18.2	0.325887
LINC01756	0.034111
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0.134203
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.608024
MATN1-AS1	2.0935
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.179731
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	3.73777
RP11-490K7.4	2.37407
RP11-266K22.2	0
RP11-439L8.2	0.0390197
RNU6-40P	0
LINC01225	0.042655
Y_RNA	0
LINC01226	0.0340746
RP11-73M7.1	0.298212
HCRTR1	0.952378
RP11-73M7.6	1.79079
RP11-73M7.9	0.0969795
MIR4254	0
RP11-84A19.3	0
SPOCD1	1.57937
RP11-84A19.2	0
RP11-84A19.4	0.68657
RP4-534N18.2	0.319431
RP11-277A4.4	0.186853
MIR5585	0
Metazoa_SRP	0
DCDC2B	1.98054
LCK	0.970812
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.391211
GAPDHP20	0.851912
RP11-395N6.4	0.227985
LRRC37A12P	0.659934
RN7SL122P	0
ZBTB8B	1.37236
ZBTB8A	2.99605
Y_RNA	0
SYNC	0.747353
RP11-114B7.6	0
HPCA	2.40635
RP5-1174N9.2	0.260498
RP4-803A2.1	0.158228
RP4-803A2.2	0.155033
Metazoa_SRP	0
RP1-117O3.2	0.102004
RP11-131M11.2	2.54493
RP11-131M11.3	1.10131
RP11-415J8.7	1.22855
A3GALT2	0.228452
RP11-415J8.3	3.72766
MIR3605	0.667955
RN7SKP16	2.65441
RP11-415J8.5	0.152758
TLR12P	0
ZSCAN20	1.62542
RP4-580O19.2	0.405746
CSMD2	0.172706
HSPD1P14	0
HMGB4	0.026236
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	1.20662
GJB4	0.0169408
GJB3	0.13402
RP1-34M23.5	0
RPL12P45	0
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	4.57811
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.798147
CLSPN	0.0888142
RP11-435D7.3	0
RP4-789D17.4	0
RP4-665N4.8	0.245792
RP4-665N4.4	0.976054
RN7SL131P	0
UBE2V2P4	0
SH3D21	4.54054
RNU4-27P	0
SNORA63	1.98737
FTLP18	0
RP4-614N24.1	0
GRIK3	1.33716
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
MIR6732	0
MIR5581	0
FTH1P1	0.300336
RP3-423B22.5	0.47803
RSPO1	0.241647
CDCA8	1.22078
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0.11805
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0
POU3F1	0.0408264
RP5-884C9.2	0.0684811
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.105753
RP5-864K19.4	3.20705
GJA9	0.845824
RHBDL2	1.93926
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.4314
RP11-420K8.1	0.249137
HSPE1P8	0
BMP8A	1.65743
OXCT2P1	0.25697
PPIEL	4.72629
SNORA55	1.42522
RP11-69E11.8	0.402696
RP1-144F13.3	0.143092
NT5C1A	0.0368927
HPCAL4	2.68143
RP1-144F13.4	0.153115
RNU7-121P	0
OXCT2	0.798997
RP1-118J21.25	1.37336
RP1-118J21.24	0
Y_RNA	0
MYCL	2.28807
RP1-118J21.5	0.0936151
Y_RNA	0
RP3-342P20.2	3.43565
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0.055903
RP1-39G22.4	0
RP1-228H13.1	0.195546
RP1-228H13.2	0
ZFP69B	1.85059
RP1-228H13.5	2.75992
RP11-656D10.7	0.484447
ZFP69	2.37695
RP11-656D10.3	2.91471
EXO5	3.45483
RP11-656D10.5	0
RP11-656D10.6	0.747001
ZNF684	1.9566
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	0.979086
RP4-739H11.3	0
MIR30E	0
MIR30C1	0
KCNQ4	2.57943
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	1.03856
SLFNL1	1.17493
RPL23AP17	0
RP11-399E6.1	0.466279
RP11-399E6.2	0
RP11-399E6.4	2.55952
RNA5SP45	0
EDN2	1.71455
RP11-486B10.3	0
RP11-486B10.4	0.789938
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0.14947
RP11-223A3.1	2.059
RIMKLA	2.08506
RP11-157D18.2	0.236655
RP11-163G10.2	0.0303454
TMSB4XP1	0.389638
RNU6-536P	0
RP11-163G10.4	0.149243
RP5-994D16.3	1.975
CLDN19	0.0186725
RP5-994D16.9	2.59327
TMEM269	0.26496
RP11-342M1.3	0.797468
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.0649939
RP5-848E13.5	0.21121
RP5-848E13.4	0.131706
RNU6-880P	0
U6	0
RP3-393B19.1	0
CFAP57	3.19834
RNA5SP46	0
MPL	0.285176
RP1-92O14.3	1.99338
CDC20	0.496733
SZT2-AS1	0
HYI-AS1	2.21025
KDM4A-AS1	3.10478
RP11-184I16.4	0.819947
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
RP11-7O11.3	4.03685
SLC6A9	2.22508
RP5-1198O20.4	0.341864
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0141363
RP11-570P14.1	0.31726
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.286225
ERI3-IT1	0.311401
RNU6-369P	0
MIR5584	0
RNU5F-1	0.574603
RNU5D-1	0
KIF2C	0.773847
RP11-269F19.2	0.428506
SNORD46	2.11013
SNORD38A	0
RPS15AP11	0.519883
TCTEX1D4	1.46645
RP5-882O7.1	2.39246
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.293709
MRPS17P1	0.0784018
OSTCP5	0
HPDL	0.578241
TESK2	4.918
RP11-291L19.1	0
MMACHC	2.65945
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	2.18941
RPS15AP10	1.41803
RP11-767N6.2	1.56478
IPP	4.89337
RP11-630I5.1	0.0760923
TMA16P2	0
RP4-533D7.4	0.362352
RP4-533D7.3	0
RP4-533D7.5	1.59154
RP11-322N21.2	0.0626249
LURAP1	3.7349
RAD54L	0.444535
RP4-603I14.3	0
FAAHP1	1.22754
LINC01398	0.0929133
DMBX1	0.712972
RP11-49P4.7	0
MKNK1-AS1	0.848958
KNCN	0.635231
NENFP1	0.10071
TEX38	0.895729
EFCAB14-AS1	0.167249
RP11-8J9.5	0
CYP4Z2P	0.0688362
RP11-346M5.1	0
CYP4A11	0.0647131
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	4.76068
CYP4Z1	0.833561
RP11-184J23.2	0
CYP4A22-AS1	0.101891
CYP4A22	0.0902764
MTND1P34	0
LINC00853	0.490167
PDZK1IP1	0.980078
TAL1	2.86824
RP1-18D14.7	0.771428
STIL	0.750735
LINC01389	0.5143
FOXE3	0.0766735
FOXD2-AS1	2.25489
FOXD2	1.22367
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0.0386095
TRABD2B	2.56445
RP11-330M19.1	0.130216
RP4-683M8.2	0.0243051
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	1.74131
RP5-1024N4.6	0.0764851
RP5-1024N4.2	0
SLC5A9	1.005
RP5-1024N4.5	1.4022
PPP1R8P1	1.28334
RNU6-723P	0
RP11-329A14.1	0.109999
RNU4-61P	0
RP11-329A14.2	0.463588
AGBL4	1.78255
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0.0397278
RP5-926E3.1	0
ZNF859P	0.0177019
RP11-93G23.2	0.023762
MTND2P29	0
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.310828
HMGB1P45	0
FCF1P6	0
DMRTA2	3.90746
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.245051
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0637882
LINC01562	0.205636
RP11-296A18.5	0.369858
RP11-296A18.6	0.197462
TTC39A-AS1	1.04192
RP11-275F13.3	0.226027
RNU6-877P	0
RP11-253A20.1	0.180758
RP11-191G24.1	0.6802
RNU6-1281P	0
CALR4P	0.0577109
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	3.01853
RP4-657D16.6	0.458739
MIR761	0
TSEN15P2	0
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.171873
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.800169
RP4-800M22.2	0
PDCL3P6	0.0730174
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.125866
PLA2G12AP1	1.0927
ORC1	0.83181
RP11-25O10.2	0.33264
EEF1GP7	0.109138
FAM159A	1.43053
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	1.44432
RNU6-969P	0
ZYG11A	0.330622
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	0.204774
RP11-334A14.8	0.0478819
RP5-1024G6.9	0
RP5-1024G6.2	0.754113
RP5-1024G6.7	0.098664
RP5-1024G6.5	3.76521
RP4-784A16.1	0.246027
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0.676061
RP11-117D22.1	0
RP11-117D22.2	0
SLC25A3P1	0
DMRTB1	0
GLIS1	0.161446
RNU7-95P	0
NDC1	3.62739
SNORA58	0
RP4-654H19.2	0
DIO1	0.13513
HNRNPA3P12	0.19351
LDLRAD1	0.0390798
RP4-758J24.6	2.43604
TCEANC2	2.05765
MIR4781	0
RP4-758J24.4	0
CDCP2	0.0497034
RP11-446E24.3	0.0228514
SSBP3-AS1	1.89611
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
FAM151A	0.791607
RP11-240D10.4	0.289555
PARS2	4.29555
RP11-67L3.2	0.236085
LEXM	0.263513
RP11-67L3.5	0
RP11-67L3.4	0.277672
BSND	0.847478
PCSK9	0.0886118
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.0397201
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0.04909
RP11-504A18.1	0.394392
LINC01767	0
RPL21P23	0.103083
RPL23AP85	0
RP11-377K22.2	0
PRKAA2	3.00659
C1orf168	4.32192
RP11-378I13.1	0
C8A	0
C8B	0
RP5-1103B4.3	0
DAB1	0.320695
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.051103
RPS26P15	0
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0.238835
RP4-592A1.4	0
RN7SL713P	0
TACSTD2	2.11829
RP4-592A1.2	0.330089
RP11-63G10.4	0.0447431
LINC01135	1.05632
RP11-63G10.3	0.778098
RP11-63G10.2	0
LINC01358	0.0945422
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0
RP11-467C18.1	0.391537
FGGY	3.34695
MIR4711	0
RP4-782L23.2	0.684572
CYP2J2	1.37183
RN7SL475P	0
C1orf87	0.256571
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.105189
RP11-436K8.1	0.294482
NFIA-AS2	0.421517
RP4-802A10.1	0.1264
NFIA-AS1	0.200947
RP11-430G17.1	0
RP11-430G17.3	2.70863
RNU6-414P	0
RNU6-1177P	0
LAMTOR5P1	0.0806427
RN7SL180P	0.222389
MIR3116-1	0
PIGPP2	0
RPS15AP7	0
L1TD1	0.186374
RP5-1155K23.4	0
KANK4	0.11342
RNU6-371P	0
RP11-293K19.1	0
ANGPTL3	0.452469
RP5-849H19.3	0.121113
RP5-849H19.2	0.0933719
RP11-230B22.1	0.664248
RP4-771M4.3	0
RP4-771M4.2	0
LINC01739	0.137338
RP11-5P4.2	0
RP11-5P4.3	0
RP11-335E6.2	0
LINC00466	0
RNA5SP49	0
RP11-335E6.3	0
RPSAP65	0
FOXD3-AS1	0.168968
FOXD3	0.0779272
MIR6068	0
Y_RNA	0
RP4-792G4.3	0
ALG6	3.95681
ITGB3BP	4.9076
RN7SL488P	0
RNU7-123P	0
DLEU2L	1.29128
RN7SL130P	1.48968
ROR1	0.844689
RP4-597J3.1	0
CFL1P3	0
RNU6-809P	0
Y_RNA	0
ROR1-AS1	0.0169931
UBE2U	0
RNU7-62P	0
MIR4794	0
RP11-182I10.1	0
RP11-182I10.2	0
LINC01359	1.10021
SLC2A3P2	0.435956
RP4-535B20.4	1.35568
RNU6-1176P	0
MIR3671	0
MIR101-1	0
RP4-535B20.1	0.438033
RP4-535B20.2	0
MRPS21P1	0
RPS29P7	0
