Name	Muscle - Skeletal
RP1-163M9.7	0
FAM231C	0
RP5-1182A14.7	0
RNU1-4	0
CROCCP4	0
MST1L	0.102048
RP11-108M9.1	0
RP11-108M9.2	0.028887
MIR3675	0
RP11-108M9.3	0.0429403
RP11-108M9.4	3.23122
RP11-108M9.5	1.53152
RNU1-2	0
RP11-108M9.6	0
CROCC	3.75606
MFAP2	0.444997
RP1-37C10.3	0
RP11-380J14.1	0
RP11-380J14.4	0
PADI1	0.0107247
PADI3	0
MIR3972	0
PADI4	0.138508
PADI6	0
RP11-473A10.2	0
ACTL8	0
LINC01654	0
IGSF21	0.232774
RP11-174G17.3	0
RP11-174G17	0
RP11-422P22.1	0
KLHDC7A	0
DYNLL1P3	0
RP1-8B22.2	0
PAX7	1.46075
TAS1R2	0
MIR4695	0
MIR1290	0
IFFO2	3.63636
RP5-1126H10.2	0.658639
RP1-43E13.2	0.721287
AKR7L	0.303257
AKR7A3	0.290315
RP4-657E11.10	1.24277
RNU6-1099P	0
RN7SL277P	0
RNU4-28P	0
RP5-1056L3.1	0
RP5-1056L3.3	1.50451
HTR6	0
TMCO4	1.70194
RNF186	0
RP11-91K11.2	0
OTUD3	3.68093
PLA2G2E	0
RN7SL304P	0
PLA2G5	0.179557
PLA2G2D	0
PLA2G2F	0
RP3-340N1.2	0.0182606
PLA2G2C	0
UBXN10-AS1	0.0543367
UBXN10	0.166589
LINC01757	0
VWA5B1	0.0144221
RP4-745E8.2	0
LINC01141	0
RP4-749H3.2	0
CAMK2N1	3.74869
RPS4XP4	0
FAM43B	0.291872
CDA	1.50153
PINK1-AS	2.65861
KIF17	0.78779
RP5-930J4.5	0
SH2D5	0.0442865
RP5-930J4.2	0
RNU7-200P	0
MIR1256	0
RPS15AP6	0
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0
RP5-1071N3.1	0.0710585
PPP1R11P1	0
RP11-293F5.8	0.0491248
RP11-293F5.1	0
NBPF2P	0.0774209
HS6ST1P1	0.625208
CROCCP5	0
NBPF3	0.318139
PFN1P10	0
ALPL	0.688112
RP11-63N8.3	0
RAP1GAP	0.149948
RP11-132G19.3	0
LDLRAD2	0.754478
RP11-26H16.1	0.0656404
RP11-26H16.4	0
CELA3B	0.0458197
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.198661
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0
RP1-224A6.8	0
RP1-224A6.9	0.245188
WNT4	0.560414
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	0.232027
EPHA8	0.0162663
MIR6127	0
EPHB2	0.0599407
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
LUZP1	1.79943
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0150194
RP5-1057J7.1	0.0495455
LINC01355	1.97767
ZNF436	4.48759
ZNF436-AS1	3.08801
RP5-1057J7.7	1.97755
RP4-654C18.1	0
E2F2	0.031532
RP1-150O5.3	0
MDS2	0.0169622
RP11-223J15.2	0
ELOA-AS1	0.951448
GALE	1.44821
CNR2	0.00446767
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0.956205
RP11-293P20.4	0
IL22RA1	0.141839
IFNLR1	1.86181
RP11-10N16.2	0
RP11-10N16.3	0.0959522
GRHL3	0.0519248
STPG1	0.378095
NIPAL3	1.27324
RCAN3	0.478131
RP4-594I10.3	0
NCMAP	0.0340501
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	0.251499
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.630248
RP3-465N24.5	0.386391
RHD	0.105852
SDHDP6	0.252185
RP11-335G20.7	0
RHCE	0.736585
RP3-469D22.1	0.374824
RP11-70P17.1	0.696495
MAN1C1	1.10715
RP1-187B23.1	0.0183574
RP1-317E23.3	0.532701
AUNIP	0.327926
RP1-125I3.2	0
PAQR7	1.55378
Y_RNA	0
STMN1	3.33365
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	2.02627
SLC30A2	1.13376
RP11-96L14.9	0.173928
PDIK1L	2.35709
FAM110D	1.81795
RP11-96L14.8	0
RP11-96L14.7	1.10329
ZNF593	0
CATSPER4	0.211711
RP11-231P20.2	0.402128
RP11-231P20.6	0
RP11-231P20.5	1.13268
UBXN11	2.91637
CD52	0.693646
AIM1L	0.0266773
RP11-569G9.7	0
ZNF683	0.0209139
LIN28A	0
RP3-476K8.4	0.0331763
RP3-476K8.3	0.126915
DPPA2P2	0
RPS6KA1	0.906775
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.230516
PIGV	2.41862
RN7SL165P	0
SFN	0.72825
NR0B2	0.796846
KDF1	0.0165851
RPL12P13	0.0550644
RP11-344H11.5	0
OSTCP2	0
TRNP1	1.39199
FAM46B	1.32524
SLC9A1	3.22051
RP11-40H20.5	0
CHCHD3P3	0.386534
NPM1P39	0.183744
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0
RNU6-48P	0
ACTG1P20	0.272496
SYTL1	0.275922
FCN3	3.06519
CD164L2	0
RP1-144C9.2	0
GPR3	0.298626
RP4-752I6.1	0
RP1-159A19.4	0.309161
FGR	1.89505
RP1-159A19.3	1.0142
RP11-288L9.1	0
RP11-288L9.4	0
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
FAM76A	4.92196
RP3-426I6.2	0.0750898
RPEP3	0
RP3-426I6.5	0
RP3-426I6.6	0.25952
RNU6-1245P	0
SCARNA1	0
THEMIS2	1.27609
SMPDL3B	0.0174902
RP11-460I13.2	0
XKR8	4.13758
RP11-460I13.6	0.0840879
RN7SL559P	0
SPCS2P4	0.664241
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	0.25832
RP5-1092A3.4	3.99905
RP5-1092A3.5	0.0690834
SESN2	4.84284
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	0.192955
SNORA73B	0.357952
PRDX3P2	0.0368471
RP4-669K10.8	0.160068
TRNAU1AP	3.23083
SNORD99	0
SNORA61	2.89986
SNORA44	0.794173
SNORA16A	0
RAB42	0.136082
LINC01715	3.39661
RNU11	0
GMEB1	2.69221
SCARNA24	0
OPRD1	0.0646448
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	1.22458
RP11-242O24.3	0
uc_338	1.2731
RP11-467D18.2	0.114957
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.0188073
MATN1-AS1	0.197589
LAPTM5	3.35202
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.0390373
RN7SKP91	0
RP1-65J11.5	0
SDC3	2.2301
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
RP11-490K7.4	0.675152
RP11-266K22.2	0
RP11-439L8.2	0
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.0127814
RP11-73M7.1	0.0364821
HCRTR1	0.199193
RP11-73M7.6	0.221913
RP11-73M7.9	0
COL16A1	3.86818
ADGRB2	0.40637
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.0238333
RP11-84A19.2	0
RP11-84A19.4	0.113602
RP4-534N18.2	0.0713453
RP11-277A4.4	0.0311115
TMEM39B	4.42762
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	0.275058
IQCC	1.44207
DCDC2B	0.10264
TMEM234	1.76958
MTMR9LP	3.13352
FAM167B	1.60746
LCK	0.201514
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0
TSSK3	2.68375
FAM229A	2.49575
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.00667962
ZBTB8A	1.48298
Y_RNA	0
RP11-114B7.6	0
KIAA1522	2.28141
S100PBP	2.80374
HPCA	0.0784091
TMEM54	2.90279
RP5-1174N9.2	0.507589
RP4-803A2.1	0.740678
RP4-803A2.2	0.379324
Metazoa_SRP	0
RP1-117O3.2	0.0261748
AZIN2	0.628436
RP11-131M11.2	0.477529
TRIM62	3.37735
RP11-131M11.3	0.180287
RP11-415J8.7	0.184538
A3GALT2	0.0748424
RP11-415J8.3	1.51787
MIR3605	0
RN7SKP16	2.41611
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.522883
RP4-580O19.2	0.0644226
CSMD2	0.0218606
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.0995606
GJB4	0.0198881
GJB3	0.0990959
RP1-34M23.5	0
RP5-997D16.2	1.11711
DLGAP3	0.0693763
RP11-244H3.1	0.574408
ZMYM6	2.2883
RPL12P45	0
ZMYM1	1.20708
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	1.31914
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.104194
TFAP2E	0.405404
CLSPN	0.0229681
RP11-435D7.3	0
AGO1	3.63676
RP4-789D17.4	0
AGO3	1.737
RP4-665N4.8	0
RP4-665N4.4	0
TEKT2	0.0288545
COL8A2	0.313368
RN7SL131P	0
UBE2V2P4	0
SH3D21	0.94865
EVA1B	4.01628
RP11-268J15.5	2.81833
RNU4-27P	0
OSCP1	1.88559
SNORA63	0
CSF3R	1.67832
FTLP18	0
RP4-614N24.1	0
GRIK3	0.0451767
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	3.67549
MIR6732	0
MIR5581	0
SNIP1	3.36203
FTH1P1	0.132094
RP3-423B22.5	0.220517
DNALI1	0.764035
RSPO1	0.0136597
C1orf109	3.77127
CDCA8	0.285661
EPHA10	0.0121237
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	1.48327
MTF1	4.27217
RP11-109P14.8	0
INPP5B	3.16274
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	1.93055
POU3F1	0.169813
RP5-884C9.2	0.0616885
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0248375
RP5-864K19.4	1.7207
GJA9	0.0858625
RHBDL2	0.118871
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.415508
OXCT2P1	0.105108
RP11-69E11.4	2.91611
PPIEL	0.670568
SNORA55	0.662575
RP11-69E11.8	0.0845969
HEYL	4.39036
RP1-144F13.3	0
HPCAL4	1.85745
RP1-144F13.4	0
RNU7-121P	0
BMP8B	0.410213
OXCT2	0.0685478
RP1-118J21.25	0
RP1-118J21.24	0
Y_RNA	0
MYCL	0.107871
RP1-118J21.5	0
Y_RNA	0
MFSD2A	0.148584
RP3-342P20.2	0.177906
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0.0263651
RP1-39G22.4	0
COL9A2	0.181062
RP1-228H13.1	0.11046
RP1-228H13.2	0
ZFP69B	0.155208
RP1-228H13.5	0.164517
RP11-656D10.7	0
ZFP69	0.344214
RP11-656D10.3	0.599406
EXO5	1.07057
RP11-656D10.5	0
RP11-656D10.6	0.192227
ZNF684	0.839499
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	0.252909
RP4-739H11.3	0
NFYC-AS1	2.49418
MIR30E	0
MIR30C1	0
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.148099
SLFNL1	0.187263
RPL23AP17	0
RP11-399E6.1	0.0850836
RP11-399E6.2	0
FOXO6	1.47499
RP11-399E6.4	0.0711677
RNA5SP45	0
EDN2	0.0474714
HIVEP3	0.55284
RP11-486B10.3	0
RP11-486B10.4	0
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.146516
RIMKLA	0.516159
RP11-157D18.2	0
ZMYND12	1.45336
CCDC30	0.167484
RP11-163G10.2	0
TMSB4XP1	0.136316
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.618995
CLDN19	0.0341454
P3H1	4.23905
RP5-994D16.9	2.30905
TMEM269	0.143538
ERMAP	1.84748
RP11-342M1.3	0.211597
ZNF691	4.58783
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.0918895
SLC2A1	2.1075
RP5-848E13.5	0
SLC2A1-AS1	0
RP5-848E13.4	0
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0
CFAP57	0.0301778
RNA5SP46	0
TMEM125	0.028541
C1orf210	0.0233831
MPL	0.07284
RP1-92O14.3	0.177773
CDC20	0.177091
RP1-92O14.6	0.306766
SZT2-AS1	0
HYI-AS1	0.074723
PTPRF	1.05852
KDM4A-AS1	0.646698
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.235647
RP11-7O11.3	0.814978
CCDC24	0.71277
SLC6A9	0.326633
RP5-1198O20.4	0.0123519
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0
RP11-570P14.1	0.156031
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.143424
ERI3-IT1	0.102466
RNU6-369P	0
MIR5584	0
TMEM53	2.16743
C1orf228	0.116079
RNU5F-1	0
RNU5D-1	0
KIF2C	0.22929
RP11-269F19.2	0
SNORD46	0.386578
SNORD38A	0
RPS15AP11	0.389522
BEST4	0.088546
PLK3	2.38491
TCTEX1D4	0.20807
BTBD19	0.802881
PTCH2	1.34812
RP5-882O7.1	0.818721
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.0703722
MRPS17P1	0.0436454
ZSWIM5	0.920862
OSTCP5	0
LINC01144	0.879488
HPDL	0.684113
MUTYH	4.60295
TOE1	2.84177
TESK2	3.77747
RP11-291L19.1	0
CCDC163	0.522972
MMACHC	2.44639
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	2.19231
RPS15AP10	0.336324
RP11-767N6.2	0.640114
RP11-767N6.7	3.25178
RP11-630I5.1	0.0538292
TMA16P2	0
RP4-533D7.4	0.508162
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	0.820923
RP11-322N21.2	0
LURAP1	0.450159
RAD54L	0.244579
NSUN4	3.88141
RP4-603I14.3	0
FAAHP1	0.214222
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.268587
KNCN	0
NENFP1	0
TEX38	0.0245521
EFCAB14-AS1	0.0633957
RP11-8J9.5	0
CYP4Z2P	0.0670969
RP11-346M5.1	0
CYP4A11	0.0716221
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4X1	3.35698
CYP4Z1	0.470383
RP11-184J23.2	0.0233396
CYP4A22-AS1	0
CYP4A22	0.0704295
MTND1P34	0
LINC00853	0.200291
PDZK1IP1	0.364643
TAL1	1.15407
RP1-18D14.7	0.195317
STIL	0.205448
LINC01389	0.125757
FOXE3	0.0364572
FOXD2-AS1	0.26891
FOXD2	0.123153
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	0.447752
RP11-330M19.1	0.0274532
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.0405145
RP5-1024N4.6	0
RP5-1024N4.2	0
SLC5A9	0.128505
RP5-1024N4.4	0.282904
RP5-1024N4.5	0
SPATA6	0.987053
PPP1R8P1	0
RNU6-723P	0
RP11-329A14.1	0.28882
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.00752176
BEND5	3.03191
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.00516928
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.154953
HMGB1P45	0
FCF1P6	0
DMRTA2	0
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.118911
MRPS6P2	0
CDKN2C	4.33637
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0
LINC01562	0.118017
RP11-296A18.5	0.300298
RP11-296A18.6	0
TTC39A	0.715625
TTC39A-AS1	0.0433064
RP11-275F13.3	0.0502845
RNU6-877P	0
RP11-253A20.1	0.0589645
RP11-191G24.1	0.908457
RNU6-1281P	0
CALR4P	0.0442211
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	1.74734
RP4-657D16.6	0.586801
MIR761	0
TSEN15P2	0
RAB3B	0.00477546
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
KTI12	3.55365
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.669958
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	0.325176
PLA2G12AP1	0.22125
ORC1	0.275785
RP11-25O10.2	0
EEF1GP7	0
GPX7	3.58111
FAM159A	0.0980635
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	1.84582
RNU6-969P	0
ZYG11A	0.0174036
RP4-631H13.2	0
RP4-631H13.6	1.78065
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	0.528844
RP11-334A14.8	0.0763468
RP5-1024G6.9	0
