Name	Heart - Atrial Appendage
RP1-187B23.1	0.0664333
RP1-317E23.3	0.420814
AUNIP	0.318433
RP1-125I3.2	0
PAQR7	2.8283
Y_RNA	0
STMN1	3.53174
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
PAFAH2	2.88563
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	1.06351
SLC30A2	0.352418
RP11-96L14.9	0
PDIK1L	1.15885
FAM110D	2.40627
RP11-96L14.8	0
RP11-96L14.7	0.173717
ZNF593	0
CNKSR1	1.05998
CATSPER4	0
RP11-231P20.2	0.293985
RP11-231P20.6	0
RP11-231P20.5	0.412703
CD52	1.90179
AIM1L	0.0194194
RP11-569G9.7	0
ZNF683	0.031807
LIN28A	0
RP3-476K8.4	0.107315
RP3-476K8.3	0.164993
DPPA2P2	0
RPS6KA1	2.01758
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.224033
PIGV	2.93375
RN7SL165P	0
SFN	0.963703
KDF1	0.315544
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
RP11-40H20.5	0
CHCHD3P3	0.143464
NPM1P39	0.141407
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.151099
RNU6-48P	0
ACTG1P20	0.64695
SYTL1	1.12319
CD164L2	0.0232133
RP1-144C9.2	0
GPR3	2.94364
RP4-752I6.1	0
RP1-159A19.4	0.243445
FGR	4.26281
RP1-159A19.3	0.926214
RP11-288L9.1	0
RP11-288L9.4	0.0589416
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
FAM76A	4.30267
RP3-426I6.2	0.0948881
RPEP3	0
RP3-426I6.5	0.357832
RP3-426I6.6	0.53658
RNU6-1245P	0
SCARNA1	0
THEMIS2	3.55196
SMPDL3B	0.111066
RP11-460I13.2	0
XKR8	4.51861
RP11-460I13.6	0.515122
RN7SL559P	0
SPCS2P4	0.759988
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	0.689153
RP5-1092A3.4	1.64005
RP5-1092A3.5	0
SESN2	3.8281
MED18	3.80487
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
RCC1	3.24899
SNORA73A	0.698533
SNORA73B	1.20787
PRDX3P2	0.0370755
RP4-669K10.8	0.0526673
TRNAU1AP	4.288
SNORD99	0
SNORA44	2.48766
SNORA16A	0
RAB42	0.580553
LINC01715	1.2758
RNU11	0
GMEB1	1.89881
SCARNA24	0
OPRD1	0.0374729
RP1-212P9.3	0
Y_RNA	0
EPB41	4.39174
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
TMEM200B	4.87752
RP11-242O24.3	0
uc_338	0.875379
RP11-467D18.2	0.0820873
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.0618195
MATN1-AS1	0.439798
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.16071
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.0496763
RP11-490K7.4	1.20988
RP11-266K22.2	0
SERINC2	1.10986
RP11-439L8.2	0.0151096
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.00563994
RP11-73M7.1	0.196353
HCRTR1	0.11242
RP11-73M7.6	1.18167
RP11-73M7.9	0.076249
ADGRB2	4.50908
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.0883856
RP11-84A19.2	0
RP11-84A19.4	0.812761
RP4-534N18.2	0.306542
RP11-277A4.4	0.0780084
TMEM39B	4.85861
MIR5585	0
Metazoa_SRP	0
CCDC28B	4.46269
RP4-622L5.7	0.447654
IQCC	1.54694
DCDC2B	0.202187
FAM167B	3.79943
LCK	0.654056
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.044369
TSSK3	2.68252
FAM229A	3.49401
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0298088
ZBTB8A	1.57472
Y_RNA	0
RP11-114B7.6	0
KIAA1522	3.45375
S100PBP	3.47929
HPCA	0.159279
RP5-1174N9.2	0.544379
RP4-803A2.1	0.535669
RP4-803A2.2	0.233534
Metazoa_SRP	0
RP1-117O3.2	0.0543441
AZIN2	2.35662
RP11-131M11.2	0.360859
TRIM62	2.40545
RP11-131M11.3	0.171289
RP11-415J8.7	0.21688
A3GALT2	0.0510706
RP11-415J8.3	1.85307
MIR3605	0.330611
RN7SKP16	2.40117
RP11-415J8.5	0.0453656
TLR12P	0
ZSCAN20	0.776963
RP4-580O19.2	0.0811604
CSMD2	0.158409
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.0835085
GJB4	0.00977879
GJB3	0.0757636
RP1-34M23.5	0
RP5-997D16.2	1.82931
DLGAP3	0.118548
RP11-244H3.1	1.49284
ZMYM6	4.12822
RPL12P45	0
ZMYM1	1.88361
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	1.59905
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	0.222612
TFAP2E	0.762984
CLSPN	0.0641888
RP11-435D7.3	0
AGO1	4.81819
RP4-789D17.4	0
AGO3	2.16263
RP4-665N4.8	0.0579884
RP4-665N4.4	0
TEKT2	0.123436
COL8A2	4.56776
RN7SL131P	0
UBE2V2P4	0
SH3D21	2.50154
RNU4-27P	0
OSCP1	3.11232
SNORA63	0.217129
FTLP18	0
RP4-614N24.1	0
GRIK3	0.745411
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	2.68376
MIR6732	0
MIR5581	0
SNIP1	3.16811
FTH1P1	0.18104
RP3-423B22.5	0.186369
DNALI1	3.25119
RSPO1	0.197382
C1orf109	2.87219
CDCA8	0.36564
EPHA10	0.108306
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	0.40092
MTF1	2.19721
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0
POU3F1	0.0680747
RP5-884C9.2	0.0305337
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0704981
GJA9	0.181183
RHBDL2	0.319507
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.443156
RP11-420K8.1	0
HSPE1P8	0
BMP8A	0.681989
OXCT2P1	3.97639
RP11-69E11.4	2.99089
PPIEL	0.920583
SNORA55	1.37352
RP11-69E11.8	0.289658
RP1-144F13.3	0.326101
NT5C1A	3.0097
HPCAL4	0.735147
RP1-144F13.4	0
RNU7-121P	0
BMP8B	0.88472
OXCT2	1.28488
RP1-118J21.25	0.0308361
RP1-118J21.24	0
Y_RNA	0
MYCL	0.226914
RP1-118J21.5	0
Y_RNA	0
MFSD2A	0.655457
RP3-342P20.2	0.273182
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0
COL9A2	1.54676
RP1-228H13.1	0.0761715
RP1-228H13.2	0
ZFP69B	0.4013
RP1-228H13.5	0.431239
RP11-656D10.7	0.0415845
ZFP69	1.26232
RP11-656D10.3	0.736865
EXO5	1.3362
RP11-656D10.5	0
RP11-656D10.6	0.318373
ZNF684	2.29065
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	1.70009
RP4-739H11.3	0
NFYC-AS1	1.27872
MIR30E	0
MIR30C1	0
KCNQ4	1.32421
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.340721
SLFNL1	0.281126
RPL23AP17	0
RP11-399E6.1	0.112513
RP11-399E6.2	0
FOXO6	1.72526
RP11-399E6.4	0.488808
RNA5SP45	0
EDN2	0.271027
HIVEP3	1.09634
RP11-486B10.3	0
RP11-486B10.4	0.0296417
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.369231
RIMKLA	1.47234
RP11-157D18.2	0
ZMYND12	1.09995
CCDC30	0.405328
RP11-163G10.2	0
TMSB4XP1	0.422901
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	0.434826
CLDN19	0.0253872
RP5-994D16.9	1.13933
TMEM269	0.0506372
ERMAP	2.8028
RP11-342M1.3	0.320444
ZNF691	4.93978
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.057056
RP5-848E13.5	0
SLC2A1-AS1	0.3445
RP5-848E13.4	0
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.0317105
CFAP57	0.12471
RNA5SP46	0
TMEM125	0.625082
C1orf210	0.0381198
MPL	0.206185
RP1-92O14.3	0.307126
CDC20	0.428721
RP1-92O14.6	0.822396
SZT2-AS1	0
HYI-AS1	0
PTPRF	4.25428
KDM4A-AS1	0.464319
RP11-184I16.4	0
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.691454
RP11-7O11.3	0.662677
CCDC24	1.35185
SLC6A9	1.17765
RP5-1198O20.4	0.0287709
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.00612664
RP11-570P14.1	0.0845323
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0400319
ERI3-IT1	0.144563
RNU6-369P	0
MIR5584	0
TMEM53	4.72577
C1orf228	0.396923
RNU5F-1	0
RNU5D-1	0
KIF2C	0.568464
RP11-269F19.2	0.0704701
SNORD46	0.982739
SNORD38A	0
RPS15AP11	0.238194
BEST4	0.304476
TCTEX1D4	0.46355
BTBD19	4.29125
PTCH2	0.966678
RP5-882O7.1	0.340264
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0
MRPS17P1	0.0065429
ZSWIM5	1.51874
OSTCP5	0
LINC01144	0.368997
HPDL	0.294116
MUTYH	4.70222
TOE1	4.4312
TESK2	2.28725
RP11-291L19.1	0
CCDC163	3.36623
MMACHC	4.18182
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	1.08326
RPS15AP10	0.841864
RP11-767N6.2	0.861001
IPP	3.04115
RP11-767N6.7	1.98415
RP11-630I5.1	0
TMA16P2	0
RP4-533D7.4	0.261849
RP4-533D7.3	0
RP4-533D7.5	0.204422
TSPAN1	0.659534
RP11-322N21.2	0
LURAP1	3.05302
RAD54L	0.226485
NSUN4	3.23226
RP4-603I14.3	0
FAAHP1	0.0996924
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.353148
KNCN	0
NENFP1	0
TEX38	0.0406435
EFCAB14-AS1	0.110567
RP11-8J9.5	0
CYP4B1	2.5457
CYP4Z2P	0.0217539
RP11-346M5.1	0
CYP4A11	0.0441841
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	0.385358
RP11-184J23.2	0
CYP4A22-AS1	0
CYP4A22	0.0404806
MTND1P34	0
LINC00853	0.412198
PDZK1IP1	0.286202
TAL1	2.98375
RP1-18D14.7	0.644816
STIL	0.305545
LINC01389	0.119647
FOXE3	0
FOXD2-AS1	0.446978
FOXD2	0.110606
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
RP11-330M19.1	0.230102
RP4-683M8.2	0.0844922
RP11-193P11.3	0
CYP46A4P	0.0402332
SKINT1L	0.501055
RP5-1024N4.6	0.0238052
RP5-1024N4.2	0.118714
SLC5A9	0.613894
RP5-1024N4.4	1.25009
RP5-1024N4.5	0.129509
SPATA6	3.15112
PPP1R8P1	0.0785928
RNU6-723P	0
RP11-329A14.1	0.0680607
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.307959
BEND5	3.65859
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.0822303
RP11-492I2.1	0
RP11-567C20.2	0.151224
RP11-567C20.3	0
RP11-183G22.1	0.135605
HMGB1P45	0
FCF1P6	0
DMRTA2	0.00800038
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.19195
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0379316
LINC01562	0.0406331
RP11-296A18.5	0.184508
RP11-296A18.6	0.0616944
TTC39A	1.77467
TTC39A-AS1	0.230376
RP11-275F13.3	0.123584
RNU6-877P	0
RP11-253A20.1	0.110838
RP11-191G24.1	0.140449
RNU6-1281P	0
CALR4P	0.023806
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	1.0954
RP4-657D16.6	0.286212
MIR761	0
TSEN15P2	0
RAB3B	0.00773489
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
KTI12	3.40792
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	0.275673
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.0513414
RP11-155O18.6	0.902419
PLA2G12AP1	0.167907
ORC1	0.185945
RP11-25O10.2	0
EEF1GP7	0
FAM159A	0.0666546
COA7	3.20777
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	1.06309
RNU6-969P	0
ZYG11A	0.0307771
RP4-631H13.2	0
RP4-631H13.6	2.76796
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	1.61111
RP11-334A14.8	0.200031
RP5-1024G6.9	0
RP5-1024G6.2	0.105023
RP5-1024G6.7	0.0132792
RP5-1024G6.5	0.388168
LRP8	0.573883
RP4-784A16.1	0
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0
RP11-117D22.1	0
RP11-117D22.2	0
SLC25A3P1	0
DMRTB1	0
GLIS1	0.714534
