Name	Cervix - Ectocervix
HSPE1P27	0
RP3-329E20.2	0.271481
RP5-1071N3.1	0.764087
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	2.08035
HS6ST1P1	0.512529
CROCCP5	0
NBPF3	3.8042
PFN1P10	0
ALPL	4.79832
RP11-63N8.3	0
RAP1GAP	1.04861
RP11-132G19.3	0
RP11-26H16.1	0.203189
RP11-26H16.4	0
CELA3B	2.04286
RN7SL386P	0
RNU6-1022P	0
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0.212732
RP1-224A6.8	0.15474
RP1-224A6.9	2.54271
WNT4	1.8347
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	1.39259
EPHA8	0.0098367
MIR6127	0
EPHB2	1.74752
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.14915
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.160353
RNU6-514P	0
RNU6-135P	0
HTR1D	0
RP5-1057J7.1	0
RP5-1057J7.7	0.761601
RP4-654C18.1	0.233849
E2F2	0.0830268
RP1-150O5.3	0.729504
MDS2	0.0513581
RP11-223J15.2	0
ELOA-AS1	4.67109
CNR2	0.0284411
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.220674
RP11-293P20.4	0
IL22RA1	0.161929
IFNLR1	0.149882
RP11-10N16.2	0
RP11-10N16.3	0
GRHL3	0.085037
STPG1	2.30255
NIPAL3	2.98887
RCAN3	3.33335
RP4-594I10.3	0
NCMAP	0.0400324
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	2.45987
MIR6731	0
RP11-84D1.1	0.0642744
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	1.13411
RP3-465N24.5	2.96129
RHD	0.766483
SDHDP6	2.25713
RP11-335G20.7	0
RHCE	0.330341
RP3-469D22.1	0.274411
RP11-70P17.1	1.41856
RP1-187B23.1	0.313552
RP1-317E23.3	0.749247
AUNIP	0.559713
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.61307
SLC30A2	0.0950983
RP11-96L14.9	0
TRIM63	1.34744
PDIK1L	4.68993
RP11-96L14.8	0
RP11-96L14.7	0.447705
ZNF593	0
CATSPER4	0.0371985
RP11-231P20.2	0.141986
RP11-231P20.6	0
RP11-231P20.5	0
CD52	2.61926
AIM1L	0.12093
RP11-569G9.7	0
ZNF683	0.248764
LIN28A	0.0248553
RP3-476K8.4	0.612938
RP3-476K8.3	1.84325
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.770063
RN7SL165P	0.171168
SFN	2.70856
NR0B2	0.102389
KDF1	0.159025
RPL12P13	0
RP11-344H11.5	0
OSTCP2	0
RP11-40H20.5	0
CHCHD3P3	0.102476
NPM1P39	0.435484
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.195051
RNU6-48P	0.465513
ACTG1P20	3.61867
SYTL1	3.02071
FCN3	1.52255
CD164L2	0.788852
RP1-144C9.2	0
GPR3	0.69654
RP4-752I6.1	0.123143
RP1-159A19.4	0.880034
RP1-159A19.3	0.616467
RP11-288L9.1	0
RP11-288L9.4	0.166579
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.78803
RPEP3	0
RP3-426I6.5	0.896813
RP3-426I6.6	1.23017
RNU6-1245P	0
SCARNA1	0
SMPDL3B	0.136488
RP11-460I13.2	0
RP11-460I13.6	1.94839
RN7SL559P	0
SPCS2P4	1.1932
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	1.27675
RP5-1092A3.4	2.46533
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0.191657
RNU6ATAC27P	0.418571
SNORA73A	2.58557
PRDX3P2	0.247178
RP4-669K10.8	0.227722
SNORD99	0
SNORA16A	0
RAB42	3.84429
LINC01715	0.886236
RNU11	0
SCARNA24	0.290434
OPRD1	0.0451535
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0.148248
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0.135328
uc_338	2.49491
RP11-467D18.2	0.472698
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0.103555
MATN1	1.25821
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.197465
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.156511
RP11-490K7.4	4.90887
RP11-266K22.2	0
SERINC2	3.36095
RP11-439L8.2	0.0819739
RNU6-40P	0
LINC01225	0.0232995
Y_RNA	0
LINC01226	0.0259521
RP11-73M7.1	1.20614
HCRTR1	0.0387295
RP11-73M7.9	0.150587
MIR4254	0
RP11-84A19.3	0
SPOCD1	3.51751
RP11-84A19.2	0
RP11-84A19.4	1.25702
RP4-534N18.2	0.380567
RP11-277A4.4	0.264445
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	2.66123
DCDC2B	1.56528
LCK	2.84031
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.306871
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0.0585286
RN7SL122P	0
ZBTB8B	0.076653
Y_RNA	0
SYNC	4.39088
RP11-114B7.6	0
FNDC5	3.84008
HPCA	1.4506
RP5-1174N9.2	0.109352
RP4-803A2.1	0.189391
RP4-803A2.2	0.0794017
Metazoa_SRP	0
RP1-117O3.2	0.0286685
RP11-131M11.2	1.15737
RP11-131M11.3	0.550321
RP11-415J8.7	0.561887
A3GALT2	0.257029
RP11-415J8.3	3.57188
MIR3605	0.566022
RN7SKP16	3.16687
RP11-415J8.5	0.112254
TLR12P	0
ZSCAN20	1.58623
RP4-580O19.2	0.224203
CSMD2	0.117778
HSPD1P14	0
HMGB4	0.085911
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.280573
GJB4	0.0315954
GJB3	0.29214
RP1-34M23.5	0
RP5-997D16.2	3.74842
DLGAP3	0.503981
RPL12P45	0
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	1.45207
CLSPN	0.0989385
RP11-435D7.3	0
RP4-789D17.4	0
RP4-665N4.8	0.434642
RP4-665N4.4	0.0567765
TEKT2	1.29736
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
SNORA63	0.852783
CSF3R	4.46172
FTLP18	0
RP4-614N24.1	0
GRIK3	1.49602
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
MIR6732	0
MIR5581	0
FTH1P1	0.496795
RP3-423B22.5	0.751336
CDCA8	1.53405
EPHA10	0.216391
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	2.66517
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.461203
POU3F1	0.251852
RP5-884C9.2	0.321664
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0603886
RP5-864K19.4	2.16137
GJA9	0.385435
RHBDL2	0.776209
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	2.13103
RP11-420K8.1	0
HSPE1P8	0.227723
BMP8A	1.75411
OXCT2P1	0.154795
PPIEL	4.85906
SNORA55	2.00634
RP11-69E11.8	0.459648
RP1-144F13.3	0.156322
NT5C1A	0.160382
HPCAL4	0.0478859
RP1-144F13.4	0
RNU7-121P	0
BMP8B	4.72155
OXCT2	0.266999
RP1-118J21.25	0.0905872
RP1-118J21.24	0
Y_RNA	0
MYCL	0.238804
RP1-118J21.5	0
Y_RNA	0
MFSD2A	1.28037
RP3-342P20.2	0.821907
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0.20668
COL9A2	2.70547
RP1-228H13.1	0.225713
RP1-228H13.2	0
ZFP69B	1.11682
RP1-228H13.5	1.53297
RP11-656D10.7	0.261032
ZFP69	4.41861
RP11-656D10.3	1.31729
EXO5	4.89606
RP11-656D10.5	0
RP11-656D10.6	1.64391
ZNF684	3.65611
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	4.40258
RP4-739H11.3	0
MIR30E	0
MIR30C1	0
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	3.1841
SLFNL1	2.20479
RPL23AP17	0
RP11-399E6.1	0.134855
RP11-399E6.2	0
FOXO6	4.93452
RP11-399E6.4	2.17105
RNA5SP45	0
EDN2	0.434917
HIVEP3	1.44954
RP11-486B10.3	0
RP11-486B10.4	0.0490674
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0.132712
RP11-223A3.1	0.268597
RIMKLA	0.246477
RP11-157D18.2	0
ZMYND12	1.66783
CCDC30	2.11841
RP11-163G10.2	0
TMSB4XP1	1.17122
RNU6-536P	0
RP11-163G10.4	0.12519
RP5-994D16.3	1.50774
CLDN19	0.03286
RP5-994D16.9	2.02824
TMEM269	0.495765
RP11-342M1.3	0.542393
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0
RP5-848E13.5	1.37296
SLC2A1-AS1	3.04499
RP5-848E13.4	0.101337
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.681825
CFAP57	0.27459
RNA5SP46	0
TMEM125	0.181021
C1orf210	0.40751
MPL	0.237462
RP1-92O14.3	1.58107
CDC20	0.674736
RP1-92O14.6	1.95863
SZT2-AS1	0
HYI-AS1	0.238325
KDM4A-AS1	2.3633
RP11-184I16.4	0.126185
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0.0575556
ARTN	3.4685
RP11-7O11.3	1.76618
RP5-1198O20.4	0.244869
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.0758894
RP11-570P14.1	0.182179
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.164785
ERI3-IT1	0.612598
RNU6-369P	0
MIR5584	0
C1orf228	1.66812
RNU5F-1	0
RNU5D-1	0
KIF2C	1.31529
RP11-269F19.2	0.142446
SNORD38A	0
RPS15AP11	0.686481
BEST4	0.779253
TCTEX1D4	0.869902
RP5-882O7.1	0.65068
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.160325
MRPS17P1	0.034848
ZSWIM5	4.67796
OSTCP5	0
LINC01144	2.36752
HPDL	2.18794
RP11-291L19.1	0.162169
CCDC163	3.71232
MMACHC	3.06601
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	4.72818
RPS15AP10	3.97066
RP11-767N6.2	3.05132
RP11-767N6.7	4.08967
RP11-630I5.1	0.0807702
TMA16P2	0
RP4-533D7.4	0.406048
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	4.39385
RP11-322N21.2	0
RAD54L	0.627705
RP4-603I14.3	0
FAAHP1	0.575791
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.990058
KNCN	0
NENFP1	0.101978
TEX38	0.104228
EFCAB14-AS1	0.52889
RP11-8J9.5	0
CYP4Z2P	0.101698
RP11-346M5.1	0.0398674
CYP4A11	0.0812931
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	0.413361
RP11-184J23.2	0
CYP4A22-AS1	0.0586263
CYP4A22	0.101971
MTND1P34	0
LINC00853	0.172158
PDZK1IP1	0.765014
RP1-18D14.7	1.81032
STIL	0.522396
LINC01389	0.543141
FOXE3	0.0502877
FOXD2	1.91104
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
RP11-330M19.1	0.22984
RP4-683M8.2	0.0372407
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	1.2399
RP5-1024N4.6	0.0565852
RP5-1024N4.2	0.0765129
SLC5A9	1.75812
RP5-1024N4.4	4.67683
RP5-1024N4.5	0.500231
PPP1R8P1	0.502562
RNU6-723P	0
RP11-329A14.1	0.0943474
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.100127
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.430518
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0335945
RP5-850O15.3	0.130386
RNU6-1026P	0
PHBP12	0.544552
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0865217
LINC01562	0.220939
RP11-296A18.5	0.829227
RP11-296A18.6	0.242322
TTC39A	0.847573
TTC39A-AS1	0.0610741
RP11-275F13.3	0.441508
RNU6-877P	0
RP11-253A20.1	0.155472
RP11-191G24.1	0.199672
RNU6-1281P	0
CALR4P	0
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	3.74085
RP4-657D16.6	0.935398
MIR761	0
TSEN15P2	0.417402
RAB3B	0.0293962
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	1.35027
RP4-800M22.2	0
PDCL3P6	0.0779101
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.487151
RP11-155O18.6	3.84028
PLA2G12AP1	0.418327
ORC1	0.801293
RP11-25O10.2	0
EEF1GP7	0.154114
FAM159A	0.23535
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	3.59089
RNU6-969P	0
ZYG11A	0.171324
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
RP11-334A14.8	3.56056
RP5-1024G6.9	0
RP5-1024G6.2	0.535758
RP5-1024G6.7	0.060341
RP5-1024G6.5	0.41186
LRP8	2.61893
RP4-784A16.1	0.202221
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0
RP11-117D22.1	0
RP11-117D22.2	0
SLC25A3P1	0
DMRTB1	0
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.36324
HNRNPA3P12	0.123395
LDLRAD1	0.110458
RP4-758J24.6	2.7401
TCEANC2	2.40213
MIR4781	0
RP4-758J24.4	0
CDCP2	0.400241
RP11-446E24.3	0.0944771
CYB5RL	4.43659
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	1.70973
FAM151A	0.169333
RP11-240D10.4	0.152558
MROH7	4.98633
PARS2	3.86696
RP11-67L3.2	0.415644
LEXM	0.276215
RP11-67L3.5	0
RP11-67L3.4	0
TMEM61	0.157564
BSND	0
PCSK9	0.151602
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.337281
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0.365199
RP11-504A18.1	2.34071
LINC01767	0.138556
RPL21P23	1.02923
RPL23AP85	0
RP11-377K22.2	0
PRKAA2	3.2283
C1orf168	0.120518
RP11-378I13.1	0
C8A	0
C8B	0.0246074
RP5-1103B4.3	0
DAB1	2.07007
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.101735
RPS26P15	0.151451
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0.225758
RN7SL713P	0
RP4-592A1.2	0.213349
RP11-63G10.4	0.382424
LINC01135	0.55011
RP11-63G10.3	0.911291
RP11-63G10.2	0
RP4-794H19.1	1.76915
LINC01358	1.85834
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0.376465
HSD52	0.088891
RP11-467C18.1	1.28216
FGGY	2.56448
MIR4711	0
RP4-782L23.2	0.694539
HOOK1	2.59212
CYP2J2	1.20737
RN7SL475P	0
C1orf87	0.0267666
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.206164
RP11-436K8.1	0.29524
NFIA-AS2	0.243239
RP4-802A10.1	0.202221
NFIA-AS1	0
RP11-430G17.1	0
RP11-430G17.3	2.18988
RNU6-414P	0
RNU6-1177P	0
LAMTOR5P1	0
RN7SL180P	0.358538
MIR3116-1	0
PIGPP2	0
RPS15AP7	0
L1TD1	0.494802
RP5-1155K23.4	0
KANK4	0.613581
RNU6-371P	0
RP11-293K19.1	0
ANGPTL3	0.292909
RP5-849H19.3	0.104501
RP5-849H19.2	0.198429
