Name	Skin - Not Sun Exposed (Suprapubic)
RPS15AP6	0.110368
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.2	0.0530697
RP5-1071N3.1	0.410094
PPP1R11P1	0
RP11-293F5.8	0
RP11-293F5.1	0
NBPF2P	1.28297
HS6ST1P1	0.966917
CROCCP5	0
NBPF3	3.27092
PFN1P10	0
RP11-63N8.3	0
RAP1GAP	3.70023
RP11-132G19.3	0
LDLRAD2	1.74707
RP11-26H16.1	0.154153
RP11-26H16.4	0
CELA3B	0.202155
RN7SL386P	0
RNU6-1022P	0
CELA3A	0.702277
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0.540444
RP1-224A6.8	0.743541
RP1-224A6.9	0.785182
MIR4418	0
RP11-415K20.1	0.0818886
RP11-415K20.2	0
ZBTB40-IT1	1.33493
EPHA8	0.0709228
MIR6127	0
EPHB2	0.524993
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.144538
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0494848
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0331312
RP5-1057J7.1	0.0828505
ZNF436-AS1	4.54795
RP5-1057J7.7	1.89827
RP4-654C18.1	0.0889949
RP1-150O5.3	0.202599
MDS2	0.0207655
RP11-223J15.2	0
ELOA-AS1	4.01982
CNR2	0.00960988
BTBD6P1	0
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	1.21536
RP11-293P20.4	0
RP11-10N16.2	0.0442388
RP11-10N16.3	0.119988
STPG1	2.74969
RP4-594I10.3	0
NCMAP	0.64019
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
MIR6731	0
RP11-84D1.1	0.256141
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	1.07916
RP3-465N24.5	0.814369
RHD	0.318155
SDHDP6	0.596475
RP11-335G20.7	0
RHCE	0.510404
RP3-469D22.1	0.169628
RP11-70P17.1	1.68325
MAN1C1	4.57868
RP1-187B23.1	0.702625
RP1-317E23.3	1.04406
AUNIP	0.475365
RP1-125I3.2	0
Y_RNA	0
SNRPFP2	0.144822
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	2.65474
SLC30A2	0.823633
RP11-96L14.9	0.254337
TRIM63	1.75598
FAM110D	4.24296
RP11-96L14.8	0
RP11-96L14.7	0.458873
ZNF593	0
CATSPER4	0.0568882
RP11-231P20.2	0.0811185
RP11-231P20.6	0
RP11-231P20.5	0.108786
RP11-569G9.7	4.75696
ZNF683	0.172254
LIN28A	0.0139076
RP3-476K8.4	0.381503
RP3-476K8.3	0.530231
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.662432
RN7SL165P	0.108224
NR0B2	0
RPL12P13	0.1576
RP11-344H11.5	0
OSTCP2	0.0835691
RP11-40H20.5	0
CHCHD3P3	0.0654676
NPM1P39	0.305389
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.215403
RNU6-48P	0.382696
ACTG1P20	1.80435
FCN3	1.88885
RP1-144C9.2	0
GPR3	0.973541
RP4-752I6.1	0
RP1-159A19.4	0.309014
RP1-159A19.3	0.993912
RP11-288L9.1	0
RP11-288L9.4	0.0491713
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.451725
RPEP3	0.0459417
RP3-426I6.5	0.690381
RP3-426I6.6	0.677165
RNU6-1245P	0
SCARNA1	0
THEMIS2	3.40219
SMPDL3B	0.737321
RP11-460I13.2	0
RP11-460I13.6	1.32147
RN7SL559P	0.109671
SPCS2P4	1.03887
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	3.04622
RP5-1092A3.4	2.04849
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0.104789
RNU6ATAC27P	0
SNORA73A	3.52455
PRDX3P2	0.121185
RP4-669K10.8	0.479315
SNORD99	0
SNORA16A	0
RAB42	0.57412
LINC01715	0.450936
RNU11	0
SCARNA24	0
OPRD1	0.0223308
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0.109531
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	4.3434
RP11-467D18.2	0.294074
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.128588
MATN1-AS1	2.77792
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.0430804
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0.08556
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	2.31722
RP11-490K7.4	3.11349
RP11-266K22.2	0
RP11-439L8.2	0.0391285
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.0055893
RP11-73M7.1	0.168531
HCRTR1	0.0741331
RP11-73M7.6	3.969
RP11-73M7.9	0.117272
ADGRB2	1.95423
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.16378
RP11-84A19.2	0
RP11-84A19.4	0.771907
RP4-534N18.2	0.311499
RP11-277A4.4	0.217779
MIR5585	0
Metazoa_SRP	0
CCDC28B	2.83576
RP4-622L5.7	0.979001
DCDC2B	0.434992
FAM167B	3.21347
LCK	1.50599
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0
RN7SL122P	0
ZBTB8B	0.0167117
ZBTB8A	2.16291
Y_RNA	0
SYNC	1.86502
RP11-114B7.6	0.0872438
FNDC5	0.966882
HPCA	0.217456
RP5-1174N9.2	0.185883
RP4-803A2.1	0.156751
RP4-803A2.2	0.114698
Metazoa_SRP	0
RP1-117O3.2	0.0858701
AZIN2	1.95697
RP11-131M11.2	3.27874
RP11-131M11.3	1.41179
RP11-415J8.7	0.645238
A3GALT2	0.0890218
RP11-415J8.3	1.73254
MIR3605	0.357423
RN7SKP16	1.74773
RP11-415J8.5	0
TLR12P	0
ZSCAN20	0.735832
RP4-580O19.2	0.0463353
CSMD2	0.124633
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
RP1-34M23.5	0
RP5-997D16.2	4.75569
DLGAP3	0.343849
RP11-244H3.1	3.1814
RPL12P45	0
ZMYM1	4.98426
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
RPL5P4	4.32259
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	1.00764
CLSPN	0.392695
RP11-435D7.3	0
RP4-789D17.4	0
AGO3	3.89735
RP4-665N4.8	0.184945
RP4-665N4.4	0.0454979
TEKT2	0.366032
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
OSCP1	4.95261
SNORA63	0
CSF3R	1.22819
FTLP18	0
RP4-614N24.1	0
GRIK3	0.406424
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
MIR6732	0
MIR5581	0
FTH1P1	1.31145
RP3-423B22.5	0.611268
DNALI1	1.20577
EPHA10	0.231779
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	3.01623
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.404671
RP5-884C9.3	0.231025
MIR3659	0
LINC01343	0.456338
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.242746
RP5-864K19.4	1.07233
GJA9	0.978024
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	0.50745
RP11-420K8.1	0
HSPE1P8	0.303245
BMP8A	0.927745
OXCT2P1	0.239294
PPIEL	3.49186
SNORA55	1.60654
RP11-69E11.8	0.516193
HEYL	4.15807
RP1-144F13.3	0
NT5C1A	0
HPCAL4	0.0574944
RP1-144F13.4	0
RNU7-121P	0
BMP8B	2.76738
OXCT2	0.456871
RP1-118J21.25	0.218273
RP1-118J21.24	0
Y_RNA	0
RP1-118J21.5	0.179498
Y_RNA	0
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0
RP1-39G22.4	0.166003
RP1-228H13.1	0.196986
RP1-228H13.2	0
ZFP69B	0.614904
RP1-228H13.5	0.864715
RP11-656D10.7	0.168436
ZFP69	2.05224
RP11-656D10.3	0.437815
EXO5	3.11279
RP11-656D10.5	0
RP11-656D10.6	0.532133
ZNF684	1.55441
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	2.98041
RP4-739H11.3	0
NFYC-AS1	1.22647
MIR30E	0
MIR30C1	0
KCNQ4	2.39716
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	0.602403
SLFNL1	0.584878
RPL23AP17	0
RP11-399E6.1	0.0237878
RP11-399E6.2	0
FOXO6	3.13803
RP11-399E6.4	0.388585
RNA5SP45	0
RP11-486B10.3	0.25745
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0.124766
GUCA2A	0
RP11-223A3.1	0.294891
RIMKLA	0.224185
RP11-157D18.2	0
ZMYND12	0.926206
CCDC30	0.755491
RP11-163G10.2	0
TMSB4XP1	0.577454
RNU6-536P	0
RP11-163G10.4	0
RP5-994D16.3	1.19338
CLDN19	0.406391
RP5-994D16.9	2.56389
TMEM269	0.483733
RP11-342M1.3	0.555969
RP11-342M1.7	0.0482088
RP11-342M1.6	0
ATP6V1E1P1	0.0970023
RP5-848E13.5	1.44444
SLC2A1-AS1	3.55553
RP5-848E13.4	0.450417
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	4.96991
CFAP57	0.458277
RNA5SP46	0
MPL	0.20333
RP1-92O14.3	2.93669
RP1-92O14.6	2.80953
SZT2-AS1	0
HYI-AS1	0.727903
KDM4A-AS1	2.72297
RP11-184I16.4	0.383599
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	0.770687
RP11-7O11.3	0.86818
CCDC24	4.91849
RP5-1198O20.4	0.0821222
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0
RP11-570P14.1	0.250009
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.0450804
ERI3-IT1	0.395687
RNU6-369P	0
MIR5584	0
TMEM53	3.84976
C1orf228	0.992261
RNU5F-1	0
RNU5D-1	0.287341
KIF2C	3.40123
RP11-269F19.2	0.180314
SNORD46	4.30346
SNORD38A	0
RPS15AP11	0.95925
BEST4	1.91926
TCTEX1D4	0.894148
BTBD19	2.82128
PTCH2	3.49891
RP5-882O7.1	1.23935
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.109013
MRPS17P1	0.0269553
ZSWIM5	2.26873
OSTCP5	0
LINC01144	2.39891
HPDL	1.15939
RP11-291L19.1	0.136862
CCDC163	2.03909
MMACHC	2.78148
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
CCDC17	2.72032
RPS15AP10	2.51175
RP11-767N6.2	2.94719
RP11-767N6.7	4.17023
RP11-630I5.1	0.0891528
TMA16P2	0
RP4-533D7.4	0.105566
RP4-533D7.3	0
RP4-533D7.5	0
TSPAN1	3.37954
RP11-322N21.2	0
LURAP1	2.77637
RAD54L	1.27891
RP4-603I14.3	0.176957
FAAHP1	0.485349
LINC01398	0.0319559
DMBX1	0.0770523
RP11-49P4.7	0
MKNK1-AS1	0.608648
KNCN	0
NENFP1	0.251374
TEX38	0.134106
EFCAB14-AS1	0.850393
RP11-8J9.5	0
CYP4Z2P	0.281003
RP11-346M5.1	0.0569109
CYP4A11	0.161414
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	1.12379
RP11-184J23.2	0.0764678
CYP4A22-AS1	0.132438
CYP4A22	0.12066
MTND1P34	0
LINC00853	0.555533
TAL1	2.355
RP1-18D14.7	0.23548
STIL	2.31977
LINC01389	0.502789
FOXE3	0.0876114
FOXD2-AS1	1.01149
FOXD2	0.352062
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	2.50934
RP11-330M19.1	0.107714
RP4-683M8.2	0
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	0.845738
RP5-1024N4.6	0.138981
RP5-1024N4.2	0
SLC5A9	3.47159
RP5-1024N4.4	2.04996
RP5-1024N4.5	0.121287
PPP1R8P1	0.230586
RNU6-723P	0
RP11-329A14.1	0.0312482
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.115775
BEND5	3.0034
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.0546424
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.492878
HMGB1P45	0
FCF1P6	0
DMRTA2	0
RP5-850O15.3	0.0650417
RNU6-1026P	0
PHBP12	0.858378
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0638866
LINC01562	0.0378486
RP11-296A18.5	1.16643
RP11-296A18.6	0.451177
TTC39A	3.23169
TTC39A-AS1	0.0979498
RP11-275F13.3	0.40293
RNU6-877P	0
RP11-253A20.1	0.185019
RP11-191G24.1	0.908791
RNU6-1281P	0
CALR4P	0.073719
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	3.94828
RP4-657D16.6	0.83557
MIR761	0
TSEN15P2	0.163784
RAB3B	1.54738
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0.114865
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	2.65031
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.173711
RP11-155O18.6	1.61884
PLA2G12AP1	0.29487
ORC1	1.75867
RP11-25O10.2	0
EEF1GP7	0
GPX7	4.98281
FAM159A	0.0583376
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	3.17815
RNU6-969P	0
ZYG11A	0.157548
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	0.865427
RP11-334A14.8	0.2685
RP5-1024G6.9	0
RP5-1024G6.2	0.165344
RP5-1024G6.7	0.0344777
RP5-1024G6.5	0.75185
LRP8	1.59519
RP4-784A16.1	0.105653
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0
RP11-117D22.1	0
RP11-117D22.2	0.0410081
SLC25A3P1	0
DMRTB1	0
GLIS1	2.46429
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.126315
HNRNPA3P12	0.172313
LDLRAD1	0.0397129
RP4-758J24.6	1.66867
TCEANC2	2.5819
MIR4781	0
RP4-758J24.4	0
CDCP2	0.106165
RP11-446E24.3	0.0645538
CYB5RL	2.71312
SSBP3-AS1	2.87389
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0.142332
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	0.851178
FAM151A	0.109369
RP11-240D10.4	0
MROH7	3.1454
PARS2	3.84502
RP11-67L3.2	0.941208
LEXM	1.10273
RP11-67L3.5	0
RP11-67L3.4	0.815976
TMEM61	3.09563
BSND	0.0406173
PCSK9	1.19056
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.249431
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0.106761
RP11-504A18.1	0.27866
LINC01767	0.0684778
RPL21P23	0.363088
RPL23AP85	0
RP11-377K22.2	0
PRKAA2	0.759445
C1orf168	0.0233663
RP11-378I13.1	0
C8A	0
C8B	0
RP5-1103B4.3	0
DAB1	0.148534
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0391237
RPS26P15	0.151618
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0
RN7SL713P	0
RP4-592A1.2	0.620709
RP11-63G10.4	0.856417
LINC01135	0.201208
RP11-63G10.3	0.237634
RP11-63G10.2	0
RP4-794H19.1	0.367258
LINC01358	0.060224
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0.0198648
RP11-467C18.1	0.18269
FGGY	1.75126
MIR4711	0
RP4-782L23.2	0.298855
RN7SL475P	0
C1orf87	0.0562067
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.0456917
RP11-436K8.1	0.0480769
NFIA-AS2	0.0817648
RP4-802A10.1	0.56119
NFIA-AS1	0.0717295
RP11-430G17.1	0
RP11-430G17.3	0.41013
RNU6-414P	0
RNU6-1177P	0
LAMTOR5P1	0
RN7SL180P	0.0345515
MIR3116-1	0
PIGPP2	0
RPS15AP7	0
