Name	Fallopian Tube
RP11-26H16.1	0.106377
RP11-26H16.4	0
CELA3B	1.75168
RN7SL386P	0
RNU6-1022P	0
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0.222746
RP1-224A6.8	0.138718
RP1-224A6.9	1.29593
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	1.26112
EPHA8	0.0295436
MIR6127	0
EPHB2	3.16958
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.240569
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0879541
RNU6-514P	0
RNU6-135P	0
HTR1D	0.126865
RP5-1057J7.1	0.111696
RP5-1057J7.7	0.838863
RP4-654C18.1	0
E2F2	0.188737
RP1-150O5.3	0.47011
MDS2	0.0948098
RP11-223J15.2	0
ELOA-AS1	4.93496
CNR2	0.0386529
BTBD6P1	0.0416455
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.193988
RP11-293P20.4	0
IL22RA1	1.00283
IFNLR1	1.18979
RP11-10N16.2	0.0579692
RP11-10N16.3	0.0750819
GRHL3	0.253317
STPG1	3.08342
RCAN3	3.75385
RP4-594I10.3	0
NCMAP	0.640348
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	3.29271
MIR6731	0
RP11-84D1.1	0
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	0.709865
RP3-465N24.5	1.76978
RHD	0.644932
SDHDP6	1.39155
RP11-335G20.7	0
RHCE	0.34698
RP3-469D22.1	0.0752578
RP11-70P17.1	0.998619
RP1-187B23.1	0.118626
RP1-317E23.3	1.17476
AUNIP	0.546597
RP1-125I3.2	0.203774
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	1.48223
SLC30A2	0.254261
RP11-96L14.9	0
TRIM63	0.699402
PDIK1L	4.28977
RP11-96L14.8	0
RP11-96L14.7	0.938505
ZNF593	0
CATSPER4	0
RP11-231P20.2	0.358358
RP11-231P20.6	0
CEP85	3.9603
RP11-231P20.5	0
AIM1L	0.14601
RP11-569G9.7	0
ZNF683	0.378029
LIN28A	0.0160354
RP3-476K8.4	0.480188
RP3-476K8.3	1.84541
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	1.04595
RN7SL165P	0.208194
SFN	2.35843
NR0B2	0.0912886
KDF1	1.75705
RPL12P13	0.144762
RP11-344H11.5	0
OSTCP2	0
RP11-40H20.5	0
CHCHD3P3	0.0992639
NPM1P39	0.559027
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.561328
RNU6-48P	0.960377
ACTG1P20	2.69031
FCN3	2.86389
CD164L2	4.38389
RP1-144C9.2	0
GPR3	1.92197
RP4-752I6.1	0
RP1-159A19.4	0.856319
RP1-159A19.3	1.19543
RP11-288L9.1	0.081572
RP11-288L9.4	0.116784
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.364062
RPEP3	0
RP3-426I6.5	0.987792
RP3-426I6.6	1.46977
RNU6-1245P	0
SCARNA1	0
SMPDL3B	0.848004
RP11-460I13.2	0
RP11-460I13.6	0.692413
RN7SL559P	0
SPCS2P4	1.20717
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	2.57478
RP5-1092A3.4	2.94828
RP5-1092A3.5	0
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
PRDX3P2	0.0840919
RP4-669K10.8	0.426982
SNORD99	0
SNORA16A	0
RAB42	1.39107
LINC01715	0.985737
RNU11	0
SCARNA24	0
OPRD1	0.0163052
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0.102257
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	3.42267
RP11-467D18.2	0.422929
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	0.690898
MATN1-AS1	4.48534
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.472955
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.188458
RP11-490K7.4	3.38264
RP11-266K22.2	0.213516
RP11-439L8.2	0.0393181
RNU6-40P	0
LINC01225	0
Y_RNA	0
LINC01226	0.0179009
RP11-73M7.1	0.761236
HCRTR1	0.177542
RP11-73M7.6	2.73632
RP11-73M7.9	0
ADGRB2	3.52392
MIR4254	0
RP11-84A19.3	0
SPOCD1	0.4326
RP11-84A19.2	0
RP11-84A19.4	0.875301
RP4-534N18.2	0.310982
RP11-277A4.4	0.0970906
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	4.41272
DCDC2B	3.43233
LCK	3.88262
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.468057
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0.0672788
RN7SL122P	0
ZBTB8B	0.0532563
Y_RNA	0
RP11-114B7.6	0
HPCA	0.789644
RP5-1174N9.2	0.266013
RP4-803A2.1	0
RP4-803A2.2	0.116418
Metazoa_SRP	0
RP1-117O3.2	0.0482376
AZIN2	3.98109
RP11-131M11.2	1.56109
RP11-131M11.3	0.781739
RP11-415J8.7	0.411109
A3GALT2	0.263125
RP11-415J8.3	4.68386
MIR3605	1.21801
RN7SKP16	4.08405
RP11-415J8.5	0.39349
TLR12P	0
ZSCAN20	1.76943
RP4-580O19.2	0.0919758
CSMD2	0.10973
HSPD1P14	0
HMGB4	0.0528654
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.311527
GJB4	0.0537825
GJB3	0.397891
RP1-34M23.5	0
DLGAP3	0.670284
RPL12P45	0
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
ZMYM4-AS1	0
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	1.79131
CLSPN	0.109162
RP11-435D7.3	0
RP4-789D17.4	0
RP4-665N4.8	0.560821
RP4-665N4.4	0.289532
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
SNORA63	0.81806
FTLP18	0
RP4-614N24.1	0
GRIK3	0.634598
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
MIR6732	0
MIR5581	0
FTH1P1	0.579475
RP3-423B22.5	0.802698
CDCA8	1.00074
EPHA10	0.176782
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	1.24153
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0
Metazoa_SRP	0
RNU6-510P	0.333086
POU3F1	0.116353
RP5-884C9.2	0.105185
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0983726
RP5-864K19.4	1.51732
GJA9	0.274316
RHBDL2	0.820208
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	1.63008
RP11-420K8.1	0
HSPE1P8	0
BMP8A	2.2588
OXCT2P1	0.803338
SNORA55	2.25647
RP11-69E11.8	0.895126
RP1-144F13.3	0
NT5C1A	0.387299
HPCAL4	0.116572
RP1-144F13.4	0
RNU7-121P	0
BMP8B	2.91296
OXCT2	0.398146
RP1-118J21.25	0.176471
RP1-118J21.24	0
Y_RNA	0
MYCL	0.469069
RP1-118J21.5	0
Y_RNA	0
MFSD2A	4.07759
RP3-342P20.2	1.03489
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0.118706
RP1-39G22.4	0.263605
RP1-228H13.1	0.239087
RP1-228H13.2	0
ZFP69B	0.994051
RP1-228H13.5	0.959807
RP11-656D10.7	0.357943
ZFP69	4.98195
RP11-656D10.3	2.02164
RP11-656D10.5	0
RP11-656D10.6	0.637564
ZNF684	3.16977
RP1-63P18.2	0
GTF2F2P2	0
RP4-739H11.3	0
MIR30E	0
MIR30C1	0
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	2.67693
SLFNL1	1.94317
RPL23AP17	0.105741
RP11-399E6.1	0.166099
RP11-399E6.2	0
RP11-399E6.4	3.09263
RNA5SP45	0
EDN2	0.997993
HIVEP3	1.84699
RP11-486B10.3	0
RP11-486B10.4	0.0962709
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	1.00821
RIMKLA	0.330547
RP11-157D18.2	0
ZMYND12	2.77743
CCDC30	2.05372
RP11-163G10.2	0
TMSB4XP1	0.952149
RNU6-536P	0
RP11-163G10.4	0.125332
RP5-994D16.3	1.20967
CLDN19	0.112761
RP5-994D16.9	2.54675
TMEM269	0.284869
RP11-342M1.3	0.631538
RP11-342M1.7	0
RP11-342M1.6	0
ATP6V1E1P1	0.0754481
RP5-848E13.5	0.233546
SLC2A1-AS1	2.74343
RP5-848E13.4	0.0982548
RNU6-880P	0
U6	0
RP3-393B19.1	0
CFAP57	1.50099
RNA5SP46	0
TMEM125	3.90225
C1orf210	0.879195
MPL	0.349282
RP1-92O14.3	1.05401
CDC20	0.806754
RP1-92O14.6	2.2632
SZT2-AS1	0
HYI-AS1	0.641059
KDM4A-AS1	1.99637
RP11-184I16.4	0.137036
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0
ARTN	2.25654
RP11-7O11.3	1.44325
RP5-1198O20.4	0.522063
RP5-1198O20.5	0.116509
KRT8P47	0
RN7SL479P	0
KLF17	0.451594
RP11-570P14.1	0.357056
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.144173
ERI3-IT1	0.587249
RNU6-369P	0
MIR5584	0
C1orf228	4.86539
RNU5F-1	0.878293
RNU5D-1	0
KIF2C	1.44415
RP11-269F19.2	0.173703
SNORD46	4.27598
SNORD38A	0
RPS15AP11	1.15507
TCTEX1D4	4.35044
RP5-882O7.1	0.835731
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.12863
MRPS17P1	0.0339433
OSTCP5	0
LINC01144	2.44368
HPDL	1.23286
RP11-291L19.1	0.104145
MMACHC	2.75484
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
RPS15AP10	2.22038
RP11-767N6.2	1.67401
RP11-767N6.7	4.6121
RP11-630I5.1	0.0774814
TMA16P2	0
RP4-533D7.4	0.195775
RP4-533D7.3	0
RP4-533D7.5	0
RP11-322N21.2	0
RAD54L	0.405434
RP4-603I14.3	0.0914786
FAAHP1	0.734062
LINC01398	0.0408397
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.857481
KNCN	0
NENFP1	0.113229
TEX38	0.21023
EFCAB14-AS1	0.304413
RP11-8J9.5	0
CYP4Z2P	0.112557
RP11-346M5.1	0
CYP4A11	0.0957116
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	1.38458
RP11-184J23.2	0
CYP4A22-AS1	0
CYP4A22	0.0892161
MTND1P34	0
LINC00853	0.335478
RP1-18D14.7	1.23434
STIL	0.731513
LINC01389	0.594004
FOXE3	0.0611656
FOXD2-AS1	2.22151
FOXD2	0.613698
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
TRABD2B	4.87273
RP11-330M19.1	0.341207
RP4-683M8.2	0.0357243
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	1.2561
RP5-1024N4.6	0.0453987
RP5-1024N4.2	0
SLC5A9	2.16538
RP5-1024N4.4	3.32483
RP5-1024N4.5	0.255093
PPP1R8P1	0.486811
RNU6-723P	0
RP11-329A14.1	0.108969
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.110169
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.0206654
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.46869
HMGB1P45	0
FCF1P6	0
DMRTA2	0
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.298814
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0838901
LINC01562	0.173728
RP11-296A18.5	0.531519
RP11-296A18.6	0.121298
TTC39A	0.492179
TTC39A-AS1	0
RP11-275F13.3	0.420592
RNU6-877P	0
RP11-253A20.1	0.178716
RP11-191G24.1	0.381835
RNU6-1281P	0
CALR4P	0
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	3.16103
RP4-657D16.6	0.905212
MIR761	0
TSEN15P2	0.160282
RAB3B	0.20774
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	1.13418
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0
RP11-155O18.6	1.60589
PLA2G12AP1	0.371583
ORC1	0.610739
RP11-25O10.2	0.117528
EEF1GP7	0
FAM159A	0.5556
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	3.76985
RNU6-969P	0
ZYG11A	0.0926406
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	4.89052
RP11-334A14.8	2.52581
RP5-1024G6.9	0.0471408
RP5-1024G6.2	0.667275
RP5-1024G6.7	0.0353823
RP5-1024G6.5	0.685563
LRP8	3.1297
RP4-784A16.1	0.135168
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0
RP11-117D22.1	0
RP11-117D22.2	0.0796402
SLC25A3P1	0.0974339
DMRTB1	0
GLIS1	1.30474
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.471746
HNRNPA3P12	0.113988
LDLRAD1	3.95394
RP4-758J24.6	2.58563
TCEANC2	2.69239
MIR4781	0
RP4-758J24.4	0
CDCP2	0.285363
RP11-446E24.3	0.189273
CYB5RL	4.35322
SSBP3-AS1	3.67936
RP5-997D24.3	0
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	2.09666
FAM151A	0.301324
RP11-240D10.4	0.172047
PARS2	4.74366
TTC22	1.95304
RP11-67L3.2	0
LEXM	0.0715013
RP11-67L3.5	0
RP11-67L3.4	0.215883
TMEM61	1.89922
BSND	0.0887906
PCSK9	0.190678
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.1309
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0
RPSAP20	0.342274
RP11-504A18.1	1.43502
LINC01767	0
RPL21P23	0.349517
RPL23AP85	0.0830791
RP11-377K22.2	0
C1orf168	3.27405
RP11-378I13.1	0
C8A	0.0574654
C8B	0.0477179
RP5-1103B4.3	0
DAB1	0.537975
RP6-102O10.1	0.0508097
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0444161
RPS26P15	0.291785
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0
RP4-592A1.4	0
RN7SL713P	0
RP4-592A1.2	0.637699
RP11-63G10.4	0.578977
LINC01135	0.70981
RP11-63G10.3	0.474982
RP11-63G10.2	0
RP4-794H19.1	1.84049
LINC01358	0.769801
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0.0630872
RP11-467C18.1	1.43395
FGGY	1.96537
MIR4711	0
RP4-782L23.2	0.45828
HOOK1	1.13213
CYP2J2	1.17906
RN7SL475P	0.354126
C1orf87	0.904247
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.0513332
RP11-436K8.1	0.0848325
NFIA-AS2	0.223028
RP4-802A10.1	0.27349
NFIA-AS1	0.11897
RP11-430G17.1	0
RP11-430G17.3	2.76121
RNU6-414P	0
RNU6-1177P	0
LAMTOR5P1	0
RN7SL180P	0
MIR3116-1	0
PIGPP2	0
RPS15AP7	0
L1TD1	0.239904
RP5-1155K23.4	0
KANK4	0.374854
RNU6-371P	0
RP11-293K19.1	0
ANGPTL3	0.163308
RP5-849H19.3	0.0946357
RP5-849H19.2	0
RP11-230B22.1	0.322236
RP4-771M4.3	0
RP4-771M4.2	0
LINC01739	0
RP11-5P4.2	0
RP11-5P4.3	0
RP11-335E6.2	0
LINC00466	0.0249176
RNA5SP49	0
RP11-335E6.3	0
RPSAP65	0
FOXD3-AS1	0.974278
FOXD3	0.479219
MIR6068	0
Y_RNA	0
RP4-792G4.3	0
RN7SL488P	0
RNU7-123P	0
DLEU2L	1.08495
RN7SL130P	0.564401
ROR1	3.8886
RP4-597J3.1	0
CFL1P3	0
RNU6-809P	0
Y_RNA	0
ROR1-AS1	0.029777
UBE2U	0
RNU7-62P	0
