Name	Cervix - Endocervix
HS6ST1P1	0.531918
CROCCP5	0
NBPF3	4.77305
PFN1P10	0
RP11-63N8.3	0
RAP1GAP	1.50659
RP11-132G19.3	0
RP11-26H16.1	0.12563
RP11-26H16.4	0
CELA3B	1.03824
RN7SL386P	0
RNU6-1022P	0
CELA3A	3.38524
RN7SL186P	0
RNU6-776P	0
LINC01635	0
CDC42-IT1	0.17208
RP1-224A6.8	0.267689
RP1-224A6.9	1.67043
MIR4418	0
RP11-415K20.1	0
RP11-415K20.2	0
ZBTB40-IT1	1.52354
EPHA8	0.024929
MIR6127	0
EPHB2	1.56857
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
C1orf234	0.107311
RP1-184J9.2	0
MIR3115	0
MIR4419A	0
RP5-979D14.1	0.0987382
RNU6-514P	0
RNU6-135P	0
HTR1D	0.0562375
RP5-1057J7.1	0
RP5-1057J7.7	0.68079
RP4-654C18.1	0
E2F2	0.154529
RP1-150O5.3	0.499422
MDS2	0.0517125
RP11-223J15.2	0
CNR2	0.0307183
BTBD6P1	0.0241579
RP11-4M23.3	0
MIR378F	0
RP11-4M23.4	0
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0.29718
RP11-293P20.4	0
IL22RA1	0.151416
IFNLR1	0.354664
RP11-10N16.2	0.0136901
RP11-10N16.3	0.0822636
GRHL3	0.124458
STPG1	2.75089
NIPAL3	4.49358
RCAN3	3.34665
RP4-594I10.3	0
NCMAP	0.250218
RP11-496D1.2	0
Y_RNA	0
RNU6-1208P	0
RUNX3	3.12676
MIR6731	0
RP11-84D1.1	0.0876694
RP11-84D1.2	0
MIR4425	0
RP4-799D16.1	0
RP4-781L3.1	0
RP4-706G24.1	0
RP3-465N24.6	1.14192
RP3-465N24.5	3.63078
RHD	0.932419
SDHDP6	1.65522
RP11-335G20.7	0
RHCE	0.290703
RP3-469D22.1	0.386861
RP11-70P17.1	1.79883
RP1-187B23.1	0.248812
RP1-317E23.3	1.08335
AUNIP	0.479886
RP1-125I3.2	0.0962472
Y_RNA	0
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
RNU6-110P	0
SCARNA17	0
SCARNA18	0
EXTL1	0.467162
SLC30A2	0.074777
RP11-96L14.9	0
TRIM63	0.955514
RP11-96L14.8	0
RP11-96L14.7	0.588009
ZNF593	0
CATSPER4	0
RP11-231P20.2	0.136049
RP11-231P20.6	0
CEP85	4.94205
RP11-231P20.5	0
AIM1L	0.120144
RP11-569G9.7	0
ZNF683	0.17239
LIN28A	0
RP3-476K8.4	0.533967
RP3-476K8.3	1.55353
DPPA2P2	0
MIR1976	0
RN7SL679P	0
Y_RNA	0
RNU7-29P	0
RP11-492M19.3	0
snoU13	0
RP4-785J1.1	0
RP5-968P14.2	0.953451
RN7SL165P	0
NR0B2	0
KDF1	0.0772782
RPL12P13	0.109174
RP11-344H11.5	0
OSTCP2	0
RP11-40H20.5	0
CHCHD3P3	0.0873767
NPM1P39	0.848375
SNRPEP7	0
RP11-40H20.4	0
Y_RNA	0
RP11-4K3__A.3	0.788091
RNU6-48P	0.511976
ACTG1P20	2.40053
SYTL1	3.48549
FCN3	3.6315
CD164L2	0.33604
RP1-144C9.2	0
GPR3	0.715253
RP4-752I6.1	0
RP1-159A19.4	2.25426
RP1-159A19.3	1.17154
RP11-288L9.1	0
RP11-288L9.4	0.254227
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.2	0.307085
RPEP3	0
RP3-426I6.5	0.753042
RP3-426I6.6	2.01249
RNU6-1245P	0
SCARNA1	0
SMPDL3B	0.204676
RP11-460I13.2	0
RP11-460I13.6	2.10024
RN7SL559P	0
SPCS2P4	1.38693
RP5-1053E7.2	0
RP5-1053E7.3	0
RNU6-176P	0
PTAFR	1.66855
RP5-1092A3.4	3.62008
RP5-1092A3.5	0.0473833
Y_RNA	0
RP1-308E4.1	0
RNU6ATAC27P	0
SNORA73A	3.53657
PRDX3P2	0.197096
RP4-669K10.8	0.258735
SNORD99	0
SNORA16A	0
RAB42	3.15986
LINC01715	1.10968
RNU11	0
SCARNA24	0
OPRD1	0.0440064
RP1-212P9.3	0
Y_RNA	0
RP4-604A21.1	0
Y_RNA	0
Metazoa_SRP	0
RP11-242O24.3	0
uc_338	2.61507
RP11-467D18.2	0.475713
LINC01756	0.0554372
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.1	0
LINC01648	0.0232029
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	1.36597
MIR4420	0
RP5-1125N11.1	0
LINC01778	0.230349
RN7SKP91	0
RP1-65J11.5	0
RN7SL371P	0
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0.0988203
RP11-490K7.4	3.83387
RP11-266K22.2	0.179249
SERINC2	2.78198
RP11-439L8.2	0.0736675
RNU6-40P	0
LINC01225	0.0213621
Y_RNA	0
LINC01226	0.0326266
RP11-73M7.1	1.10924
HCRTR1	0.0318737
RP11-73M7.9	0.36347
ADGRB2	4.65152
MIR4254	0
RP11-84A19.3	0
SPOCD1	3.24689
RP11-84A19.2	0
RP11-84A19.4	1.28849
RP4-534N18.2	0.408613
RP11-277A4.4	0.299514
MIR5585	0
Metazoa_SRP	0
RP4-622L5.7	3.39517
DCDC2B	1.05996
LCK	3.79968
Metazoa_SRP	0
Y_RNA	0
RP4-811H24.9	0.337487
GAPDHP20	0
RP11-395N6.4	0
LRRC37A12P	0.011235
RN7SL122P	0
ZBTB8B	0.101261
Y_RNA	0
RP11-114B7.6	0
FNDC5	4.404
HPCA	2.02106
RP5-1174N9.2	0.264381
RP4-803A2.1	0
RP4-803A2.2	0.114062
Metazoa_SRP	0
RP1-117O3.2	0.0905243
RP11-131M11.2	1.08904
RP11-131M11.3	0.631866
RP11-415J8.7	1.45563
A3GALT2	0.14892
RP11-415J8.3	4.46248
MIR3605	0.743033
RN7SKP16	2.88056
RP11-415J8.5	0.251681
TLR12P	0
ZSCAN20	1.72985
RP4-580O19.2	0.393185
CSMD2	0.304347
HSPD1P14	0
HMGB4	0.0232762
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
RP4-657M3.2	0
MIR552	0
GJB5	0.330195
GJB4	0.033957
GJB3	0.261313
RP1-34M23.5	0
DLGAP3	0.63026
RPL12P45	0
EFCAB14P1	0
Y_RNA	0
RN7SL503P	0
SNORA62	0
ZMYM4-AS1	0.0936647
Metazoa_SRP	0
RP4-728D4.3	0
RP4-728D4.2	1.49408
CLSPN	0.140058
RP11-435D7.3	0
RP4-789D17.4	0
RP4-665N4.8	0.364205
RP4-665N4.4	0.0979964
TEKT2	2.59397
RN7SL131P	0
UBE2V2P4	0
RNU4-27P	0
SNORA63	1.15153
FTLP18	0
RP4-614N24.1	0
GRIK3	1.75442
MIR4255	0
RNU6-636P	0
RP5-1180C18.1	0
RNA5SP43	0
RPS29P6	0
LINC01137	4.13291
MIR6732	0
MIR5581	0
FTH1P1	0.359897
RP3-423B22.5	0.780868
CDCA8	1.15895
EPHA10	0.323757
Y_RNA	0
ACTN4P2	0
RP11-109P14.2	0
MANEAL	2.29035
RP11-109P14.8	0
SNORA63	0
RNU6-584P	0.266453
Metazoa_SRP	0
RNU6-510P	0.457693
POU3F1	0.244362
RP5-884C9.2	0.464716
RP5-884C9.3	0
MIR3659	0
LINC01343	0
RP11-329N22.2	0
RNU6-753P	0
LINC01685	0
RP11-334L9.1	0.0874299
RP5-864K19.4	1.93029
GJA9	0.382589
RHBDL2	0.584722
RNU6-605P	0
Y_RNA	0
EIF1P2	0
RNU6-608P	0
RNA5SP44	0
RP11-416A14.1	1.74299
RP11-420K8.1	0
HSPE1P8	0.0699233
BMP8A	1.64356
OXCT2P1	0.766212
SNORA55	2.05274
RP11-69E11.8	0.51998
RP1-144F13.3	0
NT5C1A	0.080949
HPCAL4	0.0558795
RP1-144F13.4	0
RNU7-121P	0
OXCT2	0.316231
RP1-118J21.25	0.420617
RP1-118J21.24	0
Y_RNA	0
MYCL	0.650629
RP1-118J21.5	0
Y_RNA	0
MFSD2A	2.23747
RP3-342P20.2	0.864714
RP11-115D7.3	0
RNU6-1237P	0
TMCO2	0.0331479
RP1-39G22.4	0.227309
RP1-228H13.1	0.0627954
RP1-228H13.2	0
ZFP69B	1.54728
RP1-228H13.5	1.77205
RP11-656D10.7	0.280543
ZFP69	4.92979
RP11-656D10.3	2.08279
RP11-656D10.5	0
RP11-656D10.6	1.61853
ZNF684	3.22498
RP1-63P18.2	0
GTF2F2P2	0
RIMS3	3.61191
RP4-739H11.3	0
MIR30E	0
MIR30C1	0
RN7SL326P	0
RP5-1066H13.4	0
RP11-348A7.1	0
UBE2V1P8	0
SLFNL1-AS1	2.21109
SLFNL1	1.91596
RPL23AP17	0.0994116
RP11-399E6.1	0.213288
RP11-399E6.2	0
RP11-399E6.4	3.42327
RNA5SP45	0
EDN2	0.453882
HIVEP3	1.76724
RP11-486B10.3	0
RP11-486B10.4	0.0611754
HNRNPFP1	0
RP11-319C21.1	0
GUCA2B	0
GUCA2A	0
RP11-223A3.1	0.591293
RIMKLA	0.245063
RP11-157D18.2	0
ZMYND12	2.80696
CCDC30	2.97059
RP11-163G10.2	0
TMSB4XP1	1.2665
RNU6-536P	0
RP11-163G10.4	0.0495809
RP5-994D16.3	1.78268
CLDN19	0.0728987
RP5-994D16.9	3.04592
TMEM269	0.384389
RP11-342M1.3	0.688582
RP11-342M1.7	0.0312651
RP11-342M1.6	0
ATP6V1E1P1	0.118568
RP5-848E13.5	0.274648
SLC2A1-AS1	3.62409
RP5-848E13.4	0.102072
RNU6-880P	0
U6	0
RP3-393B19.1	0
FAM183A	0.852062
CFAP57	0.602297
RNA5SP46	0
TMEM125	0.274561
C1orf210	0.134605
MPL	0.427591
RP1-92O14.3	1.61658
CDC20	1.14138
RP1-92O14.6	2.36712
SZT2-AS1	0
HYI-AS1	0.438249
KDM4A-AS1	2.48625
RP11-184I16.4	0.161026
U6	0
RP11-184I16.3	0
MIR6079	0
SHMT1P1	0.0541743
ARTN	4.22353
RP11-7O11.3	1.84176
RP5-1198O20.4	0.294036
RP5-1198O20.5	0
KRT8P47	0
RN7SL479P	0
KLF17	0.144621
RP11-570P14.1	0.274616
KLF18	0
RP4-675G8.3	0
Y_RNA	0
OOSP1P1	0
RP5-891H21.1	0
RP5-891H21.5	0.119833
ERI3-IT1	0.522727
RNU6-369P	0
MIR5584	0
C1orf228	2.87469
RNU5F-1	0
RNU5D-1	0
KIF2C	1.36539
RP11-269F19.2	0.299373
SNORD46	3.34538
SNORD38A	0
RPS15AP11	0.727584
BEST4	1.2445
TCTEX1D4	0.721554
RP5-882O7.1	1.81147
RNA5SP47	0
CCNB1IP1P1	0
RP5-882O7.4	0.171482
MRPS17P1	0.0683151
OSTCP5	0
LINC01144	2.42054
HPDL	1.70283
RP11-291L19.1	0
MMACHC	3.14257
HMGB1P48	0
AL355480.3	0
AL355480.1	0
AL355480.2	0
AL355480.4	0
RPS15AP10	3.08071
RP11-767N6.2	2.51169
RP11-630I5.1	0.0306514
TMA16P2	0
RP4-533D7.4	0.371582
RP4-533D7.3	0
RP4-533D7.5	0
RP11-322N21.2	0
RAD54L	0.544686
RP4-603I14.3	0
FAAHP1	1.17506
LINC01398	0
DMBX1	0
RP11-49P4.7	0
MKNK1-AS1	0.967467
KNCN	0
NENFP1	0.0543198
TEX38	0.113304
EFCAB14-AS1	0.395423
RP11-8J9.5	0
CYP4Z2P	0.0571408
RP11-346M5.1	0
CYP4A11	0.110361
CYP4A26P	0
CYP4A43P	0
CYP4A27P	0
CYP4A44P	0
CYP4Z1	0.258843
RP11-184J23.2	0
CYP4A22-AS1	0.0505572
CYP4A22	0.0420612
MTND1P34	0
LINC00853	0.272175
PDZK1IP1	0.530513
RP1-18D14.7	1.30718
STIL	0.795464
LINC01389	0.716389
FOXE3	0.0519754
FOXD2	3.31798
RP4-666O22.3	0
RPL21P24	0
ATP6V0E1P4	0
LINC01738	0
RP11-330M19.1	0.166865
RP4-683M8.2	0.111067
RP11-193P11.3	0
CYP46A4P	0
SKINT1L	1.13219
RP5-1024N4.6	0.0150902
RP5-1024N4.2	0.0463008
SLC5A9	1.87726
RP5-1024N4.4	4.61851
RP5-1024N4.5	0.360317
PPP1R8P1	0.328873
RNU6-723P	0
RP11-329A14.1	0.0919148
RNU4-61P	0
RP11-329A14.2	0
AGBL4	0.109938
RP11-141A19.1	0
RP11-141A19.2	0
AGBL4-IT1	0
RP5-926E3.1	0
ZNF859P	0
RP11-93G23.2	0
MTND2P29	0
ELAVL4	0.00363536
RP11-492I2.1	0
RP11-567C20.2	0
RP11-567C20.3	0
RP11-183G22.1	0.420505
HMGB1P45	0
FCF1P6	0
DMRTA2	0.0373413
RP5-850O15.3	0
RNU6-1026P	0
PHBP12	0.36048
MRPS6P2	0
MIR4421	0
MIR6500	0
C1orf185	0
Y_RNA	0
CFL1P2	0.0600993
LINC01562	0.164922
RP11-296A18.5	0.672193
RP11-296A18.6	0.186745
TTC39A	1.34012
TTC39A-AS1	0.0304112
RP11-275F13.3	0.343552
RNU6-877P	0
RP11-253A20.1	0.148393
RP11-191G24.1	0.150879
RNU6-1281P	0
CALR4P	0
GAPDHP51	0
SLC25A6P3	0
SNORA26	0
RP4-657D16.3	2.91361
RP4-657D16.6	0.614573
MIR761	0
TSEN15P2	0.153021
RAB3B	0.0535939
RNA5SP48	0
RP11-91A18.1	0
RN7SL290P	0
RP11-91A18.4	0
TXNDC12-AS1	0
RN7SL788P	0
RP4-800M22.1	1.54449
RP4-800M22.2	0
PDCL3P6	0
RP4-800M22.4	0
DNAJC19P7	0
ANAPC10P1	0.198962
PLA2G12AP1	0.35638
ORC1	0.777226
RP11-25O10.2	0.101286
EEF1GP7	0.0286457
FAM159A	0.319564
NDUFS5P3	0
RN7SL62P	0
RNU2-30P	0
RPS13P2	3.279
RNU6-969P	0
ZYG11A	0.14865
RP4-631H13.2	0
RP4-631H13.4	0
MIR1273F	0
MIR5095	0
MIR1273G	0
RP4-631H13.5	0
RP11-334A14.2	0
TUBBP10	0
SLC1A7	4.44205
RP11-334A14.8	1.74217
RP5-1024G6.9	0
RP5-1024G6.2	0.79808
RP5-1024G6.7	0.0603189
RP5-1024G6.5	0.750497
LRP8	2.28172
RP4-784A16.1	0
RP4-784A16.2	0
RP4-784A16.3	0
RP4-784A16.4	0
LINC01771	0
RP11-117D22.1	0
RP11-117D22.2	0.0476102
SLC25A3P1	0
DMRTB1	0
RNU7-95P	0
SNORA58	0
RP4-654H19.2	0
DIO1	0.308289
HNRNPA3P12	0.213135
LDLRAD1	0.225763
RP4-758J24.6	4.19522
TCEANC2	3.05392
MIR4781	0
RP4-758J24.4	0
CDCP2	0.295527
RP11-446E24.3	0.114981
CYB5RL	4.93289
SSBP3-AS1	4.71239
RP5-997D24.3	0.0917095
RP4-705F19.1	0
RP5-866L20.1	0
RP5-866L20.2	0
HNRNPA1P63	0
ACOT11	1.56128
FAM151A	0.210752
RP11-240D10.4	0
RP11-67L3.2	0.207626
LEXM	0.116165
RP11-67L3.5	0
RP11-67L3.4	0
TMEM61	0.163771
BSND	0
PCSK9	0.127535
RP11-101C11.1	0
GYG1P3	0
MIR4422	0
GOT2P1	0
MTCO2P34	0
RN7SKP291	0
RNU6-830P	0
Y_RNA	0
RP11-90C4.1	0.279533
LINC01753	0
PIGQP1	0
LINC01755	0
RP1-158P9.1	0.0757648
RPSAP20	0.408548
RP11-504A18.1	2.32722
LINC01767	0.181398
RPL21P23	0.899945
RPL23AP85	0
RP11-377K22.2	0
PRKAA2	4.02114
C1orf168	0.07862
RP11-378I13.1	0
C8A	0
C8B	0.0877482
RP5-1103B4.3	0
DAB1	1.14168
RP6-102O10.1	0
RPS20P5	0
DAB1-AS1	0
HNRNPA1P6	0.0822937
RPS26P15	0.0864111
RP11-393I23.4	0
RP11-393I23.3	0
RP11-414C16.1	0.204513
RP4-592A1.4	0.142855
RN7SL713P	0
TACSTD2	4.14939
RP4-592A1.2	0.356622
RP11-63G10.4	0.207368
LINC01135	0.949054
RP11-63G10.3	0.644954
RP11-63G10.2	0
RP4-794H19.1	1.70537
LINC01358	1.14976
PHBP3	0
RP11-145M4.1	0
RP11-145M4.2	0
HSD52	0.0772752
RP11-467C18.1	1.24767
FGGY	2.49421
MIR4711	0
RP4-782L23.2	0.572148
HOOK1	2.50248
CYP2J2	0.681116
RN7SL475P	0
C1orf87	0.0318977
PGBD4P8	0
RP11-575B7.3	0
LINC01748	0.0556185
RP11-436K8.1	0.20186
NFIA-AS2	0.202612
RP4-802A10.1	0.277958
NFIA-AS1	0
RP11-430G17.1	0.0674625
RP11-430G17.3	2.70534
RNU6-414P	0
RNU6-1177P	0
LAMTOR5P1	0
RN7SL180P	0
MIR3116-1	0
PIGPP2	0
RPS15AP7	0
L1TD1	0.846319
RP5-1155K23.4	0
KANK4	0.566003
RNU6-371P	0
RP11-293K19.1	0
ANGPTL3	0.246861
RP5-849H19.3	0.150803
RP5-849H19.2	0.0368826
RP11-230B22.1	0.466364
RP4-771M4.3	0
RP4-771M4.2	0
LINC01739	0
RP11-5P4.2	0
RP11-5P4.3	0
RP11-335E6.2	0
LINC00466	0.0296554
RNA5SP49	0
RP11-335E6.3	0
RPSAP65	0
FOXD3-AS1	3.48074
FOXD3	1.36679
MIR6068	0
Y_RNA	0
RP4-792G4.3	0
RN7SL488P	0
RNU7-123P	0
DLEU2L	1.03599
RN7SL130P	1.67965
